ENTRY            10321   20020926                             00001032100000001 
SUBENT        10321001   20020926                             00001032100100001 
BIB                 14         27                                 1032100100002 
INSTITUTE  (1USAARL)                                              1032100100003 
REFERENCE  (J,PR/C,7,1736,197305)                                 1032100100004 
AUTHOR     (D.E.Velkley,J.C.Brandenberger,D.W.Glasgow,            1032100100005 
           M.T.Mc Ellistrem,J.C.Manthuruthil,C.P.Poirier)         1032100100006 
TITLE      Scattering of Neutrons by Carbon from 7 to 9 MeV       1032100100007 
FACILITY   (VDGT,1USAARL) Tandem Van-de-Graaff                    1032100100008 
INC-SOURCE (D-D) D(d,n) source in deuterium gas cell              1032100100009 
SAMPLE      Circular cylinder diameter 0.95 cm, height 2.54 cm    1032100100010 
            99.98% carbon                                         1032100100011 
METHOD     (TOF) Time-of-flight over 1.5 to 4.0 meters            1032100100012 
DETECTOR   (SCIN) NE213 scintillator coupled to photomultiplier.  1032100100013 
MONITOR    (1-H-1(N,EL)1-H-1,,SIG)                                1032100100014 
CORRECTION Corrections for angular resolution,attenuation of beam,1032100100015 
           and inscattering                                       1032100100016 
ERR-ANALYS (DATA-ERR) Data errors given are relative uncertainties1032100100017 
            Uncertainties in measured cross section due to        1032100100018 
            normalization uncertainties:                          1032100100019 
            . flux attenuation correction (<1%),                  1032100100020 
            . n-p cross section uncertainty (<1%),                1032100100021 
            . efficiency curve (3%),                              1032100100022 
            . n-p counting statistics (<1.4%).                    1032100100023 
STATUS     Tabulated data received from Velkley, Jan., 1973       1032100100024 
HISTORY    (19740510C)                                            1032100100025 
           (19750902A) Reference added                            1032100100026 
           (19830118A) Converted to REACTION formalism            1032100100027 
           (19841212A) SAN003, SAN004 and SAN005 added.           1032100100028 
           (20020926A) Updated to new date formats, lower case.   1032100100029 
ENDBIB              27          0                                 1032100100030 
NOCOMMON             0          0                                 1032100100031 
ENDSUBENT           30          0                                 1032100199999 
SUBENT        10321002   20020926                             00001032100200001 
BIB                  2          2                                 1032100200002 
REACTION   (6-C-0(N,EL)6-C-0,,DA)                                 1032100200003 
HISTORY    (20020926A) Reaction product added.                    1032100200004 
ENDBIB               2          0                                 1032100200005 
NOCOMMON             0          0                                 1032100200006 
DATA                 5        106                                 1032100200007 
EN         EN-RSL     ANG-CM     DATA-CM    DATA-ERR              1032100200008 
MEV        MEV        ADEG       MB/SR      MB/SR                 1032100200009 
7.20       0.05       32.4       105.7      1.6                   1032100200010 
7.20       0.05       37.8       95.8       1.6                   1032100200011 
7.20       0.05       43.1       88.6       1.5                   1032100200012 
7.20       0.05       48.4       75.3       1.4                   1032100200013 
7.20       0.05       53.7       67.9       1.3                   1032100200014 
7.20       0.05       64.2       57.3       1.1                   1032100200015 
7.20       0.05       74.5       46.8       1.0                   1032100200016 
7.20       0.05       84.8       39.4       0.9                   1032100200017 
7.20       0.05       94.8       33.7       0.9                   1032100200018 
7.20       0.05       104.8      29.3       0.8                   1032100200019 
7.20       0.05       109.7      25.9       0.8                   1032100200020 
7.20       0.05       114.5      22.5       0.7                   1032100200021 
7.20       0.05       119.4      22.3       0.7                   1032100200022 
7.20       0.05       124.2      23.4       0.7                   1032100200023 
7.20       0.05       129.0      19.2       0.7                   1032100200024 
7.20       0.05       133.7      16.6       0.6                   1032100200025 
7.20       0.05       143.1      14.9       0.6                   1032100200026 
7.20       0.05       152.4      15.1       0.6                   1032100200027 
7.35       0.05       32.4       338.3      5.1                   1032100200028 
7.35       0.05       37.8       301.3      4.7                   1032100200029 
7.35       0.05       43.1       251.5      4.1                   1032100200030 
7.35       0.05       53.7       159.4      3.1                   1032100200031 
7.35       0.05       64.2       106.0      2.4                   1032100200032 
7.35       0.05       69.4       77.9       2.0                   1032100200033 
7.35       0.05       74.5       58.4       1.7                   1032100200034 
7.35       0.05       84.8       32.6       1.2                   1032100200035 
7.35       0.05       94.8       19.5       1.0                   1032100200036 
7.35       0.05       99.8       14.2       0.8                   1032100200037 
7.35       0.05       104.8      11.5       0.7                   1032100200038 
7.35       0.05       109.7      14.0       0.8                   1032100200039 
7.35       0.05       114.5      15.8       0.9                   1032100200040 
7.35       0.05       119.4      18.2       1.0                   1032100200041 
7.35       0.05       124.2      20.7       1.1                   1032100200042 
7.35       0.05       129.0      22.3       0.8                   1032100200043 
7.35       0.05       138.4      25.2       1.1                   1032100200044 
7.35       0.05       143.1      23.2       1.1                   1032100200045 
7.35       0.05       152.4      23.0       1.3                   1032100200046 
7.73       0.05       32.4       331.1      5.0                   1032100200047 
7.73       0.05       37.8       222.6      3.9                   1032100200048 
7.73       0.05       43.1       134.7      2.8                   1032100200049 
