ENTRY            10824   19861209                             00001082400000001 
SUBENT        10824001   19861209                             00001082400100001 
BIB                 13         38                                 1082400100002 
INSTITUTE  (1USADAV)                                              1082400100003 
REFERENCE  (J,PR/C,34,1580,8611)                                  1082400100004 
           (T,SUBRAMANIAN,79)                                     1082400100005 
AUTHOR     (T.S.SUBRAMANIAN,J.L.ROMERO,F.P.BRADY,D.H.FITZGERALD,  1082400100006 
           R.GARRETT,G.A.NEEDHAM,J.L.ULLMANN,J.WATSON,C.I.ZANELLI,1082400100007 
           D.J.BRENNER,R.E.PRAEL)                                 1082400100008 
TITLE      DOUBLE-DIFFERENTIAL INCLUSIVE HYDROGEN AND HELIUM      1082400100009 
            SPECTRA FROM NEUTRON-INDUCED REACTIONS AT 27.4, 39.7  1082400100010 
            AND 60.7 MEV: OXYGEN AND NITROGEN.                    1082400100011 
FACILITY   CROCKER NUCLEAR LABORATORY                             1082400100012 
INC-SOURCE (P-LI7)                                                1082400100013 
DETECTOR   (TELES,SOLST,NAICR) TWO SI(SB) DELTA-E DETECTORS AND   1082400100014 
            ONE NAI E DETECTOR USED TO MEASURE OUTGOING PARTICLES.1082400100015 
           (TELES,SCIN) CHARGED PARTICLE VETO DETECTOR FOLLOWED BY1082400100016 
            A PAIR OF PLASTIC SCINTILLATORS WITH A CH(2) CONVERTER1082400100017 
            USED TO MONITOR NEUTRON BEAM.                         1082400100018 
METHOD     TIME-OF-FLIGHT USED TO ELIMINATE NEUTRON BEAM TAIL.    1082400100019 
CORRECTION CORRECTIONS MADE FOR BACKGROUND, ENERGY AND PARTICLE   1082400100020 
            LOSS IN SAMPLE, AND DEAD GAP IN NAI DETECTOR.         1082400100021 
MONITOR    (1-H-1(N,EL)1-H-1,,DA)                                 1082400100022 
ERR-ANALYS (ERR-S) QUOTED ERRORS ARE STATISTICAL ONLY.            1082400100023 
           OTHER SYSTEMATIC UNCERTAINTIES INCLUDE-                1082400100024 
            - STATISTICS NORMALIZATION TO HYDROGEN PEAK(2 PERCENT)1082400100025 
            - TAIL ELIMINATION TIME CUT NORMALIZATION TO  HYDROGEN1082400100026 
              PEAK (2 PERCENT)                                    1082400100027 
            - NEUTRON BEAM WIDTH, APPROXIMATELY 2 PERCENT         1082400100028 
            - BACKGROUND SUBTRACTION, APPROXIMATELY 8 PERCENT     1082400100029 
            - TRITIUM CONTAMINATION IN ALPHA SPECTRUM             1082400100030 
               FOR 27.4 MEV, NEGLIGIBLE                           1082400100031 
               FOR 39.7 MEV, APPROXIMATELY 3 PERCENT              1082400100032 
               FOR 60.7 MEV, APPROXIMATELY 5 PERCENT              1082400100033 
STATUS     DATA TAKEN FROM PRIVATE COMM., ROMERO, 85/9            1082400100034 
           (APRVD) J.L.ROMERO, 11/8/85.                           1082400100035 
HISTORY    (820527C)                                              1082400100036 
           (830328U) TITLE CORRECTED                              1082400100037 
           (830914A)SUBENTRIES 2-6,17-21,32-36 MOVED TO AN 12838. 1082400100038 
           (850808A) DATA REPLACED, BIB UPDATE                    1082400100039 
           (861209A) BIB UPDATE.                                  1082400100040 
ENDBIB              38          0                                 1082400100041 
COMMON               1          3                                 1082400100042 
ANG-RSL                                                           1082400100043 
ADEG                                                              1082400100044 
 3.                                                               1082400100045 
ENDCOMMON            3          0                                 1082400100046 
ENDSUBENT           45          0                                 1082400199999 
NOSUBENT      10824002   19830914                             00001082400200001 
NOSUBENT      10824003   19830914                             00001082400300001 
NOSUBENT      10824004   19830914                             00001082400400001 
NOSUBENT      10824005   19830914                             00001082400500001 
NOSUBENT      10824006   19830914                             00001082400600001 
SUBENT        10824007   19851119                             00001082400700001 
BIB                  4          7                                 1082400700002 
REACTION   (7-N-14(N,X)1-H-1,,DA/DE)                              1082400700003 
SAMPLE     C(3)H(6)O(2) EVAPORATED ONTO THIN MYLAR BACKINGS       1082400700004 
CORRECTION CORRECTED FOR PROTON LOSS IN STOPPING DETECTOR DUE TO  1082400700005 
            NUCLEAR INTERACTIONS. RANGES FROM 1.5 PERCENT AT 39.7 1082400700006 
            MEV TO 4 PERCENT AT 60.7 MEV.                         1082400700007 
ERR-ANALYS OVERALL NORMALIZATION UNCERTAINTY, 10 PERCENT          1082400700008 
            HYDROGEN SURFACE DENSITY, APPROXIMATELY 10 PERCENT    1082400700009 
ENDBIB               7          0                                 1082400700010 
NOCOMMON             0          0                                 1082400700011 
DATA                 5        326                                 1082400700012 
EN         ANG        E          DATA       ERR-S                 1082400700013 
MEV        ADEG       MEV        MB/SR/MEV  MB/SR/MEV             1082400700014 
    27.4          15.0        3.5       2.24       0.56           1082400700015 
    27.4          15.0        7.5       1.69       0.54           1082400700016 
    27.4          15.0        9.5       1.77       0.53           1082400700017 
    27.4          15.0       11.5       1.01       0.47           1082400700018 
    27.4          15.0       13.5       1.44       0.55           1082400700019 
    27.4          15.0       15.5       1.10       0.45           1082400700020 
    27.4          15.0       17.5       0.00       0.37           1082400700021 
    27.4          15.0       19.5       0.00       0.08           1082400700022 
    27.4          20.0        3.6       3.24       0.76           1082400700023 
    27.4          20.0        7.6       1.76       0.51           1082400700024 
    27.4          20.0        9.6       1.34       0.43           1082400700025 
    27.4          20.0       11.6       1.48       0.45           1082400700026 
    27.4          20.0       13.6       0.85       0.39           1082400700027 
    27.4          20.0       15.6       0.92       0.33           1082400700028 
    27.4          20.0       17.6       1.21       0.36           1082400700029 
    27.4          35.0        4.6       2.03       0.42           1082400700030 
    27.4          35.0        6.6       0.25       0.15           1082400700031 
    27.4          35.0        8.6       1.18       0.37           1082400700032 
    27.4          35.0       10.6       1.94       0.39           1082400700033 
    27.4          35.0       12.6       1.23       0.37           1082400700034 
    27.4          40.0        4.3       1.55       0.40           1082400700035 
    27.4          40.0        6.3       0.42       0.20           1082400700036 
    27.4          40.0        8.3       0.99       0.33           1082400700037 
    27.4          40.0       10.3       1.02       0.48           1082400700038 
    27.4          45.0        4.5       1.94       0.49           1082400700039 
    27.4          45.0        6.5       1.61       0.49           1082400700040 
    27.4          45.0        8.5       0.08       0.08           1082400700041 
    27.4          45.0       24.5       0.00       1.00           1082400700042 
    27.4          65.0        8.3       1.01       0.40           1082400700043 
    27.4          65.0       10.3       0.25       0.22           1082400700044 
    27.4          65.0       12.3       0.34       0.28           1082400700045 
    27.4          65.0       14.3       0.42       0.24           1082400700046 
    27.4          65.0       16.3       0.34       0.17           1082400700047 
    27.4          65.0       18.3       0.34       0.17           1082400700048 
    27.4          65.0       20.3       0.25       0.15           1082400700049 
    27.4          65.0       22.3      -0.08       0.08           1082400700050 
    27.4          65.0       24.3       0.10       0.10           1082400700051 
    39.7          15.0        4.4       1.80       0.18           1082400700052 
    39.7          15.0        8.4       0.97       0.17           1082400700053 
    39.7          15.0       10.4       0.95       0.18           1082400700054 
    39.7          15.0       12.4       0.90       0.16           1082400700055 
    39.7          15.0       14.4       1.18       0.19           1082400700056 
    39.7          15.0       16.4       1.15       0.20           1082400700057 
    39.7          15.0       18.4       1.53       0.20           1082400700058 
    39.7          15.0       20.4       1.57       0.19           1082400700059 
    39.7          15.0       22.4       1.58       0.18           1082400700060 
    39.7          15.0       24.4       0.92       0.18           1082400700061 
    39.7          15.0       26.4       0.67       0.17           1082400700062 
    39.7          15.0       28.4       0.37       0.15           1082400700063 
    39.7          20.0        3.9       1.71       0.16           1082400700064 
    39.7          20.0        7.9       0.89       0.17           1082400700065 
    39.7          20.0        9.9       1.08       0.15           1082400700066 
    39.7          20.0       11.9       1.22       0.16           1082400700067 
    39.7          20.0       13.9       0.99       0.18           1082400700068 
    39.7          20.0       15.9       1.15       0.17           1082400700069 
    39.7          20.0       17.9       1.18       0.18           1082400700070 
    39.7          20.0       19.9       1.19       0.18           1082400700071 
    39.7          20.0       21.9       1.03       0.17           1082400700072 
    39.7          20.0       23.9       0.95       0.15           1082400700073 
    39.7          20.0       25.9       1.10       0.15           1082400700074 
    39.7          20.0       27.9       0.58       0.14           1082400700075 
    39.7          35.0        2.9       1.70       0.20           1082400700076 
    39.7          35.0        4.9       0.81       0.15           1082400700077 
    39.7          35.0        6.9       1.00       0.15           1082400700078 
    39.7          35.0        8.9       0.43       0.13           1082400700079 
    39.7          35.0       10.9       0.70       0.13           1082400700080 
    39.7          35.0       12.9       0.58       0.15           1082400700081 
    39.7          35.0       14.9       0.90       0.14           1082400700082 
    39.7          35.0       16.9       0.85       0.15           1082400700083 
    39.7          35.0       18.9       0.43       0.19           1082400700084 
    39.7          35.0       34.9       0.15       0.04           1082400700085 
    39.7          35.0       36.9       0.04       0.03           1082400700086 
    39.7          35.0       38.9       0.03       0.02           1082400700087 
    39.7          35.0       40.9       0.01       0.01           1082400700088 
    39.7          40.0        2.8       1.49       0.18           1082400700089 
    39.7          40.0        6.8       0.87       0.15           1082400700090 
    39.7          40.0        8.8       0.79       0.13           1082400700091 
    39.7          40.0       10.8       0.85       0.13           1082400700092 
    39.7          40.0       12.8       0.82       0.13           1082400700093 
    39.7          40.0       32.8       1.08       0.11           1082400700094 
    39.7          40.0       34.8       0.24       0.06           1082400700095 
    39.7          40.0       36.8       0.08       0.03           1082400700096 
    39.7          40.0       38.8       0.10       0.03           1082400700097 
    39.7          45.0        5.6       1.23       0.16           1082400700098 
    39.7          45.0        7.6       1.26       0.16           1082400700099 
    39.7          45.0        9.6       0.75       0.13           1082400700100 
    39.7          45.0       11.6       0.65       0.16           1082400700101 
    39.7          45.0       29.6       0.25       0.08           1082400700102 
    39.7          45.0       31.6       0.51       0.08           1082400700103 
    39.7          45.0       33.6       0.13       0.06           1082400700104 
    39.7          45.0       35.6       0.02       0.03           1082400700105 
    39.7          45.0       37.6      -0.02       0.03           1082400700106 
    39.7          45.0       39.6       0.01       0.01           1082400700107 
    39.7          65.0       10.9       0.65       0.11           1082400700108 
    39.7          65.0       12.9       0.34       0.09           1082400700109 
    39.7          65.0       14.9       0.40       0.09           1082400700110 
    39.7          65.0       16.9       0.45       0.09           1082400700111 
    39.7          65.0       18.9       0.32       0.10           1082400700112 
    39.7          65.0       20.9       0.11       0.09           1082400700113 
    39.7          65.0       22.9       0.38       0.09           1082400700114 
    39.7          65.0       24.9       0.09       0.07           1082400700115 
    39.7          65.0       26.9       0.11       0.06           1082400700116 
    39.7          65.0       28.9       0.09       0.06           1082400700117 
    39.7          65.0       30.9       0.20       0.04           1082400700118 
    39.7          65.0       32.9       0.11       0.03           1082400700119 
    39.7          65.0       34.9       0.02       0.01           1082400700120 
    39.7          65.0       36.9       0.04       0.02           1082400700121 
    39.7          90.0        2.6       1.22       0.12           1082400700122 
    39.7          90.0       10.6       0.73       0.10           1082400700123 
    39.7          90.0       12.6       0.54       0.09           1082400700124 
    39.7          90.0       14.6       0.46       0.10           1082400700125 
    39.7          90.0       16.6       0.33       0.10           1082400700126 
    39.7          90.0       18.6       0.26       0.07           1082400700127 
    39.7          90.0       20.6       0.22       0.08           1082400700128 
    39.7          90.0       22.6       0.06       0.05           1082400700129 
    39.7          90.0       24.6       0.04       0.03           1082400700130 
    39.7          90.0       26.6      -0.01       0.04           1082400700131 
    39.7          90.0       28.6      -0.04       0.02           1082400700132 
    39.7          90.0       32.6      -0.02       0.02           1082400700133 
    39.7         130.0        2.8       1.09       0.12           1082400700134 
    39.7         130.0       10.8       0.65       0.12           1082400700135 
    39.7         130.0       12.8       0.34       0.09           1082400700136 
    39.7         130.0       14.8       0.12       0.07           1082400700137 
    39.7         130.0       16.8       0.17       0.06           1082400700138 
    39.7         130.0       18.8       0.07       0.04           1082400700139 
    39.7         130.0       20.8       0.01       0.01           1082400700140 
    39.7         130.0       22.8       0.05       0.02           1082400700141 
    39.7         130.0       24.8       0.01       0.02           1082400700142 
    39.7         130.0       26.8       0.01       0.01           1082400700143 
    39.7         150.0        2.8       0.91       0.11           1082400700144 
    39.7         150.0       10.8       0.35       0.11           1082400700145 
    39.7         150.0       12.8       0.38       0.09           1082400700146 
    39.7         150.0       14.8       0.23       0.09           1082400700147 
    39.7         150.0       16.8       0.29       0.08           1082400700148 
    39.7         150.0       18.8       0.10       0.05           1082400700149 
    39.7         150.0       20.8       0.03       0.04           1082400700150 
    39.7         150.0       22.8       0.05       0.02           1082400700151 
    39.7         150.0       24.8       0.05       0.03           1082400700152 
    39.7         150.0       26.8       0.02       0.02           1082400700153 
    39.7         150.0       28.8      -0.03       0.02           1082400700154 
    39.7         150.0       30.8       0.02       0.02           1082400700155 
    60.7          15.0       14.0       0.91       0.03           1082400700156 
    60.7          15.0       16.0       0.99       0.04           1082400700157 
    60.7          15.0       18.0       0.98       0.04           1082400700158 
    60.7          15.0       20.0       1.09       0.04           1082400700159 
    60.7          15.0       22.0       1.05       0.04           1082400700160 
    60.7          15.0       24.0       1.15       0.04           1082400700161 
    60.7          15.0       26.0       1.16       0.04           1082400700162 
    60.7          15.0       28.0       1.07       0.04           1082400700163 
    60.7          15.0       30.0       1.13       0.04           1082400700164 
    60.7          15.0       32.0       1.28       0.04           1082400700165 
    60.7          15.0       34.0       1.34       0.04           1082400700166 
    60.7          15.0       36.0       1.44       0.04           1082400700167 
    60.7          15.0       38.0       1.94       0.05           1082400700168 
    60.7          15.0       40.0       1.88       0.05           1082400700169 
    60.7          15.0       42.0       1.19       0.04           1082400700170 
    60.7          15.0       44.0       1.03       0.04           1082400700171 
    60.7          15.0       46.0       0.48       0.03           1082400700172 
    60.7          15.0       48.0       0.48       0.03           1082400700173 
