ENTRY            10413   20030220                             00001041300000001 
SUBENT        10413001   20030220                             00001041300100001 
BIB                 14         36                                 1041300100002 
INSTITUTE  (1USAORL)                                              1041300100003 
REFERENCE  (R,ORNL-4806,197401)                                   1041300100004 
AUTHOR     (W.E.Kinney,F.G.Perey)                                 1041300100005 
TITLE      Natural chromium and 52Cr neutron elastic and          1041300100006 
            inelastic scattering cross sections from 4.07 to      1041300100007 
            8.56 MeV                                              1041300100008 
FACILITY   (VDG,1USAORL) ORNL Van-de-Graaff pulsed at 2 MHz and   1041300100009 
            bunched.                                              1041300100010 
INC-SOURCE (D-D) D(D,N) Reaction using gas cells of length        1041300100011 
            1 and 2 cm. Neutron energy resolution between         1041300100012 
            60 and 70 keV.                                        1041300100013 
SAMPLE     Solid right circular cylinder 1.760 cm diameter,       1041300100014 
            2.86 cm high placed 10 to 30 cm from gas cell.        1041300100015 
METHOD     (TOF) 2.5 ns resolution (FWHM) 2 MHz repetition rate.  1041300100016 
DETECTOR   (SCIN) 12.5 cm dia ne-213 liquid scintillator viewed   1041300100017 
            by XP-1040 photomultipliers. Flight paths of 4 to 6   1041300100018 
            meters employed.                                      1041300100019 
MONITOR    (1-H-1(N,EL)1-H-1,,DA)                                 1041300100020 
CORRECTION Corrected for multiple scattering and other finite     1041300100021 
            sample size effects.                                  1041300100022 
ERR-ANALYS (DATA-ERR) Includes:                                   1041300100023 
           . uncertainties in geometric parameters,               1041300100024 
           . uncertainties in finite size corrections,            1041300100025 
           . statistics,                                          1041300100026 
           . uncertainties in residual background effects due     1041300100027 
             to peak stripping procedures.                        1041300100028 
           . estimated error in absolute value of detector        1041300100029 
             efficiency (7%).                                     1041300100030 
STATUS     (APRVD) Approved by author                             1041300100031 
           Data received on magnetic tape, Kinney, 2 May 1974.    1041300100032 
HISTORY    (19740918C)                                            1041300100033 
           (19760220A) Data added                                 1041300100034 
           (19760420A) Data added                                 1041300100035 
           (19830527A) Converted to REACTION formalism            1041300100036 
           (19840423A) BIB correction.                            1041300100037 
           (20030220A) Updated to new date formats, lower case.   1041300100038 
ENDBIB              36          0                                 1041300100039 
NOCOMMON             0          0                                 1041300100040 
ENDSUBENT           39          0                                 1041300199999 
SUBENT        10413002   20030220                             00001041300200001 
BIB                  2          2                                 1041300200002 
REACTION   (24-CR-0(N,EL)24-CR-0,,DA)                             1041300200003 
HISTORY    (19860319A) REACTION product added.                    1041300200004 
ENDBIB               2          0                                 1041300200005 
NOCOMMON             0          0                                 1041300200006 
DATA                 6        112                                 1041300200007 
EN         EN-RSL-HW  ANG-CM     DATA-CM    +DATA-ERR  -DATA-ERR  1041300200008 
MEV        MEV        ADEG       MB/SR      PER-CENT   PER-CENT   1041300200009 
4.07       0.08        71.04       41.65     7.6       12.9       1041300200010 
4.07       0.08        78.58       45.85     8.6       13.2       1041300200011 
4.07       0.08        86.10       64.49     8.4        7.3       1041300200012 
4.34       0.07        10.20     1999.63     6.5        8.6       1041300200013 
4.34       0.07        17.83     1630.06     5.4        9.1       1041300200014 
4.34       0.07        17.83     1671.67     5.7        7.1       1041300200015 
4.34       0.07        25.47     1240.12     5.7        7.2       1041300200016 
4.34       0.07        25.47     1131.93     4.9        5.4       1041300200017 
4.34       0.07        33.09      737.58     5.4       11.2       1041300200018 
4.34       0.07        40.71      463.61     5.9        8.4       1041300200019 
4.34       0.07        48.32      273.63     6.5        5.8       1041300200020 
4.34       0.07        55.91      137.06     8.4       12.2       1041300200021 
4.34       0.07        63.48       53.22    16.9       13.5       1041300200022 
4.34       0.07        71.04       21.18    20.9       21.8       1041300200023 
4.34       0.07        78.58       20.61    42.8       32.1       1041300200024 
4.34       0.07        86.10       33.01    15.0       15.5       1041300200025 
4.34       0.07        96.10       55.28     9.0        9.6       1041300200026 
4.34       0.07       103.58       64.35    10.9       10.8       1041300200027 
4.34       0.07       111.04       63.30     9.6        8.7       1041300200028 
4.34       0.07       122.45       54.53    10.8        7.9       1041300200029 
4.34       0.07       129.86       42.41    10.5        9.2       1041300200030 
4.34       0.07       137.26       36.36    11.5       11.4       1041300200031 
4.65       0.07        71.04       34.87    16.6       12.8       1041300200032 
4.65       0.07        78.58       32.25    24.4       11.0       1041300200033 
4.65       0.07        86.10       40.56    13.5        9.2       1041300200034 
4.92       0.06        10.20     2061.16     4.9        6.0       1041300200035 
4.92       0.06        15.29     1865.86     5.5        7.2       1041300200036 
4.92       0.06        17.84     1715.11     6.1        8.6       1041300200037 
4.92       0.06        22.93     1323.17     8.2       10.2       1041300200038 
4.92       0.06        25.47     1170.57     6.9        9.5       1041300200039 
4.92       0.06        25.47     1176.37     5.2        5.6       1041300200040 
4.92       0.06        30.56      918.06     6.9        6.8       1041300200041 
4.92       0.06        33.10      830.85     6.2        8.3       1041300200042 
4.92       0.06        40.71      465.64     5.7        6.2       1041300200043 
4.92       0.06        48.32      254.14     5.9        5.1       1041300200044 
4.92       0.06        55.91      107.83    10.9       11.9       1041300200045 
4.92       0.06        63.48       34.72    18.4       15.8       1041300200046 
4.92       0.06        71.04       23.50    31.3       17.9       1041300200047 
4.92       0.06        78.58       27.83    20.5       14.7       1041300200048 
4.92       0.06        86.10       47.10    17.4       10.6       1041300200049 
4.92       0.06        96.10       54.19    16.0       10.1       1041300200050 
4.92       0.06       103.58       54.29     9.0        8.1       1041300200051 
4.92       0.06       111.04       52.30    10.6        6.9       1041300200052 
4.92       0.06       122.44       44.17    12.4        9.1       1041300200053 
4.92       0.06       129.86       27.16    20.6       14.7       1041300200054 
4.92       0.06       137.26       24.37    18.9        9.8       1041300200055 
5.23       0.05        71.04       24.59    17.1       17.1       1041300200056 
5.23       0.05        78.58       25.70    14.9       14.0       1041300200057 
5.23       0.05        86.10       32.05    14.9       12.7       1041300200058 
5.50       0.05        48.32      192.88     5.8        5.6       1041300200059 
5.50       0.05        55.91       81.76     8.9       10.4       1041300200060 
5.50       0.05        63.48       29.70    11.1        9.8       1041300200061 
6.44       0.07        15.29     2041.46     4.3        5.3       1041300200062 
6.44       0.07        22.93     1460.73     4.1        4.2       1041300200063 
6.44       0.07        28.01     1054.06     4.7        4.6       1041300200064 
6.44       0.07        35.64      592.32     4.4        5.3       1041300200065 
6.44       0.07        43.25      289.19     5.7        5.5       1041300200066 
6.44       0.07        48.32      172.24     6.0        5.1       1041300200067 
6.44       0.07        55.91       57.33    10.4        7.3       1041300200068 
6.44       0.07        63.48       14.25    17.6       18.5       1041300200069 
6.44       0.07        71.04        6.08    45.2       27.6       1041300200070 
6.44       0.07        78.58        9.34    22.8       17.3       1041300200071 
6.44       0.07        86.10       16.48    11.1       13.6       1041300200072 
6.44       0.07        93.61       22.91    11.7        9.6       1041300200073 
6.44       0.07       101.09       26.98    12.1        7.5       1041300200074 
6.44       0.07       108.56       27.26    11.5        9.3       1041300200075 
6.44       0.07       120.46       24.58     8.7        7.7       1041300200076 
6.44       0.07       127.88       19.43    11.5        9.8       1041300200077 
6.44       0.07       135.29       12.58    14.5       14.6       1041300200078 
7.03       0.06        71.04       12.08    11.2        9.0       1041300200079 
7.03       0.06        78.58       13.33     8.1        9.1       1041300200080 
7.03       0.06        86.10       17.83     6.8        8.1       1041300200081 
7.54       0.06        15.29     2059.81     4.3        4.6       1041300200082 
7.54       0.06        22.92     1369.98     4.3        4.9       1041300200083 
7.54       0.06        28.01      930.04     5.2        6.1       1041300200084 
7.54       0.06        35.64      480.46     5.0        5.5       1041300200085 
7.54       0.06        43.25      201.13     6.8        5.6       1041300200086 
7.54       0.06        48.32      103.89    10.1        8.1       1041300200087 
7.54       0.06        48.32      111.34     8.3        5.5       1041300200088 
7.54       0.06        55.91       30.63    14.5       11.6       1041300200089 
7.54       0.06        55.91       26.70    15.2       12.6       1041300200090 
7.54       0.06        63.48        6.18    28.3       32.0       1041300200091 
7.54       0.06        63.48        8.57    22.7       25.8       1041300200092 
7.54       0.06        71.04        5.07    31.6       31.8       1041300200093 
7.54       0.06        78.58        8.88    14.8       17.4       1041300200094 
7.54       0.06        86.10       11.87    12.8       10.3       1041300200095 
7.54       0.06        93.60       15.05     9.8       12.6       1041300200096 
7.54       0.06       101.09       17.41    13.9        8.1       1041300200097 
7.54       0.06       108.55       18.14     8.8        9.6       1041300200098 
7.54       0.06       120.46       16.44    13.5       10.1       1041300200099 
7.54       0.06       127.88       10.53    11.0       14.4       1041300200100 
7.54       0.06       135.29        6.33    18.1       19.7       1041300200101 
8.04       0.05        71.04       10.74    10.6       11.6       1041300200102 
8.04       0.05        78.58       10.23     9.5       17.2       1041300200103 
