ENTRY            12325   20110110                             13691232500000001 
SUBENT        12325001   20110110                             13691232500100001 
BIB                  8         17                                 1232500100002 
INSTITUTE  (1USAORL)                                              1232500100003 
REFERENCE  (J,NP,38,561,196209)                                   1232500100004 
           ((R,ORNL-3306,196208)=(T,LAMPHERE,196208))             1232500100005 
AUTHOR     (R.W.Lamphere)                                         1232500100006 
TITLE      Fission cross section and fission fragment angular     1232500100007 
           distribution for fast neutron-induced fission of U234. 1232500100008 
FACILITY   (ACCEL,1USAORL) Electrostatic accelerator.             1232500100009 
SAMPLE     U3O8 samples on Ni backing; 0.8 mg/cm2 234U.           1232500100010 
           Isotopic composition: 234U (96.16%), 235U (2.92%),     1232500100011 
                                 238U (1.02%).                    1232500100012 
STATUS     (SCSRS)                                                1232500100013 
HISTORY    (19760804T) Translated from SCISRS                     1232500100014 
           (19841005A) converted to reaction formalism            1232500100015 
           (20110110A) VM:Updated to new date formats,lower case. 1232500100016 
             BIB updates. Correction to subentries 002-004.       1232500100017 
             Combined subentries 002,005.                         1232500100018 
             Angular distribution data added.                     1232500100019 
ENDBIB              17          0                                 1232500100020 
NOCOMMON             0          0                                 1232500100021 
ENDSUBENT           20          0                                 1232500199999 
SUBENT        12325002   20110110                             13691232500200001 
BIB                  7         14                                 1232500200002 
REACTION  1((92-U-234(N,F),,SIG)/(92-U-235(N,F),,SIG))            1232500200003 
          2(92-U-234(N,F),,SIG)                                   1232500200004 
INC-SOURCE (P-T) T(p,n) source. Gas target.                       1232500200005 
DETECTOR   (FISCH) Back-to-back fission counter                   1232500200006 
MONITOR   2(92-U-235(N,F),,SIG)                                   1232500200007 
ERR-ANALYS (ERR-S) Statistical error given.                       1232500200008 
           (ERR-SYS,,1.) Systematic uncertainties not expected    1232500200009 
             to exceed 1%.                                        1232500200010 
STATUS     (TABLE) Data up to 1326 keV given in Table i in main   1232500200011 
            reference. Above 1326 keV, taken from Table V in      1232500200012 
            ORNL-3306. Runs 3-5.                                  1232500200013 
HISTORY    (20110110A) Added ratio, monitor, statistical          1232500200014 
            uncertainty. Combined with data from subentry 005.    1232500200015 
            Energy resolution corrected.                          1232500200016 
ENDBIB              14          0                                 1232500200017 
NOCOMMON             0          0                                 1232500200018 
DATA                 6        131                                 1232500200019 
EN         EN-RSL     DATA      1DATA      2ERR-S      MONIT      1232500200020 
MEV        KEV        NO-DIM     B          PER-CENT   B          1232500200021 
 0.565      30.        0.543      0.662      1.2        1.22      1232500200022 
 0.583      31.        0.573      0.693      1.2        1.21      1232500200023 
 0.600      31.        0.602      0.722      1.2        1.20      1232500200024 
 0.617      31.        0.629      0.755      1.1        1.20      1232500200025 
 0.637      32.        0.665      0.798      1.1        1.20      1232500200026 
 0.656      32.        0.725      0.870      1.1        1.20      1232500200027 
 0.675      32.        0.754      0.897      1.1        1.19      1232500200028 
 0.692      32.        0.820      0.976      1.0        1.19      1232500200029 
 0.711      33.        0.828      0.985      1.0        1.19      1232500200030 
 0.730      33.        0.904      1.07       1.0        1.18      1232500200031 
 0.750      32.        0.937      1.11       0.7        1.18      1232500200032 
 0.773      30.        1.02       1.19       0.6        1.17      1232500200033 
 0.790      32.        1.05       1.23       1.0        1.17      1232500200034 
 0.810      26.        1.07       1.25       0.7        1.17      1232500200035 
 0.830      31.        1.07       1.25       1.0        1.17      1232500200036 
 0.848      26.        1.06       1.24       0.7        1.17      1232500200037 
 0.868      31.        1.06       1.25       1.0        1.18      1232500200038 
 0.888      25.        1.03       1.23       1.0        1.19      1232500200039 
 0.907      30.        0.986      1.18       1.0        1.20      1232500200040 
 0.925      25.        0.953      1.15       1.0        1.21      1232500200041 
 0.945      30.        0.939      1.15       1.0        1.23      1232500200042 
 0.965      24.        0.917      1.14       1.0        1.24      1232500200043 
 0.986      30.        0.884      1.10       1.0        1.24      1232500200044 
 1.003      27.        0.901      1.12       1.0        1.24      1232500200045 
 1.025      29.        0.865      1.07       1.0        1.24      1232500200046 
 1.041      27.        0.875      1.09       1.0        1.25      1232500200047 
 1.066      29.        0.896      1.12       1.0        1.25      1232500200048 
 1.083      26.        0.921      1.15       1.0        1.25      1232500200049 
 1.105      29.        0.941      1.18       1.0        1.26      1232500200050 
 1.127      26.        0.952      1.20       1.0        1.26      1232500200051 
 1.147      28.        0.957      1.21       1.0        1.27      1232500200052 
 1.169      32.        0.952      1.21       1.0        1.27      1232500200053 
 1.188      29.        0.962      1.22       1.0        1.27      1232500200054 
 1.206      32.        0.962      1.23       1.0        1.27      1232500200055 
 1.224      31.        0.958      1.22       1.0        1.27      1232500200056 
 1.246      31.        0.954      1.22       1.0        1.28      1232500200057 
 1.265      31.        0.975      1.25       1.0        1.28      1232500200058 
 1.286      32.        0.981      1.25       0.8        1.28      1232500200059 
 1.304      31.        0.972      1.24       1.0        1.28      1232500200060 
 1.326      32.        0.992      1.27       1.0        1.28      1232500200061 
 1.348      31.        1.00       1.28       1.0        1.28      1232500200062 
 1.369      33.        0.991      1.27       1.0        1.28      1232500200063 
 1.390      30.        1.00       1.29       1.0        1.29      1232500200064 
 1.411      32.        1.01       1.30       1.0        1.29      1232500200065 
 1.430      32.        1.02       1.32       2.1        1.29      1232500200066 
 1.451      45.        1.02       1.32       0.36       1.29      1232500200067 
 1.485      32.        1.03       1.33       2.8        1.29      1232500200068 
 1.493      32.        1.04       1.34       1.0        1.30      1232500200069 
 1.516      30.        1.03       1.34       1.0        1.30      1232500200070 
 1.524      32.        1.09       1.42       2.0        1.30      1232500200071 
 1.535      32.        1.06       1.38       1.0        1.30      1232500200072 
 1.557      31.        1.07       1.39       1.0        1.30      1232500200073 
 1.579      32.        1.09       1.42       1.0        1.30      1232500200074 
 1.602      31.        1.10       1.44       1.0        1.30      1232500200075 
 1.616      32.        1.13       1.48       2.6        1.31      1232500200076 
 1.624      32.        1.12       1.47       0.7        1.31      1232500200077 
 1.644      31.        1.12       1.47       1.0        1.31      1232500200078 
 1.668      30.        1.13       1.48       1.0        1.31      1232500200079 
 1.689      31.        1.13       1.48       1.0        1.31      1232500200080 
 1.712      33.        1.15       1.51       2.8        1.31      1232500200081 
 1.739      41.        1.14       1.49       0.36       1.31      1232500200082 
 1.760      33.        1.12       1.48       2.7        1.32      1232500200083 
 1.774      30.        1.13       1.49       1.0        1.32      1232500200084 
 1.797      31.        1.14       1.50       1.0        1.32      1232500200085 
 1.807      34.        1.11       1.47       2.8        1.32      1232500200086 
 1.817      31.        1.15       1.52       1.0        1.32      1232500200087 
 1.854      34.        1.21       1.60       2.8        1.32      1232500200088 
 1.861      31.        1.16       1.53       1.0        1.32      1232500200089 
 1.902      34.        1.17       1.56       2.7        1.33      1232500200090 
 1.908      31.        1.16       1.54       1.0        1.33      1232500200091 
 1.910      41.        1.16       1.54       0.90       1.33      1232500200092 
 1.952      31.        1.16       1.54       1.0        1.33      1232500200093 
 1.953      34.        1.19       1.58       2.7        1.33      1232500200094 
 1.996      32.        1.15       1.53       1.0        1.33      1232500200095 
 2.004      34.        1.19       1.58       2.7        1.33      1232500200096 
 2.034      34.        1.15       1.58       0.36       1.33      1232500200097 
 2.062      34.        1.13       1.50       1.0        1.33      1232500200098 
 2.104      35.        1.13       1.50       2.8        1.33      1232500200099 
 2.108      28.        1.12       1.49       1.0        1.33      1232500200100 
 2.152      28.        1.13       1.50       1.0        1.33      1232500200101 
 2.200      36.        1.14       1.52       2.7        1.33      1232500200102 
 2.200      28.        1.12       1.49       1.0        1.33      1232500200103 
 2.249      28.        1.13       1.49       1.0        1.32      1232500200104 
 2.251      37.        1.14       1.51       2.8        1.32      1232500200105 
 2.297      29.        1.12       1.48       1.0        1.32      1232500200106 
 2.302      38.        1.11       1.47       2.1        1.32      1232500200107 
 2.305      36.        1.13       1.49       0.90       1.32      1232500200108 
 2.343      29.        1.12       1.48       1.0        1.32      1232500200109 
 2.353      38.        1.12       1.48       2.7        1.32      1232500200110 
 2.390      29.        1.13       1.49       1.0        1.32      1232500200111 
 2.404      38.        1.13       1.49       2.8        1.32      1232500200112 
 2.438      30.        1.13       1.49       1.0        1.32      1232500200113 
 2.487      30.        1.13       1.49       1.0        1.32      1232500200114 
 2.506      40.        1.11       1.45       2.1        1.31      1232500200115 
 2.537      30.        1.14       1.49       1.0        1.31      1232500200116 
 2.587      30.        1.16       1.52       1.0        1.31      1232500200117 
 2.609      41.        1.16       1.52       2.7        1.31      1232500200118 
 2.636      31.        1.15       1.51       1.0        1.31      1232500200119 
 2.688      31.        1.17       1.52       1.0        1.30      1232500200120 
 2.697      39.        1.14       1.48       0.90       1.30      1232500200121 
 2.719      43.        1.16       1.51       1.67       1.30      1232500200122 
 2.735      31.        1.18       1.53       1.0        1.30      1232500200123 
 2.785      32.        1.17       1.52       1.0        1.30      1232500200124 
 2.822      44.        1.16       1.51       2.8        1.30      1232500200125 
 2.834      45.        1.17       1.52       0.36       1.30      1232500200126 
 2.835      32.        1.17       1.52       1.0        1.30      1232500200127 
 2.876      44.        1.15       1.50       2.7        1.30      1232500200128 
 2.887      32.        1.17       1.52       1.0        1.30      1232500200129 
 2.929      44.        1.21       1.56       2.1        1.29      1232500200130 
 2.939      33.        1.18       1.52       1.0        1.29      1232500200131 
 2.982      44.        1.19       1.54       2.7        1.29      1232500200132 
 2.990      33.        1.18       1.52       1.0        1.29      1232500200133 
 3.035      45.        1.20       1.55       2.1        1.29      1232500200134 
 3.090      45.        1.19       1.54       2.7        1.29      1232500200135 
 3.145      46.        1.16       1.49       2.1        1.28      1232500200136 
 3.184      44.        1.19       1.52       0.90       1.28      1232500200137 
 3.200      47.        1.21       1.55       2.7        1.28      1232500200138 
 3.222      50.        1.20       1.53       0.36       1.28      1232500200139 
 3.255      48.        1.19       1.52       2.0        1.28      1232500200140 
 3.365      48.        1.21       1.54       2.7        1.27      1232500200141 
 3.479      49.        1.21       1.53       2.7        1.26      1232500200142 
 3.591      50.        1.23       1.54       2.7        1.25      1232500200143 
 3.595      47.        1.22       1.52       0.90       1.25      1232500200144 
 3.703      51.        1.21       1.50       2.7        1.24      1232500200145 
 3.761      52.        1.16       1.44       2.5        1.24      1232500200146 
 3.807      54.        1.22       1.51       0.36       1.24      1232500200147 
 3.819      52.        1.18       1.46       2.1        1.24      1232500200148 
 3.878      52.        1.22       1.50       2.7        1.23      1232500200149 
 3.936      53.        1.20       1.48       2.1        1.23      1232500200150 
 3.995      53.        1.18       1.45       2.8        1.23      1232500200151 
 4.054      54.        1.20       1.46       2.8        1.22      1232500200152 
ENDDATA            133          0                                 1232500200153 
ENDSUBENT          152          0                                 1232500299999 
SUBENT        12325003   20101215                             13691232500300001 
BIB                  6         10                                 1232500300002 
REACTION  1((92-U-234(N,F),,SIG)/(92-U-235(N,F),,SIG))            1232500300003 
          2(92-U-234(N,F),,SIG)                                   1232500300004 
INC-SOURCE (P-LI7) Li(p,n) source.                                1232500300005 
MONITOR   2(92-U-235(N,F),,SIG)                                   1232500300006 
ERR-ANALYS (ERR-S) Statistical error given.                       1232500300007 
           (ERR-SYS,,1.) Systematic uncertainties not expected    1232500300008 
             to exceed 1%.                                        1232500300009 
STATUS     (TABLE) Taken from Table 1 in main reference. Run 1.   1232500300010 
HISTORY    (20101030A) Data error units corrected. Error heading  1232500300011 
                       updated. Added cross section, monitor.     1232500300012 
ENDBIB              10          0                                 1232500300013 
NOCOMMON             0          0                                 1232500300014 
DATA                 6         28                                 1232500300015 
EN         EN-RSL     DATA      1DATA      2ERR-S      MONIT     21232500300016 
KEV        KEV        NO-DIM     B          PER-CENT   B          1232500300017 
 136.       14.        0.021      0.034       8.7       1.64      1232500300018 
 163.       14.        0.025      0.039       7.7       1.57      1232500300019 
 186.       14.        0.030      0.045       6.8       1.51      1232500300020 
 211.       14.        0.034      0.050       6.2       1.47      1232500300021 
 235.       14.        0.041      0.059       5.3       1.44      1232500300022 
 258.       14.        0.048      0.067       4.6       1.40      1232500300023 
 280.       14.        0.068      0.093       2.5       1.37      1232500300024 
 302.       14.        0.102      0.138       1.9       1.35      1232500300025 
 325.       14.        0.121      0.160       1.8       1.32      1232500300026 
 348.       14.        0.118      0.154       1.8       1.31      1232500300027 
 369.       14.        0.143      0.186       1.6       1.30      1232500300028 
 390.       14.        0.180      0.231       1.4       1.28      1232500300029 
 412.       14.        0.216      0.276       1.3       1.28      1232500300030 
 433.       14.        0.266      0.338       1.1       1.27      1232500300031 
 455.       14.        0.329      0.415       1.1       1.26      1232500300032 
 476.       14.        0.367      0.459       1.0       1.25      1232500300033 
 487.       14.        0.385      0.481       1.3       1.25      1232500300034 
 498.       14.        0.428      0.535       0.9       1.25      1232500300035 
 509.       14.        0.455      0.564       1.3       1.24      1232500300036 
 520.       13.        0.510      0.633       0.9       1.24      1232500300037 
 531.       13.        0.531      0.659       1.2       1.24      1232500300038 
 542.       13.        0.578      0.711       0.9       1.23      1232500300039 
 553.       13.        0.577      0.710       1.2       1.23      1232500300040 
 563.       13.        0.595      0.726       0.8       1.22      1232500300041 
 574.       13.        0.598      0.730       1.1       1.22      1232500300042 
 584.       13.        0.623      0.754       0.8       1.21      1232500300043 
 595.       13.        0.635      0.768       1.1       1.21      1232500300044 
 606.       13.        0.644      0.773       1.1       1.20      1232500300045 
ENDDATA             30          0                                 1232500300046 
ENDSUBENT           45          0                                 1232500399999 
SUBENT        12325004   20101215                             13691232500400001 
BIB                  6         10                                 1232500400002 
REACTION  1((92-U-234(N,F),,SIG)/(92-U-235(N,F),,SIG))            1232500400003 
          2(92-U-234(N,F),,SIG)                                   1232500400004 
INC-SOURCE (P-T) T(p,n) source. Zr-t target.                      1232500400005 
MONITOR   2(92-U-235(N,F),,SIG)                                   1232500400006 
ERR-ANALYS (ERR-S) Statistical error given.                       1232500400007 
           (ERR-SYS,,1.) Systematic uncertainties not expected    1232500400008 
             to exceed 1%.                                        1232500400009 
STATUS     (TABLE) Taken from Table 1 in main reference. Run 2.   1232500400010 
HISTORY    (20101030A) Error heading updated. Added cross section,1232500400011 
                       monitor.                                   1232500400012 
ENDBIB              10          0                                 1232500400013 
NOCOMMON             0          0                                 1232500400014 
DATA                 6          5                                 1232500400015 
EN         EN-RSL     DATA      1DATA      2ERR-S      MONIT     21232500400016 
KEV        KEV        NO-DIM     B          PER-CENT   B          1232500400017 
 501.       21.        0.398      0.497      1.4        1.25      1232500400018 
 604.       21.        0.610      0.732      1.1        1.20      1232500400019 
 655.       22.        0.729      0.874      1.1        1.20      1232500400020 
 706.       22.        0.832      0.990      1.0        1.19      1232500400021 
 756.       22.        1.032      1.22       1.0        1.18      1232500400022 
ENDDATA              7          0                                 1232500400023 
ENDSUBENT           22          0                                 1232500499999 
NOSUBENT      12325005   20101215                             13691232500500001 
SUBENT        12325006   20101215                             13691232500600001 
BIB                  6         13                                 1232500600002 
REACTION   (92-U-234(N,F),,DA,,RSD)                               1232500600003 
INC-SOURCE (P-T) T(p,n) source. Gas target.                       1232500600004 
CORRECTION Corrected for:                                         1232500600005 
            . 235U content in sample,                             1232500600006 
            . neutron energy spread,                              1232500600007 
            . scattering.                                         1232500600008 
ERR-ANALYS (ERR-T) Total uncertainty. Includes uncertainty from al1232500600009 
            known sources except angular resolution.              1232500600010 
           (ERR-S) Statistical uncertainty.                       1232500600011 
           (ERR-1) Uncertainty due to energy spread.              1232500600012 
           (ERR-2) Uncertainty in scattering correction.          1232500600013 
STATUS     (TABLE) Taken from Table 3 in main reference.          1232500600014 
HISTORY    (20101016C) VM                                         1232500600015 
ENDBIB              13          0                                 1232500600016 
NOCOMMON             0          0                                 1232500600017 
DATA                 7         12                                 1232500600018 
EN         ANG        DATA       ERR-T      ERR-S      ERR-1      1232500600019 
ERR-2                                                             1232500600020 
KEV        ADEG       NO-DIM     PER-CENT   PER-CENT   PER-CENT   1232500600021 
PER-CENT                                                          1232500600022 
 843.        0.        1.786       1.37       0.66       0.42     1232500600023 
  1.12                                                            1232500600024 
 843.       30.        1.536       1.20       0.71       0.34     1232500600025 
  0.89                                                            1232500600026 
 843.       60.        1.119       0.87       0.82       0.10     1232500600027 
  0.27                                                            1232500600028 
 843.       90.        1.000       0.86       0.86       0.       1232500600029 
  0.                                                              1232500600030 
1051.        0.        1.124       0.71       0.65                1232500600031 
  0.28                                                            1232500600032 
1051.       30.        1.096       0.89       0.86                1232500600033 
  0.22                                                            1232500600034 
1051.       60.        1.025       0.89       0.89                1232500600035 
  0.06                                                            1232500600036 
1051.       90.        1.000       0.90       0.90                1232500600037 
  0.                                                              1232500600038 
3735.        0.        1.210       0.77       0.69                1232500600039 
  0.34                                                            1232500600040 
3735.       30.        1.156       0.74       0.70                1232500600041 
  0.24                                                            1232500600042 
3735.       60.        1.058       0.73       0.73                1232500600043 
  0.09                                                            1232500600044 
3735.       90.        1.000       0.75       0.75                1232500600045 
  0.                                                              1232500600046 
ENDDATA             28          0                                 1232500600047 
ENDSUBENT           46          0                                 1232500699999 
ENDENTRY             6          0                                 1232599999999 
