ENTRY            13500   19920421                             00001350000000001 
SUBENT        13500001   19920421                             00001350000100001 
BIB                 15         32                                 1350000100002 
INSTITUTE  (1USAORL)                                              1350000100003 
REFERENCE  (C,91JUELIC,,(O31),9105)                               1350000100004 
           (R,ORNL-TM-11671,9009)                                 1350000100005 
AUTHOR     (J.K.DICKENS,C.Y.FU,D.M.HETRICK,D.C.LARSON,J.H.TODD)   1350000100006 
TITLE      EXPERIMENTAL AND CALCULATED EXCITATION FUNCTIONS FOR   1350000100007 
            DISCRETE-LINE GAMMA-RAY PRODUCTION DUE TO 1-40 MEV    1350000100008 
            NEUTRON INTERACTIONS WITH 56FE.                       1350000100009 
FACILITY   (LINAC) ORELA                                          1350000100010 
INC-SOURCE (PHOTO) ELECTRONS ON TANTALUM+BERYLIUM BLOCK TARGET    1350000100011 
SAMPLE     POWDERED METAL SAMPLE, ENRICHED TO 99.93% 56FE. SAMPLE 1350000100012 
            IMPURITIES: 0.01% CU, 0.1% SI.                        1350000100013 
METHOD     (TOF) TIME-OF-FLIGHT USED TO DETERMINE NEUTRON ENERGY  1350000100014 
DETECTOR   (GE-IN) HIGH-RESOLUTION INTRINSIC GERMANIUM DETECTOR   1350000100015 
           (SCIN) FLUX MONITORED BY NE-110 SCINTILLATION DETECTOR 1350000100016 
MONITOR    DETECTOR ENERGY AND EFFICIENCY CALIBRATED USING        1350000100017 
            STANDARD RADIOACTIVE SOURCES.                         1350000100018 
ANALYSIS   USED COMPUTER CODES GRPGLI (MODIFICATION OF TPASS,     1350000100019 
            ORNL-5732) AND PLOTDATA (ORNL/TM-10191).              1350000100020 
CORRECTION CORRECTED FOR:                                         1350000100021 
           .ABSORPTION OF GAMMA RADIATION BY SAMPLE               1350000100022 
           .ATTENUATION OF THE INCIDENT NEUTRON BEAM              1350000100023 
           .MULTIPLE SCATTERING                                   1350000100024 
           .TIME SLEWING                                          1350000100025 
ERR-ANALYS (ERR-T) TOTAL 1-SIGMA UNCERTAINTIES.  DOMINATED BY     1350000100026 
            STATISTICAL UNCERTAINTIES. SEE TABLES 2 AND 3 IN      1350000100027 
            REPORT FOR SYSTEMATIC UNCERTAINTY DETAILS.            1350000100028 
STATUS     DATA RECEIVED BY E-MAIL FROM J.K.DICKENS AND           1350000100029 
            D.C.LARSON, 91/1/15                                   1350000100030 
           (APRVD) J.K.DICKENS, 91/7/9                            1350000100031 
HISTORY    (910123C)                                              1350000100032 
           (910916A) REFERENCE UPDATE                             1350000100033 
           (920421U) BIB UPDATE                                   1350000100034 
ENDBIB              32          0                                 1350000100035 
NOCOMMON             0          0                                 1350000100036 
ENDSUBENT           35          0                                 1350000199999 
SUBENT        13500002   19910124                             00001350000200001 
BIB                  2          3                                 1350000200002 
REACTION   (26-FE-56(N,INL)26-FE-56,PAR,SIG,G,AV)                 1350000200003 
STATUS     DATA FOR 1312.2 AND 1360.3 KEV GAMMA RECEIVED IN       1350000200004 
            PRIVATE COMMUNICATION FROM K.DICKENS, 6/14/91         1350000200005 
ENDBIB               3          0                                 1350000200006 
NOCOMMON             0          0                                 1350000200007 
DATA                 5        204                                 1350000200008 
E          EN-MIN     EN-MAX     DATA       ERR-T                 1350000200009 
KEV        MEV        MEV        MB         MB                    1350000200010 
  846.8     0.86       0.91       164.       40.                  1350000200011 
  846.8     0.91       0.98       275.       52.                  1350000200012 
  846.8     0.98       1.16       470.       49.                  1350000200013 
  846.8     1.16       1.68       652.       37.                  1350000200014 
  846.8     1.68       2.36       810.       55.                  1350000200015 
  846.8     2.36       3.07       961.       58.                  1350000200016 
  846.8     3.07       3.83      1115.       77.                  1350000200017 
  846.8     3.83       4.71      1180.       62.                  1350000200018 
  846.8     4.71       5.65      1274.       57.                  1350000200019 
  846.8     5.65       6.56      1331.       90.                  1350000200020 
  846.8     6.56       7.49      1255.       79.                  1350000200021 
  846.8     7.49       8.26      1160.       79.                  1350000200022 
  846.8     8.26       9.02      1131.       75.                  1350000200023 
  846.8     9.02       9.90      1131.       72.                  1350000200024 
  846.8     9.90      10.56      1123.       72.                  1350000200025 
  846.8    10.56      11.28      1171.       52.                  1350000200026 
  846.8    11.28      12.09      1101.       54.                  1350000200027 
  846.8    12.09      12.98       947.       41.                  1350000200028 
  846.8    12.98      13.97       774.       35.                  1350000200029 
  846.8    13.97      15.09       621.       29.                  1350000200030 
  846.8    15.09      16.69       409.       25.                  1350000200031 
  846.8    16.69      18.55       293.       16.                  1350000200032 
  846.8    18.55      20.76       249.       11.                  1350000200033 
  846.8    20.76      22.82       206.4       9.3                 1350000200034 
  846.8    22.82      25.20       182.5       9.0                 1350000200035 
  846.8    25.20      27.99       141.4       8.0                 1350000200036 
  846.8    27.99      30.40       122.3       7.9                 1350000200037 
  846.8    30.40      33.15       107.9       8.5                 1350000200038 
  846.8    33.15      36.29       101.1       7.8                 1350000200039 
  846.8    36.29      38.64        89.8       8.8                 1350000200040 
  846.8    38.64      41.23        86.0      11.2                 1350000200041 
 1037.9     3.18       3.83        20.6       2.6                 1350000200042 
 1037.9     3.83       4.71        55.5       3.6                 1350000200043 
 1037.9     4.71       5.65        85.7       5.1                 1350000200044 
 1037.9     5.65       6.56       112.3       8.5                 1350000200045 
 1037.9     6.56       7.49        99.8       6.9                 1350000200046 
 1037.9     7.49       8.26       104.6       8.0                 1350000200047 
 1037.9     8.26       9.02        95.3       7.6                 1350000200048 
 1037.9     9.02       9.90       100.5       8.0                 1350000200049 
 1037.9     9.90      10.56        98.6       8.3                 1350000200050 
 1037.9    10.56      11.28       112.7       9.7                 1350000200051 
 1037.9    11.28      12.09       102.4       7.2                 1350000200052 
 1037.9    12.09      12.98       102.3       6.6                 1350000200053 
 1037.9    12.98      13.97        65.8       4.3                 1350000200054 
 1037.9    13.97      15.09        47.1       3.8                 1350000200055 
 1037.9    15.09      16.69        26.6       2.4                 1350000200056 
 1037.9    16.69      18.55        17.3       2.5                 1350000200057 
 1037.9    18.55      20.76        16.3       3.0                 1350000200058 
 1037.9    20.76      22.82         5.6       2.9                 1350000200059 
 1037.9    22.82      25.20         5.7       2.6                 1350000200060 
 1037.9    25.20      27.99         5.6       2.7                 1350000200061 
 1037.9    27.99      30.40         5.2       2.7                 1350000200062 
 1238.3     2.12       2.36        13.1       1.5                 1350000200063 
 1238.3     2.36       3.07        73.0       4.8                 1350000200064 
 1238.3     3.07       3.83       162.3      11.7                 1350000200065 
