ENTRY            14379   20140212                             13981437900000001 
SUBENT        14379001   20140212                             13981437900100001 
BIB                 11         52                                 1437900100002 
TITLE      Measurement of prompt neutron spectra from the         1437900100003 
           239Pu(n,f) fission reaction for incident neutron       1437900100004 
           energies from 1 to 200 MeV                             1437900100005 
AUTHOR     (A.Chatillon,G.Belier,T.Granier,B.Laurent,B.Morillon,  1437900100006 
           J.Taieb,R.C.Haight,M.Devlin,R.O.Nelson,S.Noda,         1437900100007 
           J.M.O'Donnell)                                         1437900100008 
INSTITUTE  (2FR BRC,1USALAS)                                      1437900100009 
REFERENCE  (J,PR/C,89,014611,2014)                                1437900100010 
FACILITY   (LINAC,1USALAS) Experiment performed at WNR facility   1437900100011 
           at the Los Alamos National Laboratory.                 1437900100012 
SAMPLE     The target used was a multilayer fission chamber       1437900100013 
           containing a total amount of 100 mg of 239Pu           1437900100014 
           distributed over 20 layers. Each layer consisted of    1437900100015 
           239Pu material deposited on a thin metal backing.      1437900100016 
DETECTOR   (FISCH) Multilayer fission chamber containing          1437900100017 
           multilayered target was used to detect fission         1437900100018 
           fragments                                              1437900100019 
           (SCIN) The neutron detector array FIGARO was used to   1437900100020 
           measure the prompt fission neutrons in coincidence     1437900100021 
           with the fission chamber signals. FIGARO consists of   1437900100022 
           20 EJ301 organic liquid scintillators (NE213           1437900100023 
           equivalent) surrounding the fission chamber at a       1437900100024 
           distance of about 1 m and on several different         1437900100025 
           detection angles (from 45deg to 135deg with respect    1437900100026 
           to the beam direction). The electronic threshold was   1437900100027 
           set to 300-keV neutron energy for all detectors.       1437900100028 
METHOD     (TOF,COINC) The experiment was based on the double     1437900100029 
           time-of-flight method. For each triggered event, two   1437900100030 
           times of flight were measured in coincidence. The first1437900100031 
           measurement was dedicated to the time of flight        1437900100032 
           of the incoming neutron from the spallation target to  1437900100033 
           the fission chamber and from this value, the energy    1437900100034 
           of the incident neutron was calculated. The second     1437900100035 
           measurement, coupled to the neutron-gamma ray          1437900100036 
           discrimination, allowed to obtain the time of flight   1437900100037 
           of the prompt fission neutron from the target to the   1437900100038 
           scintillator. The resolution of this measurement was   1437900100039 
           3.5 ns full width at half maximum.                     1437900100040 
           (PSD) Pulse shape analysis based on the charge         1437900100041 
           integration of the short- and long-time components of  1437900100042 
           the pulses was used to discriminate the gamma rays.    1437900100043 
INC-SOURCE (SPALL) Neutrons were produced by spallation           1437900100044 
           reactions induced by an 800-MeV pulsed proton beam     1437900100045 
           impinging on a tungsten target. The experiment was     1437900100046 
           installed on the 30deg right flight path and located   1437900100047 
           22.7 m away from the spallation target. The            1437900100048 
           wrap-around effect was reduced by inserting 2.54 cm    1437900100049 
           polyethylene into the beam line to remove the slowest  1437900100050 
           neutrons. An additional 1.27 cm of lead attenuated     1437900100051 
           gamma rays from the source.                            1437900100052 
ERR-ANALYS (ERR-S) Statistical uncertainty                        1437900100053 
HISTORY    (20140212C) Compiled by S.H.                           1437900100054 
ENDBIB              52          0                                 1437900100055 
NOCOMMON             0          0                                 1437900100056 
ENDSUBENT           55          0                                 1437900199999 
SUBENT        14379002   20140212                             13981437900200001 
BIB                  2          4                                 1437900200002 
REACTION   (94-PU-239(N,F),PR,NU/DE)                              1437900200003 
STATUS     (TABLE) Data presented in fig.6 of the reference       1437900200004 
             sent by author (A.Ch.). Data for incident neutron    1437900200005 
             energies above 60 MeV are not shown in fig.6         1437900200006 
ENDBIB               4          0                                 1437900200007 
NOCOMMON             0          0                                 1437900200008 
DATA                 5        756                                 1437900200009 
EN-MIN     EN-MAX     E          DATA       ERR-S                 1437900200010 
MEV        MEV        MEV        PT/FIS/MEV PT/FIS/MEV            1437900200011 
       1.00       2.00     0.3000   0.248576   0.024649           1437900200012 
       1.00       2.00     0.5000   0.319326   0.016559           1437900200013 
       1.00       2.00     0.7000   0.309482   0.011481           1437900200014 
       1.00       2.00     0.9000   0.338880   0.010718           1437900200015 
       1.00       2.00     1.1000   0.314532   0.010287           1437900200016 
       1.00       2.00     1.3000   0.299562   0.009911           1437900200017 
       1.00       2.00     1.5000   0.302919   0.009930           1437900200018 
       1.00       2.00     1.7000   0.275393   0.009352           1437900200019 
       1.00       2.00     1.9000   0.252244   0.008766           1437900200020 
       1.00       2.00     2.1000   0.232335   0.008852           1437900200021 
       1.00       2.00     2.3000   0.218868   0.008380           1437900200022 
       1.00       2.00     2.5000   0.199972   0.008249           1437900200023 
       1.00       2.00     2.7000   0.195363   0.008044           1437900200024 
       1.00       2.00     2.9000   0.158599   0.007333           1437900200025 
       1.00       2.00     3.1250   0.149581   0.006333           1437900200026 
       1.00       2.00     3.3750   0.119419   0.005618           1437900200027 
       1.00       2.00     3.6250   0.109178   0.005439           1437900200028 
       1.00       2.00     3.8750   0.086276   0.004880           1437900200029 
       1.00       2.00     4.2000   0.071081   0.003690           1437900200030 
       1.00       2.00     4.6000   0.053493   0.003072           1437900200031 
       1.00       2.00     5.0000   0.036598   0.002491           1437900200032 
       1.00       2.00     5.4000   0.035060   0.002332           1437900200033 
       1.00       2.00     5.8000   0.024524   0.001904           1437900200034 
       1.00       2.00     6.2500   0.016295   0.001546           1437900200035 
       1.00       2.00     6.7500   0.013736   0.001196           1437900200036 
       1.00       2.00     7.2500   0.008310   0.000986           1437900200037 
       1.00       2.00     7.7500   0.004396   0.000668           1437900200038 
       1.00       2.00     8.2500   0.003284   0.000613           1437900200039 
       2.00       3.00     0.3000   0.266888   0.030414           1437900200040 
       2.00       3.00     0.5000   0.330027   0.019428           1437900200041 
       2.00       3.00     0.7000   0.347807   0.013463           1437900200042 
       2.00       3.00     0.9000   0.329098   0.011956           1437900200043 
       2.00       3.00     1.1000   0.315567   0.011557           1437900200044 
       2.00       3.00     1.3000   0.296901   0.011001           1437900200045 
       2.00       3.00     1.5000   0.291814   0.010895           1437900200046 
       2.00       3.00     1.7000   0.258619   0.010187           1437900200047 
       2.00       3.00     1.9000   0.249134   0.009734           1437900200048 
       2.00       3.00     2.1000   0.228839   0.009551           1437900200049 
       2.00       3.00     2.3000   0.210067   0.009062           1437900200050 
       2.00       3.00     2.5000   0.210385   0.009332           1437900200051 
       2.00       3.00     2.7000   0.195373   0.008670           1437900200052 
       2.00       3.00     2.9000   0.153035   0.007869           1437900200053 
       2.00       3.00     3.1250   0.146938   0.006916           1437900200054 
       2.00       3.00     3.3750   0.124288   0.006380           1437900200055 
       2.00       3.00     3.6250   0.111838   0.005982           1437900200056 
       2.00       3.00     3.8750   0.096971   0.005771           1437900200057 
       2.00       3.00     4.2000   0.075091   0.004139           1437900200058 
       2.00       3.00     4.6000   0.054330   0.003510           1437900200059 
       2.00       3.00     5.0000   0.042337   0.003060           1437900200060 
       2.00       3.00     5.4000   0.031724   0.002561           1437900200061 
       2.00       3.00     5.8000   0.025656   0.002123           1437900200062 
       2.00       3.00     6.2500   0.019088   0.001904           1437900200063 
       2.00       3.00     6.7500   0.012964   0.001417           1437900200064 
       2.00       3.00     7.2500   0.007813   0.001080           1437900200065 
       2.00       3.00     7.7500   0.005831   0.000833           1437900200066 
       2.00       3.00     8.2500   0.004059   0.000773           1437900200067 
       3.00       4.00     0.3000   0.305502   0.036142           1437900200068 
       3.00       4.00     0.5000   0.283498   0.022377           1437900200069 
       3.00       4.00     0.7000   0.368713   0.015723           1437900200070 
       3.00       4.00     0.9000   0.306161   0.013781           1437900200071 
       3.00       4.00     1.1000   0.319132   0.013140           1437900200072 
       3.00       4.00     1.3000   0.298600   0.012722           1437900200073 
       3.00       4.00     1.5000   0.281972   0.012363           1437900200074 
       3.00       4.00     1.7000   0.275661   0.012083           1437900200075 
       3.00       4.00     1.9000   0.258639   0.011493           1437900200076 
       3.00       4.00     2.1000   0.250556   0.011245           1437900200077 
       3.00       4.00     2.3000   0.211236   0.010588           1437900200078 
       3.00       4.00     2.5000   0.215752   0.010873           1437900200079 
       3.00       4.00     2.7000   0.191053   0.010240           1437900200080 
       3.00       4.00     2.9000   0.155300   0.009182           1437900200081 
       3.00       4.00     3.1250   0.139663   0.007555           1437900200082 
       3.00       4.00     3.3750   0.129406   0.007525           1437900200083 
       3.00       4.00     3.6250   0.103685   0.006917           1437900200084 
       3.00       4.00     3.8750   0.093933   0.006465           1437900200085 
       3.00       4.00     4.2000   0.066209   0.004467           1437900200086 
       3.00       4.00     4.6000   0.051238   0.003707           1437900200087 
       3.00       4.00     5.0000   0.039741   0.003365           1437900200088 
       3.00       4.00     5.4000   0.031186   0.003027           1437900200089 
       3.00       4.00     5.8000   0.023541   0.002537           1437900200090 
       3.00       4.00     6.2500   0.019944   0.002082           1437900200091 
       3.00       4.00     6.7500   0.011843   0.001465           1437900200092 
       3.00       4.00     7.2500   0.009265   0.001290           1437900200093 
       3.00       4.00     7.7500   0.005800   0.000876           1437900200094 
       3.00       4.00     8.2500   0.004072   0.000816           1437900200095 
       4.00       5.00     0.3000   0.216498   0.038369           1437900200096 
