ENTRY            11224   19860121                             00001122400000001 
SUBENT        11224001   19860121                             00001122400100001 
BIB                 11         14                                 1122400100002 
INSTITUTE  (1USAANL)                                              1122400100003 
REFERENCE  (J,PR,107,1077,57)                                     1122400100004 
AUTHOR     (A.LANGSDORF JR,R.O.LANE,J.E.MONAHAN)                  1122400100005 
TITLE      ANGULAR DISTRIBUTIONS OF SCATTERED NEUTRONS.           1122400100006 
FACILITY   (VDG)                                                  1122400100007 
INC-SOURCE (P-LI7)                                                1122400100008 
DETECTOR   (MTANK) MODERATING TANK DETECTOR                       1122400100009 
MONITOR    (6-C-0(N,EL)6-C-0,,SIG)                                1122400100010 
CORRECTION CORRECTED FOR MULTIPLE SCATTERING AND ANGULAR          1122400100011 
            RESOLUTION.                                           1122400100012 
STATUS     (SCSRS)                                                1122400100013 
HISTORY    (760929T) TRANSLATED FROM SCISRS                       1122400100014 
           (800820A) CONVERTED TO REACTION FORMALISM              1122400100015 
           (860121A) BIB CORRECTIONS.                             1122400100016 
ENDBIB              14          0                                 1122400100017 
NOCOMMON             0          0                                 1122400100018 
ENDSUBENT           17          0                                 1122400199999 
SUBENT        11224002   19860917                             00001122400200001 
BIB                  3          3                                 1122400200002 
REACTION   (4-BE-9(N,EL)4-BE-9,,SIG)                              1122400200003 
STATUS     (DEP,11224003) INTEGRATED ANGULAR DISTRIBUTION.        1122400200004 
HISTORY    (860917A) REACTION UPDATED.                            1122400200005 
ENDBIB               3          0                                 1122400200006 
NOCOMMON             0          0                                 1122400200007 
DATA                 3         20                                 1122400200008 
EN         DATA       DATA-ERR                                    1122400200009 
MEV        B          PER-CENT                                    1122400200010 
 3.0    -02 5.90   +00   10.                                      1122400200011 
 6.0    -02 5.77   +00   10.                                      1122400200012 
 1.35   -01 5.23   +00   10.                                      1122400200013 
 2.30   -01 4.53   +00   10.                                      1122400200014 
 3.15   -01 4.10   +00   10.                                      1122400200015 
 3.30   -01 4.03   +00   10.                                      1122400200016 
 3.97   -01 3.85   +00   10.                                      1122400200017 
 4.77   -01 3.52   +00   10.                                      1122400200018 
 5.60   -01 3.49   +00   10.                                      1122400200019 
 6.40   -01 4.55   +00   10.                                      1122400200020 
 7.25   -01 3.52   +00   10.                                      1122400200021 
 8.05   -01 3.63   +00   10.                                      1122400200022 
 8.85   -01 3.53   +00   10.                                      1122400200023 
 9.70   -01 3.36   +00   10.                                      1122400200024 
 1.045  +00 3.20   +00   10.                                      1122400200025 
 1.130  +00 3.01   +00   10.                                      1122400200026 
 1.210  +00 2.81   +00   10.                                      1122400200027 
 1.290  +00 2.63   +00   10.                                      1122400200028 
 1.365  +00 2.45   +00   10.                                      1122400200029 
 1.450  +00 2.25   +00   10.                                      1122400200030 
ENDDATA             22          0                                 1122400200031 
ENDSUBENT           30          0                                 1122400299999 
SUBENT        11224003   19860917                             00001122400300001 
BIB                  2          2                                 1122400300002 
REACTION   (4-BE-9(N,EL)4-BE-9,,DA)                               1122400300003 
HISTORY    (860917A) REACTION UPDATED.                            1122400300004 
ENDBIB               2          0                                 1122400300005 
NOCOMMON             0          0                                 1122400300006 
DATA                 5        100                                 1122400300007 
EN         EN-RSL     COS-CM     ANG-RSL    DATA                  1122400300008 
MEV        MEV        NO-DIM     ADEG       MB/SR                 1122400300009 
 7.25   -01           -0.4827        3.      2.32   +02           1122400300063 
 7.25   -01           -0.8456        3.      2.85   +02           1122400300064 
 8.05   -01            0.86700       5.      3.90   +02           1122400300065 
 8.05   -01            0.49690       5.      3.34   +02           1122400300066 
 8.05   -01           -0.1283        5.      2.56   +02           1122400300067 
 8.05   -01           -0.4827        3.      2.32   +02           1122400300068 
 8.05   -01           -0.8456        3.      2.38   +02           1122400300069 
 8.85   -01            0.86700       5.      3.98   +02           1122400300070 
 8.85   -01            0.49690       5.      3.39   +02           1122400300071 
 8.85   -01           -0.1283        5.      2.51   +02           1122400300072 
 8.85   -01           -0.4827        3.      2.15   +02           1122400300073 
 8.85   -01           -0.8456        3.      2.01   +02           1122400300074 
 9.70   -01            0.86700       5.      3.90   +02           1122400300075 
 9.70   -01            0.49690       5.      3.32   +02           1122400300076 
 9.70   -01           -0.1283        5.      2.40   +02           1122400300077 
 9.70   -01           -0.4827        3.      1.98   +02           1122400300078 
 9.70   -01           -0.8456        3.      1.72   +02           1122400300079 
 1.045  +00            0.86700       5.      3.87   +02           1122400300080 
 1.045  +00            0.49690       5.      3.21   +02           1122400300081 
 1.045  +00           -0.1283        5.      2.21   +02           1122400300082 
 1.045  +00           -0.4827        3.      1.80   +02           1122400300083 
 1.045  +00           -0.8456        3.      1.62   +02           1122400300084 
 1.130  +00            0.86700       5.      3.78   +02           1122400300085 
 1.130  +00            0.49690       5.      3.07   +02           1122400300086 
 1.130  +00           -0.1283        5.      2.02   +02           1122400300087 
 1.130  +00           -0.4827        3.      1.61   +02           1122400300088 
 1.130  +00           -0.8456        3.      1.49   +02           1122400300089 
 1.210  +00            0.86700       5.      3.62   +02           1122400300090 
 1.210  +00            0.49690       5.      2.91   +02           1122400300091 
 1.210  +00           -0.1283        5.      1.85   +02           1122400300092 
 1.210  +00           -0.4827        3.      1.46   +02           1122400300093 
 1.210  +00           -0.8456        3.      1.35   +02           1122400300094 
 1.290  +00            0.86700       5.      3.45   +02           1122400300095 
 1.290  +00            0.49690       5.      2.75   +02           1122400300096 
 1.290  +00           -0.1283        5.      1.72   +02           1122400300097 
 1.290  +00           -0.4827        3.      1.33   +02           1122400300098 
 1.290  +00           -0.8456        3.      1.22   +02           1122400300099 
 1.365  +00            0.86700       5.      3.25   +02           1122400300100 
 1.365  +00            0.49690       5.      2.59   +02           1122400300101 
 1.365  +00           -0.1283        5.      1.61   +02           1122400300102 
 1.365  +00           -0.4827        3.      1.22   +02           1122400300103 
 1.365  +00           -0.8456        3.      1.09   +02           1122400300104 
 1.450  +00 6.0    -02 0.86700       5.      3.00   +02           1122400300105 
 1.450  +00 6.0    -02 0.49690       5.      2.39   +02           1122400300106 
 1.450  +00 6.0    -02-0.1283        5.      1.47   +02           1122400300107 
 1.450  +00 6.0    -02-0.4827        3.      1.11   +02           1122400300108 
 1.450  +00 6.0    -02-0.8456        3.      9.8    +01           1122400300109 
ENDDATA            102          0                                 1122400300110 
ENDSUBENT          109          0                                 1122400399999 
SUBENT        11224004   19860121                             00001122400400001 
BIB                  2          2                                 1122400400002 
REACTION   (5-B-0(N,SCT)5-B-0,,SIG)                               1122400400003 
STATUS     (DEP,11224005) INTEGRATED ANGULAR DISTRIBUTION.        1122400400004 
