ENTRY            10283   20071108                             Y0011028300000001 
SUBENT        10283001   20071108                             Y0011028300100001 
BIB                 13         23                                 1028300100002 
INSTITUTE  (1USAORL)                                              1028300100003 
REFERENCE  (R,ORNL-4805,197402)                                   1028300100004 
AUTHOR     (F.G.Perey,W.E.Kinney)                                 1028300100005 
TITLE      Nitrogen neutron elastic and inelastic scattering cross1028300100006 
            sections from 4.34 to 8.56 MeV                        1028300100007 
FACILITY   (VDG,1USAORL) ORNL Van de Graaff, pulsed at 2 mHz and  1028300100008 
            bunched.                                              1028300100009 
INC-SOURCE (D-D) D(d,n) reaction using gas cells 1 and 2 cm       1028300100010 
            in length.                                            1028300100011 
INC-SPECT  Neutron energy resolution (total energy spread)        1028300100012 
            between 60 and 70 keV.                                1028300100013 
SAMPLE     Ammonium azide (NH4N3),in cylindrical can 1.94 cm      1028300100014 
            diameter,2.67 cm high placed 10-30 cm from gas cell.  1028300100015 
METHOD     (TOF). Flight paths of 4-6 meters.                     1028300100016 
DETECTOR   (SCIN) 12.5 cm diameter NE 213 liquid scintillator     1028300100017 
            viewed by XP-1040 photomultipliers.  MONITOR    (1-H-11028300100018 
CORRECTION  Corrected for multiple scattering and other finite    1028300100019 
            sample size effects.                                  1028300100020 
STATUS     (APRVD) Approved by author.                            1028300100021 
HISTORY    (19720712R)                                            1028300100022 
           (19830124A) Converted to REACTION formalism            1028300100023 
           (20011227A) Updated to new date formats, lower case.   1028300100024 
           (20071108A) ERR-ANALYS corrections                     1028300100025 
ENDBIB              23          0                                 1028300100026 
NOCOMMON             0          0                                 1028300100027 
ENDSUBENT           26          0                                 1028300199999 
SUBENT        10283002   20071108                             Y0011028300200001 
BIB                  2          7                                 1028300200002 
REACTION   (7-N-14(N,EL)7-N-14,,DA)                               1028300200003 
ERR-ANALYS (DATA-ERR) Includes uncertainties in:                  1028300200004 
            . geometric parameters,                               1028300200005 
            . finite size corrections,                            1028300200006 
            . statistics,                                         1028300200007 
            . residual background effects due to peak stripping   1028300200008 
              procedures.                                         1028300200009 
ENDBIB               7          0                                 1028300200010 
NOCOMMON             0          0                                 1028300200011 
DATA                 6        136                                 1028300200012 
EN         EN-RSL     ANG-CM     DATA-CM    +DATA-ERR  -DATA-ERR  1028300200013 
MEV        MEV        ADEG       MB/SR      PER-CENT   PER-CENT   1028300200014 
 4.34       0.07        18.74        525.27     9.4       10.1    1028300200015 
 4.34       0.07        18.74        363.25    11.6       11.3    1028300200016 
 4.34       0.07        26.74        357.39     5.4        5.7    1028300200017 
 4.34       0.07        26.74        400.49    12.0       12.3    1028300200018 
 4.34       0.07        26.74        320.21     9.5       10.7    1028300200019 
 4.34       0.07        34.71        258.57     6.4        8.1    1028300200020 
 4.34       0.07        34.71        299.69    13.7       13.7    1028300200021 
 4.34       0.07        42.64        200.24     6.1        6.7    1028300200022 
 4.34       0.07        50.53        120.50     8.0        6.9    1028300200023 
 4.34       0.07        58.36         83.35     6.9        6.1    1028300200024 
 4.34       0.07        66.14         48.42    11.1        8.4    1028300200025 
 4.34       0.07        73.86         36.41     9.9        9.8    1028300200026 
 4.34       0.07        81.51         31.73     9.7       10.7    1028300200027 
 4.34       0.07        89.09         34.24    10.9       10.0    1028300200028 
 4.34       0.07        99.09         35.46     9.0       10.7    1028300200029 
 4.34       0.07       106.51         46.81    12.6        6.7    1028300200030 
 4.34       0.07       113.86         53.37     7.7        7.1    1028300200031 
 4.34       0.07       125.00         71.29     6.3        6.7    1028300200032 
 4.34       0.07       132.19         82.70     6.8        5.7    1028300200033 
 4.34       0.07       139.33         93.73     5.6        5.6    1028300200034 
 4.92       0.06        26.74         87.94    14.5       15.4    1028300200035 
 4.92       0.06        26.74         89.55    11.8       12.8    1028300200036 
 4.92       0.06        32.05         85.50    30.9       24.3    1028300200037 
 4.92       0.06        34.70         76.67    14.4       15.8    1028300200038 
 4.92       0.06        34.71         72.21    12.8       11.9    1028300200039 
 4.92       0.06        42.63         54.69    13.7       14.1    1028300200040 
 4.92       0.06        42.64         44.44    12.6       17.5    1028300200041 
 4.92       0.06        50.53         40.44     8.4        8.2    1028300200042 
 4.92       0.06        58.36         37.62     7.1        7.8    1028300200043 
 4.92       0.06        66.14         33.49     8.5        8.9    1028300200044 
 4.92       0.06        73.86         41.88    10.4        8.4    1028300200045 
 4.92       0.06        81.51         46.40     8.1        8.2    1028300200046 
 4.92       0.06        89.09         51.82     6.2        9.2    1028300200047 
 4.92       0.06        99.09         50.76     8.4        6.6    1028300200048 
