ENTRY            11292   19810428                             00001129200000001 
SUBENT        11292001   19810428                             00001129200100001 
BIB                  6          7                                 1129200100002 
INSTITUTE  (1USAORL)                                              1129200100003 
REFERENCE  (P,ORNL-1365,1,5301)                                   1129200100004 
AUTHOR     (C.H.JOHNSON,H.B.WILLARD,J.K.BAIR,J.D.KINGTON)         1129200100005 
TITLE      TOTAL NEUTRON CROSS SECTIONS OF N14, GE, SE, CD AND HG.1129200100006 
STATUS     (SCSRS)                                                1129200100007 
HISTORY    (761001T) TRANSLATED FROM SCISRS                       1129200100008 
           (810428A) CONVERTED TO REACTION FORMALISM              1129200100009 
ENDBIB               7          0                                 1129200100010 
COMMON               2          3                                 1129200100011 
EN-ERR     EN-RSL                                                 1129200100012 
KEV        KEV                                                    1129200100013 
 50.        35.                                                   1129200100014 
ENDCOMMON            3          0                                 1129200100015 
ENDSUBENT           14          0                                 1129200199999 
SUBENT        11292002   19810428                             00001129200200001 
BIB                  1          1                                 1129200200002 
REACTION   (7-N-14(N,TOT),,SIG)                                   1129200200003 
ENDBIB               1          0                                 1129200200004 
NOCOMMON             0          0                                 1129200200005 
DATA                 3        196                                 1129200200006 
EN         DATA       DATA-ERR                                    1129200200007 
MEV        B          PER-CENT                                    1129200200008 
 2.635  +00 1.47   +00    3.0                                     1129200200100 
 2.638  +00 1.57   +00    3.0                                     1129200200101 
 2.660  +00 1.50   +00    3.0                                     1129200200102 
 2.660  +00 1.57   +00    3.0                                     1129200200103 
 2.685  +00 1.56   +00    3.0                                     1129200200104 
 2.685  +00 1.62   +00    3.0                                     1129200200105 
 2.725  +00 1.44   +00    3.0                                     1129200200106 
 2.740  +00 1.53   +00    3.0                                     1129200200107 
 2.740  +00 1.48   +00    3.0                                     1129200200108 
 2.760  +00 1.38   +00    4.0                                     1129200200109 
 2.760  +00 1.27   +00    4.0                                     1129200200110 
 2.790  +00 1.34   +00    4.0                                     1129200200111 
 2.800  +00 1.51   +00    3.0                                     1129200200112 
 2.825  +00 1.56   +00    3.0                                     1129200200113 
 2.825  +00 1.52   +00    3.0                                     1129200200114 
 2.825  +00 1.45   +00    3.0                                     1129200200115 
 2.825  +00 1.42   +00    4.0                                     1129200200116 
 2.840  +00 1.61   +00    3.0                                     1129200200117 
 2.840  +00 1.49   +00    3.0                                     1129200200118 
 2.840  +00 1.46   +00    3.0                                     1129200200119 
 2.845  +00 1.50   +00    3.0                                     1129200200120 
 2.845  +00 1.45   +00    3.0                                     1129200200121 
 2.845  +00 1.39   +00    4.0                                     1129200200122 
 2.910  +00 1.64   +00    3.0                                     1129200200123 
 2.910  +00 1.71   +00    3.0                                     1129200200124 
 2.910  +00 1.56   +00    3.0                                     1129200200125 
 2.935  +00 1.72   +00    3.0                                     1129200200126 
 2.940  +00 2.00   +00    3.0                                     1129200200127 
 2.955  +00 1.78   +00    3.0                                     1129200200128 
 2.955  +00 1.86   +00    3.0                                     1129200200129 
 2.980  +00 1.73   +00    3.0                                     1129200200130 
 2.980  +00 1.85   +00    3.0                                     1129200200131 
 2.980  +00 1.71   +00    3.0                                     1129200200132 
 3.000  +00 1.71   +00    3.0                                     1129200200133 
 3.005  +00 1.82   +00    3.0                                     1129200200134 
 3.020  +00 1.62   +00    3.0                                     1129200200135 
 3.020  +00 1.79   +00    3.0                                     1129200200136 
 3.020  +00 1.59   +00    3.0                                     1129200200137 
 3.020  +00 1.70   +00    3.0                                     1129200200138 
 3.040  +00 1.62   +00    3.0                                     1129200200139 
 3.040  +00 1.71   +00    3.0                                     1129200200140 
 3.040  +00 1.55   +00    3.0                                     1129200200141 
 3.065  +00 1.62   +00    3.0                                     1129200200142 
 3.065  +00 1.77   +00    3.0                                     1129200200143 
 3.065  +00 1.60   +00    3.0                                     1129200200144 
 3.090  +00 1.69   +00    3.0                                     1129200200145 
 3.090  +00 1.73   +00    3.0                                     1129200200146 
 3.110  +00 1.66   +00    3.0                                     1129200200147 
 3.110  +00 1.69   +00    3.0                                     1129200200148 
 3.110  +00 1.59   +00    3.0                                     1129200200149 
 3.135  +00 1.68   +00    3.0                                     1129200200150 
 3.135  +00 1.64   +00    3.0                                     1129200200151 
 3.150  +00 1.77   +00    3.0                                     1129200200152 
 3.155  +00 1.53   +00    3.0                                     1129200200153 
 3.180  +00 1.89   +00    3.0                                     1129200200154 
 3.180  +00 1.86   +00    3.0                                     1129200200155 
 3.200  +00 1.99   +00    3.0                                     1129200200156 
 3.200  +00 1.87   +00    3.0                                     1129200200157 
 3.225  +00 1.91   +00    3.0                                     1129200200158 
 3.225  +00 1.93   +00    3.0                                     1129200200159 
 3.225  +00 1.75   +00    3.0                                     1129200200160 
 3.225  +00 1.81   +00    3.0                                     1129200200161 
 3.235  +00 1.79   +00    3.0                                     1129200200162 
 3.235  +00 1.68   +00    3.0                                     1129200200163 
 3.235  +00 1.65   +00    3.0                                     1129200200164 
 3.265  +00 1.55   +00    3.0                                     1129200200165 
 3.265  +00 1.64   +00    3.0                                     1129200200166 
 3.265  +00 1.52   +00    3.0                                     1129200200167 
 3.290  +00 1.52   +00    3.0                                     1129200200168 
 3.290  +00 1.48   +00    3.0                                     1129200200169 
 3.290  +00 1.59   +00    3.0                                     1129200200170 
 3.310  +00 1.55   +00    3.0                                     1129200200171 
 3.330  +00 1.60   +00    3.0                                     1129200200172 
 3.350  +00 1.68   +00    3.0                                     1129200200173 
 3.370  +00 1.64   +00    3.0                                     1129200200174 
 3.390  +00 1.64   +00    3.0                                     1129200200175 
 3.420  +00 1.63   +00    3.0                                     1129200200176 
 3.440  +00 1.65   +00    3.0                                     1129200200177 
 3.460  +00 1.68   +00    3.0                                     1129200200178 
 3.480  +00 1.80   +00    3.0                                     1129200200179 
 3.500  +00 1.76   +00    3.0                                     1129200200180 
 3.510  +00 1.86   +00    3.0                                     1129200200181 
 3.530  +00 1.90   +00    3.0                                     1129200200182 
 3.540  +00 1.75   +00    3.0                                     1129200200183 
 3.550  +00 1.85   +00    3.0                                     1129200200184 
 3.560  +00 1.90   +00    3.0                                     1129200200185 
 3.570  +00 1.90   +00    3.0                                     1129200200186 
 3.580  +00 1.95   +00    3.0                                     1129200200187 
 3.600  +00 1.85   +00    3.0                                     1129200200188 
 3.620  +00 1.75   +00    3.0                                     1129200200189 
 3.640  +00 1.66   +00    3.0                                     1129200200190 
 3.660  +00 1.57   +00    3.0                                     1129200200191 
 3.680  +00 1.72   +00    3.0                                     1129200200192 
 3.720  +00 1.70   +00    3.0                                     1129200200193 
 3.740  +00 1.75   +00    3.0                                     1129200200194 
 3.760  +00 1.73   +00    3.0                                     1129200200195 
 3.780  +00 1.78   +00    3.0                                     1129200200196 
 3.820  +00 1.70   +00    3.0                                     1129200200197 
 3.840  +00 1.80   +00    3.0                                     1129200200198 
 3.860  +00 1.55   +00    3.0                                     1129200200199 
 3.880  +00 1.84   +00    3.0                                     1129200200200 
 3.900  +00 1.74   +00    3.0                                     1129200200201 
 3.920  +00 1.79   +00    3.0                                     1129200200202 
 3.940  +00 1.84   +00    3.0                                     1129200200203 
 3.980  +00 1.87   +00    3.0                                     1129200200204 
ENDDATA            198          0                                 1129200200205 
ENDSUBENT          204          0                                 1129200299999 
SUBENT        11292003   19810428                             00001129200300001 
BIB                  1          1                                 1129200300002 
REACTION   (32-GE-0(N,TOT),,SIG)                                  1129200300003 
ENDBIB               1          0                                 1129200300004 
NOCOMMON             0          0                                 1129200300005 
DATA                 2         32                                 1129200300006 
EN         DATA                                                   1129200300007 
MEV        B                                                      1129200300008 
 4.40   -01 5.25   +00                                            1129200300009 
 5.20   -01 5.65   +00                                            1129200300010 
 5.90   -01 5.75   +00                                            1129200300011 
 6.70   -01 5.20   +00                                            1129200300012 
 7.60   -01 4.85   +00                                            1129200300013 
 8.50   -01 5.05   +00                                            1129200300014 
 9.30   -01 4.65   +00                                            1129200300015 
 1.01   +00 4.35   +00                                            1129200300016 
 1.10   +00 4.05   +00                                            1129200300017 
 1.19   +00 3.55   +00                                            1129200300018 
 1.285  +00 4.05   +00                                            1129200300019 
 1.37   +00 3.75   +00                                            1129200300020 
 1.47   +00 3.55   +00                                            1129200300021 
 1.565  +00 3.57   +00                                            1129200300022 
 1.655  +00 3.35   +00                                            1129200300023 
 1.750  +00 3.45   +00                                            1129200300024 
 1.850  +00 3.30   +00                                            1129200300025 
 1.950  +00 3.33   +00                                            1129200300026 
 2.04   +00 3.39   +00                                            1129200300027 
 2.145  +00 3.18   +00                                            1129200300028 
 2.25   +00 3.55   +00                                            1129200300029 
 2.35   +00 3.20   +00                                            1129200300030 
 2.45   +00 3.33   +00                                            1129200300031 
 2.55   +00 3.40   +00                                            1129200300032 
 2.65   +00 3.40   +00                                            1129200300033 
 2.77   +00 3.32   +00                                            1129200300034 
 2.87   +00 3.40   +00                                            1129200300035 
 2.97   +00 3.45   +00                                            1129200300036 
 3.09   +00 3.55   +00                                            1129200300037 
 3.19   +00 3.45   +00                                            1129200300038 
 3.31   +00 3.57   +00                                            1129200300039 
 3.42   +00 3.37   +00                                            1129200300040 
ENDDATA             34          0                                 1129200300041 
ENDSUBENT           40          0                                 1129200399999 
SUBENT        11292004   19810428                             00001129200400001 
BIB                  1          1                                 1129200400002 
REACTION   (34-SE-0(N,TOT),,SIG)                                  1129200400003 
ENDBIB               1          0                                 1129200400004 
NOCOMMON             0          0                                 1129200400005 
DATA                 2         41                                 1129200400006 
EN         DATA                                                   1129200400007 
MEV        B                                                      1129200400008 
 3.35   -01 7.45   +00                                            1129200400009 
 4.30   -01 7.40   +00                                            1129200400010 
 5.10   -01 6.50   +00                                            1129200400011 
 5.90   -01 6.25   +00                                            1129200400012 
 6.70   -01 5.78   +00                                            1129200400013 
 7.60   -01 5.65   +00                                            1129200400014 
 8.50   -01 5.80   +00                                            1129200400015 
 1.02   +00 5.55   +00                                            1129200400016 
 1.11   +00 5.45   +00                                            1129200400017 
 1.19   +00 4.65   +00                                            1129200400018 
 1.19   +00 5.15   +00                                            1129200400019 
 1.28   +00 5.05   +00                                            1129200400020 
 1.38   +00 4.45   +00                                            1129200400021 
 1.38   +00 4.10   +00                                            1129200400022 
 1.47   +00 4.55   +00                                            1129200400023 
 1.47   +00 4.15   +00                                            1129200400024 
 1.57   +00 3.83   +00                                            1129200400025 
 1.57   +00 4.30   +00                                            1129200400026 
 1.65   +00 4.35   +00                                            1129200400027 
 1.65   +00 4.10   +00                                            1129200400028 
 1.75   +00 4.30   +00                                            1129200400029 
 1.85   +00 3.57   +00                                            1129200400030 
 1.86   +00 4.60   +00                                            1129200400031 
 1.95   +00 4.25   +00                                            1129200400032 
 2.04   +00 3.90   +00                                            1129200400033 
 2.15   +00 4.55   +00                                            1129200400034 
 2.15   +00 4.05   +00                                            1129200400035 
 2.25   +00 3.75   +00                                            1129200400036 
 2.25   +00 3.50   +00                                            1129200400037 
 2.35   +00 3.95   +00                                            1129200400038 
 2.45   +00 3.65   +00                                            1129200400039 
 2.55   +00 3.95   +00                                            1129200400040 
