ENTRY            10174   20101018                             13671017400000001 
SUBENT        10174001   20101018                             13671017400100001 
BIB                 12         20                                 1017400100002 
INSTITUTE  (1USAKTY)                                              1017400100003 
REFERENCE  (J,PR/C,5,1508,197205)                                 1017400100004 
AUTHOR     (W.Galati,J.D.Brandberger,J.L.Weil)                    1017400100005 
TITLE      Scattering of Neutrons by Carbon from 3 to 7 MeV.      1017400100006 
FACILITY   (VDG,1USAKTY) Van-de-Graaff.                           1017400100007 
INC-SOURCE (P-T) T(p,n) source for neutrons from 3.0-5.5 MeV.     1017400100008 
           (D-D) D(d,n) source for neutrons from 5.5-7.0 MeV.     1017400100009 
METHOD     (TOF) Time-of-flight.                                  1017400100010 
DETECTOR   (SCIN)  Organic liquid scintillator.                   1017400100011 
MONITOR    (1-H-1(N,TOT),,SIG)                                    1017400100012 
ERR-ANALYS (ANG-ERR) Estimated uncertainty in scattering angle.   1017400100013 
STATUS     (TABLE) Tabulated data received, W.Galati, May 1971.   1017400100014 
HISTORY    (19710715C)                                            1017400100015 
           (19730509A) ANG-ERR changed to ANG-RSL                 1017400100016 
           (19750702U) Reference changed                          1017400100017 
           (19760205U) Reference corrected                        1017400100018 
           (19820915A) Converted to REACTION formalism            1017400100019 
           (20001214A) Converted to new date formats, lower case. 1017400100020 
           (20101018A) VM. BIB updates. Angle error heading       1017400100021 
                       corrected. Subentry 002 updated.           1017400100022 
ENDBIB              20          0                                 1017400100023 
COMMON               3          3                                 1017400100024 
EN-RSL     ANG-ERR    MONIT-ERR                                   1017400100025 
MEV        ADEG       PER-CENT                                    1017400100026 
0.01       0.5          1.                                        1017400100027 
ENDCOMMON            3          0                                 1017400100028 
ENDSUBENT           27          0                                 1017400199999 
SUBENT        10174002   20101018                             13671017400200001 
BIB                  3          8                                 1017400200002 
REACTION   (6-C-0(N,EL)6-C-0,,DA)                                 1017400200003 
ERR-ANALYS (ERR-SYS) Systematic uncertainty..                     1017400200004 
           (ERR-T)   Absolute error. RMS standard deviation.      1017400200005 
            See reference text for a complete discussion of       1017400200006 
            uncertainties.                                        1017400200007 
HISTORY    (19750407A) Reaction corrected. Subentries 2-33        1017400200008 
                       combined.                                  1017400200009 
           (20001214A) Reaction SF4 added.                        1017400200010 
ENDBIB               8          0                                 1017400200011 
NOCOMMON             0          0                                 1017400200012 
DATA                 6        476                                 1017400200013 
EN         EN-RSL     ANG-CM     DATA-CM    ERR-SYS    ERR-T      1017400200014 
MEV        MEV        ADEG       MB/SR      PER-CENT   MB/SR      1017400200015 
 3.030      0.080      16.3      203.2       5.         13.0      1017400200016 
 3.030      0.080      21.6      209.0       5.         13.4      1017400200017 
 3.030      0.080      27.0      183.5       5.         11.7      1017400200018 
 3.030      0.080      32.4      169.6       5.         10.9      1017400200019 
 3.030      0.080      43.1      144.1       5.          9.3      1017400200020 
 3.030      0.080      53.7      113.0       5.          7.2      1017400200021 
 3.030      0.080      64.2       95.0       5.          6.1      1017400200022 
 3.030      0.080      74.5       75.1       5.          4.8      1017400200023 
 3.030      0.080      84.7       68.3       5.          4.4      1017400200024 
 3.030      0.080      94.8       70.9       5.          4.5      1017400200025 
 3.030      0.080     104.7       79.6       5.          5.1      1017400200026 
 3.030      0.080     114.5       99.2       5.          6.3      1017400200027 
 3.030      0.080     124.2      119.5       5.          7.7      1017400200028 
 3.030      0.080     133.7      139.1       5.          9.0      1017400200029 
 3.030      0.080     143.1      157.7       5.         10.2      1017400200030 
 3.030      0.080     152.4      165.1       5.         10.6      1017400200031 
 3.030      0.080     157.0      162.6       5.         10.5      1017400200032 
 3.250      0.080      16.3      349.8       5.         22.2      1017400200033 
 3.250      0.080      21.6      345.3       5.         21.0      1017400200034 
 3.250      0.080      32.4      307.6       5.         18.4      1017400200035 
 3.250      0.080      43.1      257.2       5.         15.8      1017400200036 
 3.250      0.080      53.7      183.5       5.         11.2      1017400200037 
 3.250      0.080      64.2      103.2       5.          6.3      1017400200038 
 3.250      0.080      74.5       48.7       5.          3.0      1017400200039 
 3.250      0.080      84.7       13.1       5.          1.2      1017400200040 
 3.250      0.080      94.8       11.3       5.          1.3      1017400200041 
 3.250      0.080     104.7       51.4       5.          3.4      1017400200042 
 3.250      0.080     114.5      104.4       5.          6.4      1017400200043 
 3.250      0.080     124.2      176.1       5.         10.9      1017400200044 
 3.250      0.080     133.7      246.7       5.         14.8      1017400200045 
 3.250      0.080     143.1      322.9       5.         19.5      1017400200046 
 3.250      0.080     152.4      368.7       5.         22.4      1017400200047 
 3.250      0.080     157.0      402.0       5.         24.3      1017400200048 
 3.460      0.080      16.3      605.5       5.         38.9      1017400200049 
 3.460      0.080      21.6      542.8       5.         34.7      1017400200050 
 3.460      0.080      32.4      438.3       5.         26.6      1017400200051 
 3.460      0.080      43.1      327.0       5.         19.9      1017400200052 
 3.460      0.080      53.7      220.0       5.         13.3      1017400200053 
