ENTRY            10595   20201130                             147510595  0    1 
SUBENT        10595001   20201130                             147510595  1    1 
BIB                 11         30                                 10595  1    2 
TITLE      The U235 neutron fission cross section measurement at  10595  1    3 
            the NBS linac                                         10595  1    4 
AUTHOR     (O.A.Wasson)                                           10595  1    5 
INSTITUTE  (1USANBS)                                              10595  1    6 
REFERENCE  (C,76ANL,,183,1976)                                    10595  1    7 
           (J,NSE,81,196,1982) Revised data in table              10595  1    8 
REL-REF    (O,10950001,O.A.Wasson+,J,NSE,81,196,1982)             10595  1    9 
            235U(n,f) cross sections from the same fission chamber10595  1   10 
FACILITY   (LINAC,1USANBS) NBS linear accelerator                 10595  1   11 
SAMPLE     10 surfaces each coated with ~0.1 mg/cm2 of 235U       10595  1   12 
            placed at 69 m along the flight path                  10595  1   13 
DETECTOR   (FISCH) 10-plate fission chamber with Cd shield        10595  1   14 
CORRECTION Corrections made for                                   10595  1   15 
            - background (measured by resonance filter technique),10595  1   16 
            - dead time,                                          10595  1   17 
            - neutron scattering in fission chamber,              10595  1   18 
            - detector efficiencies,                              10595  1   19 
            - neutron transmission between fission chamber and    10595  1   20 
               flux monitor,                                      10595  1   21 
            - spectrum loss in proportional counter,              10595  1   22 
            - timing shift in proportional counter.               10595  1   23 
STATUS     (TABLE) Revised data received in private communication,10595  1   24 
            O.Wasson, 1981/12.                                    10595  1   25 
           (APRVD) Approved by O.A.Wasson 1982/4/22.              10595  1   26 
HISTORY    (19760413C)                                            10595  1   27 
           (19820112A) BIB corrections and additions.             10595  1   28 
           (19830922A) BIB corrections.                           10595  1   29 
           (20040723A) Converted to new data formats, lower case. 10595  1   30 
           (20170510A) On. Major revisions in 002+003. 005 added. 10595  1   31 
           (20201130A) On. Important alteration in 003.           10595  1   32 
ENDBIB              30          0                                 10595  1   33 
NOCOMMON             0          0                                 10595  1   34 
ENDSUBENT           33          0                                 10595  199999 
SUBENT        10595002   20170510                             143210595  2    1 
BIB                  8         20                                 10595  2    2 
REACTION   (92-U-235(N,F),,SIG,,AV)                               10595  2    3 
METHOD     (TOF) 200 m flight path                                10595  2    4 
DETECTOR   (PROPC) Hydrogen proportional counter flux monitor     10595  2    5 
MONITOR    ((MONIT)92-U-235(N,F),,SIG)                            10595  2    6 
            Normalized to 2.55+/-0.05 b at 10-20 keV,             10595  2    7 
            which is from 243.7+/-1.0 b*eV at 7.8-11.0 eV,        10595  2    8 
            which is from thermal cross section of 583.54 b       10595  2    9 
           (1-H-1(N,EL)1-H-1,,SIG)                                10595  2   10 
            Shape normalization from ENDF/B-V                     10595  2   11 
MONIT-REF  (,W.P.Poenitz,R,ANL-NDM-45,1979) 235U(n,f)             10595  2   12 
           (,J.C.Hopkins+,J,ND/A,9,137,1971) n-p data in ENDF/B-V 10595  2   13 
ERR-ANALYS (ERR-T) Total uncertainty                              10595  2   14 
           (ERR-S) Statistical uncertainty                        10595  2   15 
           (ERR-1) Shape systematic uncertainty                   10595  2   16 
           (ERR-2) Normalization uncertainty                      10595  2   17 
STATUS     (TABLE) Received from O.Wasson, 1981/12                10595  2   18 
           (COREL,10595003) 6 eV to 30 keV with 6Li glass detector10595  2   19 
           (COREL,10595005) Broader group structure               10595  2   20 
HISTORY    (19820112A) Data replaced                              10595  2   21 
           (20170510A) On.MONIT-ERR moved to text(a part of ERR-2)10595  2   22 
ENDBIB              20          0                                 10595  2   23 
COMMON               4          3                                 10595  2   24 
EN-NRM-MIN EN-NRM-MAX MONIT      ERR-2                            10595  2   25 
KEV        KEV        B          PER-CENT                         10595  2   26 
 10.       20.         2.55       2.4                             10595  2   27 
ENDCOMMON            3          0                                 10595  2   28 
DATA                 6         77                                 10595  2   29 
EN-MIN     EN-MAX     DATA       ERR-T      ERR-S      ERR-1      10595  2   30 
 140.0      145.0      1.404      3.4        1.8        1.6       10595  2   88 
 145.0      150.0      1.445      3.3        1.8        1.4       10595  2   89 
 150.0      160.0      1.443      4.2        1.2        3.3       10595  2   90 
 160.0      170.0      1.398      4.2        1.2        3.3       10595  2   91 
 170.0      180.0      1.393      3.5        1.2        2.2       10595  2   92 
 180.0      190.0      1.412      3.0        1.2        1.4       10595  2   93 
 190.0      200.0      1.348      3.2        1.2        1.7       10595  2   94 
 200.0      220.0      1.357      2.9        0.9        1.3       10595  2   95 
 220.0      240.0      1.302      2.9        0.9        1.3       10595  2   96 
 240.0      260.0      1.256      2.9        0.9        1.3       10595  2   97 
 260.0      280.0      1.204      2.9        0.9        1.3       10595  2   98 
 280.0      300.0      1.174      2.9        0.9        1.3       10595  2   99 
 300.0      340.0      1.196      2.8        0.7        1.3       10595  2  100 
 340.0      380.0      1.203      2.8        0.7        1.3       10595  2  101 
 380.0      400.0      1.196      2.9        0.7        1.4       10595  2  102 
 400.0      450.0      1.169      3.0        0.6        1.7       10595  2  103 
 450.0      500.0      1.164      3.3        0.7        2.1       10595  2  104 
 500.0      550.0      1.129      3.2        0.6        2.0       10595  2  105 
 550.0      600.0      1.130      3.1        0.6        1.9       10595  2  106 
 600.0      700.0      1.122      3.1        0.5        1.9       10595  2  107 
 700.0      800.0      1.108      3.1        0.5        2.0       10595  2  108 
ENDDATA             79          0                                 10595  2  109 
ENDSUBENT          108          0                                 10595  299999 
SUBENT        10595003   20201130                             147510595  3    1 
BIB                  8         25                                 10595  3    2 
REACTION   (92-U-235(N,F),,SIG,,AV)                               10595  3    3 
METHOD     (TOF) 23 m flight path                                 10595  3    4 
DETECTOR   (GLASD) 6Li glass scintillator flux monitor            10595  3    5 
MONITOR    ((MONIT)92-U-235(N,F),,INT)                            10595  3    6 
            Absolute normalization                                10595  3    7 
           (3-LI-6(N,T)2-HE-4,,SIG)                               10595  3    8 
            Shape normalization from ENDF/B-V                     10595  3    9 
MONIT-REF  (,W.P.Poenitz,R,ANL-NDM-45,1979) 235U(n,f)             10595  3   10 
           (,L.Stewart+,R,LA-7663-MS,1979) 6Li(n,t) in ENDF/B-V   10595  3   11 
ERR-ANALYS (ERR-T) Total uncertainty                              10595  3   12 
           (ERR-S) Statistical uncertainty                        10595  3   13 
           (ERR-2) Backgrounds in detector and fission chamber    10595  3   14 
           (ERR-3) Neutron scattering and transmission in         10595  3   15 
                   6Li glass detector                             10595  3   16 
           (ERR-4) 6Li(n,a) cross section uncertainty             10595  3   17 
           (MONIT-ERR) Normalization of 235U in 7.8-11 eV interval10595  3   18 
STATUS     (TABLE) Received from O.Wasson, 1981/12 (=Table A.II of10595  3   19 
            Nucl.Sci.Eng.81(1982)196 with detailed uncertainties) 10595  3   20 
           (COREL,10595002) 5 to 800 keV by hydrogen prop. counter10595  3   21 
HISTORY    (19820112A) 003 and 004 combined. New data coded.      10595  3   22 
           (19820426A) BIB corrections.                           10595  3   23 
           (19830330U) Data sorted.                               10595  3   24 
           (19860825A) Data units corrected.                      10595  3   25 
           (20170510A) On. ERR-1 deleted (equivalent to MONIT-ERR)10595  3   26 
           (20201130A) On. MONIT-ERR=1.0 b*eV -> 0.4%             10595  3   27 
ENDBIB              25          0                                 10595  3   28 
COMMON               4          3                                 10595  3   29 
EN-NRM-MIN EN-NRM-MAX MONIT      MONIT-ERR                        10595  3   30 
EV         EV         B*EV       PER-CENT                         10595  3   31 
 7.8        11.0       243.7      0.4                             10595  3   32 
ENDCOMMON            3          0                                 10595  3   33 
DATA                 8         13                                 10595  3   34 
EN-MIN     EN-MAX     DATA       ERR-T      ERR-S      ERR-2      10595  3   35 
ERR-3      ERR-4                                                  10595  3   36 
