ENTRY            10111   20000202                             00001011100000001 
SUBENT        10111001   20000202                             00001011100100001 
BIB                 13         31                                 1011100100002 
INSTITUTE  (1USAORL)                                              1011100100003 
REFERENCE  (R,ORNL-4515,197006)                                   1011100100004 
AUTHOR     (W.E.KINNEY,F.G.PEREY)                                 1011100100005 
TITLE      Neutron elastic- and inelastic-scattering cross        1011100100006 
           sections for 56Fe in the energy range 4.19 to 8.56 MeV 1011100100007 
FACILITY   (VDG,1USAORL) ORNL Van de Graaff, pulsed at 2 mhz and  1011100100008 
            bunched.                                              1011100100009 
INC-SOURCE (D-D) D(d,n) reaction using gas cells ranging in length1011100100010 
            from 0.7 to 4.0 cm. Neutron energy resolution between 1011100100011 
            60 to 340 keV.                                        1011100100012 
SAMPLE     Solid right circular cylinder 2.54 cm diameter,        1011100100013 
            2 cm high placed 10 to 30 cm from gas cell.           1011100100014 
METHOD     (TOF) Time-of-flight. 2.5 nanosec resolution (FWHM).   1011100100015 
DETECTOR   (SCIN)  12.5 cm diameter NE213 liquid scintillator     1011100100016 
            viewed by XP-1040 photomultipliers.  Flight paths of  1011100100017 
            4 to 6 meters employed.                               1011100100018 
MONITOR    (1-H-1(N,EL)1-H-1,,DA) Detector efficiency determined  1011100100019 
            relative to n-p cross section.                        1011100100020 
CORRECTION  Corrected for multiple scattering and other finite    1011100100021 
            sample size effects.                                  1011100100022 
STATUS     (APRVD) Approved by authors.                           1011100100023 
           Data rec'd in private comm., Kinney, September 1971.   1011100100024 
HISTORY    (19711009R)  Received on tape in CSISRS format         1011100100025 
           (19750421A) ISO-QUANT corrected on subentries 141-145, 1011100100026 
            147-151.                                              1011100100027 
           (19800807A) Converted to REACTION formalism. BIB       1011100100028 
            correction.                                           1011100100029 
           (19840418A) BIB corrections.                           1011100100030 
           (19860407A) Data heading, BIB corrections.             1011100100031 
           (20000202A) Converted to new date format, lower case.  1011100100032 
                       BIB corrections.                           1011100100033 
ENDBIB              31          0                                 1011100100034 
NOCOMMON             0          0                                 1011100100035 
ENDSUBENT           34          0                                 1011100199999 
SUBENT        10111002   20000202                             00001011100200001 
BIB                  3         13                                 1011100200002 
REACTION   (26-FE-0(N,INL)26-FE-56,PAR,DA)                        1011100200003 
ERR-ANALYS (DATA-ERR) Includes uncertainties in:                  1011100200004 
            . geometric parameters,                               1011100200005 
            . finite size corrections,                            1011100200006 
            . statistics,                                         1011100200007 
            . residual background effects due to peak stripping   1011100200008 
              procedures.                                         1011100200009 
            Does not include absolute error of + or - 7%,         1011100200010 
             estimated error in the absolute value of the         1011100200011 
             detector efficiency.                                 1011100200012 
HISTORY    (19800807A) SUBENTRIES 2,6,13,20,29,38,46,55,57,67,76, 1011100200013 
            86,96,107,117,127, AND 131 COMBINED.                  1011100200014 
           (19840418A) DATA SORTED.                               1011100200015 
ENDBIB              13          0                                 1011100200016 
COMMON               1          3                                 1011100200017 
E-LVL                                                             1011100200018 
MEV                                                               1011100200019 
  0.846                                                           1011100200020 
ENDCOMMON            3          0                                 1011100200021 
DATA                 6        169                                 1011100200022 
EN         EN-RSL-HW  ANG-CM     DATA       +DATA-ERR  -DATA-ERR  1011100200023 
MEV        MEV        ADEG       MB/SR      PER-CENT   PER-CENT   1011100200024 
  4.19     0.08         91.16         21.34     7.4        6.6    1011100200025 
  4.46     0.07         91.15         19.09     7.5        7.9    1011100200026 
  4.60     0.05         30.57         20.80    35.3       11.9    1011100200027 
  4.60     0.05         43.78         25.60     8.9        8.3    1011100200028 
  4.60     0.05         55.94         18.00     9.4        8.4    1011100200029 
  4.60     0.05         69.06         20.50    13.9        9.4    1011100200030 
  4.60     0.05         81.12         18.40     8.6        7.6    1011100200031 
  4.60     0.05         94.14         18.70    13.5        8.0    1011100200032 
  4.60     0.05         94.14         17.30    14.2        9.1    1011100200033 
  4.60     0.05        106.10         18.90    15.7        7.6    1011100200034 
  4.60     0.05        119.01         16.60    10.8        9.0    1011100200035 
  4.60     0.05        119.01         17.10    10.1        7.4    1011100200036 
  4.60     0.05        119.01         16.70    12.8       12.7    1011100200037 
  4.60     0.05        132.85         19.20    10.4        6.9    1011100200038 
  5.00     0.04         25.48         16.25    17.6       37.2    1011100200039 
  5.00     0.04         35.65         19.46    18.1       11.5    1011100200040 
  5.00     0.04         40.73         14.54    44.3       10.9    1011100200041 
  5.00     0.04         47.82         14.04    21.2       19.3    1011100200042 
  5.00     0.04         47.83         12.86    33.3       12.2    1011100200043 
  5.00     0.05         55.93         18.62    11.7        5.6    1011100200044 
  5.00     0.04         55.93         17.20    13.1        7.7    1011100200045 
  5.00     0.04         55.93         15.60    16.7        6.8    1011100200046 
  5.00     0.04         60.98         12.36    19.1       11.4    1011100200047 
  5.00     0.04         66.03         13.14    13.5       14.2    1011100200048 
  5.00     0.04         74.08          9.18    17.3       12.3    1011100200049 
  5.00     0.04         81.11         12.57     7.1        8.7    1011100200050 
  5.00     0.05         91.13         12.51    11.5        7.0    1011100200051 
  5.00     0.05         91.13         14.69     8.5        6.9    1011100200052 
  5.00     0.04         91.13          9.08    15.3       11.3    1011100200053 
  5.00     0.04        101.11         11.77    14.7        9.2    1011100200054 
  5.00     0.04        111.06         13.61    10.0        7.3    1011100200055 
  5.00     0.04        116.03         15.23     9.3       14.5    1011100200056 
  5.00     0.04        130.87         16.66    11.6       11.2    1011100200057 
  5.00     0.04        140.73         13.29    16.3       14.1    1011100200058 
  5.04     0.04         30.57         22.93    31.7        8.3    1011100200059 
  5.04     0.04         43.77         20.69    16.0        7.8    1011100200060 
  5.04     0.04         55.93         18.93    14.9        9.5    1011100200061 
  5.04     0.04         55.93         18.50    10.1        8.4    1011100200062 
  5.04     0.04         55.93         21.42    14.3        7.1    1011100200063 
  5.04     0.04         69.05         15.22    11.1        8.2    1011100200064 
  5.04     0.04         81.11         12.87    11.7       10.9    1011100200065 
  5.04     0.04         94.13         14.18    13.3        9.3    1011100200066 
  5.04     0.04        106.09         14.08    13.3        9.1    1011100200067 
  5.04     0.04        118.01         18.30    11.7        7.6    1011100200068 
  5.04     0.04        130.87         17.41    11.4        7.2    1011100200069 
  5.18     0.05         91.13         12.14     9.3        7.1    1011100200070 
  5.44     0.17         32.60         31.68    46.0       10.5    1011100200071 
  5.44     0.17         38.18         33.80    21.7       21.4    1011100200072 
