ENTRY            10582   20040723                             00001058200000001 
SUBENT        10582001   20040723                             00001058200100001 
BIB                 12         18                                 1058200100002 
INSTITUTE  (1USAORL)                                              1058200100003 
REFERENCE  (R,ORNL-TM-4544,197405)                                1058200100004 
           (J,NSE,62,515,197703) Review                           1058200100005 
AUTHOR     (J.K.Dickens,T.A.Love,G.L.Morgan)                      1058200100006 
TITLE      Gamma-Ray Production due to Neutron Interactions with  1058200100007 
            Magnesium for Incident Neutron Energies between 0.8   1058200100008 
            and 20 MeV: Tabulated Differential Cross Sections     1058200100009 
FACILITY   (LINAC,1USAORL) Oak Ridge Electron Linear Accelerator  1058200100010 
INC-SOURCE (PHOTO) Photneutrons from water-cooled Ta target.      1058200100011 
SAMPLE     30-cm by 30-cm by 2.5-cm thick, total thickness is     1058200100012 
            0.11 atoms/barn                                       1058200100013 
METHOD     Sample placed at 45 degree angle to beam. Linac pulse  1058200100014 
            width is 5 nano-sec.                                  1058200100015 
DETECTOR   (NAICR) Sodium-iodide spectrometer, 12.7-cm by 12.7-cm 1058200100016 
MONITOR    No information                                         1058200100017 
STATUS     (APRVD) Approved by G.L.Morgan, 1978/12/15.            1058200100018 
HISTORY    (19781023C)                                            1058200100019 
           (20040723A) Converted to new data formts, lower case.  1058200100020 
ENDBIB              18          0                                 1058200100021 
NOCOMMON             0          0                                 1058200100022 
ENDSUBENT           21          0                                 1058200199999 
SUBENT        10582002   20040723                             00001058200200001 
BIB                  4         14                                 1058200200002 
REACTION   (12-MG-0(N,X)0-G-0,,DA/DE)                             1058200200003 
ANALYSIS   Data are middle values of confidence interval. Each    1058200200004 
            set of data for neutron energy grouped into pulse     1058200200005 
            height bins corresponding to detector responce matrix 1058200200006 
            and unfolded using ferd.                              1058200200007 
ERR-ANALYS (DATA-ERR) Includes uncertainties in:                  1058200200008 
            . neutron flux measurements,                          1058200200009 
            . effective area of beam,                             1058200200010 
            . absolute efficiency of detector.                    1058200200011 
           Absolute normalization error (not included in quoted   1058200200012 
            value) approx 10%.                                    1058200200013 
           Relative error between adjacent neutron energy groups  1058200200014 
            for same gamma energy <5%.                            1058200200015 
HISTORY    (19841205A) REACTION corrected.                        1058200200016 
ENDBIB              14          0                                 1058200200017 
COMMON               1          3                                 1058200200018 
ANG                                                               1058200200019 
ADEG                                                              1058200200020 
 90.                                                              1058200200021 
ENDCOMMON            3          0                                 1058200200022 
DATA                 5       2595                                 1058200200023 
EN-MIN     EN-MAX     E          DATA       DATA-ERR              1058200200024 
  1.00       1.25      2.150 E+00 3.99  E-05 4.30  E-05           1058200200056 
  1.00       1.25      2.240 E+00 7.93  E-05 2.64  E-05           1058200200057 
  1.00       1.25      2.360 E+00 3.63  E-06 1.86  E-05           1058200200058 
  1.00       1.25      2.480 E+00-7.42  E-06 1.73  E-05           1058200200059 
  1.00       1.25      2.570 E+00 1.31  E-05 2.63  E-05           1058200200060 
  1.00       1.25      2.660 E+00 1.90  E-05 1.98  E-05           1058200200061 
  1.00       1.25      2.780 E+00-1.01  E-05 1.77  E-05           1058200200062 
  1.00       1.25      2.870 E+00-3.81  E-07 2.55  E-05           1058200200063 
  1.00       1.25      2.960 E+00 1.48  E-05 2.05  E-05           1058200200064 
  1.00       1.25      3.082 E+00 1.13  E-06 2.02  E-05           1058200200065 
  1.00       1.25      3.180 E+00 2.89  E-06 2.81  E-05           1058200200066 
  1.00       1.25      3.260 E+00 8.62  E-06 2.43  E-05           1058200200067 
  1.00       1.25      3.340 E+00 1.46  E-05 2.78  E-05           1058200200068 
  1.00       1.25      3.460 E+00 2.21  E-05 1.96  E-05           1058200200069 
  1.00       1.25      3.580 E+00 3.71  E-05 2.79  E-05           1058200200070 
  1.00       1.25      3.660 E+00 2.83  E-05 2.85  E-05           1058200200071 
  1.00       1.25      3.780 E+00 1.62  E-06 1.79  E-05           1058200200072 
  1.00       1.25      3.900 E+00-9.17  E-07 2.56  E-05           1058200200073 
  1.00       1.25      3.980 E+00 5.89  E-06 2.77  E-05           1058200200074 
  1.00       1.25      4.060 E+00 7.56  E-06 2.43  E-05           1058200200075 
  1.00       1.25      4.180 E+00 1.17  E-05 1.60  E-05           1058200200076 
  1.00       1.25      4.300 E+00 9.24  E-06 2.27  E-05           1058200200077 
  1.00       1.25      4.380 E+00 7.74  E-06 2.42  E-05           1058200200078 
  1.00       1.25      4.460 E+00 8.34  E-06 2.47  E-05           1058200200079 
  1.00       1.25      4.587 E+00 1.18  E-05 1.48  E-05           1058200200080 
  1.00       1.25      4.730 E+00 1.45  E-05 2.10  E-05           1058200200081 
  1.00       1.25      4.830 E+00 1.74  E-05 2.29  E-05           1058200200082 
  1.00       1.25      4.930 E+00 1.51  E-05 2.28  E-05           1058200200083 
  1.00       1.25      5.030 E+00 1.80  E-06 1.95  E-05           1058200200084 
  1.00       1.25      5.130 E+00-2.08  E-06 1.75  E-05           1058200200085 
  1.00       1.25      5.230 E+00 1.45  E-06 1.77  E-05           1058200200086 
