ENTRY            10661   20080824                             13501066100000001 
SUBENT        10661001   20080824                             13501066100100001 
BIB                 14         25                                 1066100100002 
INSTITUTE  (1USAIRT)                                              1066100100003 
REFERENCE  (J,NSE,62,716,197704)                                  1066100100004 
AUTHOR     (V.C.Rogers,D.R.Dixon,C.G.Hoot,D.Costello,V.J.Orphan)  1066100100005 
TITLE      Gamma-Ray Production Cross Sections for Copper from    1066100100006 
           0.67 to 19.6 MeV.                                      1066100100007 
FACILITY   (LINAC,1USAIRT) Pulsed linear accelerator source       1066100100008 
INC-SOURCE (PHOTO) Photoneutrons                                  1066100100009 
SAMPLE      99.9% pure copper sample.                             1066100100010 
METHOD     (TOF) Time-of-flight over 52.75 meter flight path      1066100100011 
DETECTOR   (GELI) Germanium-lithium detector                      1066100100012 
            Detector efficiency calibrated using calibrated       1066100100013 
            radioactive sources.                                  1066100100014 
MONITOR    Flux monitored by 3He and NE211 scintillator system.   1066100100015 
CORRECTION Corrected for background, attenuation, multiple        1066100100016 
            scattering, and dead time.                            1066100100017 
ERR-ANALYS (DATA-ERR) Overall uncertainty in measurements is due  1066100100018 
            to counting statistics, uncertainty in neutron flux,  1066100100019 
            Ge(Li) detector efficiency, flux ttenuation, multiple 1066100100020 
            scattering, and dead time losses.                     1066100100021 
           Errors that are larger than 12% are dominated by       1066100100022 
            uncertainties in peak area counting statistics and    1066100100023 
            background subtraction.                               1066100100024 
STATUS     (TABLE) Data taken from tables in reference.           1066100100025 
HISTORY    (19770426C)                                            1066100100026 
           (20080824A) Formats updated. BIB update.               1066100100027 
ENDBIB              25          0                                 1066100100028 
NOCOMMON             0          0                                 1066100100029 
ENDSUBENT           28          0                                 1066100199999 
SUBENT        10661002   19770513                             00001066100200001 
BIB                  1          1                                 1066100200002 
REACTION   (29-CU-0(N,X)0-G-0,PAR,DA,,4PI/AV)                     1066100200003 
ENDBIB               1          0                                 1066100200004 
COMMON               1          3                                 1066100200005 
ANG                                                               1066100200006 
ADEG                                                              1066100200007 
 125.                                                             1066100200008 
ENDCOMMON            3          0                                 1066100200009 
DATA                 5        710                                 1066100200010 
E          EN-MIN     EN-MAX     DATA       DATA-ERR              1066100200011 
KEV        MEV        MEV        MB         PER-CENT              1066100200012 
  365.       1.00       1.51       24.       30.                  1066100200013 
  365.       1.5        2.0        29.       20.                  1066100200014 
  365.       2.0        2.5        39.       20.                  1066100200015 
  365.       2.5        3.0        48.       20.                  1066100200016 
  365.       3.0        4.0        65.       15.                  1066100200017 
  365.       4.0        4.9        73.       15.                  1066100200018 
  365.       4.9        5.9        75.       15.                  1066100200019 
  365.       5.9        6.9        76.       15.                  1066100200020 
  365.       6.9        7.9        68.       15.                  1066100200021 
  365.       7.9        8.9        57.       20.                  1066100200022 
  365.       8.9        9.9        60.       20.                  1066100200023 
  365.       9.9       11.9        40.       20.                  1066100200024 
  365.      11.9       13.8        30.       20.                  1066100200025 
  365.      13.8       16.7        19.       30.                  1066100200026 
  365.      16.7       19.6        10.       60.                  1066100200027 
  414.       3.0        4.0        14.       60.                  1066100200028 
  414.       4.0        4.9        10.       60.                  1066100200029 
  414.       4.9        5.9        15.       60.                  1066100200030 
  414.       5.9        6.9        26.       20.                  1066100200031 
  414.       6.9        7.9        17.       30.                  1066100200032 
  414.       7.9        8.9        26.       20.                  1066100200033 
  414.       8.9        9.9        14.       60.                  1066100200034 
  414.       9.9       11.9        14.       60.                  1066100200035 
  414.      11.9       13.8         7.       60.                  1066100200036 
  414.      13.8       16.7         5.       80.                  1066100200037 
  414.      16.7       19.6        14.       60.                  1066100200038 
  436.       2.5        3.0         6.       60.                  1066100200039 
  436.       3.0        4.0        12.       60.                  1066100200040 
  436.       4.0        4.9        15.       30.                  1066100200041 
  436.       4.9        5.9         8.       60.                  1066100200042 
  436.       5.9        6.9        15.       30.                  1066100200043 
  436.       6.9        7.9        17.       30.                  1066100200044 
  436.       7.9        8.9        14.       60.                  1066100200045 
  436.       8.9        9.9        20.       30.                  1066100200046 
  436.       9.9       11.9        18.       30.                  1066100200047 
  436.      11.9       13.8         6.       60.                  1066100200048 
  436.      13.8       16.7         9.       60.                  1066100200049 
  436.      16.7       19.6        17.       30.                  1066100200050 
  456.       1.00       1.51       18.       30.                  1066100200051 
  456.       1.5        2.0        22.       30.                  1066100200052 
  456.       2.0        2.5        18.       30.                  1066100200053 
