ENTRY            10977   20030529                             00001097700000001 
SUBENT        10977001   20030529                             00001097700100001 
BIB                 13         37                                 1097700100002 
INSTITUTE  (1USAORL)                                              1097700100003 
REFERENCE  (R,ORNL-5499,197902)                                   1097700100004 
AUTHOR     (G.L.MORGAN)                                           1097700100005 
TITLE      Cross sections for the Cu(n,xn) and Cu(n,x-gamma)      1097700100006 
            reactions between 1 and 20 MeV                        1097700100007 
FACILITY   (LINAC,1USAORL) Oak Ridge Electron Linear Accelerator  1097700100008 
SAMPLE     1872-gms of natural copper, purity greater than 99%.   1097700100009 
            Shaped into annular ring of 25-cm outer diameter,     1097700100010 
            15-cm inner diameter, 0.65-cm thick.                  1097700100011 
METHOD     (TOF) Neutron flux measurements uses time of flight    1097700100012 
            with sample and shadow bar removed. Sample placed     1097700100013 
            47.8-meters from neutron source. Detector shielded    1097700100014 
            with shadow bar, pulse discrimination used to identify1097700100015 
            events as neutrons or gammas. Background determined   1097700100016 
            with sample-out measurement.                          1097700100017 
DETECTOR   (SCIN) NE-213 scintillator placed along samples axis.  1097700100018 
           Plastic scintillator place on edge of beam 30 meters   1097700100019 
            from source to monitor flux for normalization.        1097700100020 
MONITOR    Cross sections needed for corrections taken from       1097700100021 
            ENDF/B-IV.                                            1097700100022 
CORRECTION Corrections made for finite sample effects including:  1097700100023 
            .average transmission of neutron flux,                1097700100024 
            .average transmission of secondary neutrons and gammas1097700100025 
             out of sample,                                       1097700100026 
            .multiple scattering.                                 1097700100027 
ERR-ANALYS (DATA-ERR) Errors listed are mainly statistical        1097700100028 
            and include:                                          1097700100029 
            .statistics associated with background correction     1097700100030 
              (background ranged from 10-50% of foreground),      1097700100031 
            .multiple scattering correction (assumed 10% of       1097700100032 
             correction factor),                                  1097700100033 
            .normalization error about 10% (mainly due to flux    1097700100034 
             determination).                                      1097700100035 
STATUS     (APRVD) Approved by G.L.Morgan, 1982/1/4.              1097700100036 
HISTORY    (19810903C)                                            1097700100037 
           (20030529A) Reactions corrected. Converted to new date 1097700100038 
                       formats, lower case.                       1097700100039 
ENDBIB              37          0                                 1097700100040 
COMMON               1          3                                 1097700100041 
ANG                                                               1097700100042 
ADEG                                                              1097700100043 
 130.                                                             1097700100044 
ENDCOMMON            3          0                                 1097700100045 
ENDSUBENT           44          0                                 1097700199999 
SUBENT        10977002   20030529                             00001097700200001 
BIB                  1          1                                 1097700200002 
REACTION   (29-CU-0(N,X)0-NN-1,,DA/DE)                            1097700200003 
ENDBIB               1          0                                 1097700200004 
NOCOMMON             0          0                                 1097700200005 
DATA                 5        583                                 1097700200006 
EN-MIN     EN-MAX     E          DATA       DATA-ERR              1097700200007 
MEV        MEV        MEV        MB/SR/MEV  MB/SR/MEV             1097700200008 
  1.00       1.25       0.909     325.6      8.5                  1097700200009 
  1.00       1.25       1.013     487.6     11.3                  1097700200010 
  1.00       1.25       1.114     448.9      9.7                  1097700200011 
  1.00       1.25       1.212     298.9      6.4                  1097700200012 
  1.00       1.25       1.310     156.8      3.3                  1097700200013 
  1.00       1.25       1.413      66.1      1.4                  1097700200014 
  1.00       1.25       1.511      25.6      0.6                  1097700200015 
  1.00       1.25       1.611       8.7      0.1                  1097700200016 
  1.00       1.25       1.709       3.1      0.1                  1097700200017 
  1.25       1.49       0.909      16.1      1.3                  1097700200018 
  1.25       1.49       1.013      85.8      2.2                  1097700200019 
  1.25       1.49       1.114     236.3      4.8                  1097700200020 
  1.25       1.49       1.212     361.2      6.8                  1097700200021 
  1.25       1.49       1.310     371.3      6.7                  1097700200022 
  1.25       1.49       1.413     278.4      4.9                  1097700200023 
  1.25       1.49       1.511     168.7      2.9                  1097700200024 
  1.25       1.49       1.611      85.4      1.5                  1097700200025 
  1.25       1.49       1.709      38.9      0.7                  1097700200026 
  1.25       1.49       1.807      16.5      0.3                  1097700200027 
  1.25       1.49       1.938       4.9      0.1                  1097700200028 
  1.49       1.76       0.909      39.4      1.5                  1097700200029 
  1.49       1.76       1.013      25.3      1.2                  1097700200030 
  1.49       1.76       1.114      26.1      1.2                  1097700200031 
  1.49       1.76       1.212      68.5      1.9                  1097700200032 
  1.49       1.76       1.310     158.0      3.4                  1097700200033 
  1.49       1.76       1.413     250.2      4.9                  1097700200034 
  1.49       1.76       1.511     277.6      5.1                  1097700200035 
  1.49       1.76       1.611     237.9      4.2                  1097700200036 
  1.49       1.76       1.709     167.6      2.9                  1097700200037 
  1.49       1.76       1.807     101.1      1.7                  1097700200038 
  1.49       1.76       1.938      43.0      0.7                  1097700200039 
  1.49       1.76       2.112      11.3      0.2                  1097700200040 
  1.49       1.76       2.310       2.4      0.1                  1097700200041 
  1.76       2.00       0.909      73.4      2.5                  1097700200042 
  1.76       2.00       1.013      62.1      2.0                  1097700200043 
  1.76       2.00       1.114      47.8      1.6                  1097700200044 
  1.76       2.00       1.212      32.3      1.2                  1097700200045 
  1.76       2.00       1.310      25.8      1.1                  1097700200046 
  1.76       2.00       1.413      50.7      1.3                  1097700200047 
  1.76       2.00       1.511     113.0      2.2                  1097700200048 
  1.76       2.00       1.611     187.0      3.1                  1097700200049 
  1.76       2.00       1.709     226.6      3.6                  1097700200050 
  1.76       2.00       1.807     215.8      3.3                  1097700200051 
  1.76       2.00       1.938     151.0      2.3                  1097700200052 
