EN         EN-RSL-FW  DATA       ERR-T      MISC1      MISC2      1004700200009 
MEV        MEV        B          B          B          B          1004700200010 
  5.294       .147     1.7157      .0294      .0157     -.0042    1004701200150 
  5.335       .150     1.8083      .0311      .0158     -.0042    1004701200151 
  5.374       .152     1.8134      .0317      .0155     -.0045    1004701200152 
  5.416       .154     1.8428      .0319      .0154     -.0043    1004701200153 
  5.460       .156     1.8199      .0312      .0161     -.0041    1004701200154 
  5.503       .156     1.8071      .0316      .0158     -.0042    1004701200155 
  5.550       .156     1.8466      .0316      .0168     -.0034    1004701200156 
  5.594       .160     1.8696      .0313      .0168     -.0033    1004701200157 
  5.638       .160     1.8752      .0320      .0167     -.0029    1004701200158 
  5.685       .164     1.8206      .0314      .0172     -.0030    1004701200159 
  5.729       .163     1.8495      .0318      .0171     -.0031    1004701200160 
  5.775       .164     1.8434      .0321      .0166     -.0036    1004701200161 
  5.820       .170     1.8261      .0313      .0163     -.0042    1004701200162 
  5.867       .172     1.7991      .0326      .0166     -.0042    1004701200163 
  5.917       .175     1.7766      .0323      .0164     -.0038    1004701200164 
  5.969       .174     1.7628      .0314      .0169     -.0030    1004701200165 
  6.018       .176     1.7753      .0308      .0166     -.0032    1004701200166 
  6.066       .180     1.6884      .0310      .0168     -.0037    1004701200167 
  6.117       .182     1.6583      .0317      .0177     -.0037    1004701200168 
  6.166       .184     1.6471      .0332      .0179     -.0046    1004701200169 
  6.217       .186     1.6681      .0352      .0179     -.0052    1004701200170 
  6.272       .185     1.6874      .0367      .0179     -.0044    1004701200171 
  6.326       .188     1.6228      .0344      .0179     -.0040    1004701200172 
  6.378       .190     1.6015      .0327      .0168     -.0034    1004701200173 
  6.434       .192     1.5548      .0318      .0186     -.0035    1004701200174 
  6.486       .192     1.6061      .0328      .0165     -.0033    1004701200175 
  6.541       .200     1.5334      .0310      .0173     -.0041    1004701200176 
  6.594       .198     1.5692      .0321      .0151     -.0046    1004701200177 
  6.653       .202     1.4543      .0302      .0161     -.0045    1004701200178 
  6.713       .206     1.4971      .0308      .0163     -.0040    1004701200179 
  6.773       .209     1.4733      .0307      .0163     -.0042    1004701200180 
  6.835       .208     1.5186      .0310      .0167     -.0041    1004701200181 
  6.895       .210     1.5305      .0306      .0173     -.0041    1004701200182 
  6.956       .212     1.6427      .0316      .0165     -.0036    1004701200183 
  7.021       .218     1.6010      .0313      .0173     -.0035    1004701200184 
  7.085       .219     1.6655      .0323      .0183     -.0032    1004701200185 
  7.147       .221     1.7184      .0334      .0186     -.0033    1004701200186 
  7.210       .227     1.6708      .0335      .0189     -.0045    1004701200187 
  7.272       .229     1.6371      .0361      .0191     -.0052    1004701200188 
  7.341       .231     1.6816      .0392      .0203     -.0054    1004701200189 
  7.406       .234     1.6684      .0400      .0199     -.0061    1004701200190 
  7.472       .235     1.6870      .0407      .0202     -.0060    1004701200191 
  7.543       .240     1.6958      .0418      .0211     -.0062    1004701200192 
  7.610       .236     1.7948      .0465      .0197     -.0064    1004701200193 
  7.682       .245     1.7291      .0450      .0184     -.0069    1004701200194 
  7.757       .249     1.6093      .0427      .0217     -.0063    1004701200195 
  7.830       .250     1.6235      .0457      .0215     -.0063    1004701200196 
  7.907       .257     1.5842      .0428      .0202     -.0060    1004701200197 
  7.984       .258     1.5626      .0416      .0202     -.0061    1004701200198 
  8.062       .264     1.5818      .0412      .0205     -.0062    1004701200199 
  8.138       .268     1.5902      .0413      .0197     -.0057    1004701200200 
  8.220       .276     1.6625      .0380      .0186     -.0049    1004701200201 
  8.304       .277     1.6949      .0372      .0189     -.0047    1004701200202 
  8.389       .272     1.7097      .0376      .0186     -.0038    1004701200203 
  8.472       .278     1.6459      .0354      .0187     -.0038    1004701200204 
  8.555       .284     1.6422      .0341      .0179     -.0040    1004701200205 
  8.642       .289     1.5645      .0342      .0192     -.0045    1004701200206 
  8.730       .290     1.7041      .0349      .0182     -.0039    1004701200207 
  8.818       .293     1.6627      .0351      .0194     -.0044    1004701200208 
  8.909       .293     1.7142      .0363      .0189     -.0029    1004701200209 
  9.002       .304     1.6997      .0351      .0193     -.0036    1004701200210 
  9.092       .309     1.7343      .0354      .0189     -.0040    1004701200211 
  9.183       .309     1.7250      .0355      .0183     -.0040    1004701200212 
  9.283       .312     1.7618      .0351      .0179     -.0038    1004701200213 
  9.384       .321     1.7026      .0343      .0190     -.0031    1004701200214 
  9.480       .324     1.7429      .0351      .0185     -.0035    1004701200215 
  9.580       .331     1.6475      .0332      .0173     -.0037    1004701200216 
  9.679       .335     1.6448      .0325      .0174     -.0035    1004701200217 
  9.785       .340     1.6707      .0321      .0167     -.0036    1004701200218 
  9.893       .342     1.6878      .0305      .0166     -.0029    1004701200219 
  9.996       .353     1.6928      .0291      .0162     -.0030    1004701200220 
 10.103       .356     1.7378      .0290      .0154     -.0029    1004701200221 
 10.211       .358     1.7030      .0291      .0159     -.0025    1004701200222 
 10.324       .364     1.7382      .0288      .0160     -.0025    1004701200223 
 10.430       .367     1.7166      .0276      .0146     -.0028    1004701200224 
 10.552       .371     1.7805      .0270      .0143     -.0026    1004701200225 
 10.673       .384     1.7262      .0260      .0139     -.0027    1004701200226 
 10.795       .386     1.7226      .0252      .0134     -.0029    1004701200227 
 10.916       .391     1.7093      .0240      .0125     -.0028    1004701200228 
 11.042       .399     1.7037      .0235      .0125     -.0026    1004701200229 
 11.166       .403     1.7156      .0226      .0117     -.0025    1004701200230 
 11.298       .411     1.7375      .0211      .0109     -.0024    1004701200231 
 11.429       .418     1.7600      .0202      .0101     -.0020    1004701200232 
 11.564       .430     1.7179      .0189      .0102     -.0020    1004701200233 
 11.693       .432     1.7414      .0179      .0093     -.0017    1004701200234 
 11.831       .438     1.7688      .0169      .0089     -.0018    1004701200235 
 11.964       .444     1.7394      .0159      .0082     -.0017    1004701200236 
 12.110       .452     1.7429      .0150      .0078     -.0018    1004701200237 
 12.256       .458     1.7329      .0142      .0072     -.0020    1004701200238 
 12.410       .466     1.7402      .0139      .0069     -.0020    1004701200239 
 12.565       .475     1.7480      .0138      .0067     -.0022    1004701200240 
 12.716       .483     1.7466      .0139      .0067     -.0024    1004701200241 
 12.872       .489     1.7577      .0144      .0067     -.0026    1004701200242 
 13.032       .499     1.7592      .0151      .0068     -.0028    1004701200243 
 13.198       .508     1.7257      .0161      .0075     -.0029    1004701200244 
 13.360       .510     1.7434      .0172      .0085     -.0028    1004701200245 
 13.515       .520     1.7384      .0187      .0100     -.0030    1004701200246 
 13.669       .532     1.7713      .0205      .0111     -.0035    1004701200247 
 13.839       .546     1.7659      .0229      .0123     -.0043    1004701200248 
 14.016       .557     1.7422      .0252      .0132     -.0045    1004701200249 
 14.189       .573     1.7540      .0270      .0126     -.0043    1004701200250 
 14.381       .588     1.7277      .0257      .0119     -.0033    1004701200251 
 14.570       .589     1.7734      .0229      .0111     -.0023    1004701200252 
 14.756       .595     1.7960      .0211      .0110     -.0042    1004701200253 
 14.944       .600     1.8003      .0201      .0060     -.0041    1004701200254 
ENDDATA            246          0                                 1004701200255 
ENDSUBENT          254          0                                 1004701299999 
SUBENT        10047013   19990907                             00001004701300001 
BIB                  2          2                                 1004701300002 
REACTION   (11-NA-23(N,TOT),,SIG)                                 1004701300003 
STATUS     Data rec'd on tape, Foster, May 1967.                  1004701300004 
ENDBIB               2          0                                 1004701300005 
NOCOMMON             0          0                                 1004701300006 
DATA                 6        243                                 1004701300007 
EN         EN-RSL-FW  DATA       ERR-T      MISC1      MISC2      1004701300008 
MEV        MEV        B          B          B          B          1004701300009 
  2.257       .049     3.0739      .1981      .0600      .0071    1004701300010 
  2.269       .050     2.9547      .1841      .0689      .0052    1004701300011 
  2.280       .050     2.8004      .1540      .0574     -.0040    1004701300012 
  2.291       .050     2.7504      .1295      .0459      .0135    1004701300013 
  2.302       .050     2.8642      .1981      .1033     -.0033    1004701300014 
  2.313       .051     2.8278      .1931      .0392      .0053    1004701300015 
  2.325       .051     2.7190      .1206      .0513      .0041    1004701300016 
  2.336       .051     2.5683      .1222      .0464     -.0047    1004701300017 
  2.348       .052     2.8446      .1356      .0499      .0033    1004701300018 
  2.359       .052     3.1712      .2345      .0590     -.0023    1004701300019 
  2.371       .052     2.5746      .1490      .0302     -.0053    1004701300020 
  2.383       .053     2.9316      .1462      .0464      .0025    1004701300021 
  2.395       .053     3.2484      .1831      .0679      .0050    1004701300022 
  2.406       .053     3.2330      .1623      .0633      .0044    1004701300023 
  2.418       .053     3.2280      .1592      .0636      .0073    1004701300024 
  2.430       .054     3.2111      .1361      .0595      .0041    1004701300025 
  2.442       .054     3.3669      .1755      .0647      .0030    1004701300026 
  2.454       .055     3.0777      .1519      .0414      .0025    1004701300027 
  2.467       .055     2.7988      .1173      .0404      .0021    1004701300028 
  2.480       .055     3.0089      .1513      .0533      .0048    1004701300029 
  2.493       .056     2.7634      .1165      .0410      .0010    1004701300030 
  2.506       .056     2.9090      .1036      .0393      .0044    1004701300031 
  2.519       .056     2.8812      .1169      .0437      .0073    1004701300032 
  2.532       .057     2.7322      .1253      .0603      .0031    1004701300033 
  2.545       .057     2.8800      .1095      .0421      .0053    1004701300034 
  2.558       .057     2.7184      .0952      .0356      .0036    1004701300035 
  2.572       .058     2.4846      .0891      .0328      .0033    1004701300036 
  2.586       .058     2.4895      .0908      .0374      .0046    1004701300037 
  2.599       .058     2.5351      .0868      .0323      .0029    1004701300038 
  2.613       .059     2.3447      .0833      .0359      .0029    1004701300039 
  2.627       .059     2.5421      .0908      .0402      .0049    1004701300040 
  2.642       .059     2.5541      .0994      .0432      .0043    1004701300041 
  2.656       .060     2.4727      .0922      .0343     -.0026    1004701300042 
  2.672       .060     2.6328      .0896      .0295      .0057    1004701300043 
  2.687       .061     2.6149      .0953      .0400      .0030    1004701300044 
  2.701       .061     2.5949      .0826      .0287      .0014    1004701300045 
  2.716       .061     2.5621      .0807      .0280      .0054    1004701300046 
  2.731       .062     2.5343      .0856      .0364      .0011    1004701300047 
  2.746       .063     2.6689      .0975      .0319      .0034    1004701300048 
  2.761       .063     2.4165      .0794      .0312      .0047    1004701300049 
  2.776       .063     2.5608      .0833      .0370      .0041    1004701300050 
  2.790       .062     2.6866      .0551      .0223     -.0020    1004701300051 
  2.807       .063     2.5335      .0484      .0204     -.0045    1004701300052 
  2.823       .063     2.4946      .0471      .0205     -.0045    1004701300053 
  2.840       .064     2.5520      .0490      .0192     -.0045    1004701300054 
  2.856       .064     2.4734      .0465      .0190     -.0042    1004701300055 
  2.873       .065     2.4610      .0462      .0204     -.0040    1004701300056 
  2.889       .065     2.4225      .0466      .0192     -.0041    1004701300057 
  2.906       .066     2.4030      .0426      .0181     -.0045    1004701300058 
  2.924       .066     2.4687      .0413      .0191     -.0012    1004701300059 
  2.941       .066     2.4155      .0416      .0202     -.0029    1004701300060 
  2.958       .067     2.4006      .0424      .0189     -.0027    1004701300061 
  2.976       .067     2.2614      .0397      .0187     -.0014    1004701300062 
  2.994       .068     2.2079      .0361      .0182      .0031    1004701300063 
  3.012       .068     2.0645      .0335      .0165      .0006    1004701300064 
  3.031       .069     1.9818      .0307      .0175     -.0013    1004701300065 
  3.049       .069     1.9036      .0297      .0156     -.0021    1004701300066 
  3.068       .070     1.8508      .0298      .0160     -.0036    1004701300067 
  3.086       .071     1.8133      .0296      .0159     -.0023    1004701300068 
  3.105       .071     1.9054      .0313      .0170     -.0033    1004701300069 
  3.123       .072     2.0466      .0310      .0172     -.0044    1004701300070 
  3.142       .072     2.1845      .0341      .0161     -.0040    1004701300071 
  3.161       .074     2.2316      .0341      .0159     -.0043    1004701300072 
  3.180       .074     2.2276      .0325      .0165     -.0031    1004701300073 
  3.200       .074     2.3185      .0329      .0175     -.0019    1004701300074 
  3.220       .075     2.3617      .0338      .0165     -.0010    1004701300075 
  3.240       .076     2.2468      .0316      .0165     -.0020    1004701300076 
  3.260       .076     2.2194      .0307      .0161      .0017    1004701300077 
  3.280       .077     2.1978      .0294      .0163      .0015    1004701300078 
  3.300       .077     2.2497      .0303      .0163     -.0009    1004701300079 
  3.321       .077     2.2758      .0307      .0171      .0030    1004701300080 
  3.342       .078     2.3701      .0308      .0175      .0034    1004701300081 
  3.363       .078     2.4142      .0306      .0166      .0027    1004701300082 
  3.385       .080     2.4216      .0301      .0169      .0029    1004701300083 
  3.406       .080     2.3798      .0293      .0162      .0030    1004701300084 
  3.428       .081     2.3632      .0293      .0170      .0037    1004701300085 
  3.449       .081     2.3743      .0291      .0167      .0040    1004701300086 
  3.471       .082     2.4021      .0288      .0169      .0033    1004701300087 
  3.493       .083     2.4336      .0283      .0166      .0041    1004701300088 
  3.516       .083     2.4764      .0289      .0175      .0050    1004701300089 
  3.538       .084     2.5251      .0307      .0178      .0034    1004701300090 
  3.561       .084     2.5485      .0301      .0164      .0035    1004701300091 
  3.584       .086     2.4668      .0280      .0169      .0050    1004701300092 
  3.607       .086     2.4775      .0288      .0167      .0036    1004701300093 
  3.630       .086     2.3926      .0278      .0158      .0027    1004701300094 
  3.654       .087     2.4905      .0275      .0162      .0035    1004701300095 
  3.678       .088     2.5160      .0274      .0156      .0031    1004701300096 
  3.703       .089     2.4479      .0272      .0153      .0027    1004701300097 
  3.727       .090     2.4336      .0271      .0152      .0033    1004701300098 
  3.751       .090     2.3280      .0260      .0148      .0030    1004701300099 
  3.775       .091     2.2203      .0251      .0148      .0028    1004701300100 
  3.799       .092     2.1439      .0248      .0139      .0024    1004701300101 
  3.824       .093     2.0645      .0241      .0141      .0032    1004701300102 
  3.849       .093     2.0326      .0240      .0142      .0032    1004701300103 
  3.874       .094     2.0180      .0229      .0138      .0033    1004701300104 
  3.900       .095     2.0204      .0226      .0139      .0015    1004701300105 
  3.926       .096     2.1167      .0235      .0138      .0015    1004701300106 
  3.953       .097     2.2023      .0244      .0134     -.0010    1004701300107 
  3.980       .097     2.2608      .0254      .0134     -.0008    1004701300108 
  4.007       .098     2.2359      .0248      .0132      .0010    1004701300109 
  4.035       .099     2.1587      .0241      .0132      .0003    1004701300110 
  4.063       .100     2.1111      .0241      .0132     -.0016    1004701300111 
  4.091       .101     2.0777      .0239      .0127     -.0024    1004701300112 
  4.120       .102     2.0573      .0233      .0121     -.0025    1004701300113 
  4.149       .103     2.0500      .0235      .0127     -.0023    1004701300114 
  4.178       .103     2.1447      .0236      .0125     -.0022    1004701300115 
  4.207       .104     2.2127      .0242      .0131     -.0020    1004701300116 
  4.236       .105     2.2803      .0250      .0130     -.0022    1004701300117 
  4.265       .106     2.2844      .0247      .0129     -.0027    1004701300118 
  4.295       .107     2.2601      .0246      .0125     -.0020    1004701300119 
  4.326       .108     2.2425      .0247      .0125     -.0014    1004701300120 
  4.356       .109     2.1645      .0239      .0127     -.0026    1004701300121 
  4.387       .110     2.1271      .0231      .0120     -.0029    1004701300122 
  4.419       .111     2.0673      .0237      .0118     -.0029    1004701300123 
  4.450       .113     1.9457      .0234      .0113     -.0032    1004701300124 
  4.482       .114     1.8232      .0220      .0117     -.0030    1004701300125 
  4.515       .115     1.8761      .0222      .0120     -.0029    1004701300126 
  4.548       .116     1.9027      .0224      .0120     -.0023    1004701300127 
  4.581       .117     1.9955      .0228      .0125     -.0019    1004701300128 
  4.615       .118     2.0855      .0233      .0126      .0009    1004701300129 
  4.648       .119     2.0709      .0227      .0125     -.0016    1004701300130 
  4.682       .120     2.0116      .0226      .0123      .0007    1004701300131 
  4.716       .121     1.9916      .0222      .0127      .0014    1004701300132 
  4.751       .122     1.9892      .0225      .0129      .0019    1004701300133 
  4.785       .124     1.9776      .0226      .0127     -.0005    1004701300134 
  4.820       .125     1.9243      .0222      .0126      .0005    1004701300135 
  4.856       .126     1.9096      .0226      .0127      .0014    1004701300136 
  4.892       .127     1.9047      .0230      .0132     -.0010    1004701300137 
  4.928       .128     1.9128      .0232      .0129      .0013    1004701300138 
  4.965       .130     1.8087      .0230      .0134     -.0009    1004701300139 
  5.002       .131     1.8367      .0237      .0135     -.0021    1004701300140 
  5.040       .132     1.8803      .0245      .0135     -.0020    1004701300141 
  5.078       .134     1.9295      .0252      .0135     -.0026    1004701300142 
  5.117       .134     1.9390      .0256      .0136     -.0037    1004701300143 
  5.157       .136     1.9901      .0263      .0135     -.0034    1004701300144 
  5.197       .138     2.0361      .0268      .0140     -.0031    1004701300145 
  5.237       .139     2.0802      .0274      .0138     -.0021    1004701300146 
  5.278       .141     1.9934      .0265      .0144     -.0024    1004701300147 
  5.319       .142     1.9995      .0263      .0142     -.0015    1004701300148 
  5.361       .143     1.9910      .0258      .0144      .0015    1004701300149 
  5.403       .145     1.9766      .0264      .0149      .0003    1004701300150 
  5.445       .146     1.9683      .0266      .0147     -.0016    1004701300151 
  5.488       .148     1.9785      .0271      .0147     -.0017    1004701300152 
  5.531       .149     1.9625      .0271      .0152     -.0006    1004701300153 
  5.575       .151     1.9839      .0274      .0148     -.0007    1004701300154 
  5.620       .152     1.9727      .0274      .0153     -.0019    1004701300155 
  5.664       .154     1.9440      .0276      .0143     -.0031    1004701300156 
  5.710       .156     1.8848      .0271      .0143     -.0021    1004701300157 
  5.756       .157     1.8164      .0268      .0147     -.0030    1004701300158 
  5.803       .159     1.8217      .0278      .0148     -.0034    1004701300159 
  5.850       .161     1.8140      .0278      .0144     -.0033    1004701300160 
  5.898       .163     1.7764      .0274      .0149     -.0032    1004701300161 
  5.945       .164     1.7981      .0279      .0151     -.0029    1004701300162 
  5.994       .166     1.8337      .0277      .0149     -.0029    1004701300163 
  6.043       .168     1.8229      .0280      .0149     -.0037    1004701300164 
  6.094       .170     1.8885      .0287      .0154     -.0029    1004701300165 
  6.145       .172     1.9019      .0287      .0151     -.0023    1004701300166 
  6.197       .174     1.9271      .0285      .0157      .0010    1004701300167 
  6.248       .174     1.9039      .0288      .0153     -.0038    1004701300168 
  6.301       .176     1.8232      .0287      .0155     -.0041    1004701300169 
  6.355       .179     1.8165      .0303      .0155     -.0036    1004701300170 
  6.410       .182     1.8496      .0303      .0153     -.0017    1004701300171 
  6.466       .182     1.7628      .0287      .0164      .0021    1004701300172 
  6.521       .185     1.8327      .0301      .0171      .0030    1004701300173 
  6.576       .187     1.8559      .0293      .0171      .0028    1004701300174 
  6.633       .189     1.8862      .0292      .0164      .0030    1004701300175 
  6.691       .191     1.8093      .0285      .0160      .0020    1004701300176 
  6.749       .194     1.6937      .0272      .0165      .0031    1004701300177 
  6.808       .196     1.7741      .0281      .0169      .0042    1004701300178 
  6.868       .198     1.7165      .0280      .0169      .0040    1004701300179 
  6.929       .201     1.6625      .0275      .0174      .0045    1004701300180 
  6.990       .203     1.6686      .0278      .0171      .0040    1004701300181 
  7.053       .205     1.6968      .0277      .0173      .0048    1004701300182 
  7.117       .208     1.6990      .0283      .0177      .0048    1004701300183 
  7.181       .210     1.6945      .0280      .0178      .0052    1004701300184 
  7.246       .213     1.6881      .0283      .0179      .0050    1004701300185 
  7.313       .215     1.7147      .0278      .0179      .0055    1004701300186 
  7.380       .218     1.7492      .0276      .0177      .0052    1004701300187 
  7.447       .221     1.7491      .0279      .0180      .0052    1004701300188 
  7.515       .224     1.7363      .0283      .0176      .0039    1004701300189 
  7.585       .226     1.7105      .0280      .0176      .0043    1004701300190 
  7.657       .229     1.7188      .0287      .0179      .0040    1004701300191 
  7.728       .232     1.7343      .0287      .0176      .0048    1004701300192 
  7.801       .235     1.6702      .0287      .0183      .0042    1004701300193 
  7.874       .238     1.7174      .0288      .0179      .0050    1004701300194 
  7.949       .241     1.6934      .0285      .0178      .0047    1004701300195 
  8.024       .244     1.6422      .0281      .0180      .0049    1004701300196 
  8.099       .247     1.6535      .0283      .0178      .0046    1004701300197 
  8.177       .250     1.6422      .0281      .0177      .0042    1004701300198 
  8.256       .254     1.6506      .0283      .0178      .0050    1004701300199 
  8.336       .257     1.6612      .0286      .0184      .0054    1004701300200 
  8.417       .261     1.6732      .0282      .0178      .0055    1004701300201 
  8.500       .264     1.6558      .0273      .0176      .0050    1004701300202 
  8.583       .268     1.6245      .0273      .0174      .0046    1004701300203 
  8.669       .272     1.6113      .0277      .0175      .0047    1004701300204 
  8.756       .275     1.6130      .0270      .0170      .0046    1004701300205 
  8.844       .279     1.6122      .0266      .0170      .0048    1004701300206 
  8.933       .283     1.5898      .0264      .0171      .0053    1004701300207 
  9.023       .287     1.6133      .0265      .0171      .0043    1004701300208 
  9.115       .291     1.6613      .0267      .0164      .0046    1004701300209 
  9.208       .295     1.6318      .0261      .0163      .0032    1004701300210 
  9.301       .299     1.6345      .0262      .0159      .0037    1004701300211 
  9.397       .303     1.6180      .0261      .0159      .0029    1004701300212 
  9.495       .307     1.6723      .0255      .0151      .0031    1004701300213 
  9.594       .312     1.6499      .0249      .0152      .0031    1004701300214 
  9.695       .317     1.6275      .0247      .0151      .0031    1004701300215 
  9.798       .320     1.6684      .0245      .0149      .0034    1004701300216 
  9.902       .325     1.6213      .0235      .0142      .0030    1004701300217 
 10.008       .330     1.6195      .0227      .0138      .0029    1004701300218 
 10.116       .335     1.6355      .0218      .0132      .0024    1004701300219 
 10.225       .340     1.6376      .0211      .0129      .0029    1004701300220 
 10.337       .345     1.6783      .0206      .0126      .0027    1004701300221 
 10.450       .350     1.6874      .0201      .0122      .0030    1004701300222 
 10.564       .355     1.6628      .0193      .0120      .0029    1004701300223 
 10.679       .361     1.6772      .0186      .0115      .0028    1004701300224 
 10.797       .366     1.6898      .0178      .0109      .0024    1004701300225 
 10.915       .372     1.6592      .0174      .0104      .0015    1004701300226 
 11.036       .377     1.6700      .0169      .0098      .0015    1004701300227 
 11.160       .383     1.6728      .0158      .0094      .0014    1004701300228 
 11.287       .389     1.6926      .0152      .0088      .0011    1004701300229 
 11.416       .396     1.6999      .0146      .0083     -.0010    1004701300230 
 11.546       .402     1.6972      .0139      .0077     -.0007    1004701300231 
 11.677       .408     1.7135      .0130      .0072     -.0004    1004701300232 
 11.811       .415     1.6971      .0121      .0069      .0007    1004701300233 
 11.947       .421     1.6878      .0112      .0066      .0012    1004701300234 
 12.086       .428     1.6660      .0108      .0065      .0012    1004701300235 
 12.228       .436     1.6835      .0105      .0063      .0009    1004701300236 
 12.372       .444     1.6818      .0103      .0061      .0009    1004701300237 
 12.519       .452     1.6743      .0103      .0062      .0008    1004701300238 
 12.668       .460     1.6871      .0104      .0062      .0002    1004701300239 
 12.822       .468     1.7095      .0108      .0064     -.0002    1004701300240 
 12.977       .476     1.7181      .0113      .0067     -.0010    1004701300241 
 13.134       .485     1.7196      .0123      .0071     -.0017    1004701300242 
 13.294       .494     1.7193      .0135      .0078     -.0021    1004701300243 
 13.457       .503     1.6997      .0150      .0087     -.0023    1004701300244 
 13.626       .511     1.7301      .0168      .0099     -.0019    1004701300245 
 13.797       .519     1.7220      .0186      .0104     -.0016    1004701300246 
 13.972       .522     1.7010      .0192      .0107      .0008    1004701300247 
 14.149       .529     1.7246      .0187      .0105     -.0008    1004701300248 
 14.327       .539     1.7337      .0176      .0099      .0006    1004701300249 
 14.510       .549     1.7766      .0170      .0095     -.0015    1004701300250 
 14.695       .560     1.7569      .0157      .0087     -.0033    1004701300251 
 14.882       .565     1.7543      .0188      .0084     -.0040    1004701300252 
ENDDATA            245          0                                 1004701300253 
ENDSUBENT          252          0                                 1004701399999 
SUBENT        10047014   19990907                             00001004701400001 
BIB                  2          2                                 1004701400002 
REACTION   (12-MG-0(N,TOT),,SIG)                                  1004701400003 
STATUS     Data rec'd on tape, Foster, May 1967.                  1004701400004 
ENDBIB               2          0                                 1004701400005 
NOCOMMON             0          0                                 1004701400006 
DATA                 6        246                                 1004701400007 
EN         EN-RSL-FW  DATA       ERR-T      MISC1      MISC2      1004701400008 
MEV        MEV        B          B          B          B          1004701400009 
  2.256       .049     3.6885      .1814      .0198     -.0114    1004701400010 
  2.267       .049     3.3353      .1752      .0255     -.0111    1004701400011 
  2.279       .050     3.0481      .1550      .0159     -.0118    1004701400012 
  2.290       .050     2.6052      .1287      .0202     -.0131    1004701400013 
  2.302       .050     2.4669      .1033      .0243     -.0129    1004701400014 
  2.313       .051     2.5432      .1229      .0164     -.0120    1004701400015 
  2.325       .051     2.4579      .1256      .0214     -.0123    1004701400016 
  2.337       .051     2.2029      .1068      .0187     -.0126    1004701400017 
  2.350       .052     2.2082      .1016      .0222     -.0125    1004701400018 
  2.363       .052     2.2150      .1030      .0183     -.0123    1004701400019 
  2.376       .052     2.2636      .1029      .0223     -.0115    1004701400020 
  2.389       .053     2.3138      .0984      .0183     -.0116    1004701400021 
  2.401       .053     2.2413      .0999      .0172     -.0116    1004701400022 
  2.413       .053     2.1314      .0899      .0175     -.0124    1004701400023 
  2.426       .054     2.0902      .0964      .0218     -.0109    1004701400024 
  2.438       .054     2.2959      .0954      .0161     -.0101    1004701400025 
  2.451       .054     1.9373      .0793      .0187     -.0115    1004701400026 
  2.463       .055     1.8766      .0884      .0201     -.0118    1004701400027 
  2.464       .056     1.9343      .0667      .0209     -.0094    1004701400028 
  2.477       .057     2.0348      .0651      .0187     -.0095    1004701400029 
  2.490       .057     2.0597      .0628      .0185     -.0107    1004701400030 
  2.503       .057     2.1931      .0649      .0179     -.0098    1004701400031 
  2.516       .058     2.4158      .0668      .0209     -.0080    1004701400032 
  2.529       .058     2.6164      .0718      .0205     -.0091    1004701400033 
  2.542       .058     2.6978      .0724      .0217     -.0083    1004701400034 
  2.555       .058     2.9930      .0705      .0217     -.0078    1004701400035 
  2.569       .058     2.9454      .0748      .0225     -.0075    1004701400036 
  2.583       .059     2.9948      .0821      .0299     -.0080    1004701400037 
  2.596       .060     3.2034      .0819      .0295     -.0071    1004701400038 
  2.610       .060     3.2694      .0786      .0295     -.0070    1004701400039 
  2.624       .060     3.2924      .0765      .0261     -.0056    1004701400040 
  2.638       .061     3.1499      .0752      .0313     -.0065    1004701400041 
  2.652       .062     3.0276      .0687      .0274     -.0055    1004701400042 
  2.667       .061     2.8567      .0644      .0278     -.0053    1004701400043 
  2.681       .063     2.6930      .0576      .0247     -.0065    1004701400044 
  2.696       .063     2.5444      .0548      .0207     -.0060    1004701400045 
  2.712       .063     2.3791      .0535      .0227     -.0067    1004701400046 
  2.726       .064     2.3951      .0558      .0213     -.0061    1004701400047 
  2.741       .064     2.2129      .0503      .0207     -.0066    1004701400048 
  2.756       .064     2.2314      .0483      .0194     -.0068    1004701400049 
  2.771       .065     2.1857      .0473      .0205     -.0075    1004701400050 
  2.786       .066     2.2548      .0473      .0203     -.0076    1004701400051 
  2.802       .066     2.4810      .0521      .0216     -.0062    1004701400052 
  2.818       .066     2.4857      .0502      .0204     -.0054    1004701400053 
  2.834       .067     2.4901      .0500      .0211     -.0057    1004701400054 
  2.849       .067     2.2982      .0472      .0206     -.0060    1004701400055 
  2.865       .068     2.1475      .0435      .0205     -.0060    1004701400056 
  2.881       .068     2.1102      .0439      .0203     -.0061    1004701400057 
  2.898       .069     2.0929      .0433      .0209     -.0055    1004701400058 
  2.914       .069     2.1040      .0438      .0204     -.0056    1004701400059 
  2.930       .070     2.0442      .0412      .0197     -.0064    1004701400060 
  2.947       .070     2.0318      .0417      .0187     -.0067    1004701400061 
  2.964       .071     2.1044      .0420      .0179     -.0061    1004701400062 
  2.981       .071     2.2095      .0422      .0185     -.0060    1004701400063 
  2.998       .072     2.3427      .0423      .0190     -.0060    1004701400064 
  3.015       .072     2.4609      .0439      .0203     -.0057    1004701400065 
  3.033       .073     2.5605      .0456      .0204     -.0044    1004701400066 
  3.050       .074     2.3872      .0409      .0190     -.0058    1004701400067 
  3.068       .074     2.2882      .0409      .0170     -.0052    1004701400068 
  3.087       .075     2.1027      .0386      .0175     -.0051    1004701400069 
  3.105       .075     2.0107      .0381      .0158     -.0052    1004701400070 
  3.124       .076     1.8453      .0371      .0161     -.0055    1004701400071 
