ENTRY            13997   20050518                             13401399700000001 
SUBENT        13997001   20050518                             13401399700100001 
BIB                  9         18                                 1399700100002 
INSTITUTE  (1USALRL)                                              1399700100003 
REFERENCE  (R,UCRL-TR-209474,,2005)                               1399700100004 
           (C,2004SANTA,1,1035,2004)                              1399700100005 
AUTHOR     (D.Dashdorj,G.E.Mitchell,P.E.Garrett,U.Agvaanluvsan,   1399700100006 
            J.A.Becker,L.A.Bernstein,J.R.Cooper,R.D.Hoffman,      1399700100007 
            W.Younes,N.Devlin,N.Fotiades,R.O.Nelson)              1399700100008 
TITLE      48Ti (n,xnp alpha gamma) reaction cross sections using 1399700100009 
            spallation neutrons for En=1-20 MeV                   1399700100010 
FACILITY   (LINAC,1USALAS) LANSCE accelerator and WNR Facility    1399700100011 
DETECTOR   (GE-IN) Geanie detector array, 11 Compton-suppressed   1399700100012 
            planar germanium detectors and 14 coaxial Ge          1399700100013 
            detectors (9 Compton-suppressed and 5 unsuppressed).  1399700100014 
METHOD     (TOF)                                                  1399700100015 
SAMPLE     3.3 grams of TiO2 in form of disks, 2.4 cm diameter,   1399700100016 
            enriched to 99.81 % in 48Ti                           1399700100017 
HISTORY    (20050509C) DR                                         1399700100018 
           (20050914C) DR Second reference added                  1399700100019 
           (20060517C) DR Page corrected for second reference     1399700100020 
ENDBIB              18          0                                 1399700100021 
NOCOMMON             0          0                                 1399700100022 
ENDSUBENT           21          0                                 1399700199999 
SUBENT        13997002   20050518                             13351399700200001 
BIB                  3          4                                 1399700200002 
REACTION   (22-TI-48(N,INL)22-TI-48,PAR,SIG,G)                    1399700200003 
ERR-ANALYS (DATA-ERR) Statistical and systematics uncertainties   1399700200004 
           (ERR-S) Statistical uncertainties                      1399700200005 
STATUS     Data taken from Tables 8 to 73                         1399700200006 
ENDBIB               4          0                                 1399700200007 
NOCOMMON             0          0                                 1399700200008 
DATA                 6       4121                                 1399700200009 
E          EN         EN-ERR     DATA       ERR-S      DATA-ERR   1399700200010 
KEV        MEV        MEV        B          B          B          1399700200011 
 175.3      1.009     0.009      0.0005     0.0001     0.0001     1399700200012 
 175.3      1.031     0.010      0.0007     0.0002     0.0002     1399700200013 
 175.3      1.053     0.009      0.0009     0.0002     0.0002     1399700200014 
 175.3      1.075     0.010      0.0008     0.0002     0.0002     1399700200015 
 175.3      1.100     0.010      0.0009     0.0002     0.0002     1399700200016 
 175.3      1.122     0.009      0.0006     0.0001     0.0001     1399700200017 
 175.3      1.148     0.011      0.0005     0.0001     0.0002     1399700200018 
 175.3      1.174     0.011      0.0005     0.0001     0.0001     1399700200019 
 175.3      1.198     0.012      0.0006     0.0001     0.0002     1399700200020 
 175.3      1.227     0.012      0.0006     0.0001     0.0002     1399700200021 
 175.3      1.256     0.012      0.0006     0.0001     0.0002     1399700200022 
 175.3      1.285     0.012      0.0004     0.0001     0.0001     1399700200023 
 175.3      1.314     0.013      0.0006     0.0001     0.0001     1399700200024 
 175.3      1.346     0.014      0.0009     0.0001     0.0002     1399700200025 
 175.3      1.378     0.014      0.0006     0.0001     0.0001     1399700200026 
 175.3      1.412     0.014      0.0007     0.0001     0.0002     1399700200027 
 175.3      1.447     0.015      0.0004     0.0001     0.0001     1399700200028 
 175.3      1.483     0.016      0.0004     0.0001     0.0001     1399700200029 
 175.3      1.522     0.016      0.0004     0.0001     0.0001     1399700200030 
 175.3      1.560     0.017      0.0006     0.0001     0.0001     1399700200031 
 175.3      1.601     0.017      0.0003     0.0001     0.0001     1399700200032 
 175.3      1.642     0.018      0.0005     0.0001     0.0001     1399700200033 
 175.3      1.687     0.019      0.0005     0.0001     0.0001     1399700200034 
 175.3      1.733     0.020      0.0003     0.0001     0.0001     1399700200035 
 175.3      1.780     0.020      0.0003     0.0001     0.0001     1399700200036 
 175.3      1.830     0.021      0.0006     0.0001     0.0001     1399700200037 
 175.3      1.882     0.023      0.0004     0.0001     0.0001     1399700200038 
 175.3      1.935     0.023      0.0003     0.0001     0.0001     1399700200039 
 175.3      1.991     0.024      0.0004     0.0001     0.0001     1399700200040 
 175.3      2.050     0.026      0.0005     0.0001     0.0001     1399700200041 
 175.3      2.112     0.027      0.0002     0.0001     0.0001     1399700200042 
 175.3      2.176     0.028      0.0003     0.0001     0.0001     1399700200043 
