ENTRY            10524   20040504                             00001052400000001 
SUBENT        10524001   20040504                             00001052400100001 
BIB                  9         14                                 1052400100002 
INSTITUTE  (1USAANL)                                              1052400100003 
REFERENCE  (J,NP/A,244,213,197506)                                1052400100004 
           (R,ANL-NDM-7,197406)                                   1052400100005 
AUTHOR     (A.B.Smith,P.Guenther,J.Whalen)                        1052400100006 
TITLE      Neutron total and scattering cross sections of some    1052400100007 
           even Mo isotopes and the optical model.                1052400100008 
FACILITY   (DYNAM,1USAANL)                                        1052400100009 
INC-SOURCE (P-LI7)                                                1052400100010 
METHOD     (TOF) Time-of-flight                                   1052400100011 
STATUS     (APRVD) Approved by author 1976/1/19.                  1052400100012 
           Data received on magnetic tape, Smith, 1975/8          1052400100013 
HISTORY    (19751110C)                                            1052400100014 
           (19830107A) Converted to REACTION formalism            1052400100015 
           (20040504A) Updated to new date formats, lower case.   1052400100016 
ENDBIB              14          0                                 1052400100017 
NOCOMMON             0          0                                 1052400100018 
ENDSUBENT           17          0                                 1052400199999 
SUBENT        10524002   20040504                             00001052400200001 
BIB                  5          8                                 1052400200002 
REACTION   (42-MO-92(N,EL)42-MO-92,,DA)                           1052400200003 
INC-SPECT  Incident neutron resolution of 30 to 50 keV.           1052400200004 
MONITOR    (1-H-1(N,EL)1-H-1,,DA)                                 1052400200005 
           A carbon sample was used to monitor detector           1052400200006 
           efficiency.                                            1052400200007 
MONIT-REF  (,Hopkins+,J,ND/A,9,145,1971)                          1052400200008 
ERR-ANALYS (DATA-ERR) Errors include uncertainties in angular     1052400200009 
            position and systematic errors.                       1052400200010 
ENDBIB               8          0                                 1052400200011 
NOCOMMON             0          0                                 1052400200012 
DATA                 4        238                                 1052400200013 
EN         ANG        DATA       DATA-ERR                         1052400200014 
MEV        ADEG       B/SR       PER-CENT                         1052400200015 
 2.8000E+00 6.8040E+01 1.6220E-01 1.0000E+01                      1052400200123 
 2.8000E+00 7.8020E+01 1.6520E-01 1.0000E+01                      1052400200124 
 2.8000E+00 8.4010E+01 1.4280E-01 1.0000E+01                      1052400200125 
 2.8000E+00 9.3990E+01 1.2730E-01 1.0000E+01                      1052400200126 
 2.8000E+00 9.9980E+01 9.0980E-02 1.0000E+01                      1052400200127 
 2.8000E+00 1.1000E+02 7.2270E-02 1.0000E+01                      1052400200128 
 2.8000E+00 1.1590E+02 5.9130E-02 1.0000E+01                      1052400200129 
 2.8000E+00 1.2590E+02 5.9170E-02 1.0000E+01                      1052400200130 
 2.8000E+00 1.3190E+02 6.2980E-02 1.0000E+01                      1052400200131 
 2.8000E+00 1.4190E+02 1.0830E-01 1.0000E+01                      1052400200132 
 2.8000E+00 1.4680E+02 1.3440E-01 1.0000E+01                      1052400200133 
 2.8000E+00 1.5180E+02 1.8890E-01 1.0000E+01                      1052400200134 
 2.8000E+00 1.5680E+02 2.0490E-01 1.0000E+01                      1052400200135 
 3.0000E+00 2.0290E+01 8.8110E-01 8.0000E+00                      1052400200136 
 3.0000E+00 2.6210E+01 7.3370E-01 8.0000E+00                      1052400200137 
 3.0000E+00 3.0180E+01 5.4850E-01 8.0000E+00                      1052400200138 
 3.0000E+00 3.6140E+01 4.1170E-01 8.0000E+00                      1052400200139 
 3.0000E+00 4.6100E+01 1.7960E-01 8.0000E+00                      1052400200140 
 3.0000E+00 5.2080E+01 1.5010E-01 8.0000E+00                      1052400200141 
 3.0000E+00 6.2060E+01 1.3210E-01 8.0000E+00                      1052400200142 
 3.0000E+00 6.8040E+01 1.3650E-01 8.0000E+00                      1052400200143 
 3.0000E+00 7.8020E+01 1.3920E-01 8.0000E+00                      1052400200144 
 3.0000E+00 8.4010E+01 1.3160E-01 8.0000E+00                      1052400200145 
 3.0000E+00 9.3990E+01 9.9210E-02 8.0000E+00                      1052400200146 
 3.0000E+00 9.9980E+01 8.4700E-02 8.0000E+00                      1052400200147 
 3.0000E+00 1.1000E+02 5.5710E-02 8.0000E+00                      1052400200148 
 3.0000E+00 1.1590E+02 5.3680E-02 8.0000E+00                      1052400200149 
 3.0000E+00 1.2590E+02 5.6440E-02 8.0000E+00                      1052400200150 
 3.0000E+00 1.3190E+02 6.9020E-02 8.0000E+00                      1052400200151 
 3.0000E+00 1.4190E+02 1.2350E-01 8.0000E+00                      1052400200152 
 3.0000E+00 1.4680E+02 1.5560E-01 8.0000E+00                      1052400200153 
 3.0000E+00 1.5180E+02 1.9850E-01 1.4000E+01                      1052400200154 
 3.0000E+00 1.5680E+02 2.3270E-01 1.4000E+01                      1052400200155 
 3.2000E+00 2.1270E+01 9.1420E-01 1.2000E+01                      1052400200156 
 3.2000E+00 2.6210E+01 7.2880E-01 1.2000E+01                      1052400200157 
 3.2000E+00 3.1170E+01 5.1430E-01 1.2000E+01                      1052400200158 
 3.2000E+00 3.6140E+01 3.8560E-01 1.2000E+01                      1052400200159 
 3.2000E+00 4.6800E+01 1.6090E-01 1.2000E+01                      1052400200160 
 3.2000E+00 5.2080E+01 1.3980E-01 1.2000E+01                      1052400200161 
 3.2000E+00 6.2060E+01 1.3980E-01 1.2000E+01                      1052400200162 
 3.2000E+00 6.8040E+01 1.5390E-01 1.2000E+01                      1052400200163 
 3.2000E+00 7.7220E+01 1.5890E-01 1.2000E+01                      1052400200164 
 3.2000E+00 8.4010E+01 1.4010E-01 1.2000E+01                      1052400200165 
 3.2000E+00 9.2700E+01 1.0590E-01 1.2000E+01                      1052400200166 
 3.2000E+00 9.9980E+01 7.8990E-02 1.2000E+01                      1052400200167 
 3.2000E+00 1.0800E+02 5.4340E-02 1.2000E+01                      1052400200168 
 3.2000E+00 1.1590E+02 4.4900E-02 1.2000E+01                      1052400200169 
 3.2000E+00 1.2290E+02 4.5340E-02 1.2000E+01                      1052400200170 
 3.2000E+00 1.3190E+02 5.8080E-02 1.2000E+01                      1052400200171 
 3.2000E+00 1.3860E+02 8.3110E-02 1.2000E+01                      1052400200172 
 3.2000E+00 1.4680E+02 1.2650E-01 1.2000E+01                      1052400200173 
 3.2000E+00 1.4850E+02 1.3880E-01 1.2000E+01                      1052400200174 
 3.2000E+00 1.5680E+02 1.9880E-01 1.2000E+01                      1052400200175 
 3.4000E+00 2.0300E+01 1.0020E+00 1.3000E+01                      1052400200176 
 3.4000E+00 2.6200E+01 8.4100E-01 1.3000E+01                      1052400200177 
 3.4000E+00 3.0200E+01 5.5700E-01 1.3000E+01                      1052400200178 
 3.4000E+00 3.6100E+01 4.0600E-01 1.3000E+01                      1052400200179 
 3.4000E+00 4.5600E+01 1.5500E-01 1.3000E+01                      1052400200180 
 3.4000E+00 5.1600E+01 1.2200E-01 1.3000E+01                      1052400200181 
 3.4000E+00 6.1100E+01 1.0500E-01 1.3000E+01                      1052400200182 
 3.4000E+00 6.7000E+01 1.1900E-01 1.3000E+01                      1052400200183 
 3.4000E+00 7.6500E+01 1.5300E-01 1.3000E+01                      1052400200184 
 3.4000E+00 8.2500E+01 1.4400E-01 1.3000E+01                      1052400200185 
 3.4000E+00 9.2000E+01 1.1900E-01 1.3000E+01                      1052400200186 
 3.4000E+00 9.8000E+01 9.3000E-02 1.3000E+01                      1052400200187 
 3.4000E+00 1.0750E+02 5.3000E-02 1.3000E+01                      1052400200188 
 3.4000E+00 1.1350E+02 4.8000E-02 1.3000E+01                      1052400200189 
 3.4000E+00 1.2290E+02 3.7000E-02 1.3000E+01                      1052400200190 
 3.4000E+00 1.2890E+02 3.6000E-02 1.3000E+01                      1052400200191 
 3.4000E+00 1.3840E+02 8.0000E-02 1.3000E+01                      1052400200192 
 3.4000E+00 1.4440E+02 8.3000E-02 1.3000E+01                      1052400200193 
 3.4000E+00 1.4830E+02 1.0800E-01 1.3000E+01                      1052400200194 
 3.4000E+00 1.5430E+02 1.4000E-01 1.3000E+01                      1052400200195 
 3.6000E+00 1.9800E+01 1.0160E+00 1.2000E+01                      1052400200196 
 3.6000E+00 2.5700E+01 6.9300E-01 1.2000E+01                      1052400200197 
 3.6000E+00 2.9700E+01 5.5800E-01 1.2000E+01                      1052400200198 
 3.6000E+00 3.5600E+01 3.3300E-01 1.2000E+01                      1052400200199 
 3.6000E+00 4.5600E+01 1.3100E-01 1.2000E+01                      1052400200200 
 3.6000E+00 5.1600E+01 8.9000E-02 1.2000E+01                      1052400200201 
 3.6000E+00 6.1600E+01 1.0400E-01 1.2000E+01                      1052400200202 
 3.6000E+00 6.7500E+01 1.2900E-01 1.2000E+01                      1052400200203 
 3.6000E+00 7.7500E+01 1.5400E-01 1.2000E+01                      1052400200204 
 3.6000E+00 8.3500E+01 1.3900E-01 1.2000E+01                      1052400200205 
 3.6000E+00 9.3500E+01 9.3000E-02 1.2000E+01                      1052400200206 
 3.6000E+00 9.9500E+01 6.4000E-02 1.2000E+01                      1052400200207 
 3.6000E+00 1.1550E+02 3.4000E-02 1.2000E+01                      1052400200208 
 3.6000E+00 1.3140E+02 4.2000E-02 1.2000E+01                      1052400200209 
 3.6000E+00 1.4140E+02 6.5000E-02 1.2000E+01                      1052400200210 
 3.6000E+00 1.4730E+02 8.8000E-02 1.2000E+01                      1052400200211 
 3.6000E+00 1.5130E+02 1.1800E-01 1.2000E+01                      1052400200212 
 3.6000E+00 1.5720E+02 1.4300E-01 1.2000E+01                      1052400200213 
 3.8000E+00 1.9600E+01 1.0050E+00 1.5000E+01                      1052400200214 
 3.8000E+00 2.5500E+01 7.5700E-01 1.5000E+01                      1052400200215 
 3.8000E+00 2.9500E+01 5.3700E-01 1.5000E+01                      1052400200216 
 3.8000E+00 3.5400E+01 3.4100E-01 1.5000E+01                      1052400200217 
 3.8000E+00 4.5400E+01 1.4200E-01 1.5000E+01                      1052400200218 
 3.8000E+00 5.1400E+01 8.2000E-02 1.5000E+01                      1052400200219 
 3.8000E+00 6.1400E+01 9.8000E-02 1.5000E+01                      1052400200220 
