ENTRY            13706   20100525                             13641370600000001 
SUBENT        13706001   20100525                             13641370600100001 
BIB                 11         26                                 1370600100002 
INSTITUTE  (1USALAS)                                              1370600100003 
REFERENCE  (J,PR,120,198,196010)                                  1370600100004 
AUTHOR     (J.E.Simmons,R.L.Henkel)                               1370600100005 
TITLE      Angular Distribution of Fragments in Fission Induced   1370600100006 
            by MeV Neutrons                                       1370600100007 
FACILITY   (VDG)                                                  1370600100008 
INC-SOURCE (P-T) 0.5 to 5 MeV                                     1370600100009 
           (D-D) 5 to 9 MeV                                       1370600100010 
           (D-T) 14 to 23 MeV                                     1370600100011 
DETECTOR   (PROPC)                                                1370600100012 
CORRECTION Corrected for:                                         1370600100013 
            . neutron background (1%),                            1370600100014 
            . accidental coincidence background (2%),             1370600100015 
            . relative counter efficiency,                        1370600100016 
            . break-up of neutrons at energy >21 MeV (1%),        1370600100017 
            . center-of-mass effect (1.5%),                       1370600100018 
            . resolution effect (2%).                             1370600100019 
           Not corrected for isotopic impurities.                 1370600100020 
ERR-ANALYS (EN-ERR) the half-energy loss of the incident charged- 1370600100021 
            particle in the gas target.                           1370600100022 
           (DATA-ERR) Standard deviation, dominated by statistical1370600100023 
            uncertainties, and including uncertainties in first 3 1370600100024 
            corrections.                                          1370600100025 
STATUS     (TABLE) Data taken from article.                       1370600100026 
HISTORY    (19980817C)                                            1370600100027 
           (20100525A) Subentry 13706.006 corrected. BIB update.  1370600100028 
ENDBIB              26          0                                 1370600100029 
NOCOMMON             0          0                                 1370600100030 
ENDSUBENT           29          0                                 1370600199999 
SUBENT        13706002   19980821                             00001370600200001 
BIB                  1          1                                 1370600200002 
REACTION   (92-U-233(N,F),,DA,FF,RSD)                             1370600200003 
ENDBIB               1          0                                 1370600200004 
NOCOMMON             0          0                                 1370600200005 
DATA                 5        108                                 1370600200006 
EN         EN-ERR     ANG        DATA       DATA-ERR              1370600200007 
MEV        MEV        ADEG       NO-DIM     NO-DIM                1370600200008 
 0.52       0.12       67.5       1.01       0.04                 1370600200009 
 0.52       0.12       45.        1.09       0.04                 1370600200010 
 0.52       0.12       22.5       1.09       0.04                 1370600200011 
 0.52       0.12       10.        1.10       0.04                 1370600200012 
 1.00       0.09       67.5       1.03       0.03                 1370600200013 
 1.00       0.09       45.        1.08       0.03                 1370600200014 
 1.00       0.09       22.5       1.09       0.03                 1370600200015 
 1.00       0.09       10.        1.09       0.04                 1370600200016 
 1.50       0.12       67.5       1.01       0.01                 1370600200017 
 1.50       0.12       45.        1.06       0.01                 1370600200018 
 1.50       0.12       22.5       1.14       0.02                 1370600200019 
 1.50       0.12       10.        1.11       0.02                 1370600200020 
 2.00       0.10       67.5       1.03       0.01                 1370600200021 
 2.00       0.10       45.        1.08       0.01                 1370600200022 
 2.00       0.10       22.5       1.17       0.02                 1370600200023 
 2.00       0.10       10.        1.15       0.02                 1370600200024 
 2.51       0.09       67.5       1.03       0.01                 1370600200025 
 2.51       0.09       45.        1.08       0.01                 1370600200026 
 2.51       0.09       22.5       1.16       0.01                 1370600200027 
 2.51       0.09       10.        1.12       0.01                 1370600200028 
 3.00       0.08       67.5       1.04       0.01                 1370600200029 
 3.00       0.08       45.        1.06       0.01                 1370600200030 
 3.00       0.08       22.5       1.12       0.01                 1370600200031 
 3.00       0.08       10.        1.12       0.01                 1370600200032 
 3.50       0.07       67.5       1.05       0.01                 1370600200033 
 3.50       0.07       45.        1.08       0.01                 1370600200034 
 3.50       0.07       22.5       1.15       0.01                 1370600200035 
 3.50       0.07       10.        1.14       0.01                 1370600200036 
 4.00       0.07       67.5       1.03       0.02                 1370600200037 
 4.00       0.07       45.        1.07       0.02                 1370600200038 
 4.00       0.07       22.5       1.14       0.02                 1370600200039 
 4.00       0.07       10.        1.11       0.02                 1370600200040 
