ENTRY            12852   19831222                             00001285200000001 
SUBENT        12852001   19831222                             00001285200100001 
BIB                 15         42                                 1285200100002 
INSTITUTE  (1USAANL)                                              1285200100003 
REFERENCE  (J,NSE,85,271,8311)                                    1285200100004 
           (R,ANL-NDM-83,8310)                                    1285200100005 
AUTHOR     (J.W.MEADOWS)                                          1285200100006 
TITLE      THE FISSION CROSS SECTION OF 237-NP RELATIVE TO 235-U  1285200100007 
           FROM 0.1 TO 9.4 MEV.                                   1285200100008 
FACILITY   (VDG) ARGONNE FAST NEUTRON GENERATOR.                  1285200100009 
METHOD     (TOF) TIME-OF-FLIGHT                                   1285200100010 
N-SOURCE   (P-LI7) 7-LI(P,N) REACTION -0.13-4.6 MEV.              1285200100011 
           (D-D) D(D,N) REACTION - 4.6-9.4 MEV                    1285200100012 
DETECTOR   (FISCH) DOUBLE IONIZATION CHAMBER.                     1285200100013 
MONITOR    SAMPLE ISOTOPIC PURITY-                                1285200100014 
           1.-93.244,2.-98.403,3.-94.421 PERCENT FOR 235-U        1285200100015 
SAMPLE     237-NP SAMPLE WAS 100.0 PERCENT PURE.                  1285200100016 
COMMENT    URANIUM ISOTOPE HALF-LIVES FROM HOLDEN,BNL-NCS-51320   1285200100017 
           NEPTUNIUM HALF LIFE FR0M BRAUER ET. AL.J.INORG. NUCL.  1285200100018 
           CHEM., 12,234,1960.                                    1285200100019 
CORRECTION FOLLOWING CORRECTIONS WERE MADE FOR NP AND U SAMPLES.  1285200100020 
           . FISSION SPECTRUM EXTRAPOLATION TO ZERO BIAS.         1285200100021 
           . ROOM RETURN BACKGROUND.                              1285200100022 
           . (D,N) REACTION WITH GAS TARGET STRUCTURE.            1285200100023 
           . NEUTRON SCATTERING IN DTECTOR AND TARGET STRUCTURE.  1285200100024 
           . FISSION FRAGMENT LOSS IN SAMPLE DEPOSITS.            1285200100025 
ERR-ANALYS (ERR-S) STATISTICAL UNCERTAINTY                        1285200100026 
           (ERR-T) TOTAL UNCERTAINTY INCLUDES THE FOLLOWING       1285200100027 
            NORMALIZATION UNCERTAINTIES-                          1285200100028 
           . 233 U HALF-LIFE       (0.04)                         1285200100029 
           . 234 U HALF-LIFE       (0.08)                         1285200100030 
           . 237 NP HALF-LIFE      (0.45)                         1285200100031 
           . ISOTOPIC ANALYSIS     (0.31)                         1285200100032 
           . ISOTOPIC DELUTION     (0.08)                         1285200100033 
           . CALORIMETRY           (0.08)                         1285200100034 
           . ALPHA-COUNTING SYSTEM (0.30)                         1285200100035 
           . THICKNESS CORRECTION  (0.40)                         1285200100036 
           . EXTRAPOLATION         (0.20)                         1285200100037 
           . SCATTERING COVECTION  (0.30)                         1285200100038 
           UNCERTAINTY DUE TO SECONDARY SOURCE REACTIONS          1285200100039 
            (20 PERCENT OF CORRECTION) ERROR IN NEUTRON ENERGY    1285200100040 
            (ABOUT 20 PERCENT OF ENERGY RESOLUTION) STATISTICAL   1285200100041 
            UNCERTAINTY                                           1285200100042 
STATUS     (APRVD) J.W.MEADOWS, 84/2/21.                          1285200100043 
HISTORY    (831216C)                                              1285200100044 
ENDBIB              42          0                                 1285200100045 
NOCOMMON             0          0                                 1285200100046 
ENDSUBENT           45          0                                 1285200199999 
SUBENT        12852002   19831222                             00001285200200001 
BIB                  2          4                                 1285200200002 
REACTION  1((93-NP-237(N,F),,SIG)/(92-U-235(N,F),,SIG))           1285200200003 
          2(93-NP-237(N,F),,SIG)                                  1285200200004 
MONITOR    RATIOS NORMALIZED BETWEEN 2.12 AND 2.53 MEV            1285200200005 
          2(92-U-235(N,F),,SIG) FROM ENDF/B-V                     1285200200006 
ENDBIB               4          0                                 1285200200007 
NOCOMMON             0          0                                 1285200200008 
DATA                 6         66                                 1285200200009 
EN         EN-RSL-FW  DATA      1ERR-S     1ERR-T     1DATA      21285200200010 
MEV        MEV        NO-DIM     PER-CENT   PER-CENT   B          1285200200011 
0.131      0.062      0.0118     3.31       4.31       0.01765    1285200200012 
0.234      0.060      0.0261     3.34       5.39       0.03452    1285200200013 
0.286      0.056      0.0376     3.71       5.53       0.0477     1285200200014 
0.335      0.056      0.0642     2.71       4.34       0.0798     1285200200015 
0.387      0.054      0.1157     2.31       3.95       0.1406     1285200200016 
0.438      0.052      0.2222     1.12       2.88       0.2644     1285200200017 
0.489      0.052      0.3451     0.83       2.24       0.404      1285200200018 
0.540      0.050      0.4788     0.75       1.80       0.554      1285200200019 
0.641      0.048      0.7649     0.82       1.45       0.873      1285200200020 
0.692      0.048      0.8718     0.69       1.23       0.992      1285200200021 
0.741      0.048      0.9893     0.81       1.30       1.125      1285200200022 
0.792      0.048      1.069      0.75       1.23       1.217      1285200200023 
0.842      0.046      1.142      0.76       1.21       1.308      1285200200024 
0.873      0.078      1.151      0.64       1.16       1.331      1285200200025 
0.923      0.076      1.172      0.69       1.18       1.387      1285200200026 
0.973      0.076      1.207      0.65       1.15       1.465      1285200200027 
0.994      0.076      1.206      0.69       1.16       1.470      1285200200028 
1.074      0.074      1.212      0.66       1.13       1.473      1285200200029 
1.094      0.072      1.223      0.60       1.09       1.486      1285200200030 
1.175      0.072      1.233      0.70       1.14       1.502      1285200200031 
1.195      0.072      1.242      0.65       1.11       1.515      1285200200032 
1.276      0.070      1.276      0.69       1.12       1.564      1285200200033 
1.296      0.068      1.270      0.62       1.08       1.559      1285200200034 
1.377      0.070      1.284      0.68       1.11       1.588      1285200200035 
1.397      0.068      1.280      0.71       1.13       1.586      1285200200036 
1.497      0.064      1.294      0.68       1.11       1.619      1285200200037 
1.598      0.062      1.309      0.67       1.11       1.654      1285200200038 
1.698      0.062      1.307      0.66       1.11       1.670      1285200200039 
1.799      0.060      1.311      0.67       1.11       1.688      1285200200040 
1.910      0.062      1.311      0.67       1.11       1.723      1285200200041 
1.921      0.116      1.316      0.68       1.11       1.704      1285200200042 
2.000      0.060      1.306      0.66       1.10       1.695      1285200200043 
2.022      0.114      1.316      0.70       1.12       1.708      1285200200044 
2.122      0.112      1.330      0.27       0.92       1.723      1285200200045 
2.223      0.110      1.336      0.27       0.92       1.724      1285200200046 
2.326      0.108      1.327      0.27       0.92       1.704      1285200200047 
2.425      0.106      1.317      0.26       0.92       1.680      1285200200048 
2.526      0.104      1.325      0.27       0.92       1.677      1285200200049 
2.926      0.096      1.360      0.67       1.11       1.668      1285200200050 
3.125      0.092      1.360      0.63       1.08       1.643      1285200200051 
3.328      0.088      1.362      0.60       1.07       1.621      1285200200052 
3.527      0.084      1.393      0.64       1.09       1.633      1285200200053 
3.727      0.080      1.389      0.60       1.07       1.603      1285200200054 
3.927      0.080      1.388      0.62       1.08       1.579      1285200200055 
4.127      0.078      1.367      0.66       1.10       1.541      1285200200056 
4.335      0.076      1.389      0.64       1.09       1.558      1285200200057 
4.525      0.074      1.420      0.68       1.11       1.574      1285200200058 
4.615      0.314      1.375      0.90       1.26       1.513      1285200200059 
4.923      0.268      1.390      0.94       1.29       1.489      1285200200060 
5.234      0.232      1.374      0.95       1.31       1.444      1285200200061 
5.516      0.210      1.391      0.92       1.33       1.457      1285200200062 
5.793      0.196      1.465      0.98       1.37       1.561      1285200200063 
6.070      0.182      1.500      0.91       1.29       1.718      1285200200064 
6.338      0.172      1.477      0.88       1.24       1.884      1285200200065 
6.610      0.158      1.415      0.88       1.34       2.002      1285200200066 
6.867      0.148      1.382      0.68       1.17       2.087      1285200200067 
7.125      0.140      1.341      0.68       1.14       2.148      1285200200068 
7.387      0.134      1.319      0.68       1.12       2.226      1285200200069 
7.683      0.130      1.307      0.67       1.12       2.289      1285200200070 
7.893      0.126      1.290      0.67       1.12       2.288      1285200200071 
