ENTRY            10915   20030529                             00001091500000001 
SUBENT        10915001   20030529                             00001091500100001 
BIB                 12         40                                 1091500100002 
INSTITUTE  (1USAORL)                                              1091500100003 
REFERENCE  (R,ORNL-5563,197908)                                   1091500100004 
AUTHOR     (G.L.MORGAN)                                           1091500100005 
TITLE      Cross sections for the Ti(n,xn) and Ti(n,x-gamma)      1091500100006 
            reactions between 1 and 20-MeV                        1091500100007 
FACILITY   (LINAC) Oak Ridge Electron Linear Accelerator          1091500100008 
SAMPLE     Annular ring of TI, 1556 gms, 25 cm outer diameter,    1091500100009 
            15 cm inner diameter, with thickness of 1.05 cm.      1091500100010 
            Purity of TI better than 99%.                         1091500100011 
METHOD     (TOF) Time of flight used to determine neutron flux.   1091500100012 
            Flux measurements made with sample and shadow bar     1091500100013 
            removed. Scattering sample placed 47.8 meters from    1091500100014 
            source, with shadow bar protecting detector from      1091500100015 
            direct neutron beam. Time between the linac pulse and 1091500100016 
            the detection of radiation used to determine incident 1091500100017 
            neutron energy. Pulse discrimination used to seperate 1091500100018 
            neutron and gamma events in detector. Background      1091500100019 
            determined with sample removed.                       1091500100020 
           Pulse height spectra were integrated over intervals    1091500100021 
            of neutron time of flight data to form new pulse      1091500100022 
            height spectra of specific incident neutron energy    1091500100023 
            ranges. Computer code FERD used to unfold new spectra,1091500100024 
            which were then normalized to cross sections using the1091500100025 
            measured neutron flux, average sample to detector     1091500100026 
            distance, and sample thickness.                       1091500100027 
DETECTOR   (SCIN) NE-213 on axis at a scattering angle of 130     1091500100028 
            degrees. Small plastic scintillator placed at edge of 1091500100029 
            beam, 30 meters from source, to normalize flux to     1091500100030 
            cross section measurement.                            1091500100031 
CORRECTION Corrections made for average transmission of incident  1091500100032 
            neutron flux, average transmission of secondary gammas1091500100033 
            or neutrons out of sample, and multiple interactions. 1091500100034 
ERR-ANALYS Absolute uncertainty of about 10% in neutron flux      1091500100035 
            determination (largest source of systematic error).   1091500100036 
            Transmission correction uncertainties <3%, multiple   1091500100037 
            interaction correction assigned an error of 10%.      1091500100038 
STATUS     (APRVD) Approved by G.L.Morgan, 1981/5/19.             1091500100039 
HISTORY    (19801014C)                                            1091500100040 
           (20030529A) Reactions corrected. Updated to new date   1091500100041 
                       formats, lower case.                       1091500100042 
ENDBIB              40          0                                 1091500100043 
COMMON               1          3                                 1091500100044 
ANG                                                               1091500100045 
ADEG                                                              1091500100046 
 130.                                                             1091500100047 
ENDCOMMON            3          0                                 1091500100048 
ENDSUBENT           47          0                                 1091500199999 
SUBENT        10915002   20030529                             00001091500200001 
BIB                  3          6                                 1091500200002 
REACTION   (22-TI-0(N,X)0-NN-1,,DA/DE,,AV)                        1091500200003 
ERR-ANALYS (ERR-S) Statistical error is given. Normalization      1091500200004 
            error of 10% not included.                            1091500200005 
           Backgrounds were from 10% (lowest pulse heights) to 50%1091500200006 
            (highest pulse heights).                              1091500200007 
HISTORY    (19820108A) Corrected REACTION.                        1091500200008 
ENDBIB               6          0                                 1091500200009 
NOCOMMON             0          0                                 1091500200010 
DATA                 5        586                                 1091500200011 
EN-MIN     EN-MAX     E          DATA       ERR-S                 1091500200012 
MEV        MEV        MEV        MB/SR/MEV  MB/SR/MEV             1091500200013 
  1.00       1.25       0.909     257.9      7.1                  1091500200014 
  1.00       1.25       1.013     359.5      9.2                  1091500200015 
  1.00       1.25       1.114     320.8      7.8                  1091500200016 
  1.00       1.25       1.212     209.1      5.0                  1091500200017 
  1.00       1.25       1.310     107.3      2.6                  1091500200018 
  1.00       1.25       1.413      44.2      1.1                  1091500200019 
  1.00       1.25       1.511      16.9      0.4                  1091500200020 
  1.00       1.25       1.611       5.9      0.1                  1091500200021 
  1.00       1.25       1.709       2.1      0.1                  1091500200022 
  1.25       1.49       0.909      22.3      1.3                  1091500200023 
  1.25       1.49       1.013     104.5      3.0                  1091500200024 
  1.25       1.49       1.114     242.9      6.1                  1091500200025 
  1.25       1.49       1.212     335.7      8.4                  1091500200026 
  1.25       1.49       1.310     321.1      8.1                  1091500200027 
  1.25       1.49       1.413     226.9      5.8                  1091500200028 
  1.25       1.49       1.511     130.8      3.4                  1091500200029 
  1.25       1.49       1.611      63.7      1.6                  1091500200030 
  1.25       1.49       1.709      28.3      0.7                  1091500200031 
  1.25       1.49       1.807      11.8      0.3                  1091500200032 
  1.25       1.49       1.938       3.5      0.1                  1091500200033 
  1.49       1.76       0.909       1.3      0.8                  1091500200034 
  1.49       1.76       1.013       3.7      0.8                  1091500200035 
  1.49       1.76       1.114      28.7      1.2                  1091500200036 
  1.49       1.76       1.212      99.7      2.9                  1091500200037 
  1.49       1.76       1.310     206.7      5.2                  1091500200038 
  1.49       1.76       1.413     290.7      6.9                  1091500200039 
  1.49       1.76       1.511     294.1      6.7                  1091500200040 
  1.49       1.76       1.611     233.1      5.2                  1091500200041 
  1.49       1.76       1.709     155.0      3.4                  1091500200042 
  1.49       1.76       1.807      89.4      1.9                  1091500200043 
  1.49       1.76       1.938      36.2      0.8                  1091500200044 
  1.49       1.76       2.112       8.9      0.2                  1091500200045 
  1.49       1.76       2.310       1.6      0.1                  1091500200046 
  1.76       2.00       0.909      96.8      3.4                  1091500200047 
  1.76       2.00       1.013      46.5      1.8                  1091500200048 
  1.76       2.00       1.114      20.2      1.1                  1091500200049 
  1.76       2.00       1.212      14.8      1.0                  1091500200050 
  1.76       2.00       1.310      29.0      1.2                  1091500200051 
  1.76       2.00       1.413      84.1      2.1                  1091500200052 
  1.76       2.00       1.511     176.2      3.6                  1091500200053 
  1.76       2.00       1.611     266.6      4.9                  1091500200054 
  1.76       2.00       1.709     301.1      5.2                  1091500200055 
  1.76       2.00       1.807     270.9      4.6                  1091500200056 
  1.76       2.00       1.938     178.6      3.0                  1091500200057 
  1.76       2.00       2.112      71.7      1.2                  1091500200058 
  1.76       2.00       2.310      18.4      0.3                  1091500200059 
  1.76       2.00       2.499       4.7      0.1                  1091500200060 
  1.76       2.00       2.693       2.2      0.1                  1091500200061 
  2.00       2.25       0.909      97.8      4.0                  1091500200062 
  2.00       2.25       1.013     118.8      4.5                  1091500200063 
  2.00       2.25       1.114      98.2      3.6                  1091500200064 
  2.00       2.25       1.212      63.0      2.4                  1091500200065 
  2.00       2.25       1.310      33.7      1.5                  1091500200066 
  2.00       2.25       1.413      19.5      1.1                  1091500200067 
  2.00       2.25       1.511      28.3      1.2                  1091500200068 
  2.00       2.25       1.611      68.8      1.9                  1091500200069 
  2.00       2.25       1.709     135.5      3.0                  1091500200070 
  2.00       2.25       1.807     201.8      4.0                  1091500200071 
  2.00       2.25       1.938     236.3      4.3                  1091500200072 
  2.00       2.25       2.112     175.2      3.1                  1091500200073 
  2.00       2.25       2.310      74.9      1.3                  1091500200074 
  2.00       2.25       2.499      24.6      0.4                  1091500200075 
  2.00       2.25       2.693       7.6      0.2                  1091500200076 
  2.00       2.25       2.898       2.8      0.1                  1091500200077 
  2.00       2.25       3.102       1.6      0.1                  1091500200078 
  2.25       2.49       0.909      19.6      1.4                  1091500200079 
  2.25       2.49       1.013      52.9      2.3                  1091500200080 
  2.25       2.49       1.114      99.0      3.8                  1091500200081 
  2.25       2.49       1.212     120.6      4.5                  1091500200082 
  2.25       2.49       1.310     106.7      4.0                  1091500200083 
  2.25       2.49       1.413      73.8      2.8                  1091500200084 
  2.25       2.49       1.511      45.8      1.9                  1091500200085 
  2.25       2.49       1.611      28.9      1.4                  1091500200086 
  2.25       2.49       1.709      27.7      1.2                  1091500200087 
  2.25       2.49       1.807      48.7      1.5                  1091500200088 
  2.25       2.49       1.938     112.5      2.6                  1091500200089 
  2.25       2.49       2.112     187.7      3.8                  1091500200090 
  2.25       2.49       2.310     162.8      3.1                  1091500200091 
  2.25       2.49       2.499      86.7      1.7                  1091500200092 
  2.25       2.49       2.693      33.6      0.7                  1091500200093 
  2.25       2.49       2.898      10.9      0.2                  1091500200094 
  2.25       2.49       3.102       3.5      0.1                  1091500200095 
  2.49       2.75       0.909      19.7      1.6                  1091500200096 
  2.49       2.75       1.013      16.6      1.4                  1091500200097 
  2.49       2.75       1.114      19.8      1.5                  1091500200098 
  2.49       2.75       1.212      43.5      2.3                  1091500200099 
  2.49       2.75       1.310      82.4      3.5                  1091500200100 
  2.49       2.75       1.413     108.7      4.3                  1091500200101 
  2.49       2.75       1.511     103.5      3.9                  1091500200102 
  2.49       2.75       1.611      77.5      2.9                  1091500200103 
  2.49       2.75       1.709      49.4      1.9                  1091500200104 
  2.49       2.75       1.807      30.8      1.4                  1091500200105 
  2.49       2.75       1.938      32.3      1.4                  1091500200106 
  2.49       2.75       2.112      93.4      2.3                  1091500200107 
  2.49       2.75       2.310     171.7      3.5                  1091500200108 
  2.49       2.75       2.499     159.0      3.0                  1091500200109 
  2.49       2.75       2.693      92.5      1.8                  1091500200110 
  2.49       2.75       2.898      37.2      0.7                  1091500200111 
  2.49       2.75       3.102      12.2      0.3                  1091500200112 
  2.75       2.99       0.909      10.6      1.4                  1091500200113 
  2.75       2.99       1.013      13.0      1.4                  1091500200114 
  2.75       2.99       1.114      14.8      1.4                  1091500200115 
  2.75       2.99       1.212      16.4      1.5                  1091500200116 
  2.75       2.99       1.310      21.3      1.6                  1091500200117 
  2.75       2.99       1.413      37.7      2.0                  1091500200118 
  2.75       2.99       1.511      63.2      2.8                  1091500200119 
  2.75       2.99       1.611      86.6      3.3                  1091500200120 
  2.75       2.99       1.709      93.1      3.4                  1091500200121 
  2.75       2.99       1.807      81.3      3.1                  1091500200122 
  2.75       2.99       1.938      53.5      2.3                  1091500200123 
  2.75       2.99       2.112      33.8      1.6                  1091500200124 
  2.75       2.99       2.310      69.5      2.1                  1091500200125 
  2.75       2.99       2.499     132.9      3.0                  1091500200126 
  2.75       2.99       2.693     147.6      3.0                  1091500200127 
  2.75       2.99       2.898     100.9      2.0                  1091500200128 
  2.75       2.99       3.102      48.1      1.0                  1091500200129 
  2.75       2.99       3.301      18.6      0.4                  1091500200130 
  2.75       2.99       3.505       6.1      0.2                  1091500200131 
  2.99       3.51       0.909      34.6      1.7                  1091500200132 
  2.99       3.51       1.013      24.6      1.3                  1091500200133 
  2.99       3.51       1.114      17.5      1.1                  1091500200134 
  2.99       3.51       1.212      14.8      1.0                  1091500200135 
  2.99       3.51       1.310      14.2      1.0                  1091500200136 
  2.99       3.51       1.413      14.7      1.0                  1091500200137 
  2.99       3.51       1.511      16.9      1.1                  1091500200138 
  2.99       3.51       1.611      23.7      1.3                  1091500200139 
  2.99       3.51       1.709      36.0      1.6                  1091500200140 
  2.99       3.51       1.807      51.2      1.9                  1091500200141 
  2.99       3.51       1.938      66.6      2.2                  1091500200142 
  2.99       3.51       2.112      67.2      2.0                  1091500200143 
  2.99       3.51       2.310      50.1      1.6                  1091500200144 
  2.99       3.51       2.499      48.2      1.4                  1091500200145 
  2.99       3.51       2.693      73.3      1.7                  1091500200146 
  2.99       3.51       2.898      96.8      1.9                  1091500200147 
  2.99       3.51       3.102      87.6      1.6                  1091500200148 
  2.99       3.51       3.301      58.8      1.1                  1091500200149 
  2.99       3.51       3.505      30.7      0.6                  1091500200150 
  2.99       3.51       3.712      13.4      0.3                  1091500200151 
  2.99       3.51       3.901       5.9      0.2                  1091500200152 
  2.99       3.51       4.147       2.1      0.1                  1091500200153 
  3.51       4.01       0.909      29.3      1.5                  1091500200154 
  3.51       4.01       1.013      38.3      1.6                  1091500200155 
  3.51       4.01       1.114      43.0      1.9                  1091500200156 
  3.51       4.01       1.212      41.8      1.9                  1091500200157 
  3.51       4.01       1.310      36.3      1.7                  1091500200158 
  3.51       4.01       1.413      28.6      1.5                  1091500200159 
  3.51       4.01       1.511      21.6      1.2                  1091500200160 
  3.51       4.01       1.611      16.3      1.0                  1091500200161 
  3.51       4.01       1.709      13.6      1.0                  1091500200162 
  3.51       4.01       1.807      12.6      1.1                  1091500200163 
  3.51       4.01       1.938      13.3      1.1                  1091500200164 
  3.51       4.01       2.112      22.2      1.1                  1091500200165 
  3.51       4.01       2.310      41.4      1.6                  1091500200166 
  3.51       4.01       2.499      51.6      1.7                  1091500200167 
  3.51       4.01       2.693      46.2      1.5                  1091500200168 
  3.51       4.01       2.898      41.4      1.3                  1091500200169 
  3.51       4.01       3.102      53.4      1.4                  1091500200170 
  3.51       4.01       3.301      68.8      1.5                  1091500200171 
  3.51       4.01       3.505      68.5      1.3                  1091500200172 
