ENTRY            12838   19851119                             00001283800000001 
SUBENT        12838001   19851119                             00001283800100001 
BIB                 13         32                                 1283800100002 
INSTITUTE  (1USADAV,1USALAS)                                      1283800100003 
REFERENCE  (J,PR/C,28,521,8308)                                   1283800100004 
AUTHOR     (T.S.SUBRAMANIAN,J.L.ROMERO,F.P.BRADY,J.W.WATSON,      1283800100005 
           D.H.FITZGERALD,R.GARRETT,G.A.NEEDHAM,J.L.ULLMAN,       1283800100006 
           C.I.ZANELLI,D.J.BRENNER,R.A.PRAEL)                     1283800100007 
TITLE      DOUBLE DIFFERENTIAL INCLUSIVE HYDROGEN AND HELIUM      1283800100008 
            SPECTRA FROM NEUTRON-INDUCED REACTIONS ON CARBON      1283800100009 
            27.4, 39.7, AND 60.7 MEV                              1283800100010 
INC-SOURCE (P-LI7)                                                1283800100011 
SAMPLE     SHEETS OF C-H                                          1283800100012 
DETECTOR   (TELES,SOLST,NAICR) 2 SI(SB) DELTA-E DETECTORS         1283800100013 
            COUPLED WITH NAI DETECTOR FOR OUTGOING PARTICLES      1283800100014 
           (TELES,SCIN) CHARGED-PARTICLE VETO DETECTOR COUPLED    1283800100015 
            WITH 2 PLASTIC SCINTILLATORS WITH A CH2 CONVERTER     1283800100016 
            FOR NEUTRON BEAM MONITOR                              1283800100017 
METHOD     TIME-OF-FLIGHT USED TO ELIMINATE NEUTRON BEAM TAIL.    1283800100018 
MONITOR    (1-H-1(N,EL)1-H-1,,DA)                                 1283800100019 
CORRECTION CORRECTED FOR BACKGROUND, ENERGY AND PARTICLE          1283800100020 
            LOSS IN SAMPLE, AND DEAD GAP IN NAI DETECTOR          1283800100021 
ERR-ANALYS (ERR-S) QUOTED ERRORS ARE STAISTICAL                   1283800100022 
           SYSTEMATIC ERRORS INCLUDE                              1283800100023 
            - NORMALIZATION TO H PEAK (2 PERCENT)                 1283800100024 
            - BACKGROUND SUBTRACTION (APPROX. 8 PERCENT)          1283800100025 
            - HE3 CONTAMINATION IN ALPHA SPECTRUM                 1283800100026 
               FOR 27.4 MEV, NEGLIGIBLE                           1283800100027 
               FOR 39.7 MEV, APPROX. 3 PERCENT                    1283800100028 
               FOR 60.7 MEV, APPORX. 5 PERCENT                    1283800100029 
            - OVERALL NORMALIZATION UNCERTAINTY 5 PERCENT         1283800100030 
            - HYDROGEN SURFACE DENSITY (APPROX. 4 PERCENT)        1283800100031 
STATUS     DATA TAKEN FROM PRIVATE COMM., ROMERO, 85/9            1283800100032 
           (APRVD) J.L.ROMERO, 11/5/85.                           1283800100033 
HISTORY    (850812C)                                              1283800100034 
ENDBIB              32          0                                 1283800100035 
NOCOMMON             0          0                                 1283800100036 
ENDSUBENT           35          0                                 1283800199999 
SUBENT        12838002   19851119                             00001283800200001 
BIB                  2          4                                 1283800200002 
REACTION   (6-C-12(N,X)1-H-1,,DA/DE)                              1283800200003 
CORRECTION CORRECTED FOR PROTON LOSS IN STOPPING DETECTOR DUE TO  1283800200004 
            NUCLEAR INTERACTIONS. RANGES FROM 1.5 PERCENT AT 39.7 1283800200005 
            MEV TO 4 PERCENT AT 60.7 MEV.                         1283800200006 
ENDBIB               4          0                                 1283800200007 
NOCOMMON             0          0                                 1283800200008 
DATA                 5        223                                 1283800200009 
EN         ANG        E          DATA       ERR-S                 1283800200010 
MEV        ADEG       MEV        MB/SR/MEV  MB/SR/MEV             1283800200011 
    27.4          15.0        3.6       1.17       0.15           1283800200012 
    27.4          15.0        7.6       1.20       0.20           1283800200013 
    27.4          15.0        9.6       1.22       0.25           1283800200014 
    27.4          15.0       11.6       0.77       0.23           1283800200015 
    27.4          15.0       13.6       1.02       0.24           1283800200016 
    27.4          15.0       15.6       0.00       0.07           1283800200017 
    27.4          20.0        3.7       0.60       0.13           1283800200018 
    27.4          20.0        7.7       1.46       0.17           1283800200019 
    27.4          20.0        9.7       0.91       0.18           1283800200020 
    27.4          20.0       11.7       0.79       0.20           1283800200021 
    27.4          20.0       13.7       1.26       0.14           1283800200022 
    27.4          35.0        4.8       0.39       0.11           1283800200023 
    27.4          35.0        6.8       0.36       0.09           1283800200024 
    27.4          35.0        8.8       0.74       0.22           1283800200025 
    27.4          35.0       10.8       0.53       0.22           1283800200026 
    27.4          35.0       12.8       1.35       0.26           1283800200027 
    27.4          40.0        4.5       0.74       0.11           1283800200028 
    27.4          40.0        6.5       0.18       0.10           1283800200029 
    27.4          40.0        8.5       0.80       0.14           1283800200030 
    27.4          40.0       10.5       0.04       0.03           1283800200031 
    27.4          45.0        4.4       1.17       0.14           1283800200032 
    27.4          45.0        6.4       1.05       0.18           1283800200033 
    27.4          45.0        8.4       0.71       0.18           1283800200034 
    27.4          65.0        8.2       0.62       0.12           1283800200035 
    27.4          65.0       10.2       0.39       0.08           1283800200036 
    27.4          65.0       12.2       0.22       0.15           1283800200037 
    27.4          90.0        7.2       0.25       0.11           1283800200038 
    27.4          90.0        9.2      -0.01       0.18           1283800200039 
    27.4          90.0       11.2       0.21       0.05           1283800200040 
    27.4         130.0        7.7       0.10       0.12           1283800200041 
    27.4         130.0        9.7       0.33       0.19           1283800200042 
    27.4         150.0        6.9      -0.03       0.24           1283800200043 
    27.4         150.0        8.9      -0.03       0.36           1283800200044 
    39.7          15.0        4.1       1.71       0.14           1283800200045 
    39.7          15.0        8.1       0.65       0.20           1283800200046 
    39.7          15.0       10.1       0.69       0.21           1283800200047 
    39.7          15.0       12.1       0.85       0.18           1283800200048 
    39.7          15.0       14.1       1.30       0.23           1283800200049 
    39.7          15.0       16.1       1.36       0.21           1283800200050 
    39.7          15.0       18.1       1.19       0.22           1283800200051 
    39.7          15.0       20.1       1.02       0.22           1283800200052 
    39.7          15.0       22.1       1.52       0.19           1283800200053 
    39.7          15.0       24.1       0.64       0.21           1283800200054 
    39.7          15.0       26.1       0.95       0.23           1283800200055 
    39.7          15.0       28.1       0.76       0.16           1283800200056 
    39.7          20.0        4.2       1.15       0.16           1283800200057 
    39.7          20.0       10.2       0.84       0.16           1283800200058 
    39.7          20.0       12.2       0.73       0.18           1283800200059 
    39.7          20.0       14.2       0.85       0.20           1283800200060 
    39.7          20.0       16.2       1.09       0.20           1283800200061 
    39.7          20.0       18.2       1.41       0.21           1283800200062 
    39.7          20.0       20.2       1.10       0.19           1283800200063 
    39.7          20.0       22.2       1.12       0.20           1283800200064 
    39.7          20.0       24.2       0.84       0.14           1283800200065 
    39.7          20.0       26.2       0.63       0.18           1283800200066 
    39.7          35.0        3.1       0.93       0.15           1283800200067 
    39.7          35.0        7.1       0.64       0.13           1283800200068 
