EN         EN-RSL     POL-BM     ANG-CM     DATA       DATA-ERR   1368100200007 
MEV        MEV        NO-DIM     ADEG       NO-DIM     NO-DIM     1368100200008 
6.5        0.25        0.61       95.00      0.0767     0.0040    1368100200043 
6.5        0.25        0.61      101.40      0.0873     0.0042    1368100200044 
6.5        0.25        0.61      104.90      0.0927     0.0042    1368100200045 
6.5        0.25        0.61      106.90      0.1082     0.0053    1368100200046 
6.5        0.25        0.61      112.90      0.1153     0.0047    1368100200047 
6.5        0.25        0.61      115.00      0.1177     0.0044    1368100200048 
6.5        0.25        0.61      118.10      0.1182     0.0049    1368100200049 
6.5        0.25        0.61      120.10      0.1126     0.0039    1368100200050 
6.5        0.25        0.61      123.20      0.1061     0.0044    1368100200051 
6.5        0.25        0.61      126.10      0.0995     0.0043    1368100200052 
6.5        0.25        0.61      130.10      0.0948     0.0043    1368100200053 
6.5        0.25        0.61      135.00      0.0763     0.0032    1368100200054 
6.5        0.25        0.61      140.20      0.0517     0.0031    1368100200055 
6.5        0.25        0.61      145.10      0.0418     0.0037    1368100200056 
6.5        0.25        0.61      149.80      0.0269     0.0033    1368100200057 
6.5        0.25        0.61      154.90      0.0213     0.0041    1368100200058 
8.5        0.20        0.63       44.95      0.0248     0.0027    1368100200059 
8.5        0.20        0.63       56.25      0.0284     0.0030    1368100200060 
8.5        0.20        0.63       68.6       0.0328     0.0025    1368100200061 
8.5        0.20        0.63       80.56      0.0488     0.0028    1368100200062 
8.5        0.20        0.63       91.89      0.0575     0.0025    1368100200063 
8.5        0.20        0.63      100.38      0.0827     0.0023    1368100200064 
8.5        0.20        0.63      106.13      0.1002     0.0022    1368100200065 
8.5        0.20        0.63      111.69      0.1283     0.0030    1368100200066 
8.5        0.20        0.63      117.04      0.1432     0.0032    1368100200067 
8.5        0.20        0.63      120.13      0.1477     0.0033    1368100200068 
8.5        0.20        0.63      122.65      0.1469     0.0032    1368100200069 
8.5        0.20        0.63      125.07      0.1443     0.0029    1368100200070 
8.5        0.20        0.63      129.72      0.1341     0.0034    1368100200071 
8.5        0.20        0.63      134.09      0.1035     0.0033    1368100200072 
8.5        0.20        0.63      138.20      0.0854     0.0030    1368100200073 
8.5        0.20        0.63      145.72      0.0516     0.0031    1368100200074 
ENDDATA             68          0                                 1368100200075 
ENDSUBENT           74          0                                 1368100299999 
ENDENTRY             2          0                                 1368199999999 
