ENTRY            10460   20170822                             143110460  0    1 
SUBENT        10460001   20170822                             143110460  1    1 
BIB                 10         18                                 10460  1    2 
INSTITUTE  (1USALAS)                                              10460  1    3 
REFERENCE  (J,NSE,55,427,1974)                                    10460  1    4 
AUTHOR     (D.M.Drake)                                            10460  1    5 
TITLE      Cross Sections for Uranium-235 and Plutonium-239 for   10460  1    6 
            Neutrons Producing Gamma Rays.                        10460  1    7 
FACILITY   (VDG,1USALAS)                                          10460  1    8 
METHOD     (TOF,PHD) Time-of-flight, pulse-height discrimination  10460  1    9 
DETECTOR   (NAICR,TELES,FISCH) Sodium-iodide crystal spectrometer 10460  1   10 
            for gamma ray detection; proton recoil telescope and  10460  1   11 
            fission counter for neutron flux.                     10460  1   12 
ERR-ANALYS (DATA-ERR) Errors include uncertainties in detector    10460  1   13 
            efficiency, gamma-ray attenuation, multiple scattering10460  1   14 
            effects and statistical errors.                       10460  1   15 
STATUS     (APRVD) Approved by author                             10460  1   16 
HISTORY    (19750108C)                                            10460  1   17 
           (19830609A) Converted to REACTION formalism            10460  1   18 
           (20030626A) Converted to new date formats, lower case. 10460  1   19 
           (20170821A) OS. REACTION and units corrected           10460  1   20 
ENDBIB              18          0                                 10460  1   21 
NOCOMMON             0          0                                 10460  1   22 
ENDSUBENT           21          0                                 10460  199999 
SUBENT        10460002   20170822                             143110460  2    1 
BIB                  3          3                                 10460  2    2 
REACTION   (92-U-235(N,X)0-G-0,,DA/DE)                            10460  2    3 
STATUS     (TABLE) Table III, p.436-437                           10460  2    4 
HISTORY    (20170821A) Corrected REACTION and units, added STATUS 10460  2    5 
ENDBIB               3          0                                 10460  2    6 
COMMON               1          3                                 10460  2    7 
ANG                                                               10460  2    8 
ADEG                                                              10460  2    9 
45.                                                               10460  2   10 
ENDCOMMON            3          0                                 10460  2   11 
DATA                 5        126                                 10460  2   12 
EN         E-MIN      E-MAX      DATA       DATA-ERR              10460  2   13 
MEV        MEV        MEV        MB/SR/MEV  MB/SR/MEV             10460  2   14 
1.         0.25       0.35        870.      120.                  10460  2   15 
1.         0.35       0.50        870.      120.                  10460  2   16 
1.         0.50       0.75        800.       80.                  10460  2   17 
1.         0.75       1.0         450.       40.                  10460  2   18 
1.         1.0        1.5         250.       22.                  10460  2   19 
1.         1.5        2.0         120.       11.                  10460  2   20 
1.         2.0        2.5          75.        7.                  10460  2   21 
1.         2.5        3.0          44.        4.                  10460  2   22 
1.         3.0        3.5          23.        2.3                 10460  2   23 
1.         3.5        4.0          11.        1.1                 10460  2   24 
1.         4.0        4.5           8.3       0.9                 10460  2   25 
1.         4.5        5.0           2.9       0.4                 10460  2   26 
1.         5.0        5.5           2.4       0.3                 10460  2   27 
1.         5.5        6.0           1.5       0.3                 10460  2   28 
2.         0.25       0.35        940.      120.                  10460  2   29 
2.         0.35       0.50        980.      130.                  10460  2   30 
2.         0.50       0.75        870.       90.                  10460  2   31 
2.         0.75       1.0         560.       50.                  10460  2   32 
2.         1.0        1.5         350.       30.                  10460  2   33 
2.         1.5        2.0         160.       13.                  10460  2   34 
2.         2.0        2.5          70.        6.                  10460  2   35 
2.         2.5        3.0          41.        4.                  10460  2   36 
2.         3.0        3.5          23.        2.3                 10460  2   37 
2.         3.5        4.0          15.        1.5                 10460  2   38 
2.         4.0        4.5           8.4       1.0                 10460  2   39 
2.         4.5        5.0           3.6       0.5                 10460  2   40 
2.         5.0        5.5           2.5       0.3                 10460  2   41 
2.         5.5        6.0           1.6       0.3                 10460  2   42 
5.         0.25       0.35        940.      120.                  10460  2   43 
5.         0.35       0.50        990.      120.                  10460  2   44 
5.         0.50       0.75       1010.      120.                  10460  2   45 
5.         0.75       1.0         570.       65.                  10460  2   46 
5.         1.0        1.5         380.       40.                  10460  2   47 
5.         1.5        2.0         245.       25.                  10460  2   48 
5.         2.0        2.5         173.       17.                  10460  2   49 
5.         2.5        3.0          79.        8.                  10460  2   50 
5.         3.0        3.5          33.        4.                  10460  2   51 
5.         3.5        4.0          18.        2.                  10460  2   52 
5.         4.0        4.5           4.4       0.6                 10460  2   53 
5.         4.5        5.0           3.3       0.5                 10460  2   54 
5.         5.0        5.5           1.5       0.2                 10460  2   55 
5.         5.5        6.0           1.1       0.2                 10460  2   56 
5.5        0.25       0.35        940.      120.                  10460  2   57 
5.5        0.35       0.50        970.      120.                  10460  2   58 
5.5        0.50       0.75       1011.      120.                  10460  2   59 
5.5        0.75       1.0         560.       65.                  10460  2   60 
5.5        1.0        1.5         375.       40.                  10460  2   61 
5.5        1.5        2.0         264.       25.                  10460  2   62 
5.5        2.0        2.5         173.       17.                  10460  2   63 
5.5        2.5        3.0          82.        9.                  10460  2   64 
5.5        3.0        3.5          36.        4.                  10460  2   65 
5.5        3.5        4.0          19.        3.                  10460  2   66 
5.5        4.0        4.5           4.6       0.6                 10460  2   67 
5.5        4.5        5.0           3.1       0.5                 10460  2   68 
5.5        5.0        5.5           2.1       0.4                 10460  2   69 
5.5        5.5        6.0           1.6       0.3                 10460  2   70 
6.         0.25       0.35        960.      120.                  10460  2   71 
6.         0.35       0.50       1012.      120.                  10460  2   72 
6.         0.50       0.75       1050.      130.                  10460  2   73 
6.         0.75       1.0         580.       65.                  10460  2   74 
6.         1.0        1.5         380.       45.                  10460  2   75 
6.         1.5        2.0         270.       27.                  10460  2   76 
6.         2.0        2.5         180.       17.                  10460  2   77 
6.         2.5        3.0          65.        6.9                 10460  2   78 
6.         3.0        3.5          37.        4.                  10460  2   79 
6.         3.5        4.0          19.        3.                  10460  2   80 
6.         4.0        4.5           4.7       1.0                 10460  2   81 
6.         4.5        5.0           3.2       0.6                 10460  2   82 
6.         5.0        5.5           2.2       0.2                 10460  2   83 
6.         5.5        6.0           1.7       0.4                 10460  2   84 
6.5        0.25       0.35       1020.      120.                  10460  2   85 
6.5        0.35       0.50       1170.      140.                  10460  2   86 
6.5        0.50       0.75       1110.      140.                  10460  2   87 
6.5        0.75       1.0         630.       70.                  10460  2   88 
6.5        1.0        1.5         400.       45.                  10460  2   89 
6.5        1.5        2.0         240.       25.                  10460  2   90 
6.5        2.0        2.5         160.       15.                  10460  2   91 
6.5        2.5        3.0          80.        9.                  10460  2   92 
6.5        3.0        3.5          35.        4.                  10460  2   93 
6.5        3.5        4.0          19.        3.                  10460  2   94 
6.5        4.0        4.5          11.        1.4                 10460  2   95 
6.5        4.5        5.0           5.0       0.7                 10460  2   96 
6.5        5.0        5.5           1.3       1.2                 10460  2   97 
6.5        5.5        6.0           1.0       0.4                 10460  2   98 
7.         0.25       0.35       1230.      150.                  10460  2   99 
7.         0.35       0.50       1310.      160.                  10460  2  100 
7.         0.50       0.75       1330.      140.                  10460  2  101 
7.         0.75       1.0         730.       80.                  10460  2  102 
7.         1.0        1.5         440.       45.                  10460  2  103 
7.         1.5        2.0         270.       25.                  10460  2  104 
7.         2.0        2.5         160.       15.                  10460  2  105 
7.         2.5        3.0          87.        9.                  10460  2  106 
7.         3.0        3.5          36.        5.                  10460  2  107 
7.         3.5        4.0          20.        3.                  10460  2  108 
7.         4.0        4.5          11.        2.                  10460  2  109 
7.         4.5        5.0           4.0       1.1                 10460  2  110 
7.         5.0        5.5           2.0       1.1                 10460  2  111 
7.         5.5        6.0           1.4       0.5                 10460  2  112 
7.5        0.25       0.35       1300.      140.                  10460  2  113 
7.5        0.35       0.50       1360.      160.                  10460  2  114 
7.5        0.50       0.75       1230.      150.                  10460  2  115 
7.5        0.75       1.0         760.       85.                  10460  2  116 
7.5        1.0        1.5         460.       50.                  10460  2  117 
7.5        1.5        2.0         225.       22.                  10460  2  118 
7.5        2.0        2.5         130.       14.                  10460  2  119 
7.5        2.5        3.0          66.        7.                  10460  2  120 
7.5        3.0        3.5          42.        5.                  10460  2  121 
7.5        3.5        4.0          27.        3.                  10460  2  122 
7.5        4.0        4.5          12.        2.2                 10460  2  123 
7.5        4.5        5.0           5.1       1.2                 10460  2  124 
7.5        5.0        5.5           3.0       1.0                 10460  2  125 
7.5        5.5        6.0           1.3       0.5                 10460  2  126 
8.         0.25       0.35       1470.      160.                  10460  2  127 
8.         0.35       0.50       1420.      170.                  10460  2  128 
8.         0.50       0.75       1310.      160.                  10460  2  129 
8.         0.75       1.0         806.       90.                  10460  2  130 
8.         1.0        1.5         465.       50.                  10460  2  131 
8.         1.5        2.0         220.       22.                  10460  2  132 
8.         2.0        2.5         130.       14.                  10460  2  133 
