ENTRY            10109   20000202                             00001010900000001 
SUBENT        10109001   20000202                             00001010900100001 
BIB                 13         29                                 1010900100002 
INSTITUTE  (1USAORL)                                              1010900100003 
REFERENCE  (R,ORNL-4519,197004)                                   1010900100004 
AUTHOR     (F.G.PEREY,W.E.KINNEY)                                 1010900100005 
TITLE      Calcium neutron elastic- and inelastic-scattering      1010900100006 
           cross sections from 4.0 to 8.5 MeV                     1010900100007 
FACILITY   (VDG,1USAORL) ORNL Van de Graaff, pulsed at 2 mhz and  1010900100008 
            bunched.                                              1010900100009 
INC-SOURCE (D-D) D(d,n) reaction using gas cells ranging in length1010900100010 
            from 0.7 to 4.0 cm. Neutron energy resolution between 1010900100011 
            60 to 340 keV.                                        1010900100012 
SAMPLE     Solid right circular cylinder 2.54 cm diameter,        1010900100013 
            2 cm high placed 10 to 30 cm from gas cell.           1010900100014 
METHOD     (TOF) Time-of-flight. 2.5 nanosec resolution (FWHM).   1010900100015 
DETECTOR   (SCIN)  12.5 cm diameter NE213 liquid scintillator     1010900100016 
            viewed by XP-1040 photomultipliers.  Flight paths of  1010900100017 
            4 to 6 meters employed.                               1010900100018 
MONITOR    (1-H-1(N,EL)1-H-1,,DA) Detector efficiency determined  1010900100019 
            relative to n-p cross section.                        1010900100020 
CORRECTION  Corrected for multiple scattering and other finite    1010900100021 
            sample size effects.                                  1010900100022 
STATUS     (APRVD) Approved by authors.                           1010900100023 
           Data rec'd in private comm., Kinney, September 1971.   1010900100024 
HISTORY    (19710908R) rec'd on tape in CSISRS format             1010900100025 
           (19750421A) ISO-QUANT corrected on subentries 48-57.   1010900100026 
           (19820929A) Subentries 38-46 deleted.                  1010900100027 
                     Converted to REACTION formalism              1010900100028 
           (19860313A) BIB update.                                1010900100029 
           (20000202A) Converted to new date format, lower case.  1010900100030 
                       BIB corrections.                           1010900100031 
ENDBIB              29          0                                 1010900100032 
NOCOMMON             0          0                                 1010900100033 
ENDSUBENT           32          0                                 1010900199999 
SUBENT        10109002   20000202                             00001010900200001 
BIB                  3         12                                 1010900200002 
REACTION   (20-CA-0(N,EL)20-CA-0,,DA)                             1010900200003 
ERR-ANALYS (DATA-ERR) Includes uncertainties in:                  1010900200004 
            . geometric parameters,                               1010900200005 
            . finite size corrections,                            1010900200006 
            . statistics,                                         1010900200007 
            . residual background effects due to peak stripping   1010900200008 
              procedures.                                         1010900200009 
            Does not include absolute error of + or - 7%,         1010900200010 
             estimated error in the absolute value of the         1010900200011 
             detector efficiency.                                 1010900200012 
HISTORY    (19820929A) SUBENTRIES 2,3,4,7,11,15,18,22,29 COMBINED.1010900200013 
           (19860313A) REACTION PRODUCT ADDED.                    1010900200014 
ENDBIB              12          0                                 1010900200015 
NOCOMMON             0          0                                 1010900200016 
DATA                 6         94                                 1010900200017 
EN         EN-RSL     ANG-CM     DATA       +DATA-ERR  -DATA-ERR  1010900200018 
MEV        MEV        ADEG       MB/SR      PER-CENT   PER-CENT   1010900200019 
  4.19     0.08         91.44         55.21     5.8        6.6    1010900200020 
  4.46     0.07         91.44         54.04     6.5        6.5    1010900200021 
  5.00     0.05         91.44         36.08     5.1        5.1    1010900200022 
  5.18     0.05         91.44         31.49     6.4        5.2    1010900200023 
  5.18     0.05         91.44         33.18     5.4        5.0    1010900200024 
  5.50     0.05         22.54       1065.66     4.6        6.0    1010900200025 
  5.50     0.05         28.16        919.69     4.7        5.4    1010900200026 
  5.50     0.05         32.76        682.78     4.2        4.7    1010900200027 
  5.50     0.05         32.76        689.04     4.1        6.5    1010900200028 
  5.50     0.05         38.37        509.40     4.0        6.5    1010900200029 
  5.50     0.05         38.38        531.02     4.2        6.7    1010900200030 
  5.50     0.05         42.96        420.22     3.9        4.9    1010900200031 
  5.50     0.05         43.98        360.94     4.1        5.1    1010900200032 
  5.50     0.05         48.56        284.73     4.0        5.3    1010900200033 
  5.50     0.05         54.15        181.24     4.2        5.2    1010900200034 
  5.50     0.05         58.20        102.67     6.2        4.5    1010900200035 
  5.50     0.05         63.77         56.70     7.4        8.4    1010900200036 
  5.50     0.05         69.33         37.91     6.6        7.4    1010900200037 
  5.50     0.05         73.36         22.39    10.0        8.4    1010900200038 
  5.50     0.05         78.90         20.35     8.7        9.1    1010900200039 
  5.50     0.05         84.43         24.98     8.7        9.6    1010900200040 
  5.50     0.05         89.43         26.71     7.1        9.5    1010900200041 
  5.50     0.05         91.44         23.73    12.2        6.3    1010900200042 
  5.50     0.05         94.93         33.75     7.8        7.4    1010900200043 
  5.50     0.05        100.42         37.41     8.8        7.2    1010900200044 
  5.50     0.05        103.40         35.21     7.8        6.4    1010900200045 
  5.50     0.05        108.87         35.38     8.2        5.3    1010900200046 
  5.50     0.05        114.32         39.40     5.5        5.2    1010900200047 
  6.00     0.05         53.64        103.50     0.0        3.6    1010900200048 
  6.00     0.05        119.27         36.52     4.7        4.6    1010900200049 
  6.37     0.13         28.16        803.72     4.0        6.2    1010900200050 
  6.37     0.13         32.76        587.08     4.0        4.4    1010900200051 
  6.37     0.13         33.27        644.00     3.8        4.9    1010900200052 
  6.37     0.13         38.37        406.85     4.1        4.1    1010900200053 
  6.37     0.13         43.98        276.34     4.0        4.2    1010900200054 
  6.37     0.13         48.05        193.44     4.5        4.8    1010900200055 
  6.37     0.13         53.64        106.84     4.6        5.1    1010900200056 
  6.37     0.13         53.64         93.52     1.2        4.0    1010900200057 
  6.37     0.13         59.22         62.63     4.9        5.4    1010900200058 
  6.37     0.13         63.26         32.84     7.6        5.8    1010900200059 
  6.37     0.13         68.82         16.47     6.6        7.1    1010900200060 
  6.37     0.13         74.37          9.99     8.9       10.7    1010900200061 
  6.37     0.13         78.40          6.65    13.3       11.2    1010900200062 
  6.37     0.13         83.92          6.31    13.8       11.5    1010900200063 
