 40.        101.       44.40       .83                            10918  2   88 
 40.        102.       26.99       .84                            10918  2   89 
 40.        103.       10.05       .78                            10918  2   90 
 40.        104.        7.11       .83                            10918  2   91 
 41.         97.        2.06       .37                            10918  2   92 
 41.         98.        4.43       .46                            10918  2   93 
 41.         99.       14.13       .63                            10918  2   94 
 41.        100.       19.81       .70                            10918  2   95 
 41.        101.       45.49       .85                            10918  2   96 
 41.        102.       41.54      1.04                            10918  2   97 
 41.        103.       36.16      1.20                            10918  2   98 
 41.        104.       17.88      1.40                            10918  2   99 
 41.        105.       14.78      1.72                            10918  2  100 
 42.        100.        4.98       .52                            10918  2  101 
 42.        101.        7.72       .63                            10918  2  102 
 42.        102.       28.49      1.04                            10918  2  103 
 42.        103.       50.75      1.27                            10918  2  104 
 42.        104.       70.42      1.60                            10918  2  105 
 42.        105.       72.32      3.09                            10918  2  106 
 43.        102.        2.98       .72                            10918  2  107 
 43.        103.        3.04       .84                            10918  2  108 
 43.        104.        4.59       .96                            10918  2  109 
 43.        105.        9.98      2.76                            10918  2  110 
 44.        105.        2.92      2.23                            10918  2  111 
ENDDATA            102          0                                 10918  2  112 
ENDSUBENT          111          0                                 10918  299999 
SUBENT        10918003   20200930                             147410918  3    1 
BIB                  3          4                                 10918  3    2 
REACTION   (92-U-233(N,F)ELEM/MASS,IND,FY,,SPA)                   10918  3    3 
STATUS     (DEP,10918002)                                         10918  3    4 
           (TABLE) Data from Tab. in Report UILU-ENG-80-5312,1980 10918  3    5 
HISTORY    (20200930U) OG. STATUS updated.                        10918  3    6 
ENDBIB               4          0                                 10918  3    7 
NOCOMMON             0          0                                 10918  3    8 
DATA                 4        100                                 10918  3    9 
ELEMENT    MASS       DATA       DATA-ERR                         10918  3   10 
NO-DIM     NO-DIM     PC/FIS     PC/FIS                           10918  3   11 
 31.         81.       0.031      0.010                           10918  3   12 
 31.         82.       0.027      0.006                           10918  3   13 
 32.         81.       0.111      0.015                           10918  3   14 
 32.         82.       0.085      0.008                           10918  3   15 
 32.         83.       0.048      0.007                           10918  3   16 
 32.         84.       0.021      0.008                           10918  3   17 
 33.         81.       0.203      0.017                           10918  3   18 
 33.         82.       0.312      0.012                           10918  3   19 
 33.         83.       0.351      0.014                           10918  3   20 
 33.         84.       0.172      0.014                           10918  3   21 
 33.         85.       0.107      0.011                           10918  3   22 
 33.         86.       0.050      0.009                           10918  3   23 
 34.         81.       0.028      0.010                           10918  3   24 
 34.         82.       0.166      0.009                           10918  3   25 
 34.         83.       0.592      0.016                           10918  3   26 
 34.         84.       1.251      0.024                           10918  3   27 
 34.         85.       1.131      0.025                           10918  3   28 
 34.         86.       0.812      0.023                           10918  3   29 
 34.         87.       0.363      0.024                           10918  3   30 
 34.         88.       0.123      0.015                           10918  3   31 
 35.         83.       0.014      0.006                           10918  3   32 
 35.         84.       0.214      0.012                           10918  3   33 
 35.         85.       0.819      0.022                           10918  3   34 
 35.         86.       1.390      0.026                           10918  3   35 
 35.         87.       1.725      0.032                           10918  3   36 
 35.         88.       1.166      0.034                           10918  3   37 
 35.         89.       0.599      0.035                           10918  3   38 
 35.         90.       0.165      0.019                           10918  3   39 
 35.         91.       0.066      0.012                           10918  3   40 
 36.         85.       0.117      0.021                           10918  3   41 
 36.         86.       0.569      0.018                           10918  3   42 
 36.         87.       1.798      0.032                           10918  3   43 
 36.         88.       3.822      0.046                           10918  3   44 
 36.         89.       4.714      0.053                           10918  3   45 
 36.         90.       3.885      0.048                           10918  3   46 
 36.         91.       1.950      0.041                           10918  3   47 
 36.         92.       0.730      0.037                           10918  3   48 
 36.         93.       0.173      0.019                           10918  3   49 
 37.         87.       0.071      0.013                           10918  3   50 
 37.         88.       0.314      0.022                           10918  3   51 
 37.         89.       0.977      0.033                           10918  3   52 
 37.         90.       2.327      0.041                           10918  3   53 
 37.         91.       3.404      0.046                           10918  3   54 
 37.         92.       2.943      0.046                           10918  3   55 
 37.         93.       1.766      0.041                           10918  3   56 
 37.         94.       0.607      0.036                           10918  3   57 
 37.         95.       0.228      0.023                           10918  3   58 
 37.         96.       0.040      0.010                           10918  3   59 
 38.         89.       0.099      0.014                           10918  3   60 
 38.         90.       0.313      0.024                           10918  3   61 
 38.         91.       1.165      0.034                           10918  3   62 
 38.         92.       2.728      0.044                           10918  3   63 
 38.         93.       4.454      0.052                           10918  3   64 
 38.         94.       4.861      0.057                           10918  3   65 
 38.         95.       3.244      0.046                           10918  3   66 
 38.         96.       1.805      0.037                           10918  3   67 
 38.         97.       0.637      0.031                           10918  3   68 
 38.         98.       0.237      0.020                           10918  3   69 
 38.         99.       0.067      0.011                           10918  3   70 
 39.         92.       0.142      0.018                           10918  3   71 
 39.         93.       0.507      0.031                           10918  3   72 
 39.         94.       1.301      0.040                           10918  3   73 
 39.         95.       2.629      0.044                           10918  3   74 
 39.         96.       2.825      0.042                           10918  3   75 
 39.         97.       2.572      0.043                           10918  3   76 
 39.         98.       1.296      0.034                           10918  3   77 
 39.         99.       0.667      0.032                           10918  3   78 
 39.        100.       0.158      0.018                           10918  3   79 
 39.        101.       0.074      0.011                           10918  3   80 
 40.         94.       0.090      0.017                           10918  3   81 
 40.         95.       0.327      0.026                           10918  3   82 
 40.         96.       1.073      0.033                           10918  3   83 
 40.         97.       2.206      0.041                           10918  3   84 
 40.         98.       3.396      0.045                           10918  3   85 
 40.         99.       3.527      0.048                           10918  3   86 
 40.        100.       3.080      0.044                           10918  3   87 
 40.        101.       1.384      0.029                           10918  3   88 
 40.        102.       0.655      0.022                           10918  3   89 
 40.        103.       0.153      0.012                           10918  3   90 
 40.        104.       0.069      0.008                           10918  3   91 
 41.         97.       0.114      0.020                           10918  3   92 
 41.         98.       0.229      0.024                           10918  3   93 
 41.         99.       0.701      0.032                           10918  3   94 
 41.        100.       0.853      0.031                           10918  3   95 
 41.        101.       1.418      0.030                           10918  3   96 
 41.        102.       1.008      0.028                           10918  3   97 
 41.        103.       0.549      0.020                           10918  3   98 
 41.        104.       0.173      0.014                           10918  3   99 
 41.        105.       0.073      0.009                           10918  3  100 
 42.        100.       0.215      0.023                           10918  3  101 
 42.        101.       0.241      0.020                           10918  3  102 
 42.        102.       0.691      0.026                           10918  3  103 
 42.        103.       0.771      0.022                           10918  3  104 
 42.        104.       0.683      0.020                           10918  3  105 
 42.        105.       0.356      0.018                           10918  3  106 
 43.        102.       0.072      0.017                           10918  3  107 
 43.        103.       0.046      0.013                           10918  3  108 
 43.        104.       0.045      0.009                           10918  3  109 
 43.        105.       0.049      0.014                           10918  3  110 
 44.        105.       0.014      0.011                           10918  3  111 
ENDDATA            102          0                                 10918  3  112 
ENDSUBENT          111          0                                 10918  399999 
SUBENT        10918004   20200930                             147410918  4    1 
BIB                  3          4                                 10918  4    2 
REACTION   (92-U-233(N,F)MASS,CHN,FY,,SPA)                        10918  4    3 
STATUS     (TABLE) Data from Appendix A (p.117-120) in            10918  4    4 
           Thesis,S.Lee,1983                                      10918  4    5 
HISTORY    (20200930U) OG. STATUS added.                          10918  4    6 
ENDBIB               4          0                                 10918  4    7 
NOCOMMON             0          0                                 10918  4    8 
DATA                 3         32                                 10918  4    9 
MASS       DATA       DATA-ERR                                    10918  4   10 
NO-DIM     PC/FIS     PC/FIS                                      10918  4   11 
  77.       0.038      0.003                                      10918  4   12 
  78.       0.062      0.004                                      10918  4   13 
  79.       0.125      0.006                                      10918  4   14 
  80.       0.248      0.008                                      10918  4   15 
  81.       0.373      0.010                                      10918  4   16 
  82.       0.589      0.013                                      10918  4   17 
  83.       1.005      0.017                                      10918  4   18 
  84.       1.657      0.022                                      10918  4   19 
  85.       2.173      0.025                                      10918  4   20 
  86.       2.821      0.028                                      10918  4   21 
  87.       3.956      0.034                                      10918  4   22 
  88.       5.426      0.040                                      10918  4   23 
  89.       6.389      0.043                                      10918  4   24 
  90.       6.690      0.044                                      10918  4   25 
  91.       6.586      0.044                                      10918  4   26 
  92.       6.543      0.044                                      10918  4   27 
  93.       6.901      0.045                                      10918  4   28 
  94.       6.857      0.045                                      10918  4   29 
