ENTRY            11319   19840606                             00001131900000001 
SUBENT        11319001   19840606                             00001131900100001 
BIB                  8         11                                 1131900100002 
INSTITUTE  (1USAORL)                                              1131900100003 
REFERENCE  (J,PR,109,891,58)                                      1131900100004 
AUTHOR     (J.E.WILLS JR,J.K.BAIR,H.O.COHN,H.B.WILLARD)           1131900100005 
TITLE      SCATTERING OF FAST NEUTRONS FROM C-12 AND F-19.        1131900100006 
INC-SOURCE (P-T,P-LI7)                                            1131900100007 
DETECTOR   (PROPC,SCIN) BIASED PROPORTIONAL COUNTER PLUS, ABOVE   1131900100008 
            2.5 MEV, BIASED LIQUID SCINTILLATOR                   1131900100009 
STATUS     (SCSRS)                                                1131900100010 
HISTORY    (760714T) TRANSLATED FROM SCISRS                       1131900100011 
           (810428A) CONVERTED TO REACTION FORMALISM              1131900100012 
           (840607A) BIB CORRECTION.                              1131900100013 
ENDBIB              11          0                                 1131900100014 
NOCOMMON             0          0                                 1131900100015 
ENDSUBENT           14          0                                 1131900199999 
SUBENT        11319002   19870224                             00001131900200001 
BIB                  2          3                                 1131900200002 
REACTION   (6-C-0(N,EL)6-C-0,,DA)                                 1131900200003 
HISTORY    (840607A) DATA SORTED.                                 1131900200004 
           (870224A) REACTION UPDATE.                             1131900200005 
ENDBIB               3          0                                 1131900200006 
COMMON               1          3                                 1131900200007 
EN-RSL                                                            1131900200008 
KEV                                                               1131900200009 
 50.                                                              1131900200010 
ENDCOMMON            3          0                                 1131900200011 
DATA                 6        107                                 1131900200012 
EN         EN-RSL     COS-CM     DATA       DATA-ERR   DATA-MAX   1131900200013 
 2.95   +00            0.39000    1.39   +02 1.6    +01           1131900200074 
 2.95   +00            0.59000    2.27   +02 1.6    +01           1131900200075 
 2.95   +00            0.78000    3.70   +02 1.5    +01           1131900200076 
 3.05   +00           -0.8000     1.64   +02 8.     +00           1131900200077 
 3.05   +00           -0.6000     1.24   +02 8.     +00           1131900200078 
 3.05   +00           -0.4100     9.0    +01 7.     +00           1131900200079 
 3.05   +00           -0.2000     8.0    +01 6.     +00           1131900200080 
 3.05   +00           -0.0100     8.1    +01 6.     +00           1131900200081 
 3.05   +00            0.19000    8.0    +01 6.     +00           1131900200082 
 3.05   +00            0.39000    8.4    +01 6.     +00           1131900200083 
 3.05   +00            0.59000    1.03   +02 6.     +00           1131900200084 
 3.05   +00            0.78000    1.18   +02 6.     +00           1131900200085 
 3.25   +00           -0.8000     2.85   +02 1.8    +01           1131900200086 
 3.25   +00           -0.6000     1.97   +02 1.5    +01           1131900200087 
 3.25   +00           -0.4100     9.7    +01 1.4    +01           1131900200088 
 3.25   +00           -0.2000     2.6    +01 1.3    +01           1131900200089 
 3.25   +00           -0.0100     9.     +00 1.2    +01           1131900200090 
 3.25   +00            0.19000    4.8    +01 1.1    +01           1131900200091 
 3.25   +00            0.39000    7.7    +01 1.1    +01           1131900200092 
 3.25   +00            0.59000    1.63   +02 1.0    +01           1131900200093 
 3.25   +00            0.78000    2.54   +02 1.0    +01           1131900200094 
 3.51   +00           -0.8000     3.59   +02 1.6    +01           1131900200095 
 3.51   +00           -0.6000     2.45   +02 1.8    +01           1131900200096 
 3.51   +00           -0.4100     9.4    +01 1.3    +01           1131900200097 
 3.51   +00           -0.2000     2.6    +01 1.3    +01           1131900200098 
 3.51   +00           -0.0100                          9.      +001131900200099 
 3.51   +00            0.19000    2.8    +01 1.3    +01           1131900200100 
 3.51   +00            0.39000    9.5    +01 1.1    +01           1131900200101 
 3.51   +00            0.59000    2.01   +02 1.3    +01           1131900200102 
 3.51   +00            0.78000    3.46   +02 1.1    +01           1131900200103 
 3.76   +00           -0.8000     3.39   +02 1.7    +01           1131900200104 
 3.76   +00           -0.6000     1.92   +02 1.5    +01           1131900200105 
 3.76   +00           -0.4100     9.1    +01 1.4    +01           1131900200106 
 3.76   +00           -0.2000     7.0    +01 1.3    +01           1131900200107 
 3.76   +00           -0.0100     4.7    +01 1.3    +01           1131900200108 
 3.76   +00            0.19000    5.1    +01 1.3    +01           1131900200109 
 3.76   +00            0.39000    6.3    +01 1.1    +01           1131900200110 
 3.76   +00            0.59000    1.61   +02 1.1    +01           1131900200111 
