ENTRY            13527   19951218                             00001352700000001 
SUBENT        13527001   19951218                             00001352700100001 
BIB                 13         22                                 1352700100002 
INSTITUTE  (1USALAS,1USAOHO,1USADAV,1USATNL,2SWDUPP)              1352700100003 
REFERENCE  (J,PR/C,45,1791,9204)                                  1352700100004 
AUTHOR     (B.K.PARK,J.RAPAPORT,J.L.ULLMANN,A.G.LING,D.S.SORENSON,1352700100005 
           F.P.BRADY,J.L.ROMERO,C.R.HOWELL,W.TORNOW,C.T.RONNQVIST)1352700100006 
TITLE      Gamow-Teller and dipole strength distribution in       1352700100007 
            40Ca(n,p)40K reaction.                                1352700100008 
FACILITY   (MESON) LAMPF-WNR                                      1352700100009 
INC-SOURCE White neutron source, spallation neutrons from 800 MeV 1352700100010 
            protons on tungsten                                   1352700100011 
SAMPLE     Natural calcium in multi-target array.                 1352700100012 
DETECTOR   (MWPC) 4 single-plane multiwire proportional counters. 1352700100013 
           (CSICR) To measure energy of detected protons          1352700100014 
MONITOR    (1-H-1(N,EL)1-H-1,,SIG)                                1352700100015 
CORRECTION Corrected for:                                         1352700100016 
           - background                                           1352700100017 
           - misidentification of events due to target chamber    1352700100018 
             inefficiencies                                       1352700100019 
           - angular resolution                                   1352700100020 
ERR-ANALYS (DATA-ERR) statistical uncertainty                     1352700100021 
STATUS     Data received by electronic file transfer, 96/8/6.     1352700100022 
           (APRVD) Approved by B. Park, 96/9/13                   1352700100023 
HISTORY    (911219C)                                              1352700100024 
ENDBIB              22          0                                 1352700100025 
NOCOMMON             0          0                                 1352700100026 
ENDSUBENT           25          0                                 1352700199999 
SUBENT        13527002   19951218                             00001352700200001 
BIB                  1          1                                 1352700200002 
REACTION   (20-CA-40(N,P)19-K-40,,DA/DE)                          1352700200003 
ENDBIB               1          0                                 1352700200004 
COMMON               2          3                                 1352700200005 
EN-MIN     EN-MAX                                                 1352700200006 
MEV        MEV                                                    1352700200007 
 60.        70.                                                   1352700200008 
ENDCOMMON            3          0                                 1352700200009 
DATA                 5        419                                 1352700200010 
ANG-MIN    ANG-MAX    E-EXC      DATA       DATA-ERR              1352700200011 
         2.         4.       -2.2 0.9202E-01 0.2392E-01           1352700200074 
         2.         4.       -1.7 0.1840E+00 0.3396E-01           1352700200075 
         2.         4.       -1.2 0.2761E+00 0.4170E-01           1352700200076 
         2.         4.       -0.7 0.3681E+00 0.4832E-01           1352700200077 
         2.         4.       -0.2 0.4247E+00 0.5194E-01           1352700200078 
         2.         4.        0.3 0.4877E+00 0.5574E-01           1352700200079 
         2.         4.        0.8 0.6258E+00 0.6332E-01           1352700200080 
         2.         4.        1.3 0.6916E+00 0.6671E-01           1352700200081 
         2.         4.        1.8 0.5430E+00 0.5889E-01           1352700200082 
         2.         4.        2.3 0.4523E+00 0.5370E-01           1352700200083 
         2.         4.        2.8 0.3773E+00 0.4892E-01           1352700200084 
         2.         4.        3.3 0.2131E+00 0.3670E-01           1352700200085 
         2.         4.        3.8 0.3787E+00 0.4906E-01           1352700200086 
         2.         4.        4.3 0.2775E+00 0.4198E-01           1352700200087 
         2.         4.        4.8 0.1974E+00 0.3518E-01           1352700200088 
         2.         4.        5.3 0.3590E+00 0.4778E-01           1352700200089 
         2.         4.        5.8 0.3972E+00 0.5038E-01           1352700200090 
         2.         4.        6.3 0.3419E+00 0.4661E-01           1352700200091 
         2.         4.        6.8 0.4418E+00 0.5312E-01           1352700200092 
         2.         4.        7.3 0.6010E+00 0.6218E-01           1352700200093 
         2.         4.        7.8 0.5260E+00 0.5796E-01           1352700200094 
         2.         4.        8.3 0.6655E+00 0.6542E-01           1352700200095 
         2.         4.        8.8 0.7364E+00 0.6908E-01           1352700200096 
         2.         4.        9.3 0.8588E+00 0.7455E-01           1352700200097 
         2.         4.        9.8 0.9955E+00 0.8049E-01           1352700200098 
         2.         4.       10.3 0.9260E+00 0.7756E-01           1352700200099 
         2.         4.       10.8 0.1156E+01 0.8704E-01           1352700200100 
         2.         4.       11.3 0.1172E+01 0.8759E-01           1352700200101 
         2.         4.       11.8 0.1476E+01 0.9877E-01           1352700200102 
         2.         4.       12.3 0.1515E+01 0.1003E+00           1352700200103 
         2.         4.       12.8 0.1374E+01 0.9505E-01           1352700200104 
         2.         4.       13.3 0.1551E+01 0.1013E+00           1352700200105 
         2.         4.       13.8 0.1347E+01 0.9409E-01           1352700200106 
         2.         4.       14.3 0.1549E+01 0.1011E+00           1352700200107 
         2.         4.       14.8 0.1385E+01 0.9550E-01           1352700200108 
         2.         4.       15.3 0.1284E+01 0.9179E-01           1352700200109 
         2.         4.       15.8 0.1229E+01 0.8994E-01           1352700200110 
         2.         4.       16.3 0.1146E+01 0.8672E-01           1352700200111 
         2.         4.       16.8 0.1189E+01 0.8824E-01           1352700200112 
         2.         4.       17.3 0.9277E+00 0.7775E-01           1352700200113 
         2.         4.       17.8 0.9223E+00 0.7742E-01           1352700200114 
         2.         4.       18.3 0.9698E+00 0.7952E-01           1352700200115 
         2.         4.       18.8 0.1061E+01 0.8314E-01           1352700200116 
         2.         4.       19.3 0.8121E+00 0.7262E-01           1352700200117 
         2.         4.       19.8 0.8582E+00 0.7464E-01           1352700200118 
         2.         4.       20.3 0.7492E+00 0.6966E-01           1352700200119 
         2.         4.       20.8 0.7401E+00 0.6912E-01           1352700200120 
         2.         4.       21.3 0.5586E+00 0.5994E-01           1352700200121 
         2.         4.       21.8 0.5020E+00 0.5670E-01           1352700200122 
         2.         4.       22.3 0.7837E+00 0.7118E-01           1352700200123 
         2.         4.       22.8 0.4809E+00 0.5543E-01           1352700200124 
         2.         4.       23.3 0.4718E+00 0.5493E-01           1352700200125 
         2.         4.       23.8 0.3704E+00 0.4862E-01           1352700200126 
         2.         4.       24.3 0.3414E+00 0.4655E-01           1352700200127 
         2.         4.       24.8 0.1846E+00 0.3411E-01           1352700200128 
         2.         4.       25.3 0.1846E+00 0.3410E-01           1352700200129 
         2.         4.       25.8 0.1939E+00 0.3493E-01           1352700200130 
         2.         4.       26.3 0.8311E-01 0.2276E-01           1352700200131 
         2.         4.       26.8 0.5542E-01 0.1861E-01           1352700200132 
         4.         6.       -2.7 0.2496E-01 0.1184E-01           1352700200133 
         4.         6.       -2.2 0.7484E-01 0.2047E-01           1352700200134 
         4.         6.       -1.7 0.9142E-01 0.2266E-01           1352700200135 
         4.         6.       -1.2 0.2160E+00 0.3495E-01           1352700200136 
         4.         6.       -0.7 0.3404E+00 0.4412E-01           1352700200137 
         4.         6.       -0.2 0.4231E+00 0.4919E-01           1352700200138 
