ENTRY            12994   19870615                             00001299400000001 
SUBENT        12994001   19870615                             00001299400100001 
BIB                 12         18                                 1299400100002 
INSTITUTE  (1USATNL)                                              1299400100003 
REFERENCE  (J,PR/C,34,825,8609)                                   1299400100004 
AUTHOR     (G.M.HONORE,R.S.PEDRONI,C.R.HOWELL,H.G.PFUETZNER,      1299400100005 
           R.C.BYRD,G.TUNGATE,R.L.WALTER)                         1299400100006 
TITLE      DIFFERENTIAL CROSS SECTIONS AND ANALYZING POWERS FOR   1299400100007 
           NEUTRON ELASTIC SCATTERING FROM 89Y BETWEEN 8 AND 17   1299400100008 
           MEV                                                    1299400100009 
INC-SOURCE (D-D)                                                  1299400100010 
FACILITY   (VDGT)                                                 1299400100011 
METHOD     (TOF)                                                  1299400100012 
DETECTOR   (STANK)                                                1299400100013 
SAMPLE     32.9 GM CYLINDRICAL TARGET, 1.91 CM DIAMETER, 2.54 CM  1299400100014 
           HIGH. ESTIMATED TO BE 99.5 PERCENT Y-89.               1299400100015 
CORRECTION FINITE GEOMETRY EFFECTS AND MULTIPLE SCATTERING        1299400100016 
           CORRECTIONS WERE MADE TO BOTH ANGULAR DISTRIBUTION     1299400100017 
           DATA AND ANALYZING POWER DATA.                         1299400100018 
STATUS     NO REPLY TO AUTHOR PROOF.                              1299400100019 
HISTORY    (870113C)                                              1299400100020 
ENDBIB              18          0                                 1299400100021 
NOCOMMON             0          0                                 1299400100022 
ENDSUBENT           21          0                                 1299400199999 
SUBENT        12994002   19870615                             00001299400200001 
BIB                  2          4                                 1299400200002 
REACTION   (39-Y-89(N,EL)39-Y-89,,DA)                             1299400200003 
ERR-ANALYS UNCERTAINTIES IN ANGULAR DISTRIBUTION DATA IS BETWEEN  1299400200004 
           2.5 AND 6 PERCENT, WITH AN ABSOLUTE NORMALIZATION      1299400200005 
           UNCERTAINTY OF 3 PERCENT.                              1299400200006 
ENDBIB               4          0                                 1299400200007 
NOCOMMON             0          0                                 1299400200008 
DATA                 5        149                                 1299400200009 
EN         EN-RSL     ANG-CM     DATA       DATA-ERR              1299400200010 
MEV        MEV        ADEG       MB/SR      MB/SR                 1299400200011 
 7.962      0.106      24.6       1356.23    28.87                1299400200012 
 7.962      0.106      29.3        755.97    16.47                1299400200013 
 7.962      0.106      33.8        379.61     8.58                1299400200014 
 7.962      0.106      38.5        143.07     4.45                1299400200015 
 7.962      0.106      44.1         43.38     1.55                1299400200016 
 7.962      0.106      51.9         53.96     1.75                1299400200017 
 7.962      0.106      56.0         81.94     2.40                1299400200018 
 7.962      0.106      61.2        110.46     3.06                1299400200019 
 7.962      0.106      65.1        116.90     3.20                1299400200020 
 7.962      0.106      70.6        104.07     2.85                1299400200021 
 7.962      0.106      74.7         94.39     2.61                1299400200022 
 7.962      0.106      80.3         66.02     1.86                1299400200023 
 7.962      0.106      84.4         54.73     1.56                1299400200024 
 7.962      0.106      90.0         29.80     0.89                1299400200025 
 7.962      0.106      94.0         21.51     0.63                1299400200026 
 7.962      0.106      99.6         10.01     0.52                1299400200027 
 7.962      0.106     106.3          7.39     0.34                1299400200028 
 7.962      0.106     111.0         12.24     0.49                1299400200029 
 7.962      0.106     116.6         24.14     0.65                1299400200030 
 7.962      0.106     120.4         29.92     0.90                1299400200031 
 7.962      0.106     125.8         37.69     0.90                1299400200032 
 7.962      0.106     129.8         38.26     0.90                1299400200033 
 7.962      0.106     135.3         34.29     0.96                1299400200034 
 7.962      0.106     139.3         30.18     0.82                1299400200035 
 7.962      0.106     145.2         24.83     0.67                1299400200036 
 7.962      0.106     149.6         22.75     0.77                1299400200037 
 7.962      0.106     155.4         24.74     0.67                1299400200038 
 7.962      0.106     161.9         32.03     0.91                1299400200039 
 9.954      0.084      19.9       2288.00    50.45                1299400200040 
 9.954      0.084      24.5       1487.78    42.82                1299400200041 
 9.954      0.084      29.1        820.91    24.12                1299400200042 
 9.954      0.084      30.9        560.60    16.38                1299400200043 
 9.954      0.084      33.5        377.63    11.68                1299400200044 
 9.954      0.084      38.2        113.36     5.00                1299400200045 
 9.954      0.084      45.6         25.12     1.12                1299400200046 
 9.954      0.084      50.9         54.34     1.76                1299400200047 
