ENTRY            10964   19810624                             00001096400000001 
SUBENT        10964001   19810624                             00001096400100001 
BIB                 12         18                                 1096400100002 
INSTITUTE  (1CANALA)                                              1096400100003 
REFERENCE  (J,PR/C,22,2485,8012)                                  1096400100004 
AUTHOR     (S.T.LAM,L.L.YU,H.W.FIELDING,W.K.DAWSON,G.C.NEILSON,   1096400100005 
           J.T.SAMPLE)                                            1096400100006 
TITLE      FAST NEUTRON INDUCED FISSION OF U-238.                 1096400100007 
FACILITY   (VDG) VAN DE GRAAFF WITH MOBLEY BUNCHING SYSTEM.       1096400100008 
N-SOURCE   (P-T) PROTONS ON TRITIUM GAS CELL                      1096400100009 
SAMPLE     U-F(4) SAMPLE IN FORM OF SPHERICAL DISH                1096400100010 
DETECTOR   ORTEC 300 MM-SQ HEAVY-ION DETECTOR AT CENTER OF        1096400100011 
            CURVATURE OF URANIUM TARGET.                          1096400100012 
           NEUTRON FLUX MONITORED BY LIQUID SCINTILLATOR          1096400100013 
METHOD     MEASURED FLIGHT TIME AND ENERGY OF FISSION FRAGMENT.   1096400100014 
            FRAGMENT MASS CALCULATED USING THE RELATIONSHIP       1096400100015 
            BETWEEN FRAGMENT ENERGY AND FLIGHT TIME -             1096400100016 
            E=0.5M(D/T)**2.                                       1096400100017 
ERR-ANALYS NO INFORMATION                                         1096400100018 
STATUS     (APRVD) APPROVED BY S.T.LAM, 81/9/10.                  1096400100019 
HISTORY    (810615C)                                              1096400100020 
ENDBIB              18          0                                 1096400100021 
NOCOMMON             0          0                                 1096400100022 
ENDSUBENT           21          0                                 1096400199999 
SUBENT        10964002   19810624                             00001096400200001 
BIB                  1          1                                 1096400200002 
REACTION   (92-U-238(N,F)MASS,CHN,FY)                             1096400200003 
ENDBIB               1          0                                 1096400200004 
NOCOMMON             0          0                                 1096400200005 
DATA                 5        273                                 1096400200006 
EN         MASS-MIN   MASS-MAX   DATA       DATA-ERR              1096400200007 
MEV        NO-DIM     NO-DIM     PC/FIS     PER-CENT              1096400200008 
 2.         81.        82.          .582E+00 18.6                 1096400200009 
 2.         83.        84.          .863E+00 15.2                 1096400200010 
 2.         85.        86.          .199E+01 10.1                 1096400200011 
 2.         87.        88.          .227E+01  9.4                 1096400200012 
 2.         89.        90.          .311E+01  8.0                 1096400200013 
 2.         91.        92.          .400E+01  7.1                 1096400200014 
 2.         93.        94.          .476E+01  6.5                 1096400200015 
 2.         95.        96.          .518E+01  6.2                 1096400200016 
 2.         97.        98.          .544E+01  6.1                 1096400200017 
 2.         99.       100.          .566E+01  6.0                 1096400200018 
 2.        101.       102.          .530E+01  6.2                 1096400200019 
 2.        103.       104.          .353E+01  7.5                 1096400200020 
 2.        105.       106.          .269E+01  8.6                 1096400200021 
 2.        107.       108.          .179E+01 10.6                 1096400200022 
 2.        109.       110.          .104E+01 13.9                 1096400200023 
 2.        111.       112.          .502E+00 20.0                 1096400200024 
 2.        113.       114.          .402E+00 22.4                 1096400200025 
 2.        115.       116.          .321E+00 25.0                 1096400200026 
 2.        117.       118.          .281E+00 26.7                 1096400200027 
 2.        119.       120.          .341E+00 24.3                 1096400200028 
 2.        121.       122.          .823E+00 15.6                 1096400200029 
 2.        123.       124.          .149E+01 11.6                 1096400200030 
 2.        125.       126.          .215E+01  9.7                 1096400200031 
 2.        127.       128.          .343E+01  7.6                 1096400200032 
 2.        129.       130.          .504E+01  6.3                 1096400200033 
 2.        131.       132.          .548E+01  6.1                 1096400200034 
 2.        133.       134.          .590E+01  5.8                 1096400200035 
 2.        135.       136.          .604E+01  5.8                 1096400200036 
 2.        137.       138.          .562E+01  6.0                 1096400200037 
 2.        139.       140.          .476E+01  6.5                 1096400200038 
 2.        141.       142.          .339E+01  7.7                 1096400200039 
 2.        143.       144.          .231E+01  9.3                 1096400200040 
 2.        145.       146.          .143E+01 11.9                 1096400200041 
 2.        147.       148.          .783E+00 16.0                 1096400200042 
 2.        149.       150.          .562E+00 18.9                 1096400200043 
 2.        151.       152.          .381E+00 22.9                 1096400200044 
 2.        153.       154.          .281E+00 26.7                 1096400200045 
 2.        155.       156.          .602E-01 57.7                 1096400200046 
 2.        157.       158.          .201E-01100.0                 1096400200047 
 2.6        81.        82.          .116E+00 40.8                 1096400200048 
 2.6        83.        84.          .445E+00 20.9                 1096400200049 
 2.6        85.        86.          .599E+00 18.0                 1096400200050 
 2.6        87.        88.          .120E+01 12.7                 1096400200051 
 2.6        89.        90.          .157E+01 11.1                 1096400200052 
 2.6        91.        92.          .282E+01  8.3                 1096400200053 
 2.6        93.        94.          .414E+01  6.8                 1096400200054 
 2.6        95.        96.          .416E+01  6.8                 1096400200055 
 2.6        97.        98.          .536E+01  6.0                 1096400200056 
 2.6        99.       100.          .514E+01  6.1                 1096400200057 
 2.6       101.       102.          .452E+01  6.5                 1096400200058 
 2.6       103.       104.          .547E+01  5.9                 1096400200059 
 2.6       105.       106.          .456E+01  6.5                 1096400200060 
 2.6       107.       108.          .356E+01  7.4                 1096400200061 
 2.6       109.       110.          .269E+01  8.5                 1096400200062 
 2.6       111.       112.          .135E+01 12.0                 1096400200063 
 2.6       113.       114.          .812E+00 15.4                 1096400200064 
 2.6       115.       116.          .503E+00 19.6                 1096400200065 
 2.6       117.       118.          .387E+00 22.4                 1096400200066 
 2.6       119.       120.          .232E+00 28.9                 1096400200067 
 2.6       121.       122.          .406E+00 21.8                 1096400200068 
 2.6       123.       124.          .522E+00 19.2                 1096400200069 
 2.6       125.       126.          .102E+01 13.7                 1096400200070 
 2.6       127.       128.          .141E+01 11.7                 1096400200071 
 2.6       129.       130.          .259E+01  8.6                 1096400200072 
 2.6       131.       132.          .396E+01  7.0                 1096400200073 
 2.6       133.       134.          .534E+01  6.0                 1096400200074 
 2.6       135.       136.          .628E+01  5.5                 1096400200075 
 2.6       137.       138.          .621E+01  5.6                 1096400200076 
 2.6       139.       140.          .630E+01  5.5                 1096400200077 
 2.6       141.       142.          .501E+01  6.2                 1096400200078 
 2.6       143.       144.          .418E+01  6.8                 1096400200079 
 2.6       145.       146.          .284E+01  8.2                 1096400200080 
 2.6       147.       148.          .172E+01 10.6                 1096400200081 
 2.6       149.       150.          .112E+01 13.1                 1096400200082 
 2.6       151.       152.          .715E+00 16.4                 1096400200083 
 2.6       153.       154.          .290E+00 25.8                 1096400200084 
 2.6       155.       156.          .309E+00 25.0                 1096400200085 
 2.6       157.       158.          .135E+00 37.8                 1096400200086 
 3.1        81.        82.          .284E+00 26.7                 1096400200087 
 3.1        83.        84.          .608E+00 18.3                 1096400200088 
 3.1        85.        86.          .111E+01 13.5                 1096400200089 
 3.1        87.        88.          .186E+01 10.4                 1096400200090 
 3.1        89.        90.          .259E+01  8.8                 1096400200091 
 3.1        91.        92.          .356E+01  7.5                 1096400200092 
 3.1        93.        94.          .433E+01  6.8                 1096400200093 
 3.1        95.        96.          .470E+01  6.6                 1096400200094 
 3.1        97.        98.          .591E+01  5.9                 1096400200095 
 3.1        99.       100.          .654E+01  5.6                 1096400200096 
