ENTRY            10592   20040723                             00001059200000001 
SUBENT        10592001   20040723                             00001059200100001 
BIB                 14         28                                 1059200100002 
INSTITUTE  (1USAPTN,1USARUT)                                      1059200100003 
REFERENCE  (J,PR/D,13,535,19760201)                               1059200100004 
AUTHOR     (A.J.Bersbach,R.E.Mischke,T.J.Devlin)                  1059200100005 
TITLE      Neutron-proton forward elastic scattering from 58 to   1059200100006 
            391 MeV.                                              1059200100007 
FACILITY   (SYNCH,1USAPTN) Princeton-Pennsylvania Accelerator     1059200100008 
INC-SOURCE (EVAP) 3.0 GeV protons on Pt target.                   1059200100009 
SAMPLE     Liquid hydrogen target                                 1059200100010 
METHOD     (TOF) Time-of-flight of neutrons from production to    1059200100011 
            detection by scintillators.                           1059200100012 
DETECTOR   (SCIN) Liquid scintillator detectors.                  1059200100013 
MONITOR    No information                                         1059200100014 
CORRECTION Data corrected for scattering from target container,   1059200100015 
           detector efficiency, cosmic-ray background, production 1059200100016 
           of secondary proton pulses by the accelerator,         1059200100017 
           inconsistencies between data runs, scattering effects, 1059200100018 
           solid angle and normalization effects, and beam        1059200100019 
           attenuation.                                           1059200100020 
ERR-ANALYS (ERR-S) Data errors given are statistical errors only. 1059200100021 
           Errors given do not include a 10% uncertainty in the   1059200100022 
            normalization or a maximum of 5% uncertainty due to   1059200100023 
            approximations made to calculate dependence of the    1059200100024 
            detector efficiency on scattering angle.              1059200100025 
STATUS     (APRVD) Approved by author 1976/6/10.                  1059200100026 
HISTORY    (19760407C)                                            1059200100027 
           (19830914A) Converted to REACTION formalism            1059200100028 
           (20040723A) Converted to new data formts, lower case.  1059200100029 
                       Data error filed heading updated.          1059200100030 
ENDBIB              28          0                                 1059200100031 
NOCOMMON             0          0                                 1059200100032 
ENDSUBENT           31          0                                 1059200199999 
SUBENT        10592002   20040723                             00001059200200001 
BIB                  1          1                                 1059200200002 
REACTION   (1-H-1(N,EL)1-H-1,,DA)                                 1059200200003 
ENDBIB               1          0                                 1059200200004 
NOCOMMON             0          0                                 1059200200005 
DATA                 5        218                                 1059200200006 
EN-MIN     EN-MAX     ANG-CM     DATA-CM    ERR-S                 1059200200007 
MEV        MEV        ADEG       MB/SR      MB/SR                 1059200200008 
  54.6       63.1      11.8       15.13      1.70                 1059200200009 
  54.6       63.1      14.9       12.53      0.64                 1059200200010 
  54.6       63.1      19.0       13.55      0.49                 1059200200011 
  54.6       63.1      23.1       12.80      0.49                 1059200200012 
  54.6       63.1      27.1       12.12      0.48                 1059200200013 
  54.6       63.1      31.0       11.75      0.63                 1059200200014 
  54.6       63.1      34.8       11.98      0.42                 1059200200015 
  54.6       63.1      38.6       10.98      0.53                 1059200200016 
  54.6       63.1      42.3       11.27      0.37                 1059200200017 
  63.1       72.1      11.9        9.88      1.54                 1059200200018 
  63.1       72.1      15.0       12.03      0.61                 1059200200019 
  63.1       72.1      19.1       11.48      0.45                 1059200200020 
  63.1       72.1      23.1       11.89      0.47                 1059200200021 
  63.1       72.1      27.1       10.59      0.44                 1059200200022 
  63.1       72.1      31.1       10.53      0.57                 1059200200023 
  63.1       72.1      34.9       10.37      0.38                 1059200200024 
  63.1       72.1      38.7        8.94      0.46                 1059200200025 
  63.1       72.1      42.4        9.71      0.33                 1059200200026 
  63.1       72.1      46.0        8.40      0.41                 1059200200027 
  63.1       72.1      49.5        6.92      0.40                 1059200200028 
  72.1       81.6      11.9       12.72      1.42                 1059200200029 
  72.1       81.6      15.0       10.89      0.55                 1059200200030 
  72.1       81.6      19.1       10.49      0.40                 1059200200031 
  72.1       81.6      23.2        9.88      0.41                 1059200200032 
  72.1       81.6      27.2        9.59      0.39                 1059200200033 
  72.1       81.6      31.1        8.87      0.49                 1059200200034 
  72.1       81.6      35.0        8.94      0.32                 1059200200035 
  72.1       81.6      38.8        7.45      0.39                 1059200200036 
  72.1       81.6      42.5        7.98      0.27                 1059200200037 
  72.1       81.6      46.1        6.72      0.34                 1059200200038 
  72.1       81.6      49.6        5.63      0.32                 1059200200039 
  81.6       91.7      11.9        9.33      1.31                 1059200200040 
  81.6       91.7      15.0       10.03      0.53                 1059200200041 
  81.6       91.7      19.2        8.60      0.37                 1059200200042 
  81.6       91.7      23.2        8.60      0.38                 1059200200043 
  81.6       91.7      27.2        8.91      0.36                 1059200200044 
  81.6       91.7      31.2        7.31      0.45                 1059200200045 
  81.6       91.7      35.1        7.34      0.29                 1059200200046 
  81.6       91.7      38.9        7.10      0.36                 1059200200047 
  81.6       91.7      42.6        6.40      0.25                 1059200200048 
  81.6       91.7      46.2        5.40      0.30                 1059200200049 
  81.6       91.7      49.7        4.82      0.30                 1059200200050 
  91.7      102.2      11.9        9.47      1.30                 1059200200051 
  91.7      102.2      15.1        9.33      0.52                 1059200200052 
  91.7      102.2      19.2        8.26      0.37                 1059200200053 
  91.7      102.2      23.3        8.49      0.38                 1059200200054 
  91.7      102.2      27.3        8.53      0.36                 1059200200055 
  91.7      102.2      31.3        7.13      0.45                 1059200200056 
  91.7      102.2      35.2        7.36      0.30                 1059200200057 
  91.7      102.2      39.0        6.13      0.34                 1059200200058 
  91.7      102.2      42.7        6.17      0.24                 1059200200059 
  91.7      102.2      46.3        4.92      0.29                 1059200200060 
  91.7      102.2      49.8        4.75      0.29                 1059200200061 
 102.2      113.2      12.0        6.48      1.28                 1059200200062 
 102.2      113.2      15.1        9.35      0.51                 1059200200063 
 102.2      113.2      19.3        8.00      0.37                 1059200200064 
 102.2      113.2      23.4        8.77      0.38                 1059200200065 
 102.2      113.2      27.4        7.53      0.35                 1059200200066 
 102.2      113.2      31.4        6.34      0.43                 1059200200067 
 102.2      113.2      35.3        6.30      0.28                 1059200200068 
 102.2      113.2      39.1        5.59      0.34                 1059200200069 
 102.2      113.2      42.8        5.53      0.23                 1059200200070 
 102.2      113.2      46.4        4.71      0.29                 1059200200071 
 102.2      113.2      50.0        4.30      0.28                 1059200200072 
 113.2      124.8      12.0        8.72      1.34                 1059200200073 
 113.2      124.8      15.2        8.84      0.55                 1059200200074 
 113.2      124.8      19.3        7.13      0.38                 1059200200075 
 113.2      124.8      23.4        7.39      0.39                 1059200200076 
 113.2      124.8      27.5        6.63      0.35                 1059200200077 
 113.2      124.8      31.4        6.03      0.47                 1059200200078 
 113.2      124.8      35.3        6.19      0.29                 1059200200079 
 113.2      124.8      39.2        5.25      0.35                 1059200200080 
 113.2      124.8      42.9        4.83      0.24                 1059200200081 
 113.2      124.8      46.5        4.76      0.31                 1059200200082 
