ENTRY            12995   20240403                             15111299500000001 
SUBENT        12995001   20240403                             15111299500100001 
BIB                  9         17                                 1299500100002 
INSTITUTE  (1USATNL)                                              1299500100003 
REFERENCE  (J,PR/C,43,2336,1991)                                  1299500100004 
           #doi:10.1103/PhysRevC.43.2336                          1299500100005 
           (T,PEDRONI,1986)                                       1299500100006 
AUTHOR     (R.S.Pedroni,R.C.Byrd,G.M.Honore,C.R.Howell,R.L.Walter)1299500100007 
TITLE      Scattering of polarized and unpolarized neutrons from  1299500100008 
            93Nb from 8 to 17 MeV and optical model descriptions  1299500100009 
FACILITY   (VDGT,1USATNL)                                         1299500100010 
METHOD     (TOF)                                                  1299500100011 
DETECTOR   (SCIN) Liquid scintillators.                           1299500100012 
STATUS     No reply to author proof.                              1299500100013 
           (TABLE) Tabulated data received, G.M.Honore, 86/10/15. 1299500100014 
HISTORY    (19870217C)                                            1299500100015 
           (19890413A) BIB update.                                1299500100016 
           (19910726A) Update to published reference              1299500100017 
           (20240329A) OS. REACTION corrected in sub.2, several   1299500100018 
            BIB updates, converted to lower and upper case        1299500100019 
ENDBIB              17          0                                 1299500100020 
NOCOMMON             0          0                                 1299500100021 
ENDSUBENT           20          0                                 1299500199999 
SUBENT        12995002   20240403                             15111299500200001 
BIB                  6          8                                 1299500200002 
REACTION   (41-NB-93(N,SCT)41-NB-93,PAR,DA)                       1299500200003 
INC-SOURCE (D-D)                                                  1299500200004 
MONITOR    (1-H-1(N,EL)1-H-1,,DA)                                 1299500200005 
CORRECTION Corrected for multiple scattering, finite geometry,    1299500200006 
            attenuation, and detector efficiency.                 1299500200007 
ERR-ANALYS (DATA-ERR) Absolute uncertainty, does not include      1299500200008 
            uncertainties due to data normalization.              1299500200009 
HISTORY    (20240329A) REACTION changed to SCT,PAR, COMMON added  1299500200010 
ENDBIB               8          0                                 1299500200011 
COMMON               2          3                                 1299500200012 
LVL-NUMB   LVL-NUMB                                               1299500200013 
NO-DIM     NO-DIM                                                 1299500200014 
  0.         1.                                                   1299500200015 
ENDCOMMON            3          0                                 1299500200016 
DATA                 5        148                                 1299500200017 
EN         EN-RSL     ANG-CM     DATA-CM    DATA-ERR              1299500200018 
MEV        MEV        ADEG       MB/SR      MB/SR                 1299500200019 
 7.952      0.095      23.6       1328.24    37.64                1299500200020 
 7.952      0.095      27.9        765.12    22.87                1299500200021 
 7.952      0.095      32.2        398.12    14.90                1299500200022 
 7.952      0.095      37.0        146.77     7.87                1299500200023 
 7.952      0.095      43.1         34.07     2.67                1299500200024 
 7.952      0.095      52.6         65.91     2.66                1299500200025 
 7.952      0.095      55.7         92.52     3.04                1299500200026 
 7.952      0.095      61.2        111.71     3.13                1299500200027 
 7.952      0.095      64.2        115.48     3.07                1299500200028 
 7.952      0.095      70.1         97.17     2.64                1299500200029 
 7.952      0.095      73.3         87.50     2.37                1299500200030 
 7.952      0.095      79.3         53.22     1.49                1299500200031 
 7.952      0.095      82.6         42.06     1.38                1299500200032 
 7.952      0.095      88.9         19.60     0.68                1299500200033 
 7.952      0.095      92.6         12.39     0.53                1299500200034 
 7.952      0.095      99.7          6.61     0.27                1299500200035 
 7.952      0.095     106.9          8.58     0.48                1299500200036 
 7.952      0.095     110.6         12.32     0.57                1299500200037 
 7.952      0.095     116.8         19.74     0.78                1299500200038 
 7.952      0.095     120.0         22.89     0.68                1299500200039 
 7.952      0.095     125.9         27.98     0.82                1299500200040 
 7.952      0.095     129.0         27.36     0.86                1299500200041 
 7.952      0.095     135.0         24.79     0.82                1299500200042 
 7.952      0.095     138.3         20.08     0.68                1299500200043 
 7.952      0.095     145.1         14.90     0.69                1299500200044 
 7.952      0.095     149.0         13.07     0.52                1299500200045 
 7.952      0.095     156.0         16.36     0.57                1299500200046 
 7.952      0.095     162.0         21.23     0.64                1299500200047 
 9.941      0.071      18.9       2422.71    63.57                1299500200048 
 9.941      0.071      23.2       1615.60    41.52                1299500200049 
 9.941      0.071      27.5        947.57    29.98                1299500200050 
 9.941      0.071      29.2        675.97    27.23                1299500200051 
 9.941      0.071      31.8        439.82    23.28                1299500200052 
 9.941      0.071      36.9        128.56     9.33                1299500200053 
 9.941      0.071      45.3         29.55     2.64                1299500200054 
 9.941      0.071      50.8         65.97     5.68                1299500200055 
 9.941      0.071      55.0         91.07     7.19                1299500200056 
 9.941      0.071      59.9         99.40     3.41                1299500200057 
