EN         DATA       ERR-S      ERR-1      ERR-T                 1401600200038 
MEV        B          PER-CENT   PER-CENT   PER-CENT              1401600200039 
 6.9550E-01 1.4527E+00 2.1338E-02                                 1401600400047 
 7.1668E-01 1.4396E+00 2.0534E-02                                 1401600400048 
 7.3851E-01 1.4552E+00 2.0276E-02                                 1401600400049 
 7.6101E-01 1.4870E+00 2.0139E-02                                 1401600400050 
 7.8418E-01 1.5019E+00 1.9665E-02                                 1401600400051 
 8.0807E-01 1.5363E+00 1.9189E-02                                 1401600400052 
 8.3268E-01 1.5050E+00 1.8381E-02                                 1401600400053 
 8.5804E-01 1.4916E+00 1.7897E-02                                 1401600400054 
 8.8417E-01 1.4937E+00 1.7415E-02                                 1401600400055 
 9.1110E-01 1.4442E+00 1.6483E-02                                 1401600400056 
 9.3885E-01 1.4286E+00 1.5698E-02                                 1401600400057 
 9.6744E-01 1.4294E+00 1.5448E-02                                 1401600400058 
 9.9691E-01 1.4290E+00 1.5346E-02                                 1401600400059 
 1.0273E+00 1.4376E+00 1.4956E-02                                 1401600400060 
 1.0586E+00 1.4785E+00 1.5032E-02                                 1401600400061 
 1.0908E+00 1.4664E+00 1.4449E-02                                 1401600400062 
 1.1240E+00 1.4372E+00 1.3806E-02                                 1401600400063 
 1.1583E+00 1.4714E+00 1.3754E-02                                 1401600400064 
 1.1935E+00 1.5056E+00 1.3658E-02                                 1401600400065 
 1.2299E+00 1.5058E+00 1.3520E-02                                 1401600400066 
 1.2673E+00 1.5346E+00 1.3531E-02                                 1401600400067 
 1.3059E+00 1.5380E+00 1.3346E-02                                 1401600400068 
 1.3457E+00 1.5382E+00 1.3226E-02                                 1401600400069 
 1.3867E+00 1.5558E+00 1.3000E-02                                 1401600400070 
 1.4289E+00 1.5637E+00 1.2828E-02                                 1401600400071 
 1.4725E+00 1.5369E+00 1.2579E-02                                 1401600400072 
 1.5173E+00 1.5555E+00 1.2364E-02                                 1401600400073 
 1.5635E+00 1.5534E+00 1.2283E-02                                 1401600400074 
 1.6111E+00 1.5590E+00 1.2164E-02                                 1401600400075 
 1.6602E+00 1.5458E+00 1.1946E-02                                 1401600400076 
 1.7108E+00 1.5207E+00 1.1535E-02                                 1401600400077 
 1.7629E+00 1.5229E+00 1.1443E-02                                 1401600400078 
 1.8166E+00 1.5208E+00 1.1160E-02                                 1401600400079 
 1.8719E+00 1.5168E+00 1.1065E-02                                 1401600400080 
 1.9289E+00 1.5209E+00 1.1051E-02                                 1401600400081 
 1.9877E+00 1.5303E+00 1.0936E-02                                 1401600400082 
 2.0482E+00 1.5214E+00 1.0985E-02                                 1401600400083 
 2.1106E+00 1.5266E+00 1.1124E-02                                 1401600400084 
 2.1749E+00 1.5195E+00 1.0629E-02                                 1401600400085 
 2.2411E+00 1.5162E+00 1.0462E-02                                 1401600400086 
 2.3094E+00 1.5133E+00 1.0451E-02                                 1401600400087 
 2.3797E+00 1.5247E+00 1.0432E-02                                 1401600400088 
 2.4522E+00 1.4996E+00 1.0263E-02                                 1401600400089 
 2.5269E+00 1.4934E+00 1.0227E-02                                 1401600400090 
 2.6038E+00 1.4973E+00 1.0240E-02                                 1401600400091 
 2.6831E+00 1.5060E+00 1.0298E-02                                 1401600400092 
 2.7648E+00 1.5111E+00 1.0409E-02                                 1401600400093 
 2.8490E+00 1.4788E+00 1.0432E-02                                 1401600400094 
 2.9358E+00 1.5568E+00 1.1327E-02                                 1401600400095 
 3.0252E+00 1.5096E+00 1.0059E-02                                 1401600400096 
 3.1174E+00 1.5063E+00 1.0196E-02                                 1401600400097 
 3.2123E+00 1.5094E+00 1.0432E-02                                 1401600400098 
 3.3102E+00 1.5195E+00 1.0702E-02                                 1401600400099 
 3.4110E+00 1.5443E+00 1.1077E-02                                 1401600400100 
 3.5149E+00 1.5277E+00 1.1072E-02                                 1401600400101 
 3.6219E+00 1.5460E+00 1.1175E-02                                 1401600400102 
 3.7322E+00 1.5367E+00 1.1016E-02                                 1401600400103 
 3.8459E+00 1.5362E+00 1.0869E-02                                 1401600400104 
 3.9630E+00 1.5634E+00 1.0828E-02                                 1401600400105 
 4.0837E+00 1.5370E+00 1.0595E-02                                 1401600400106 
 4.2081E+00 1.5512E+00 1.0781E-02                                 1401600400107 
 4.3363E+00 1.5343E+00 1.0825E-02                                 1401600400108 
 4.4683E+00 1.5341E+00 1.0704E-02                                 1401600400109 
 4.6044E+00 1.5675E+00 1.0740E-02                                 1401600400110 
 4.7447E+00 1.5699E+00 1.0714E-02                                 1401600400111 
 4.8892E+00 1.5601E+00 1.0720E-02                                 1401600400112 
 5.0381E+00 1.5605E+00 1.0774E-02                                 1401600400113 
 5.1915E+00 1.5760E+00 1.0919E-02                                 1401600400114 
 5.3496E+00 1.5919E+00 1.1221E-02                                 1401600400115 
 5.5126E+00 1.6016E+00 1.1319E-02                                 1401600400116 
 5.6805E+00 1.6271E+00 1.1491E-02                                 1401600400117 
 5.8535E+00 1.6292E+00 1.1448E-02                                 1401600400118 
 6.0318E+00 1.6057E+00 1.1212E-02                                 1401600400119 
 6.2155E+00 1.5442E+00 1.0793E-02                                 1401600400120 
 6.4048E+00 1.4858E+00 1.0171E-02                                 1401600400121 
 6.5998E+00 1.4264E+00 9.2179E-03                                 1401600400122 
 6.8009E+00 1.3914E+00 8.7743E-03                                 1401600400123 
 7.0080E+00 1.3460E+00 8.3367E-03                                 1401600400124 
 7.2214E+00 1.3017E+00 8.1028E-03                                 1401600400125 
 7.4414E+00 1.2965E+00 8.4055E-03                                 1401600400126 
 7.6680E+00 1.2808E+00 8.4338E-03                                 1401600400127 
 7.9016E+00 1.2670E+00 8.4919E-03                                 1401600400128 
 8.1422E+00 1.2724E+00 8.4090E-03                                 1401600400129 
 8.3902E+00 1.2871E+00 8.2913E-03                                 1401600400130 
 8.6457E+00 1.2651E+00 8.2178E-03                                 1401600400131 
 8.9091E+00 1.2708E+00 8.3690E-03                                 1401600400132 
 9.1804E+00 1.2860E+00 8.6703E-03                                 1401600400133 
 9.4600E+00 1.2825E+00 8.8129E-03                                 1401600400134 
 9.7481E+00 1.2939E+00 8.9989E-03                                 1401600400135 
 1.0045E+01 1.2857E+00 9.1226E-03                                 1401600400136 
 1.0351E+01 1.2946E+00 9.3683E-03                                 1401600400137 
 1.0666E+01 1.2981E+00 9.6168E-03                                 1401600400138 
 1.0991E+01 1.3077E+00 9.9257E-03                                 1401600400139 
 1.1326E+01 1.3081E+00 1.0072E-02                                 1401600400140 
 1.1671E+01 1.3136E+00 1.0253E-02                                 1401600400141 
 1.2026E+01 1.3086E+00 1.0386E-02                                 1401600400142 
 1.2393E+01 1.2878E+00 1.0301E-02                                 1401600400143 
 1.2770E+01 1.2861E+00 1.0311E-02                                 1401600400144 
 1.3159E+01 1.2479E+00 1.0002E-02                                 1401600400145 
 1.3560E+01 1.2126E+00 9.7338E-03                                 1401600400146 
 1.3973E+01 1.1624E+00 9.3469E-03                                 1401600400147 
 1.4398E+01 1.1544E+00 9.2724E-03                                 1401600400148 
 1.4837E+01 1.1488E+00 9.2530E-03                                 1401600400149 
 1.5289E+01 1.1149E+00 9.0872E-03                                 1401600400150 
 1.5754E+01 1.1337E+00 9.3127E-03                                 1401600400151 
 1.6234E+01 1.1272E+00 9.2885E-03                                 1401600400152 
 1.6729E+01 1.1306E+00 9.3449E-03                                 1401600400153 
 1.7238E+01 1.1248E+00 9.3799E-03                                 1401600400154 
 1.7763E+01 1.1431E+00 9.5773E-03                                 1401600400155 
 1.8304E+01 1.1281E+00 9.5344E-03                                 1401600400156 
 1.8862E+01 1.1628E+00 9.8045E-03                                 1401600400157 
 1.9436E+01 1.1736E+00 9.9946E-03                                 1401600400158 
 2.0028E+01 1.1484E+00 9.8464E-03                                 1401600400159 
 2.0638E+01 1.1481E+00 9.7496E-03                                 1401600400160 
 2.1267E+01 1.1366E+00 9.6187E-03                                 1401600400161 
 2.1914E+01 1.1252E+00 9.4931E-03                                 1401600400162 
 2.2582E+01 1.1058E+00 9.2840E-03                                 1401600400163 
 2.3269E+01 1.1074E+00 9.2326E-03                                 1401600400164 
 2.3978E+01 1.1095E+00 9.1828E-03                                 1401600400165 
 2.4708E+01 1.0937E+00 9.0234E-03                                 1401600400166 
 2.5461E+01 1.0949E+00 9.0353E-03                                 1401600400167 
 2.6236E+01 1.0954E+00 8.9885E-03                                 1401600400168 
 2.7036E+01 1.0985E+00 8.9585E-03                                 1401600400169 
 2.7859E+01 1.1021E+00 8.9503E-03                                 1401600400170 
 2.8707E+01 1.0777E+00 8.7046E-03                                 1401600400171 
 2.9582E+01 1.0929E+00 8.7631E-03                                 1401600400172 
 3.0483E+01 1.0944E+00 8.7220E-03                                 1401600400173 
 3.1411E+01 1.0781E+00 8.6047E-03                                 1401600400174 
 3.2368E+01 1.0826E+00 8.5735E-03                                 1401600400175 
 3.3354E+01 1.0741E+00 8.4574E-03                                 1401600400176 
 3.4369E+01 1.0773E+00 8.4233E-03                                 1401600400177 
 3.5416E+01 1.0757E+00 8.3270E-03                                 1401600400178 
 3.6495E+01 1.0829E+00 8.3420E-03                                 1401600400179 
 3.7606E+01 1.0804E+00 8.3485E-03                                 1401600400180 
 3.8752E+01 1.0744E+00 8.2358E-03                                 1401600400181 
 3.9932E+01 1.0845E+00 8.3003E-03                                 1401600400182 
 4.1148E+01 1.0774E+00 8.2295E-03                                 1401600400183 
 4.2402E+01 1.0662E+00 8.1375E-03                                 1401600400184 
 4.3693E+01 1.0794E+00 8.1938E-03                                 1401600400185 
 4.5024E+01 1.0745E+00 8.1078E-03                                 1401600400186 
 4.6395E+01 1.0802E+00 8.1323E-03                                 1401600400187 
 4.7808E+01 1.0851E+00 8.1662E-03                                 1401600400188 
 4.9264E+01 1.0817E+00 8.1108E-03                                 1401600400189 
 5.0765E+01 1.0797E+00 8.1518E-03                                 1401600400190 
 5.2311E+01 1.0748E+00 8.0589E-03                                 1401600400191 
 5.3904E+01 1.0803E+00 8.1183E-03                                 1401600400192 
 5.5546E+01 1.0945E+00 8.1943E-03                                 1401600400193 
 5.7237E+01 1.0888E+00 8.1847E-03                                 1401600400194 
 5.8981E+01 1.0958E+00 8.2463E-03                                 1401600400195 
 6.0777E+01 1.0851E+00 8.1248E-03                                 1401600400196 
 6.2628E+01 1.0800E+00 8.1019E-03                                 1401600400197 
 6.4535E+01 1.0834E+00 8.1587E-03                                 1401600400198 
 6.6501E+01 1.0730E+00 8.0813E-03                                 1401600400199 
 6.8526E+01 1.0985E+00 8.2947E-03                                 1401600400200 
 7.0614E+01 1.0980E+00 8.3173E-03                                 1401600400201 
 7.2764E+01 1.0823E+00 8.2172E-03                                 1401600400202 
 7.4980E+01 1.0748E+00 8.2045E-03                                 1401600400203 
 7.7264E+01 1.0814E+00 8.2934E-03                                 1401600400204 
 7.9617E+01 1.0856E+00 8.3310E-03                                 1401600400205 
 8.2042E+01 1.0744E+00 8.3121E-03                                 1401600400206 
 8.4541E+01 1.1001E+00 8.5116E-03                                 1401600400207 
 8.7116E+01 1.0928E+00 8.5301E-03                                 1401600400208 
 8.9769E+01 1.0831E+00 8.4777E-03                                 1401600400209 
 9.2503E+01 1.0828E+00 8.5072E-03                                 1401600400210 
 9.5320E+01 1.0894E+00 8.6259E-03                                 1401600400211 
 9.8224E+01 1.0901E+00 8.7242E-03                                 1401600400212 
 1.0122E+02 1.0719E+00 8.6658E-03                                 1401600400213 
 1.0430E+02 1.0810E+00 8.7582E-03                                 1401600400214 
 1.0747E+02 1.0743E+00 8.8388E-03                                 1401600400215 
 1.1075E+02 1.0820E+00 8.8861E-03                                 1401600400216 
 1.1412E+02 1.0832E+00 9.0368E-03                                 1401600400217 
 1.1760E+02 1.0773E+00 9.0736E-03                                 1401600400218 
 1.2118E+02 1.0721E+00 9.1472E-03                                 1401600400219 
 1.2487E+02 1.0755E+00 9.2223E-03                                 1401600400220 
 1.2867E+02 1.0784E+00 9.3211E-03                                 1401600400221 
 1.3259E+02 1.0635E+00 9.4489E-03                                 1401600400222 
 1.3663E+02 1.0645E+00 9.6028E-03                                 1401600400223 
 1.4079E+02 1.0683E+00 9.7423E-03                                 1401600400224 
 1.4508E+02 1.0612E+00 9.7547E-03                                 1401600400225 
 1.4950E+02 1.0746E+00 1.0081E-02                                 1401600400226 
 1.5405E+02 1.0773E+00 1.0244E-02                                 1401600400227 
 1.5874E+02 1.0587E+00 1.0275E-02                                 1401600400228 
 1.6358E+02 1.0551E+00 1.0390E-02                                 1401600400229 
 1.6856E+02 1.0622E+00 1.0656E-02                                 1401600400230 
 1.7369E+02 1.0572E+00 1.0831E-02                                 1401600400231 
 1.7898E+02 1.0729E+00 1.1144E-02                                 1401600400232 
 1.8443E+02 1.0595E+00 1.1363E-02                                 1401600400233 
 1.9005E+02 1.0417E+00 1.1515E-02                                 1401600400234 
 1.9584E+02 1.0600E+00 1.1908E-02                                 1401600400235 
 2.0181E+02 1.0547E+00 1.2087E-02                                 1401600400236 
 2.0795E+02 1.0657E+00 1.2722E-02                                 1401600400237 
 2.1428E+02 1.0446E+00 1.2815E-02                                 1401600400238 
 2.2081E+02 1.0371E+00 1.3244E-02                                 1401600400239 
 2.2754E+02 1.0482E+00 1.3880E-02                                 1401600400240 
 2.3447E+02 1.0445E+00 1.4164E-02                                 1401600400241 
 2.4161E+02 1.0397E+00 1.4622E-02                                 1401600400242 
 2.4897E+02 1.0445E+00 1.5284E-02                                 1401600400243 
 2.5655E+02 1.0506E+00 1.5978E-02                                 1401600400244 
ENDDATA            211          0                                 1401600400245 
ENDSUBENT          244          0                                 1401600499999 
ENDENTRY             4          0                                 1401699999999 
