ENTRY            14094   20060601                             13401409400000001 
SUBENT        14094001   20060601                             13401409400100001 
BIB                 12         42                                 1409400100002 
INSTITUTE  (1USALRL,1USABRK,1USAYAL) + University of Richmond     1409400100003 
REFERENCE  (J,PR/C,73,054604,2006)                                1409400100004 
AUTHOR     (J.T.Burke,L.A.Bernstein,J.Escher,L.Ahle,J.A.Church,   1409400100005 
            F.S.Dietrich,K.J.Moody,E.B.Norman,L.Phair,P.Fallon,   1409400100006 
            R.M.Clark,M.A.Deleplanque,M.Descovich,M.Cromaz,       1409400100007 
            I.Y.Lee,A.O.Macchiavelli,M.A.McMahan,L.G.Moretto,     1409400100008 
            E.Rodriguez-Vieitez,F.S.Stephens,H.Ai,C.Plettner,     1409400100009 
            C.Beausang,B.Crider)                                  1409400100010 
TITLE      Deducing the 237U(n,f) cross section using the         1409400100011 
            surrogate ratio method                                1409400100012 
FACILITY   (CYCLO,1USALBL) the 88 inch cyclotron at Lawrence      1409400100013 
            Berkeley National Laboratory                          1409400100014 
INC-SOURCE A 55MeV beam of a particles with an intensity of 2     1409400100015 
            to 5 pnA. The beam spot on the target was             1409400100016 
            approximately 3 mm in diameter.                       1409400100017 
METHOD     (EDE)                                                  1409400100018 
           Surrogate technique: Inelastically scattered a         1409400100019 
            particles from the 238U(a,a'f) and 236U(a,a'f)        1409400100020 
            reactions were detected using the STARS scattering    1409400100021 
            chamber.                                              1409400100022 
DETECTOR   (SIBAR) The silicon telescope produces differential    1409400100023 
            energy loss in the thin (DE) and thick (E) detectors, 1409400100024 
            which enables particle identification. The DE and E   1409400100025 
            detectors are both Micron S2 type with a thickness of 1409400100026 
            140 and 1000 microm, respectively.                    1409400100027 
MONITOR    The DE and E silicon detectors were calibrated using a 1409400100028 
            226Ra a source.                                       1409400100029 
SAMPLE     The 238U fission data were obtained from a             1409400100030 
            self-supporting metallic 3619 +/- 72 angstrom         1409400100031 
            (585 +/- 23 microg/cm2) thick 238U foil.              1409400100032 
           The 236U fission datawere obtained using a uranyl      1409400100033 
            nitrate 236UO2(NO3)2 target consisting of 99.68% 236U 1409400100034 
            and 0.32% 234U electroplated onto a 2.3 mg/cm2 Ta     1409400100035 
            foil. The 236U foil had an areal density of           1409400100036 
            approximately 184 +/- 9 microg/cm2.                   1409400100037 
ERR-ANALYS The sensitivity of the final cross section to the      1409400100038 
            fission cutoff point was determined to be 1.3 %       1409400100039 
           Normalization factor on 238U target thickness: 5 %     1409400100040 
           Normalization factor on 236U target thickness: 5 %     1409400100041 
           alpha spectra Fission spectrum: 1.3 %                  1409400100042 
           Total systematic uncertainty: 7.2 %                    1409400100043 
HISTORY    (20060516C) DR                                         1409400100044 
ENDBIB              42          0                                 1409400100045 
NOCOMMON             0          0                                 1409400100046 
ENDSUBENT           45          0                                 1409400199999 
SUBENT        14094002   20060601                             13401409400200001 
BIB                  4          5                                 1409400200002 
REACTION   (92-U-237(N,F),,SIG)                                   1409400200003 
MONITOR    (92-U-235(N,F),,SIG)                                   1409400200004 
ERR-ANALYS (ERR-S) Statistical uncertainty                        1409400200005 
           (ERR-SYS) Systematic uncertainty                       1409400200006 
STATUS     Data received from author (J. T. Burke) on 05/31/06    1409400200007 
ENDBIB               5          0                                 1409400200008 
NOCOMMON             0          0                                 1409400200009 
DATA                 6        245                                 1409400200010 
EN         EN-ERR     DATA       ERR-S      ERR-SYS    MONIT      1409400200011 
MEV        MEV        B          B          B          B          1409400200012 
 0.493     0.220      0.753      0.051      0.054      1.554      1409400200013 
 0.593     0.220      0.754      0.063      0.054      1.347      1409400200014 
 0.693     0.220      0.691      0.064      0.050      1.230      1409400200015 
 0.793     0.220      0.536      0.050      0.038      1.187      1409400200016 
 0.893     0.220      0.509      0.051      0.037      1.133      1409400200017 
 0.993     0.220      0.634      0.071      0.046      1.118      1409400200018 
 1.093     0.220      0.616      0.067      0.044      1.112      1409400200019 
 1.193     0.220      0.479      0.050      0.034      1.105      1409400200020 
 1.293     0.220      0.386      0.038      0.028      1.139      1409400200021 
 1.393     0.220      0.598      0.059      0.043      1.199      1409400200022 
 1.493     0.220      0.513      0.050      0.037      1.191      1409400200023 
 1.593     0.220      0.565      0.053      0.041      1.202      1409400200024 
 1.693     0.220      0.498      0.044      0.036      1.214      1409400200025 
 1.793     0.220      0.537      0.047      0.039      1.226      1409400200026 
 1.893     0.220      0.576      0.051      0.041      1.241      1409400200027 
 1.993     0.220      0.551      0.043      0.040      1.254      1409400200028 
 2.093     0.220      0.582      0.047      0.042      1.262      1409400200029 
 2.193     0.220      0.703      0.057      0.050      1.270      1409400200030 
 2.293     0.220      0.556      0.044      0.040      1.278      1409400200031 
 2.393     0.220      0.656      0.053      0.047      1.287      1409400200032 
 2.493     0.220      0.558      0.043      0.040      1.282      1409400200033 
 2.593     0.220      0.622      0.050      0.045      1.278      1409400200034 
 2.693     0.220      0.554      0.044      0.040      1.272      1409400200035 
 2.793     0.220      0.579      0.049      0.042      1.266      1409400200036 
 2.893     0.220      0.594      0.051      0.043      1.262      1409400200037 
 2.993     0.220      0.500      0.043      0.036      1.258      1409400200038 
 3.093     0.220      0.540      0.047      0.039      1.249      1409400200039 
 3.193     0.220      0.519      0.041      0.037      1.241      1409400200040 
 3.293     0.220      0.459      0.038      0.033      1.228      1409400200041 
 3.393     0.220      0.620      0.055      0.045      1.216      1409400200042 
 3.493     0.220      0.646      0.061      0.046      1.207      1409400200043 
 3.593     0.220      0.641      0.061      0.046      1.198      1409400200044 
 3.693     0.220      0.483      0.044      0.035      1.190      1409400200045 
 3.793     0.220      0.660      0.065      0.047      1.181      1409400200046 
 3.893     0.220      0.629      0.060      0.045      1.172      1409400200047 
 3.993     0.220      0.657      0.063      0.047      1.164      1409400200048 
 4.093     0.220      0.514      0.047      0.037      1.157      1409400200049 
 4.193     0.220      0.528      0.051      0.038      1.150      1409400200050 
 4.293     0.220      0.490      0.045      0.035      1.143      1409400200051 
 4.393     0.220      0.446      0.041      0.032      1.136      1409400200052 
 4.493     0.220      0.545      0.053      0.039      1.132      1409400200053 
 4.593     0.220      0.451      0.042      0.032      1.128      1409400200054 
 4.693     0.220      0.547      0.053      0.039      1.125      1409400200055 
 4.793     0.220      0.539      0.052      0.039      1.121      1409400200056 
 4.893     0.220      0.644      0.066      0.046      1.117      1409400200057 
 4.993     0.220      0.581      0.061      0.042      1.109      1409400200058 
 5.093     0.220      0.600      0.061      0.043      1.100      1409400200059 
 5.193     0.220      0.558      0.056      0.040      1.091      1409400200060 
 5.293     0.220      0.665      0.073      0.048      1.082      1409400200061 
 5.393     0.220      0.448      0.043      0.032      1.073      1409400200062 
 5.493     0.220      0.582      0.063      0.042      1.067      1409400200063 
 5.593     0.220      0.494      0.053      0.035      1.062      1409400200064 
