ENTRY            13737   20211005                             149313737  0    1 
SUBENT        13737001   20211005                             149313737  1    1 
BIB                 12         20                                 13737  1    2 
TITLE      89Y+n resonances for E=10-740 keV and                  13737  1    3 
           intermediate structure                                 13737  1    4 
AUTHOR     (H.M.Agrawal,J.B.Garg,J.A.Harvey)                      13737  1    5 
REFERENCE  (J,NP/A,501,18,1989)                                   13737  1    6 
           #doi:10.1016/0375-9474(89)90563-0                      13737  1    7 
REL-REF    (I,10725001,M.S.Pandey+,J,PR/C,15,600,1977) ORELA      13737  1    8 
           neutron spectrometer.                                  13737  1    9 
INSTITUTE  (1USAORL,1USAALB)                                      13737  1   10 
FACILITY   (LINAC,1USAORL) ORELA.                                 13737  1   11 
INC-SOURCE (PHOTO) Photoneutrons from 5 nsec wide                 13737  1   12 
           electron pulses.                                       13737  1   13 
SAMPLE     Yttrium metal, 10.16cm diameter, 2,54 cm thick.        13737  1   14 
DETECTOR   (SCIN) NE-110 for neutron energies above 20 keV.       13737  1   15 
           (GLASD) 6Li glass detector for neutrons below 20 keV.  13737  1   16 
METHOD     (TOF) Flight path 200 m.                               13737  1   17 
CORRECTION Corrected for deadtime and background                  13737  1   18 
HISTORY    (20000217C) TK                                         13737  1   19 
           (20060309C) DR name of first author corrected          13737  1   20 
           (20211005A) BP: Updated entry, added doi. Digitized    13737  1   21 
                       data.                                      13737  1   22 
ENDBIB              20          0                                 13737  1   23 
NOCOMMON             0          0                                 13737  1   24 
ENDSUBENT           23          0                                 13737  199999 
SUBENT        13737002   20211005                             149313737  2    1 
BIB                  4          6                                 13737  2    2 
REACTION  1(39-Y-89(N,0),,EN)                                     13737  2    3 
          2(39-Y-89(N,EL),,WID,,G)                                13737  2    4 
          3(39-Y-89(N,0),,J)                                      13737  2    5 
ANALYSIS   Generalized R-matrix fits.                             13737  2    6 
ERR-ANALYS (DATA-ERR) Absolute uncertainty.                       13737  2    7 
STATUS     (TABLE) Table 1, pages 27-29.                          13737  2    8 
ENDBIB               6          0                                 13737  2    9 
COMMON               1          3                                 13737  2   10 
MOMENTUM L                                                        13737  2   11 
NO-DIM                                                            13737  2   12 
         0.                                                       13737  2   13 
ENDCOMMON            3          0                                 13737  2   14 
DATA                 5        144                                 13737  2   15 
DATA      1DATA-ERR  1DATA      2DATA-ERR  2DATA      3           13737  2   16 
KEV        KEV        EV         EV         NO-DIM                13737  2   17 
    318.800      0.030         8.         1.         0.           13737  2   93 
    318.980      0.030         5.        0.5         1.           13737  2   94 
    319.326      0.030        35.         4.         1.           13737  2   95 
    324.620      0.035       719.        72.         1.           13737  2   96 
    337.120      0.032        17.         2.         1.           13737  2   97 
    337.630      0.032        26.        2.5         1.           13737  2   98 
    351.316      0.032        11.         1.         1.           13737  2   99 
    351.780      0.032         4.        0.5         0.           13737  2  100 
    352.360      0.032         6.        0.5         0.           13737  2  101 
    353.500      0.032       134.        14.         1.           13737  2  102 
    374.450      0.033        87.         9.         1.           13737  2  103 
    387.485      0.034        19.         2.         1.           13737  2  104 
    393.408      0.035        50.         5.         0.           13737  2  105 
    394.270      0.035         8.         1.         1.           13737  2  106 
    399.900      0.035        55.         6.         0.           13737  2  107 
    399.940      0.035        94.        10.         1.           13737  2  108 
    402.600      0.036        44.         5.         0.           13737  2  109 
    403.740      0.036      162.5        17.         1.           13737  2  110 
    406.200      0.040       431.        44.         1.           13737  2  111 
    414.120      0.040        40.         4.         0.           13737  2  112 
    414.520      0.040        60.         6.         0.           13737  2  113 
    417.040      0.042       146.        15.         1.           13737  2  114 
    437.070      0.043        54.         5.         1.           13737  2  115 
    449.270      0.045       109.        11.         0.           13737  2  116 
    450.460      0.045        37.         4.         1.           13737  2  117 
    454.772      0.045       152.        15.         1.           13737  2  118 
    460.000      0.046        65.         7.         1.           13737  2  119 
    461.200      0.046       560.        56.         1.           13737  2  120 
    464.145      0.046       205.        20.         1.           13737  2  121 
    469.200      0.046        40.         4.         0.           13737  2  122 
    471.400      0.047        23.         2.         1.           13737  2  123 
    472.575      0.047        41.         4.         1.           13737  2  124 
    473.900      0.048        35.        3.5         0.           13737  2  125 
    477.635      0.048       110.        11.         1.           13737  2  126 
    487.018      0.049       109.        10.         1.           13737  2  127 
    499.383      0.049       120.        12.         1.           13737  2  128 
    502.819      0.050       745.        75.         1.           13737  2  129 
    504.410      0.050        75.         8.         1.           13737  2  130 
    511.520      0.050       279.        28.         1.           13737  2  131 
    518.820      0.050       127.        13.         1.           13737  2  132 
    519.140      0.051        25.         3.         1.           13737  2  133 
    520.400      0.052        75.         8.         0.           13737  2  134 
    527.770      0.052       463.        47.         1.           13737  2  135 
    529.350      0.053       329.        33.         1.           13737  2  136 
    530.813      0.054        14.        1.5         1.           13737  2  137 
    538.412      0.054        55.         6.         1.           13737  2  138 
    543.250      0.055        83.         8.         1.           13737  2  139 
    552.085      0.056        55.         6.         1.           13737  2  140 
    556.170      0.056        40.         4.         0.           13737  2  141 
    560.063      0.057       120.        12.         1.           13737  2  142 
    586.100      0.058        50.         5.         0.           13737  2  143 
    588.100      0.059        50.         5.         1.           13737  2  144 
    593.800      0.060       385.        39.         0.           13737  2  145 
    594.990      0.060       278.        28.         1.           13737  2  146 
    606.550      0.061        88.         9.         1.           13737  2  147 
    661.450      0.062       137.        14.         0.           13737  2  148 
    618.021      0.062       354.        35.         1.           13737  2  149 
    646.219      0.065       117.        12.         0.           13737  2  150 
    653.025      0.065       116.        12.         0.           13737  2  151 
    659.789      0.066       132.        14.         0.           13737  2  152 
    671.390      0.067       307.        30.         1.           13737  2  153 
    674.600      0.068       277.        28.         1.           13737  2  154 
    683.145      0.068        98.        10.         0.           13737  2  155 
    685.076      0.069       497.        50.         1.           13737  2  156 
    699.353      0.070        63.         6.         0.           13737  2  157 
    709.065      0.071       316.        32.         1.           13737  2  158 
    720.250      0.073       107.        11.         0.           13737  2  159 
    724.188      0.073       128.        15.         1.           13737  2  160 
    728.066      0.075       128.        13.         0.           13737  2  161 
ENDDATA            146          0                                 13737  2  162 
ENDSUBENT          161          0                                 13737  299999 
SUBENT        13737003   20211005                             149313737  3    1 
BIB                  4          6                                 13737  3    2 
REACTION  1(39-Y-89(N,0),,EN)                                     13737  3    3 
          2(39-Y-89(N,EL),,WID)                                   13737  3    4 
          3(39-Y-89(N,0),,J)                                      13737  3    5 
ANALYSIS   Generalized R-matrix fits.                             13737  3    6 
ERR-ANALYS (DATA-ERR) Absolute uncertainty.                       13737  3    7 
STATUS     (TABLE) Table 2, pages 30-35.                          13737  3    8 
ENDBIB               6          0                                 13737  3    9 
COMMON               1          3                                 13737  3   10 
MOMENTUM L                                                        13737  3   11 
NO-DIM                                                            13737  3   12 
         1.                                                       13737  3   13 
ENDCOMMON            3          0                                 13737  3   14 
DATA                 5        524                                 13737  3   15 
DATA      1DATA-ERR  1DATA      2DATA-ERR  2DATA      3           13737  3   16 
KEV        KEV        EV         EV         NO-DIM                13737  3   17 
      2.609      0.005         1.        0.2         1.           13737  3   18 
      3.381      0.007       0.28       0.04         1.           13737  3   19 
      9.415      0.019        2.5        0.3         1.           13737  3   20 
     11.590      0.020         3.         1.         0.           13737  3   21 
     13.015      0.015        4.5        0.5         0.           13737  3   22 
     20.320      0.040        5.5        0.6         0.           13737  3   23 
     23.070      0.050       26.5         3.         1.           13737  3   24 
     23.731      0.050        1.6        0.2         0.           13737  3   25 
     24.177      0.055        16.         2.         1.           13737  3   26 
     24.625      0.050        40.         4.         1.           13737  3   27 
     28.221      0.060        3.5        0.5         0.           13737  3   28 
     29.370      0.060        58.         6.         1.           13737  3   29 
     30.153      0.060        15.         2.         0.           13737  3   30 
     32.933      0.004        14.         2.         1.           13737  3   31 
     34.848      0.008        68.         8.         1.           13737  3   32 
     35.460      0.004       0.65        0.2         0.           13737  3   33 
     35.535      0.004        14.         2.         0.           13737  3   34 
     38.314      0.004        10.         1.         2.           13737  3   35 
     38.348      0.004         7.         1.         1.           13737  3   36 
     41.008      0.005        15.         2.         2.           13737  3   37 
     42.712      0.005         2.        0.5         0.           13737  3   38 
     44.599      0.005        1.5        0.3         0.           13737  3   39 
     51.703      0.007        45.         5.         1.           13737  3   40 
     51.910      0.007        1.5        0.5         0.           13737  3   41 
     52.035      0.007         1.        0.2         0.           13737  3   42 
     52.140      0.015        54.         5.         1.           13737  3   43 
     55.242      0.008        0.6        0.1         0.           13737  3   44 
     55.330      0.008        35.         4.         1.           13737  3   45 
     56.365      0.008        73.         7.         1.           13737  3   46 
     56.582      0.008         5.        0.5         0.           13737  3   47 
     56.680      0.008         7.         1.         0.           13737  3   48 
     61.695      0.008        12.         1.         1.           13737  3   49 
     62.459      0.008        40.         4.         1.           13737  3   50 
     62.661      0.015       257.        30.         2.           13737  3   51 
     65.489      0.008        80.         9.         1.           13737  3   52 
     68.621      0.010       211.        20.         2.           13737  3   53 
     69.070      0.010         5.        0.5         0.           13737  3   54 
     70.486      0.010        60.         6.         2.           13737  3   55 
     74.490      0.010         5.        0.5         0.           13737  3   56 
     75.107      0.010        20.         2.         1.           13737  3   57 
     75.628      0.010         3.        0.5         0.           13737  3   58 
     75.740      0.020       152.        15.         1.           13737  3   59 
     75.977      0.010         3.        0.5         0.           13737  3   60 
     76.940      0.020       370.        40.         1.           13737  3   61 
     83.180      0.010         5.        0.5         0.           13737  3   62 
     83.525      0.010        75.         8.         2.           13737  3   63 
     84.860      0.010         9.         1.         0.           13737  3   64 
     84.986      0.010         4.        0.5         0.           13737  3   65 
     85.210      0.010        30.         3.         1.           13737  3   66 
     85.440      0.015       162.        16.         2.           13737  3   67 
     85.580      0.015        40.         4.         0.           13737  3   68 
     89.173      0.015         5.        0.5         0.           13737  3   69 
     89.835      0.015       254.        25.         2.           13737  3   70 
     89.990      0.015         6.         1.         0.           13737  3   71 
     92.538      0.015       184.        19.         1.           13737  3   72 
     94.125      0.010        25.         3.         2.           13737  3   73 
     96.040      0.010         5.         1.         0.           13737  3   74 
     97.269      0.010        41.         4.         1.           13737  3   75 
     98.740      0.010         3.        0.5         0.           13737  3   76 
    100.588      0.010        14.         2.         1.           13737  3   77 
    102.576      0.010        35.         4.         2.           13737  3   78 
    104.115      0.010        15.         2.         2.           13737  3   79 
    104.165      0.010        63.         6.         1.           13737  3   80 
    105.906      0.010        12.        1.5         2.           13737  3   81 
    106.845      0.010         6.         1.         1.           13737  3   82 
    107.605      0.010        13.         1.         0.           13737  3   83 
    109.445      0.010        12.         1.         0.           13737  3   84 
    111.057      0.010         9.         1.         0.           13737  3   85 
    112.736      0.020       415.        40.         2.           13737  3   86 
    113.971      0.020       147.        15.         1.           13737  3   87 
    117.195      0.010       106.        10.         2.           13737  3   88 
    119.065      0.010       401.        40.         1.           13737  3   89 
    119.957      0.010         5.        0.5         0.           13737  3   90 
    120.005      0.010        4.5        0.5         0.           13737  3   91 
    120.085      0.010        14.         1.         0.           13737  3   92 
    120.150      0.010        45.         4.         1.           13737  3   93 
    122.710      0.010        59.         6.         0.           13737  3   94 
    123.110      0.010       110.        11.         2.           13737  3   95 
    124.550      0.010       417.        42.         1.           13737  3   96 
    127.210      0.010       324.        30.         2.           13737  3   97 
    127.947      0.010        18.         2.         0.           13737  3   98 
    130.429      0.010        16.         2.         0.           13737  3   99 
    131.635      0.010         4.        0.5         0.           13737  3  100 
    131.790      0.010         4.        0.5         0.           13737  3  101 
    132.370      0.010       133.        12.         1.           13737  3  102 
    132.520      0.010         9.         1.         0.           13737  3  103 
    133.135      0.010         9.         1.         0.           13737  3  104 
    133.200      0.010        85.         9.         1.           13737  3  105 
    133.337      0.020       352.        35.         1.           13737  3  106 
    133.500      0.015        41.         5.         2.           13737  3  107 
    136.117      0.015       320.        32.         2.           13737  3  108 
    138.550      0.015       190.        20.         1.           13737  3  109 
    139.035      0.015         5.        0.5         0.           13737  3  110 
    140.038      0.015        99.        10.         1.           13737  3  111 
    140.185      0.015         5.        0.5         0.           13737  3  112 
    140.540      0.020        50.         5.         2.           13737  3  113 
    140.660      0.020       366.        37.         1.           13737  3  114 
    141.768      0.015       337.        35.         2.           13737  3  115 
    143.888      0.015        9.5         1.         0.           13737  3  116 
    144.080      0.015       150.        15.         2.           13737  3  117 
    144.665      0.015         5.        0.5         0.           13737  3  118 
    144.977      0.015       120.        12.         1.           13737  3  119 
    146.821      0.015        43.         4.         1.           13737  3  120 
    148.510      0.015        35.         4.         1.           13737  3  121 
    150.735      0.015       175.        18.         2.           13737  3  122 
    153.070      0.020       136.        14.         1.           13737  3  123 
    159.835      0.020        24.         3.         0.           13737  3  124 
    161.306      0.020       652.        65.         2.           13737  3  125 
    161.402      0.020       216.        22.         1.           13737  3  126 
    163.970      0.020        21.        20.         0.           13737  3  127 
    166.165      0.020       200.        20.         2.           13737  3  128 
    166.907      0.020       152.        15.         1.           13737  3  129 
    164.600      0.020       344.        35.         0.           13737  3  130 
    170.817      0.020       160.        16.         1.           13737  3  131 
    171.355      0.020       212.        22.         2.           13737  3  132 
    172.751      0.020        34.         4.         0.           13737  3  133 
    173.753      0.020        30.         3.         1.           13737  3  134 
    175.865      0.020       165.        17.         2.           13737  3  135 
    176.860      0.020       658.        66.         2.           13737  3  136 
    176.960      0.020       231.        23.         1.           13737  3  137 
    177.591      0.020        93.        10.         1.           13737  3  138 
    179.075      0.020         8.         1.         0.           13737  3  139 
    179.920      0.020        12.         1.         0.           13737  3  140 
    181.261      0.040      1000.       100.         2.           13737  3  141 
    181.604      0.040        97.         9.         1.           13737  3  142 
    186.510      0.020       175.        18.         1.           13737  3  143 
    189.437      0.010       167.        17.         2.           13737  3  144 
    189.834      0.010         5.        0.5         0.           13737  3  145 
    190.210      0.010        36.         4.         1.           13737  3  146 
    191.334      0.010       135.        15.         0.           13737  3  147 
    192.000      0.020         7.         1.         0.           13737  3  148 
    193.620      0.020        10.         1.         0.           13737  3  149 
    193.990      0.020       350.        35.         2.           13737  3  150 
    195.460      0.020       149.        15.         2.           13737  3  151 
    199.923      0.020        16.         2.         0.           13737  3  152 
    200.160      0.020       164.        18.         1.           13737  3  153 
    202.040      0.020       133.        14.         1.           13737  3  154 
    204.300      0.020       167.        17.         1.           13737  3  155 
    205.670      0.020        23.         2.         0.           13737  3  156 
    208.090      0.020        12.         2.         0.           13737  3  157 
    208.555      0.020       451.        45.         2.           13737  3  158 
    209.414      0.020        24.         2.         0.           13737  3  159 
    209.590      0.020       193.        20.         1.           13737  3  160 
    216.556      0.020       221.        22.         1.           13737  3  161 
    217.440      0.020       390.        40.         2.           13737  3  162 
    219.948      0.020        18.         2.         0.           13737  3  163 
    220.180      0.020       202.        20.         2.           13737  3  164 
    220.936      0.020       289.        29.         0.           13737  3  165 
    221.940      0.020       781.        80.         1.           13737  3  166 
    222.230      0.020       125.        12.         0.           13737  3  167 
    222.498      0.020       297.        30.         2.           13737  3  168 
    223.746      0.020       253.        25.         2.           13737  3  169 
    227.450      0.020        53.         5.         1.           13737  3  170 
    228.071      0.020        41.         5.         1.           13737  3  171 
    230.264      0.040       548.        55.         1.           13737  3  172 
    233.000      0.020         8.         1.         1.           13737  3  173 
    233.622      0.040       999.        90.         2.           13737  3  174 
    235.877      0.040       355.        36.         1.           13737  3  175 
    236.370      0.020        17.         2.         0.           13737  3  176 
    238.471      0.020        12.         1.         0.           13737  3  177 
    238.585      0.020        11.         1.         0.           13737  3  178 
    238.781      0.020       167.        17.         1.           13737  3  179 
    240.431      0.040       359.        36.         0.           13737  3  180 
    242.583      0.020        5.5         1.         0.           13737  3  181 
    243.920      0.020        18.         1.         0.           13737  3  182 
    244.774      0.040       607.        60.         1.           13737  3  183 
    245.127      0.040       238.        24.         2.           13737  3  184 
