ENTRY            13737   20211005                             149313737  0    1 
SUBENT        13737001   20211005                             149313737  1    1 
BIB                 12         20                                 13737  1    2 
TITLE      89Y+n resonances for E=10-740 keV and                  13737  1    3 
           intermediate structure                                 13737  1    4 
AUTHOR     (H.M.Agrawal,J.B.Garg,J.A.Harvey)                      13737  1    5 
REFERENCE  (J,NP/A,501,18,1989)                                   13737  1    6 
           #doi:10.1016/0375-9474(89)90563-0                      13737  1    7 
REL-REF    (I,10725001,M.S.Pandey+,J,PR/C,15,600,1977) ORELA      13737  1    8 
           neutron spectrometer.                                  13737  1    9 
INSTITUTE  (1USAORL,1USAALB)                                      13737  1   10 
FACILITY   (LINAC,1USAORL) ORELA.                                 13737  1   11 
INC-SOURCE (PHOTO) Photoneutrons from 5 nsec wide                 13737  1   12 
           electron pulses.                                       13737  1   13 
SAMPLE     Yttrium metal, 10.16cm diameter, 2,54 cm thick.        13737  1   14 
DETECTOR   (SCIN) NE-110 for neutron energies above 20 keV.       13737  1   15 
           (GLASD) 6Li glass detector for neutrons below 20 keV.  13737  1   16 
METHOD     (TOF) Flight path 200 m.                               13737  1   17 
CORRECTION Corrected for deadtime and background                  13737  1   18 
HISTORY    (20000217C) TK                                         13737  1   19 
           (20060309C) DR name of first author corrected          13737  1   20 
           (20211005A) BP: Updated entry, added doi. Digitized    13737  1   21 
                       data.                                      13737  1   22 
ENDBIB              20          0                                 13737  1   23 
NOCOMMON             0          0                                 13737  1   24 
ENDSUBENT           23          0                                 13737  199999 
SUBENT        13737002   20211005                             149313737  2    1 
BIB                  4          6                                 13737  2    2 
REACTION  1(39-Y-89(N,0),,EN)                                     13737  2    3 
          2(39-Y-89(N,EL),,WID,,G)                                13737  2    4 
          3(39-Y-89(N,0),,J)                                      13737  2    5 
ANALYSIS   Generalized R-matrix fits.                             13737  2    6 
ERR-ANALYS (DATA-ERR) Absolute uncertainty.                       13737  2    7 
STATUS     (TABLE) Table 1, pages 27-29.                          13737  2    8 
ENDBIB               6          0                                 13737  2    9 
COMMON               1          3                                 13737  2   10 
MOMENTUM L                                                        13737  2   11 
NO-DIM                                                            13737  2   12 
         0.                                                       13737  2   13 
ENDCOMMON            3          0                                 13737  2   14 
DATA                 5        144                                 13737  2   15 
DATA      1DATA-ERR  1DATA      2DATA-ERR  2DATA      3           13737  2   16 
KEV        KEV        EV         EV         NO-DIM                13737  2   17 
     52.020     11.725                                            13737  4  322 
     52.027     17.254                                            13737  4  323 
     52.068     24.420                                            13737  4  324 
     52.112     33.429                                            13737  4  325 
     52.152     38.753                                            13737  4  326 
     52.178     10.902                                            13737  4  327 
     52.183     14.178                                            13737  4  328 
     52.189     18.684                                            13737  4  329 
     52.208      8.854                                            13737  4  330 
     52.270      7.419                                            13737  4  331 
     52.301      6.804                                            13737  4  332 
     52.525      7.208                                            13737  4  333 
     52.591      8.845                                            13737  4  334 
     52.690     10.686                                            13737  4  335 
     52.756     12.118                                            13737  4  336 
     52.789     13.346                                            13737  4  337 
     52.951     14.776                                            13737  4  338 
     53.049     16.207                                            13737  4  339 
     53.208     15.794                                            13737  4  340 
     53.335     14.768                                            13737  4  341 
     53.429     13.742                                            13737  4  342 
     53.491     11.897                                            13737  4  343 
     53.492     12.716                                            13737  4  344 
     53.681     10.869                                            13737  4  345 
     53.744      9.434                                            13737  4  346 
     53.773      7.795                                            13737  4  347 
     53.804      6.566                                            13737  4  348 
     53.854     20.081                                            13737  4  349 
     53.873     34.620                                            13737  4  350 
     53.883     42.196                                            13737  4  351 
     53.895     26.838                                            13737  4  352 
     53.910     38.510                                            13737  4  353 
     53.913     16.803                                            13737  4  354 
     54.003     12.296                                            13737  4  355 
     54.005     13.524                                            13737  4  356 
     54.097     10.655                                            13737  4  357 
     54.192     10.039                                            13737  4  358 
     54.415      9.420                                            13737  4  359 
     54.638      8.800                                            13737  4  360 
     54.829      7.977                                            13737  4  361 
     55.086      8.586                                            13737  4  362 
     55.120     10.223                                            13737  4  363 
     55.154     11.656                                            13737  4  364 
     55.191     15.546                                            13737  4  365 
     55.291     42.575                                            13737  4  366 
     55.343      9.604                                            13737  4  367 
     55.346     11.652                                            13737  4  368 
     55.349     13.904                                            13737  4  369 
     55.373      8.375                                            13737  4  370 
     55.376     10.423                                            13737  4  371 
     55.436      7.145                                            13737  4  372 
     55.563      6.732                                            13737  4  373 
     55.690      6.115                                            13737  4  374 
     55.850      5.907                                            13737  4  375 
     55.913      5.291                                            13737  4  376 
     56.007      3.856                                            13737  4  377 
     56.016     11.023                                            13737  4  378 
     56.044      7.541                                            13737  4  379 
     56.064     22.490                                            13737  4  380 
     56.082     36.210                                            13737  4  381 
     56.152     17.163                                            13737  4  382 
     56.229     26.377                                            13737  4  383 
     56.270     33.543                                            13737  4  384 
     56.381     20.844                                            13737  4  385 
     56.386     24.121                                            13737  4  386 
     56.405     14.905                                            13737  4  387 
     56.406     39.684                                            13737  4  388 
     56.450     48.489                                            13737  4  389 
     56.484     26.167                                            13737  4  390 
     56.637     21.044                                            13737  4  391 
     56.660     14.081                                            13737  4  392 
     56.662     15.309                                            13737  4  393 
     56.664     17.357                                            13737  4  394 
     56.687      9.984                                            13737  4  395 
     56.688     11.213                                            13737  4  396 
     56.690     12.646                                            13737  4  397 
     56.813      8.753                                            13737  4  398 
     56.972      8.135                                            13737  4  399 
     57.163      7.517                                            13737  4  400 
     57.259      7.515                                            13737  4  401 
     57.483      7.510                                            13737  4  402 
     57.674      7.096                                            13737  4  403 
     57.866      6.887                                            13737  4  404 
     58.058      7.087                                            13737  4  405 
     58.251      7.698                                            13737  4  406 
     58.345      6.672                                            13737  4  407 
     58.538      7.282                                            13737  4  408 
     58.729      6.868                                            13737  4  409 
     58.858      7.480                                            13737  4  410 
     58.985      6.862                                            13737  4  411 
     59.146      7.268                                            13737  4  412 
     59.337      7.060                                            13737  4  413 
     59.497      7.056                                            13737  4  414 
     59.657      6.848                                            13737  4  415 
     59.881      7.048                                            13737  4  416 
     60.068      6.409                                            13737  4  417 
     60.195      6.607                                            13737  4  418 
     60.386      6.387                                            13737  4  419 
     60.641      6.577                                            13737  4  420 
     60.800      5.739                                            13737  4  421 
     61.024      6.758                                            13737  4  422 
     61.246      6.537                                            13737  4  423 
     61.406      6.733                                            13737  4  424 
     61.598      7.961                                            13737  4  425 
     61.635     16.027                                            13737  4  426 
     61.670     21.611                                            13737  4  427 
     61.693      7.955                                            13737  4  428 
     61.755      5.675                                            13737  4  429 
     61.756      7.123                                            13737  4  430 
     61.947      7.110                                            13737  4  431 
     62.076      8.343                                            13737  4  432 
     62.140      9.787                                            13737  4  433 
     62.237     11.228                                            13737  4  434 
     62.301     12.672                                            13737  4  435 
     62.303     15.568                                            13737  4  436 
     62.353     43.494                                            13737  4  437 
     62.369     18.047                                            13737  4  438 
     62.377     30.873                                            13737  4  439 
     62.381     36.458                                            13737  4  440 
     62.565     26.929                                            13737  4  441 
     62.574     40.583                                            13737  4  442 
     62.582     52.375                                            13737  4  443 
     62.681     57.954                                            13737  4  444 
     62.701     38.919                                            13737  4  445 
     62.726     29.194                                            13737  4  446 
     62.730     35.194                                            13737  4  447 
     62.760     32.088                                            13737  4  448 
     62.767     42.225                                            13737  4  449 
     62.845     15.946                                            13737  4  450 
     62.846     17.394                                            13737  4  451 
     62.847     18.842                                            13737  4  452 
     62.906     12.011                                            13737  4  453 
     62.908     14.907                                            13737  4  454 
     62.939     13.457                                            13737  4  455 
     63.001     10.556                                            13737  4  456 
     63.032      9.313                                            13737  4  457 
     63.158      8.063                                            13737  4  458 
     63.253      7.436                                            13737  4  459 
     63.412      6.391                                            13737  4  460 
     63.602      5.551                                            13737  4  461 
     63.794      5.745                                            13737  4  462 
     64.048      5.107                                            13737  4  463 
     64.302      4.469                                            13737  4  464 
     64.429      3.426                                            13737  4  465 
     64.492      2.594                                            13737  4  466 
     64.587      0.933                                            13737  4  467 
     64.589      3.829                                            13737  4  468 
     64.623      7.137                                            13737  4  469 
     64.668     28.236                                            13737  4  470 
     64.691     14.167                                            13737  4  471 
     64.697     23.890                                            13737  4  472 
     64.726     19.129                                            13737  4  473 
     64.754     12.921                                            13737  4  474 
     64.784     10.643                                            13737  4  475 
     64.879      9.603                                            13737  4  476 
     64.974      8.355                                            13737  4  477 
     65.100      6.278                                            13737  4  478 
     65.100      7.312                                            13737  4  479 
     65.197      8.340                                            13737  4  480 
     65.293      9.988                                            13737  4  481 
     65.390     11.844                                            13737  4  482 
     65.522     18.869                                            13737  4  483 
     65.526     25.696                                            13737  4  484 
     65.532     34.592                                            13737  4  485 
     65.583     14.520                                            13737  4  486 
     65.613     11.415                                            13737  4  487 
     65.644     10.172                                            13737  4  488 
     65.706      7.685                                            13737  4  489 
     65.707      8.926                                            13737  4  490 
     65.801      6.644                                            13737  4  491 
     66.023      5.595                                            13737  4  492 
     66.182      5.170                                            13737  4  493 
     66.405      4.949                                            13737  4  494 
     66.628      4.934                                            13737  4  495 
     66.914      4.914                                            13737  4  496 
     67.137      4.486                                            13737  4  497 
     67.264      4.063                                            13737  4  498 
     67.423      3.432                                            13737  4  499 
     67.486      2.393                                            13737  4  500 
     67.708      1.758                                            13737  4  501 
     67.741      3.411                                            13737  4  502 
     67.816     20.370                                            13737  4  503 
     67.822     29.472                                            13737  4  504 
     67.879     18.711                                            13737  4  505 
     67.908     15.192                                            13737  4  506 
     67.909     16.433                                            13737  4  507 
     67.910     17.260                                            13737  4  508 
     67.939     13.535                                            13737  4  509 
     68.034     12.494                                            13737  4  510 
     68.128     10.832                                            13737  4  511 
     68.225     11.860                                            13737  4  512 
     68.353     13.300                                            13737  4  513 
     68.386     14.953                                            13737  4  514 
     68.388     18.470                                            13737  4  515 
     68.398     32.951                                            13737  4  516 
     68.419     16.606                                            13737  4  517 
     68.457     25.706                                            13737  4  518 
     68.467     41.222                                            13737  4  519 
     68.485     20.739                                            13737  4  520 
     68.496     37.909                                            13737  4  521 
     68.502     46.805                                            13737  4  522 
     68.634     53.830                                            13737  4  523 
     68.650     29.210                                            13737  4  524 
     68.654     35.623                                            13737  4  525 
     68.691     43.482                                            13737  4  526 
     68.704     14.518                                            13737  4  527 
     68.710     23.620                                            13737  4  528 
     68.737     15.550                                            13737  4  529 
     68.740     21.342                                            13737  4  530 
     68.769     16.789                                            13737  4  531 
     68.799     13.270                                            13737  4  532 
     68.861     11.818                                            13737  4  533 
     68.924     10.365                                            13737  4  534 
     69.022     14.289                                            13737  4  535 
     69.114      7.870                                            13737  4  536 
     69.115      9.318                                            13737  4  537 
     69.336      7.027                                            13737  4  538 
     69.495      5.982                                            13737  4  539 
     69.621      5.146                                            13737  4  540 
     69.652      3.489                                            13737  4  541 
     69.757     18.378                                            13737  4  542 
     69.847      8.648                                            13737  4  543 
     70.005      7.189                                            13737  4  544 
     70.164      6.144                                            13737  4  545 
     70.260      7.379                                            13737  4  546 
     70.334     23.511                                            13737  4  547 
     70.356      9.028                                            13737  4  548 
     70.358     10.889                                            13737  4  549 
     70.375     37.576                                            13737  4  550 
     70.410     41.712                                            13737  4  551 
     70.467     32.605                                            13737  4  552 
     70.495     26.190                                            13737  4  553 
     70.553     17.910                                            13737  4  554 
     70.613     11.493                                            13737  4  555 
     70.644     10.043                                            13737  4  556 
     70.675      8.799                                            13737  4  557 
     70.737      7.140                                            13737  4  558 
     71.005      7.155                                            13737  4  559 
     71.343      6.847                                            13737  4  560 
     71.584      7.150                                            13737  4  561 
     71.874      6.842                                            13737  4  562 
     72.212      6.534                                            13737  4  563 
     72.598      6.683                                            13737  4  564 
     72.936      6.679                                            13737  4  565 
     73.322      6.523                                            13737  4  566 
     73.612      6.216                                            13737  4  567 
     74.047      6.059                                            13737  4  568 
     74.239      6.362                                            13737  4  569 
     74.426     11.695                                            13737  4  570 
     74.527      7.731                                            13737  4  571 
     74.721      6.815                                            13737  4  572 
     74.771      5.747                                            13737  4  573 
     74.913      8.032                                            13737  4  574 
     74.995     19.921                                            13737  4  575 
     75.002     13.824                                            13737  4  576 
     75.039     23.122                                            13737  4  577 
     75.102     11.232                                            13737  4  578 
     75.202      8.334                                            13737  4  579 
     75.396      7.570                                            13737  4  580 
     75.479     19.002                                            13737  4  581 
     75.491      8.941                                            13737  4  582 
     75.571     22.812                                            13737  4  583 
     75.579     15.953                                            13737  4  584 
     75.607     32.873                                            13737  4  585 
     75.804     29.670                                            13737  4  586 
     75.819     17.322                                            13737  4  587 
     75.921     12.748                                            13737  4  588 
     76.055     21.283                                            13737  4  589 
     76.110     16.252                                            13737  4  590 
     76.126      2.685                                            13737  4  591 
     76.188     31.343                                            13737  4  592 
     76.253     17.165                                            13737  4  593 
     76.303     15.946                                            13737  4  594 
     76.352     15.030                                            13737  4  595 
     76.402     14.115                                            13737  4  596 
     76.544     16.248                                            13737  4  597 
     76.593     15.181                                            13737  4  598 
     76.682     22.039                                            13737  4  599 
     76.956     34.384                                            13737  4  600 
     77.111     26.456                                            13737  4  601 
     77.117     21.121                                            13737  4  602 
     77.121     17.767                                            13737  4  603 
     77.220     15.937                                            13737  4  604 
     77.271     13.650                                            13737  4  605 
     77.370     11.667                                            13737  4  606 
     77.420     10.447                                            13737  4  607 
     77.566      9.379                                            13737  4  608 
     77.712      8.310                                            13737  4  609 
     77.858      7.547                                            13737  4  610 
     78.100      6.630                                            13737  4  611 
     78.438      6.322                                            13737  4  612 
     78.679      6.929                                            13737  4  613 
     78.777      5.251                                            13737  4  614 
     78.779      3.574                                            13737  4  615 
     78.864     13.025                                            13737  4  616 
     78.964     10.737                                            13737  4  617 
     78.966      9.060                                            13737  4  618 
     79.064      7.535                                            13737  4  619 
     79.114      6.467                                            13737  4  620 
     79.452      5.854                                            13737  4  621 
     79.790      6.004                                            13737  4  622 
     80.128      5.695                                            13737  4  623 
     80.418      5.388                                            13737  4  624 
     80.756      5.232                                            13737  4  625 
     80.998      4.925                                            13737  4  626 
     81.336      4.617                                            13737  4  627 
     81.626      4.309                                            13737  4  628 
     81.964      4.001                                            13737  4  629 
     82.206      3.541                                            13737  4  630 
     82.448      3.082                                            13737  4  631 
     82.690      2.470                                            13737  4  632 
     82.836      1.554                                            13737  4  633 
     82.931      2.925                                            13737  4  634 
     82.958     19.997                                            13737  4  635 
     82.963     15.577                                            13737  4  636 
     82.968     12.070                                            13737  4  637 
     82.974      6.888                                            13737  4  638 
     82.978      3.991                                            13737  4  639 
     83.018     10.088                                            13737  4  640 
     83.024      5.668                                            13737  4  641 
     83.117      8.258                                            13737  4  642 
     83.141     28.532                                            13737  4  643 
     83.319     40.725                                            13737  4  644 
     83.338     25.024                                            13737  4  645 
     83.379     30.816                                            13737  4  646 
     83.457     46.211                                            13737  4  647 
     83.471     34.626                                            13737  4  648 
     83.542     15.723                                            13737  4  649 
     83.544     14.504                                            13737  4  650 
     83.576     27.765                                            13737  4  651 
     83.584     21.058                                            13737  4  652 
     83.594     12.674                                            13737  4  653 
     83.635     18.924                                            13737  4  654 
     83.738     13.740                                            13737  4  655 
     83.837     11.300                                            13737  4  656 
     83.887     10.080                                            13737  4  657 
     84.129      9.620                                            13737  4  658 
     84.323      8.856                                            13737  4  659 
     84.661      8.548                                            13737  4  660 
     84.802     11.595                                            13737  4  661 
     84.901      9.613                                            13737  4  662 
     84.996     10.679                                            13737  4  663 
     85.124     25.007                                            13737  4  664 
     85.133     17.080                                            13737  4  665 
     85.137     13.726                                            13737  4  666 
     85.178     20.433                                            13737  4  667 
     85.188     11.744                                            13737  4  668 
     85.312     29.121                                            13737  4  669 
     85.350     36.895                                            13737  4  670 
     85.368     22.413                                            13737  4  671 
     85.391     43.449                                            13737  4  672 
     85.393     41.467                                            13737  4  673 
     85.557     25.917                                            13737  4  674 
     85.562     21.344                                            13737  4  675 
     85.572     13.265                                            13737  4  676 
     85.598     31.862                                            13737  4  677 
     85.614     18.295                                            13737  4  678 
     85.714     15.702                                            13737  4  679 
     85.767     11.586                                            13737  4  680 
     85.866     10.061                                            13737  4  681 
     85.915      8.993                                            13737  4  682 
     86.013      8.078                                            13737  4  683 
     86.207      7.161                                            13737  4  684 
     86.594      6.853                                            13737  4  685 
     86.836      6.393                                            13737  4  686 
     87.270      6.236                                            13737  4  687 
     87.656      6.690                                            13737  4  688 
     87.946      6.382                                            13737  4  689 
     88.235      6.227                                            13737  4  690 
     88.621      6.223                                            13737  4  691 
     88.911      6.526                                            13737  4  692 
     89.054      7.744                                            13737  4  693 
     89.149      9.115                                            13737  4  694 
     89.343      7.893                                            13737  4  695 
     89.436     10.941                                            13737  4  696 
     89.438      9.264                                            13737  4  697 
     89.480     14.904                                            13737  4  698 
     89.524     17.800                                            13737  4  699 
     89.525     16.885                                            13737  4  700 
     89.526     15.971                                            13737  4  701 
     89.531     12.160                                            13737  4  702 
     89.564     24.659                                            13737  4  703 
     89.578     13.684                                            13737  4  704 
     89.579     12.769                                            13737  4  705 
     89.615     22.829                                            13737  4  706 
     89.643     39.140                                            13737  4  707 
     89.654     30.298                                            13737  4  708 
     89.657     27.402                                            13737  4  709 
     89.912     16.577                                            13737  4  710 
     89.963     14.595                                            13737  4  711 
     90.002     21.454                                            13737  4  712 
     90.013     13.070                                            13737  4  713 
     90.062     11.850                                            13737  4  714 
     90.112     10.782                                            13737  4  715 
     90.113      9.715                                            13737  4  716 
     90.163      8.800                                            13737  4  717 
     90.357      7.731                                            13737  4  718 
     90.551      6.967                                            13737  4  719 
     90.841      6.659                                            13737  4  720 
     91.179      6.046                                            13737  4  721 
     91.517      6.043                                            13737  4  722 
     91.519      4.824                                            13737  4  723 
     91.658      9.395                                            13737  4  724 
     91.665      4.060                                            13737  4  725 
     91.710      6.499                                            13737  4  726 
     91.751     11.986                                            13737  4  727 
     92.046      8.020                                            13737  4  728 
     92.047      6.953                                            13737  4  729 
     92.141      9.391                                            13737  4  730 
     92.282     11.981                                            13737  4  731 
     92.284     10.456                                            13737  4  732 
     92.368     20.516                                            13737  4  733 
     92.375     15.029                                            13737  4  734 
     92.377     13.352                                            13737  4  735 
     92.415     21.583                                            13737  4  736 
     92.419     18.687                                            13737  4  737 
     92.421     16.857                                            13737  4  738 
     92.502     29.661                                            13737  4  739 
     92.609     21.429                                            13737  4  740 
     92.662     17.465                                            13737  4  741 
     92.667     13.349                                            13737  4  742 
     92.707     19.446                                            13737  4  743 
     92.712     15.483                                            13737  4  744 
     92.765     11.519                                            13737  4  745 
     92.767      9.994                                            13737  4  746 
     92.866      8.317                                            13737  4  747 
     93.108      7.552                                            13737  4  748 
     93.206      6.484                                            13737  4  749 
     93.544      6.481                                            13737  4  750 
     93.786      5.716                                            13737  4  751 
     93.980      4.952                                            13737  4  752 
     94.019     12.574                                            13737  4  753 
     94.026      6.629                                            13737  4  754 
     94.054     23.701                                            13737  4  755 
     94.070     10.592                                            13737  4  756 
     94.106     20.500                                            13737  4  757 
     94.112     15.012                                            13737  4  758 
     94.267      7.236                                            13737  4  759 
     94.412      6.625                                            13737  4  760 
     94.654      6.165                                            13737  4  761 
     94.848      5.554                                            13737  4  762 
     95.201      6.131                                            13737  4  763 
     95.354      6.042                                            13737  4  764 
     95.468      6.135                                            13737  4  765 
     95.601      6.137                                            13737  4  766 
     95.754      6.048                                            13737  4  767 
     95.887      6.050                                            13737  4  768 
     95.942      7.697                                            13737  4  769 
     95.962      6.783                                            13737  4  770 
     96.014     10.716                                            13737  4  771 
     96.095      7.059                                            13737  4  772 
     96.135      6.145                                            13737  4  773 
     96.287      5.873                                            13737  4  774 
     96.459      6.058                                            13737  4  775 
     96.592      6.060                                            13737  4  776 
     96.725      5.971                                            13737  4  777 
     96.878      5.973                                            13737  4  778 
     96.992      6.066                                            13737  4  779 
     97.049      6.341                                            13737  4  780 
     97.125      6.525                                            13737  4  781 
     97.161      7.989                                            13737  4  782 
     97.179      8.721                                            13737  4  783 
     97.181      7.258                                            13737  4  784 
     97.264     16.040                                            13737  4  785 
     97.269     12.930                                            13737  4  786 
     97.277     21.162                                            13737  4  787 
     97.312      8.632                                            13737  4  788 
     97.351      8.084                                            13737  4  789 
     97.371      7.444                                            13737  4  790 
     97.372      6.895                                            13737  4  791 
     97.430      6.347                                            13737  4  792 
     97.487      5.890                                            13737  4  793 
     97.564      5.251                                            13737  4  794 
     97.641      4.612                                            13737  4  795 
     97.680      3.972                                            13737  4  796 
     97.719      3.333                                            13737  4  797 
     97.762     14.401                                            13737  4  798 
     97.874     15.683                                            13737  4  799 
     97.883      8.915                                            13737  4  800 
     97.899     11.293                                            13737  4  801 
     97.941      8.275                                            13737  4  802 
     97.980      7.910                                            13737  4  803 
     98.037      7.728                                            13737  4  804 
     98.096      6.265                                            13737  4  805 
     98.114      6.997                                            13737  4  806 
     98.211      6.267                                            13737  4  807 
     98.363      6.635                                            13737  4  808 
     98.496      6.271                                            13737  4  809 
     98.572      6.364                                            13737  4  810 
     98.631      5.267                                            13737  4  811 
     98.684      8.469                                            13737  4  812 
     98.743      7.281                                            13737  4  813 
     98.743      6.732                                            13737  4  814 
     98.761      7.921                                            13737  4  815 
     98.782      6.092                                            13737  4  816 
     98.877      6.277                                            13737  4  817 
     98.992      6.278                                            13737  4  818 
     99.049      5.822                                            13737  4  819 
     99.069      5.273                                            13737  4  820 
     99.201      6.190                                            13737  4  821 
     99.354      6.192                                            13737  4  822 
     99.468      5.828                                            13737  4  823 
     99.583      5.830                                            13737  4  824 
     99.735      5.832                                            13737  4  825 
     99.849      6.016                                            13737  4  826 
    100.002      5.744                                            13737  4  827 
    100.116      6.020                                            13737  4  828 
    100.268      6.114                                            13737  4  829 
    100.401      6.207                                            13737  4  830 
    100.476      7.032                                            13737  4  831 
    100.532      8.039                                            13737  4  832 
    100.582     13.710                                            13737  4  833 
    100.647      7.492                                            13737  4  834 
    100.648      7.034                                            13737  4  835 
    100.649      6.211                                            13737  4  836 
    100.783      5.756                                            13737  4  837 
    100.916      5.483                                            13737  4  838 
    100.954      6.033                                            13737  4  839 
    101.049      5.760                                            13737  4  840 
    101.126      5.395                                            13737  4  841 
    101.183      5.853                                            13737  4  842 
    101.354      5.764                                            13737  4  843 
    101.487      5.858                                            13737  4  844 
    101.583      5.493                                            13737  4  845 
    101.716      5.678                                            13737  4  846 
    101.830      5.863                                            13737  4  847 
    101.883      8.790                                            13737  4  848 
    101.886      6.869                                            13737  4  849 
    101.990     15.011                                            13737  4  850 
    102.058      6.598                                            13737  4  851 
    102.116      6.141                                            13737  4  852 
    102.173      5.593                                            13737  4  853 
    102.326      5.595                                            13737  4  854 
    102.419      6.969                                            13737  4  855 
    102.420      6.328                                            13737  4  856 
    102.493      8.616                                            13737  4  857 
    102.494      7.793                                            13737  4  858 
    102.509     11.086                                            13737  4  859 
    102.535     19.867                                            13737  4  860 
    102.606      9.441                                            13737  4  861 
    102.649      6.057                                            13737  4  862 
    102.650      5.509                                            13737  4  863 
    102.667      6.698                                            13737  4  864 
    102.840      5.694                                            13737  4  865 
    103.011      5.697                                            13737  4  866 
    103.183      5.608                                            13737  4  867 
    103.298      5.244                                            13737  4  868 
    103.431      5.246                                            13737  4  869 
    103.545      5.796                                            13737  4  870 
    103.697      5.707                                            13737  4  871 
    103.849      5.709                                            13737  4  872 
    103.867      6.807                                            13737  4  873 
    103.868      6.258                                            13737  4  874 
    103.939      9.918                                            13737  4  875 
    103.999      8.089                                            13737  4  876 
    104.000      7.266                                            13737  4  877 
