ENTRY            10236   20010309                             00001023600000001 
SUBENT        10236001   20010309                             00001023600100001 
BIB                 11         43                                 1023600100002 
INSTITUTE  (1USAANL)                                              1023600100003 
REFERENCE  (J,NSE,54,317,197407)                                  1023600100004 
           (R,ANL-NDM-83,198310) Revisions.                       1023600100005 
AUTHOR     (J.W.MEADOWS)                                          1023600100006 
TITLE      The Ratio of the Uranium-233 to Uranium-235 Fission    1023600100007 
            Cross Section                                         1023600100008 
INC-SOURCE (P-LI7) Below 3 MeV, 7Li(p,n) source used.             1023600100009 
           (D-D) Above 3 MeV, D(d,n) source used.                 1023600100010 
SAMPLE     Isotopic composition in mole percent -                 1023600100011 
                      233-U      (99.540)                         1023600100012 
                      234-U      ( 0.184)                         1023600100013 
                      235-U      ( 0.062)                         1023600100014 
                      236-U      ( 0.013)                         1023600100015 
                      238-U      ( 0.203)                         1023600100016 
METHOD     Absolute measurements made at energies 1.5 to 3.0 MeV  1023600100017 
            using average of values obtained from measurements    1023600100018 
            on 5 sample pairs.                                    1023600100019 
           Mass ratios were obtained by comparing thermal fission 1023600100020 
            rates of 233U and 235U samples and also by comparing  1023600100021 
            low geometry alpha count rates of 233U samples with   1023600100022 
            235U samples spiked with 233U.                        1023600100023 
DETECTOR   (FISCH) Double ionization chamber                      1023600100024 
ERR-ANALYS (ERR-S) Statistical uncertainty.                       1023600100025 
           (ERR-T) Total uncertainty includes statistical error   1023600100026 
            plus error (in percent) due to -                      1023600100027 
           . half-life of 234U                (0.02)              1023600100028 
           . thermal ratio of 233U/235U       (0.25)              1023600100029 
           . isotopic analysis                (0.25)              1023600100030 
           . alpha-counting system            (0.15)              1023600100031 
           . thickness correction             (0.10)              1023600100032 
           . extrapolation                    (0.10)              1023600100033 
           . dead-time correction             (0.25)              1023600100034 
           . scattering correction            (0.30)              1023600100035 
           . secondary source reactions (20% of correction)       1023600100036 
           . error in neutron energy (about 20% of energy         1023600100037 
             resolution)                                          1023600100038 
STATUS     (APRVD) J.W. Meadows, 1984/3/2.                        1023600100039 
           Data taken from ANL-NDM-83.                            1023600100040 
HISTORY    (19740307C)                                            1023600100041 
           (19750702U) REFERENCE changed                          1023600100042 
           (19821015A) Converted to REACTION formalism            1023600100043 
           (19840306A) Revised as per ANL-NDM-83.                 1023600100044 
           (20010309A) Updated to new date formats, lower case.   1023600100045 
ENDBIB              43          0                                 1023600100046 
NOCOMMON             0          0                                 1023600100047 
ENDSUBENT           46          0                                 1023600199999 
SUBENT        10236002   20010309                             00001023600200001 
BIB                  2          4                                 1023600200002 
REACTION  1((92-U-233(N,F),,SIG)/(92-U-235(N,F),,SIG))            1023600200003 
          2(92-U-233(N,F),,SIG)                                   1023600200004 
MONITOR    Ratio normalized at 1.496, 1.966, 2.495, 2.998 MeV.    1023600200005 
          2(92-U-235(N,F),,SIG) From ENDB/B-V.                    1023600200006 
ENDBIB               4          0                                 1023600200007 
NOCOMMON             0          0                                 1023600200008 
DATA                 6         56                                 1023600200009 
EN         EN-RSL-FW  DATA      1ERR-S     1ERR-T     1DATA      21023600200010 
MEV        MEV        NO-DIM     PER-CENT   PER-CENT   B          1023600200011 
 0.142      0.042      1.475      0.98       1.56       2.171     1023600200012 
 0.153      0.086      1.494      0.82       2.11       2.169     1023600200013 
 0.174      0.040      1.518      1.11       1.58       2.152     1023600200014 
 0.206      0.050      1.576      0.90       1.67       2.154     1023600200015 
 0.256      0.034      1.671      1.43       1.82       2.164     1023600200016 
 0.306      0.044      1.760      0.95       1.27       2.215     1023600200017 
 0.351      0.031      1.717      1.34       1.57       2.119     1023600200018 
 0.395      0.040      1.741      0.80       1.15       2.109     1023600200019 
 0.446      0.029      1.724      1.09       1.36       2.044     1023600200020 
 0.495      0.036      1.760      0.71       1.08       2.056     1023600200021 
 0.550      0.027      1.734      1.07       1.35       2.002     1023600200022 
 0.604      0.036      1.721      0.74       1.11       1.970     1023600200023 
 0.661      0.026      1.741      1.11       1.38       1.983     1023600200024 
 0.678      0.042      1.720      0.63       1.04       1.958     1023600200025 
 0.723      0.042      1.702      1.00       1.30       1.935     1023600200026 
 0.795      0.062      1.703      0.71       1.16       1.939     1023600200027 
 0.896      0.039      1.625      1.00       1.36       1.895     1023600200028 
 0.995      0.058      1.548      0.72       1.13       1.887     1023600200029 
 1.125      0.036      1.561      1.01       1.30       1.897     1023600200030 
 1.255      0.034      1.564      1.01       1.30       1.913     1023600200031 
 1.300      0.070      1.551      0.76       1.12       1.905     1023600200032 
 1.327      0.069      1.548      0.83       1.17       1.906     1023600200033 
 1.416      0.067      1.522      0.85       1.18       1.888     1023600200034 
 1.496      0.065      1.539      0.30       0.87       1.925     1023600200035 
 1.777      0.062      1.534      0.85       1.18       1.972     1023600200036 
 1.966      0.058      1.537      0.29       0.87       1.993     1023600200037 
 2.256      0.110      1.533      0.85       1.18       1.975     1023600200038 
 2.495      0.104      1.534      0.29       0.87       1.946     1023600200039 
 2.714      0.100      1.522      0.85       1.18       1.899     1023600200040 
 2.998      0.095      1.541      0.27       0.86       1.878     1023600200041 
 3.271      0.089      1.532      0.84       1.17       1.830     1023600200042 
 3.523      0.084      1.537      0.84       1.17       1.802     1023600200043 
 3.775      0.080      1.524      0.84       1.17       1.753     1023600200044 
 4.027      0.078      1.495      0.85       1.18       1.691     1023600200045 
 4.278      0.077      1.479      0.86       1.19       1.661     1023600200046 
 4.529      0.074      1.506      0.77       1.13       1.669     1023600200047 
 4.766      0.292      1.472      1.05       1.34       1.598     1023600200048 
 4.780      0.073      1.511      0.77       1.13       1.638     1023600200049 
 5.360      0.221      1.475      1.02       1.35       1.545     1023600200050 
 5.918      0.190      1.565      1.08       1.36       1.703     1023600200051 
 6.357      0.170      1.482      0.93       1.38       1.904     1023600200052 
 6.482      0.164      1.475      1.07       1.46       1.996     1023600200053 
 6.624      0.157      1.433      0.92       1.33       2.036     1023600200054 
 6.884      0.147      1.367      0.93       1.30       2.071     1023600200055 
 7.121      0.140      1.344      1.04       1.36       2.150     1023600200056 
 7.169      0.380      1.348      1.01       1.33       2.181     1023600200057 
 7.399      0.132      1.316      0.99       1.30       2.225     1023600200058 
