EN-MIN     EN-MAX     DATA       MISC1      MISC2                 1438300200017 
EV         EV         NO-DIM     NO-DIM     NO-DIM                1438300200018 
   11.24605   11.27198    0.23404    0.22659    0.24148           1438300200070 
   11.27198   11.29796    0.23956    0.23146    0.24766           1438300200071 
   11.29796   11.32400    0.24785    0.23923    0.25646           1438300200072 
   11.32400   11.35011    0.25697    0.24783    0.26612           1438300200073 
   11.35011   11.37627    0.29306    0.28313    0.30299           1438300200074 
   11.37627   11.40250    0.30593    0.29544    0.31642           1438300200075 
   11.40250   11.42878    0.32068    0.30956    0.33180           1438300200076 
   11.42878   11.45513    0.32232    0.31110    0.33354           1438300200077 
   11.45513   11.48154    0.38622    0.37386    0.39859           1438300200078 
   11.48154   11.50800    0.40370    0.39101    0.41638           1438300200079 
   11.50800   11.53453    0.44088    0.42767    0.45409           1438300200080 
   11.53453   11.56112    0.48336    0.46965    0.49708           1438300200081 
   11.56112   11.58777    0.52783    0.51349    0.54217           1438300200082 
   11.58777   11.61449    0.57005    0.55557    0.58453           1438300200083 
   11.61449   11.64126    0.61613    0.60136    0.63091           1438300200084 
   11.64126   11.66810    0.68493    0.66980    0.70005           1438300200085 
   11.66810   11.69499    0.70749    0.69293    0.72205           1438300200086 
   11.69499   11.72195    0.79137    0.77665    0.80610           1438300200087 
   11.72195   11.74898    0.87696    0.86252    0.89140           1438300200088 
   11.74898   11.77606    0.99619    0.98173    1.01065           1438300200089 
   11.77606   11.80321    1.08138    1.06766    1.09509           1438300200090 
   11.80321   11.83042    1.18058    1.16767    1.19349           1438300200091 
   11.83042   11.85769    1.29113    1.27882    1.30343           1438300200092 
   11.85769   11.88502    1.39410    1.38216    1.40604           1438300200093 
   11.88502   11.91242    1.50752    1.49531    1.51972           1438300200094 
   11.91242   11.93988    1.58741    1.57442    1.60040           1438300200095 
   11.93988   11.96741    1.71316    1.69803    1.72829           1438300200096 
   11.96741   11.99499    1.84124    1.82217    1.86031           1438300200097 
   11.99499   12.02264    2.02652    2.00058    2.05246           1438300200098 
   12.02264   12.05036    2.27315    2.23552    2.31078           1438300200099 
   12.05036   12.07814    2.62543    2.56732    2.68354           1438300200100 
   12.07814   12.10598    3.16003    3.06859    3.25147           1438300200101 
   12.10598   12.13389    3.39076    3.26717    3.51434           1438300200102 
   12.13389   12.16186    3.49764    3.34341    3.65187           1438300200103 
   12.16186   12.18990    4.03208    3.82367    4.24049           1438300200104 
   12.18990   12.21800    3.41005    3.21194    3.60817           1438300200105 
   12.21800   12.24616    2.94118    2.76104    3.12133           1438300200106 
   12.24616   12.27439    2.83853    2.65722    3.01984           1438300200107 
   12.27439   12.30269    2.70235    2.52142    2.88329           1438300200108 
   12.30269   12.33105    1.98881    1.84048    2.13714           1438300200109 
   12.33105   12.35947    1.79654    1.66290    1.93019           1438300200110 
   12.35947   12.38797    1.91568    1.77337    2.05800           1438300200111 
   12.38797   12.41652    1.39245    1.27630    1.50860           1438300200112 
   12.41652   12.44515    1.34334    1.23320    1.45349           1438300200113 
   12.44515   12.47384    1.18081    1.07716    1.28446           1438300200114 
   12.47384   12.50259    1.34797    1.23460    1.46133           1438300200115 
   12.50259   12.53141    1.07451    0.97660    1.17242           1438300200116 
   12.53141   12.56030    0.96842    0.87174    1.06511           1438300200117 
   12.56030   12.58925    0.95640    0.86559    1.04720           1438300200118 
   12.58925   12.61828    0.77313    0.68770    0.85855           1438300200119 
   12.61828   12.64736    0.67564    0.59120    0.76007           1438300200120 
