ENTRY            11558   19830412                             00001155800000001 
SUBENT        11558001   19830412                             00001155800100001 
BIB                  6          7                                 1155800100002 
INSTITUTE  (1USAWIS)                                              1155800100003 
REFERENCE  (J,PR,79,593,5008)                                     1155800100004 
AUTHOR     (R.E.PETERSON,H.H.BARSCHALL,C.K.BOCKELMAN)             1155800100005 
TITLE      INVESTIGATION OF NUCLEAR ENERGY LEVELS IN SULFUR.      1155800100006 
STATUS     (SCSRS)                                                1155800100007 
HISTORY    (760715T) TRANSLATED FROM SCISRS                       1155800100008 
           (830412A) CONVERTED TO REACTION FORMALISM              1155800100009 
ENDBIB               7          0                                 1155800100010 
NOCOMMON             0          0                                 1155800100011 
ENDSUBENT           10          0                                 1155800199999 
SUBENT        11558002   19830412                             00001155800200001 
BIB                  3          3                                 1155800200002 
REACTION   (16-S-0(N,TOT),,SIG)                                   1155800200003 
ERR-ANALYS  DATA-ERR GIVEN IS STATISTICAL ERROR ONLY              1155800200004 
HISTORY    (820628A) INCORRECT POINT AT 1.42 MEV DELETED.         1155800200005 
ENDBIB               3          0                                 1155800200006 
NOCOMMON             0          0                                 1155800200007 
DATA                 4        320                                 1155800200008 
EN         EN-RSL     DATA       DATA-ERR                         1155800200009 
MEV        MEV        B          B                                1155800200010 
 4.00   -01 4.     -03 3.1    +00 3.     -01                      1155800200084 
 4.04   -01 4.     -03 3.0    +00 3.     -01                      1155800200085 
 4.07   -01 4.     -03 2.5    +00 3.     -01                      1155800200086 
 4.08   -01 9.     -03 2.6    +00 3.     -01                      1155800200087 
 4.10   -01 4.     -03 3.0    +00 3.     -01                      1155800200088 
 4.18   -01 9.     -03 2.6    +00 3.     -01                      1155800200089 
 4.26   -01 9.     -03 2.4    +00 3.     -01                      1155800200090 
 4.33   -01 9.     -03 2.0    +00 3.     -01                      1155800200091 
 4.43   -01 9.     -03 2.7    +00 3.     -01                      1155800200092 
 4.49   -01 9.     -03 2.5    +00 3.     -01                      1155800200093 
 4.57   -01 9.     -03 2.5    +00 3.     -01                      1155800200094 
 4.66   -01 9.     -03 2.6    +00 3.     -01                      1155800200095 
 4.72   -01 9.     -03 2.2    +00 3.     -01                      1155800200096 
 4.80   -01 9.     -03 2.1    +00 2.     -01                      1155800200097 
 4.89   -01 9.     -03 2.2    +00 2.     -01                      1155800200098 
 4.99   -01 9.     -03 2.1    +00 2.     -01                      1155800200099 
 5.07   -01 9.     -03 2.0    +00 2.     -01                      1155800200100 
 5.14   -01 9.     -03 2.0    +00 2.     -01                      1155800200101 
 5.23   -01 9.     -03 1.9    +00 2.     -01                      1155800200102 
 5.30   -01 9.     -03 2.2    +00 2.     -01                      1155800200103 
 5.37   -01 9.     -03 2.0    +00 2.     -01                      1155800200104 
 5.45   -01 9.     -03 2.1    +00 2.     -01                      1155800200105 
 5.53   -01 9.     -03 1.9    +00 2.     -01                      1155800200106 
 5.61   -01 9.     -03 2.0    +00 2.     -01                      1155800200107 
 5.68   -01 9.     -03 1.9    +00 2.     -01                      1155800200108 
 5.72   -01 4.     -03 1.8    +00 2.     -01                      1155800200109 
 5.75   -01 4.     -03 2.00   +00 1.5    -01                      1155800200110 
 5.78   -01 4.     -03 2.20   +00 1.5    -01                      1155800200111 
 5.825  -01 1.5    -03 3.05   +00 3.0    -01                      1155800200112 
 5.837  -01 1.5    -03 6.00   +00 5.0    -01                      1155800200113 
 5.840  -01 1.5    -03 7.10   +00 5.5    -01                      1155800200114 
 5.845  -01 1.5    -03 9.45   +00 7.5    -01                      1155800200115 
 5.852  -01 1.5    -03 9.25   +00 8.0    -01                      1155800200116 
 5.860  -01 1.5    -03 5.85   +00 4.5    -01                      1155800200117 
 5.865  -01 1.5    -03 4.25   +00 5.0    -01                      1155800200118 
 5.875  -01 1.5    -03 3.30   +00 3.0    -01                      1155800200119 
 5.900  -01 2.5    -03 2.25   +00 2.5    -01                      1155800200120 
 5.92   -01 4.     -03 2.15   +00 1.5    -01                      1155800200121 
 6.00   -01 9.     -03 2.0    +00 2.     -01                      1155800200122 
 6.10   -01 9.     -03 1.8    +00 2.     -01                      1155800200123 
 6.18   -01 9.     -03 1.8    +00 2.     -01                      1155800200124 
 6.25   -01 9.     -03 1.8    +00 2.     -01                      1155800200125 
 6.33   -01 9.     -03 1.9    +00 2.     -01                      1155800200126 
 6.40   -01 9.     -03 1.8    +00 2.     -01                      1155800200127 
 6.48   -01 9.     -03 2.1    +00 2.     -01                      1155800200128 
 6.55   -01 9.     -03 1.4    +00 2.     -01                      1155800200129 
 6.62   -01 9.     -03 1.7    +00 2.     -01                      1155800200130 
 6.72   -01 9.     -03 1.8    +00 2.     -01                      1155800200131 
 6.78   -01 9.     -03 1.1    +00 2.     -01                      1155800200132 
 6.82   -01 4.     -03 1.0    +00 2.     -01                      1155800200133 
 6.83   -01 4.     -03 5.     -01 2.     -01                      1155800200134 
 6.85   -01 3.     -03 6.     -01 2.     -01                      1155800200135 
 6.90   -01 3.     -03 7.     -01 2.     -01                      1155800200136 
 6.92   -01 4.     -03 1.7    +00 2.     -01                      1155800200137 
 6.93   -01 9.     -03 1.9    +00 2.     -01                      1155800200138 
 6.96   -01 4.     -03 3.1    +00 3.     -01                      1155800200139 
 7.00   -01 3.     -03 4.3    +00 4.     -01                      1155800200140 
 7.07   -01 3.     -03 3.8    +00 3.     -01                      1155800200141 
 7.10   -01 4.     -03 3.7    +00 2.     -01                      1155800200142 
 7.12   -01 9.     -03 3.2    +00 2.     -01                      1155800200143 
 7.15   -01 4.     -03 3.1    +00 2.     -01                      1155800200144 
 7.17   -01 9.     -03 3.0    +00 2.     -01                      1155800200145 
 7.20   -01 3.     -03 3.8    +00 3.     -01                      1155800200146 
 7.21   -01 4.     -03 3.1    +00 3.     -01                      1155800200147 
 7.22   -01 3.     -03 3.3    +00 4.     -01                      1155800200148 
 7.23   -01 4.     -03 4.3    +00 4.     -01                      1155800200149 
 7.24   -01 3.     -03 5.0    +00 4.     -01                      1155800200150 
 7.26   -01 3.     -03 4.2    +00 4.     -01                      1155800200151 
 7.27   -01 4.     -03 3.9    +00 4.     -01                      1155800200152 
 7.31   -01 3.     -03 3.6    +00 3.     -01                      1155800200153 
 7.32   -01 4.     -03 3.2    +00 2.     -01                      1155800200154 
 7.33   -01 3.     -03 2.6    +00 2.     -01                      1155800200155 
 7.37   -01 3.     -03 2.7    +00 2.     -01                      1155800200156 
 7.38   -01 3.     -03 3.0    +00 3.     -01                      1155800200157 
 7.40   -01 3.     -03 3.7    +00 3.     -01                      1155800200158 
 7.43   -01 3.     -03 4.9    +00 4.     -01                      1155800200159 
 7.44   -01 3.     -03 4.2    +00 4.     -01                      1155800200160 
 7.45   -01 3.     -03 3.1    +00 4.     -01                      1155800200161 
 7.48   -01 4.     -03 2.8    +00 2.     -01                      1155800200162 
 7.49   -01 4.     -03 2.8    +00 2.     -01                      1155800200163 
 7.50   -01 4.     -03 2.7    +00 2.     -01                      1155800200164 
 7.52   -01 4.     -03 2.5    +00 2.     -01                      1155800200165 
 7.57   -01 6.     -03 2.3    +00                                 1155800200166 
 7.58   -01 6.     -03 2.3    +00                                 1155800200167 
 7.62   -01 6.     -03 2.5    +00                                 1155800200168 
 7.65   -01 6.     -03 2.3    +00                                 1155800200169 
 7.70   -01 6.     -03 2.2    +00                                 1155800200170 
 7.73   -01 6.     -03 2.3    +00                                 1155800200171 
 7.75   -01 6.     -03 2.6    +00                                 1155800200172 
 7.76   -01 3.     -03 3.2    +00                                 1155800200173 
 7.80   -01 3.     -03 3.9    +00                                 1155800200174 
 7.81   -01 3.     -03 3.7    +00                                 1155800200175 
 7.85   -01 6.     -03 3.1    +00                                 1155800200176 
 7.89   -01 6.     -03 2.4    +00                                 1155800200177 
 7.95   -01 6.     -03 2.7    +00                                 1155800200178 
 7.99   -01 6.     -03 2.5    +00                                 1155800200179 
 8.04   -01 6.     -03 2.8    +00                                 1155800200180 
 8.10   -01 6.     -03 2.6    +00                                 1155800200181 
 8.13   -01 6.     -03 2.5    +00                                 1155800200182 
 8.16   -01 6.     -03 2.4    +00                                 1155800200183 
 8.18   -01 6.     -03 2.8    +00                                 1155800200184 
 8.20   -01 3.     -03 3.4    +00                                 1155800200185 
 8.22   -01 3.     -03 3.7    +00                                 1155800200186 
 8.23   -01 6.     -03 2.7    +00                                 1155800200187 
 8.26   -01 6.     -03 2.1    +00                                 1155800200188 
 8.30   -01 6.     -03 2.2    +00                                 1155800200189 
 8.38   -01 6.     -03 2.5    +00                                 1155800200190 
 8.40   -01 6.     -03 2.1    +00                                 1155800200191 
 8.44   -01 6.     -03 2.3    +00                                 1155800200192 
 8.48   -01 6.     -03 2.2    +00                                 1155800200193 
 8.52   -01 6.     -03 2.4    +00                                 1155800200194 
 8.55   -01 6.     -03 1.9    +00                                 1155800200195 
 8.62   -01 6.     -03 2.1    +00                                 1155800200196 
 8.68   -01 6.     -03 2.1    +00                                 1155800200197 
 8.72   -01 6.     -03 2.0    +00                                 1155800200198 
 8.78   -01 6.     -03 2.0    +00                                 1155800200199 
 8.82   -01 6.     -03 2.1    +00                                 1155800200200 
 8.88   -01 6.     -03 2.3    +00                                 1155800200201 
 8.92   -01 6.     -03 2.1    +00                                 1155800200202 
 8.98   -01 6.     -03 2.2    +00                                 1155800200203 
 9.00   -01 6.     -03 2.0    +00                                 1155800200204 
 9.05   -01 6.     -03 2.0    +00                                 1155800200205 
 9.12   -01 6.     -03 1.9    +00                                 1155800200206 
 9.18   -01 6.     -03 1.8    +00                                 1155800200207 
 9.20   -01 6.     -03 2.0    +00                                 1155800200208 
 9.21   -01 6.     -03 2.7    +00                                 1155800200209 
 9.22   -01 3.     -03 4.3    +00                                 1155800200210 
 9.23   -01 6.     -03 4.2    +00                                 1155800200211 
 9.26   -01 6.     -03 4.1    +00                                 1155800200212 
 9.27   -01 6.     -03 4.0    +00                                 1155800200213 
 9.28   -01 6.     -03 3.8    +00                                 1155800200214 
 9.30   -01 6.     -03 2.5    +00                                 1155800200215 
 9.33   -01 6.     -03 2.6    +00                                 1155800200216 
 9.36   -01 6.     -03 2.4    +00                                 1155800200217 
 9.42   -01 6.     -03 2.4    +00                                 1155800200218 
 9.45   -01 6.     -03 2.8    +00                                 1155800200219 
 9.46   -01 3.     -03 3.4    +00                                 1155800200220 
 9.48   -01 3.     -03 3.0    +00                                 1155800200221 
 9.50   -01 6.     -03 3.0    +00                                 1155800200222 
 9.52   -01 3.     -03 2.3    +00                                 1155800200223 
 9.58   -01 6.     -03 2.3    +00                                 1155800200224 
 9.62   -01 6.     -03 2.0    +00                                 1155800200225 
 9.68   -01 6.     -03 2.0    +00                                 1155800200226 
 9.74   -01 6.     -03 1.9    +00                                 1155800200227 
 9.78   -01 6.     -03 2.0    +00                                 1155800200228 
 9.83   -01 6.     -03 1.9    +00                                 1155800200229 
 9.86   -01 6.     -03 2.0    +00                                 1155800200230 
 9.88   -01 6.     -03 3.0    +00                                 1155800200231 
 9.94   -01 6.     -03 3.7    +00                                 1155800200232 
 9.97   -01 6.     -03 3.7    +00                                 1155800200233 
 1.000  +00 6.     -03 3.0    +00                                 1155800200234 
 1.008  +00 6.     -03 2.7    +00                                 1155800200235 
 1.010  +00 6.     -03 2.2    +00                                 1155800200236 
 1.015  +00 6.     -03 2.7    +00                                 1155800200237 
 1.020  +00 6.     -03 2.6    +00                                 1155800200238 
 1.025  +00 6.     -03 2.2    +00                                 1155800200239 
 1.030  +00 6.     -03 2.1    +00                                 1155800200240 
 1.035  +00 6.     -03 2.0    +00                                 1155800200241 
 1.038  +00 6.     -03 2.0    +00                                 1155800200242 
 1.042  +00 6.     -03 1.7    +00                                 1155800200243 
 1.047  +00 6.     -03 1.5    +00                                 1155800200244 
 1.050  +00 6.     -03 2.7    +00                                 1155800200245 
 1.052  +00 6.     -03 3.3    +00                                 1155800200246 
 1.055  +00 6.     -03 4.1    +00                                 1155800200247 
 1.058  +00 6.     -03 3.9    +00                                 1155800200248 
 1.063  +00 6.     -03 2.3    +00                                 1155800200249 
 1.069  +00 6.     -03 2.2    +00                                 1155800200250 
 1.074  +00 6.     -03 2.3    +00                                 1155800200251 
 1.079  +00 6.     -03 2.3    +00                                 1155800200252 
 1.089  +00 6.     -03 2.0    +00                                 1155800200253 
 1.099  +00 6.     -03 2.2    +00                                 1155800200254 
 1.104  +00 6.     -03 2.1    +00                                 1155800200255 
 1.110  +00 6.     -03 2.3    +00                                 1155800200256 
 1.118  +00 6.     -03 2.3    +00                                 1155800200257 
 1.121  +00 6.     -03 2.6    +00                                 1155800200258 
 1.127  +00 6.     -03 2.3    +00                                 1155800200259 
 1.130  +00 6.     -03 2.2    +00                                 1155800200260 
 1.132  +00 6.     -03 2.0    +00                                 1155800200261 
 1.136  +00 6.     -03 1.9    +00                                 1155800200262 
 1.140  +00 6.     -03 2.1    +00                                 1155800200263 
 1.144  +00 6.     -03 2.5    +00                                 1155800200264 
 1.146  +00 6.     -03 2.4    +00                                 1155800200265 
 1.150  +00 6.     -03 2.2    +00                                 1155800200266 
 1.153  +00 6.     -03 2.0    +00                                 1155800200267 
 1.159  +00 6.     -03 1.5    +00                                 1155800200268 
 1.162  +00 6.     -03 2.0    +00                                 1155800200269 
 1.169  +00 6.     -03 2.4    +00                                 1155800200270 
 1.171  +00 6.     -03 2.2    +00                                 1155800200271 
 1.175  +00 6.     -03 2.1    +00                                 1155800200272 
 1.177  +00 6.     -03 2.2    +00                                 1155800200273 
 1.180  +00 6.     -03 2.2    +00                                 1155800200274 
 1.186  +00 6.     -03 2.3    +00                                 1155800200275 
 1.190  +00 6.     -03 2.1    +00                                 1155800200276 
 1.195  +00 6.     -03 1.9    +00                                 1155800200277 
 1.198  +00 6.     -03 2.5    +00                                 1155800200278 
 1.200  +00 6.     -03 2.5    +00                                 1155800200279 
 1.203  +00 6.     -03 2.2    +00                                 1155800200280 
 1.210  +00 6.     -03 2.3    +00                                 1155800200281 
 1.215  +00 6.     -03 3.1    +00                                 1155800200282 
 1.219  +00 6.     -03 2.2    +00                                 1155800200283 
 1.221  +00 6.     -03 1.9    +00                                 1155800200284 
 1.225  +00 6.     -03 2.0    +00                                 1155800200285 
 1.230  +00 6.     -03 2.7    +00                                 1155800200286 
 1.234  +00 6.     -03 3.7    +00                                 1155800200287 
 1.240  +00 6.     -03 4.3    +00                                 1155800200288 
 1.245  +00 6.     -03 2.7    +00                                 1155800200289 
 1.249  +00 6.     -03 2.6    +00                                 1155800200290 
 1.251  +00 6.     -03 2.2    +00                                 1155800200291 
 1.255  +00 6.     -03 1.8    +00                                 1155800200292 
 1.260  +00 6.     -03 1.6    +00                                 1155800200293 
 1.261  +00 6.     -03 1.5    +00                                 1155800200294 
 1.267  +00 6.     -03 2.5    +00                                 1155800200295 
 1.272  +00 6.     -03 2.9    +00                                 1155800200296 
 1.280  +00 6.     -03 2.0    +00                                 1155800200297 
 1.283  +00 6.     -03 1.6    +00                                 1155800200298 
 1.290  +00 6.     -03 1.8    +00                                 1155800200299 
 1.292  +00 6.     -03 1.9    +00                                 1155800200300 
 1.296  +00 6.     -03 2.8    +00                                 1155800200301 
 1.300  +00 6.     -03 3.0    +00                                 1155800200302 
 1.307  +00 6.     -03 3.0    +00                                 1155800200303 
 1.311  +00 6.     -03 2.9    +00                                 1155800200304 
 1.315  +00 6.     -03 2.7    +00                                 1155800200305 
 1.320  +00 6.     -03 2.8    +00                                 1155800200306 
 1.325  +00 6.     -03 2.8    +00                                 1155800200307 
 1.328  +00 6.     -03 2.7    +00                                 1155800200308 
 1.332  +00 6.     -03 2.7    +00                                 1155800200309 
 1.338  +00 6.     -03 3.6    +00                                 1155800200310 
 1.342  +00 6.     -03 3.7    +00                                 1155800200311 
 1.344  +00 6.     -03 2.4    +00                                 1155800200312 
 1.346  +00 6.     -03 2.6    +00                                 1155800200313 
 1.350  +00 6.     -03 2.6    +00                                 1155800200314 
 1.353  +00 6.     -03 2.6    +00                                 1155800200315 
 1.357  +00 6.     -03 3.4    +00                                 1155800200316 
 1.358  +00 6.     -03 3.2    +00                                 1155800200317 
 1.361  +00 6.     -03 2.2    +00                                 1155800200318 
 1.366  +00 6.     -03 1.9    +00                                 1155800200319 
 1.373  +00 6.     -03 2.0    +00                                 1155800200320 
 1.377  +00 6.     -03 2.0    +00                                 1155800200321 
 1.380  +00 6.     -03 3.1    +00                                 1155800200322 
 1.384  +00 6.     -03 3.0    +00                                 1155800200323 
 1.389  +00 6.     -03 3.0    +00                                 1155800200324 
 1.390  +00 6.     -03 2.7    +00                                 1155800200325 
 1.392  +00 6.     -03 2.7    +00                                 1155800200326 
 1.402  +00 6.     -03 2.7    +00                                 1155800200327 
