ENTRY            10078   19991012                             00001007800000001 
SUBENT        10078001   19991012                             00001007800100001 
BIB                 11         19                                 1007800100002 
INSTITUTE  (1USATNL,1USADKE,1USANCS)                              1007800100003 
REFERENCE  (J,PR,168,1114,196804)                                 1007800100004 
           (J,PR/C,2,2034,197011)                                 1007800100005 
AUTHOR     (G.L.MORGAN,R.L.WALTER)                                1007800100006 
TITLE      Neutron-Helium Interaction. II Angular Distributions   1007800100007 
            and Phase Shifts from 0.2 to 7.0 MeV.                 1007800100008 
FACILITY   (VDG,1USADKE)                                          1007800100009 
DETECTOR   (SCIN)  4He gas scintillator                           1007800100010 
PART-DET   (RCL) Recoil helium.                                   1007800100011 
CORRECTION Corrected for finite angular resolution.               1007800100012 
ERR-ANALYS (DATA-ERR) Errors given include uncertainty in         1007800100013 
            corrections applied to data as well as statistical    1007800100014 
            errors.                                               1007800100015 
STATUS     (APRVD) Approved by author.                            1007800100016 
           Data taken from private comm., Morgan, July 1970.      1007800100017 
HISTORY    (19710603C)                                            1007800100018 
           (19780914U) BIB CORRECTIONS                            1007800100019 
           (19841205A) BIB, DATA HEADING CORRECTIONS.             1007800100020 
           (19991012A) Converted to new date formalism.           1007800100021 
ENDBIB              19          0                                 1007800100022 
NOCOMMON             0          0                                 1007800100023 
ENDSUBENT           22          0                                 1007800199999 
SUBENT        10078002   19991012                             00001007800200001 
BIB                  2          3                                 1007800200002 
REACTION   (2-HE-0(N,EL)2-HE-0,,DA,,REL)                          1007800200003 
HISTORY    (19780914A) SUBENTRIES 2 - 23 COMBINED                 1007800200004 
           (19851203A) REACTION CORRECTION.                       1007800200005 
ENDBIB               3          0                                 1007800200006 
NOCOMMON             0          0                                 1007800200007 
DATA                 4        974                                 1007800200008 
EN         COS-CM     DATA-CM    DATA-ERR                         1007800200009 
MEV        NO-DIM     ARB-UNITS  ARB-UNITS                        1007800200010 
0.2020      0.4043    1354.       58.                             1007800200011 
0.2020      0.3002    1793.       60.                             1007800200012 
0.2020      0.1965    1901.       60.                             1007800200013 
0.2020      0.0930    2096.       64.                             1007800200014 
0.2020     -0.0102    2435.       63.                             1007800200015 
0.2020     -0.1132    2621.       64.                             1007800200016 
0.2020     -0.2158    2907.       65.                             1007800200017 
0.2020     -0.3182    3138.       67.                             1007800200018 
0.2020     -0.4204    3363.       67.                             1007800200019 
0.2020     -0.5223    3714.       69.                             1007800200020 
0.2020     -0.6240    4027.       76.                             1007800200021 
0.2020     -0.7255    4316.      102.                             1007800200022 
0.2020     -0.8268    4734.      160.                             1007800200023 
0.2020     -0.9279    5157.      244.                             1007800200024 
0.3030      0.4790     452.       37.                             1007800200025 
0.3030      0.4119     487.       43.                             1007800200026 
0.3030      0.3450     628.       42.                             1007800200027 
0.3030      0.2782     693.       43.                             1007800200028 
0.3030      0.2116     763.       41.                             1007800200029 
0.3030      0.1452     798.       40.                             1007800200030 
0.3030      0.0789     929.       41.                             1007800200031 
0.3030      0.0128     909.       41.                             1007800200032 
0.3030     -0.0532    1169.       43.                             1007800200033 
0.3030     -0.1190    1102.       42.                             1007800200034 
0.3030     -0.1847    1338.       44.                             1007800200035 
0.3030     -0.2503    1374.       44.                             1007800200036 
0.3030     -0.3158    1478.       44.                             1007800200037 
0.3030     -0.3812    1622.       45.                             1007800200038 
0.3030     -0.4464    1712.       46.                             1007800200039 
0.3030     -0.5116    1722.       46.                             1007800200040 
0.3030     -0.5766    1942.       47.                             1007800200041 
0.3030     -0.6415    2048.       48.                             1007800200042 
0.3030     -0.7064    2169.       51.                             1007800200043 
0.3030     -0.7712    2346.       60.                             1007800200044 
0.3030     -0.8358    2528.       79.                             1007800200045 
0.3030     -0.9004    2686.      108.                             1007800200046 
0.3030     -0.9650    2739.      145.                             1007800200047 
0.4020      0.3120     627.       37.                             1007800200048 
0.4020      0.2626     664.       36.                             1007800200049 
0.4020      0.2133     741.       37.                             1007800200050 
0.4020      0.1641     805.       36.                             1007800200051 
0.4020      0.1150     935.       39.                             1007800200052 
0.4020      0.0660     936.       38.                             1007800200053 
0.4020      0.0171     991.       38.                             1007800200054 
0.4020     -0.0317    1156.       39.                             1007800200055 
0.4020     -0.0805    1210.       40.                             1007800200056 
0.4020     -0.1291    1387.       42.                             1007800200057 
0.4020     -0.1777    1337.       41.                             1007800200058 
0.4020     -0.2263    1534.       43.                             1007800200059 
0.4020     -0.2747    1643.       44.                             1007800200060 
0.4020     -0.3231    1756.       45.                             1007800200061 
0.4020     -0.3714    1856.       46.                             1007800200062 
0.4020     -0.4197    2023.       48.                             1007800200063 
0.4020     -0.4679    2061.       48.                             1007800200064 
0.4020     -0.5161    2206.       49.                             1007800200065 
0.4020     -0.5641    2302.       50.                             1007800200066 
0.4020     -0.6122    2448.       51.                             1007800200067 
0.4020     -0.6602    2567.       52.                             1007800200068 
0.4020     -0.7081    2715.       54.                             1007800200069 
0.4020     -0.7560    2901.       59.                             1007800200070 
0.4020     -0.8039    3088.       71.                             1007800200071 
0.4020     -0.8517    3253.       92.                             1007800200072 
0.4020     -0.8995    3305.      123.                             1007800200073 
0.4020     -0.9472    3512.      163.                             1007800200074 
0.4020     -0.9949    3568.      208.                             1007800200075 
0.5010      0.5628     1556.       69.                            1007800200076 
0.5010      0.5203     1600.       66.                            1007800200077 
0.5010      0.4781     1861.       66.                            1007800200078 
0.5010      0.4359     1992.       67.                            1007800200079 
0.5010      0.3939     2110.       65.                            1007800200080 
0.5010      0.3520     2324.       67.                            1007800200081 
0.5010      0.3102     2422.       65.                            1007800200082 
0.5010      0.2685     2739.       68.                            1007800200083 
0.5010      0.2269     2849.       67.                            1007800200084 
0.5010      0.1854     3178.       70.                            1007800200085 
0.5010      0.1440     3300.       70.                            1007800200086 
0.5010      0.1027     3748.       72.                            1007800200087 
0.5010      0.0614     3941.       73.                            1007800200088 
0.5010      0.0202     4240.       75.                            1007800200089 
0.5010     -0.0209     4690.       78.                            1007800200090 
0.5010     -0.0619     5016.       80.                            1007800200091 
0.5010     -0.1029     5496.       83.                            1007800200092 
0.5010     -0.1438     5665.       84.                            1007800200093 
0.5010     -0.1846     6247.       88.                            1007800200094 
0.5010     -0.2254     6650.       90.                            1007800200095 
0.5010     -0.2661     7264.       94.                            1007800200096 
0.5010     -0.3068     7468.       95.                            1007800200097 
0.5010     -0.3474     8057.       98.                            1007800200098 
0.5010     -0.3880     8528.      101.                            1007800200099 
0.5010     -0.4286     9287.      105.                            1007800200100 
0.5010     -0.4691     9766.      107.                            1007800200101 
0.5010     -0.5095    10070.      108.                            1007800200102 
0.5010     -0.5500    11001.      112.                            1007800200103 
0.5010     -0.5904    11536.      114.                            1007800200104 
0.5010     -0.6307    12217.      115.                            1007800200105 
0.5010     -0.6711    12953.      116.                            1007800200106 
0.5010     -0.7114    13357.      121.                            1007800200107 
0.5010     -0.7517    14124.      144.                            1007800200108 
0.5010     -0.7919    14789.      197.                            1007800200109 
0.5010     -0.8321    15422.      291.                            1007800200110 
0.5010     -0.8723    16244.      427.                            1007800200111 
0.5010     -0.9125    17118.      601.                            1007800200112 
0.5010     -0.9527    17958.      808.                            1007800200113 
0.5010     -0.9928    18624.     1038.                            1007800200114 
0.5990      0.7056     2720.       76.                            1007800200115 
0.5990      0.6546     2588.       73.                            1007800200116 
0.5990      0.6037     2461.       70.                            1007800200117 
0.5990      0.5531     2439.       66.                            1007800200118 
0.5990      0.5026     2322.       64.                            1007800200119 
0.5990      0.4523     2346.       62.                            1007800200120 
0.5990      0.4022     2313.       60.                            1007800200121 
0.5990      0.3522     2445.       60.                            1007800200122 
0.5990      0.3023     2520.       60.                            1007800200123 
0.5990      0.2526     2684.       61.                            1007800200124 
0.5990      0.2030     2896.       62.                            1007800200125 
0.5990      0.1534     3196.       65.                            1007800200126 
0.5990      0.1040     3346.       66.                            1007800200127 
0.5990      0.0547     3685.       68.                            1007800200128 
0.5990      0.0055     4152.       72.                            1007800200129 
0.5990     -0.0436     4535.       75.                            1007800200130 
0.5990     -0.0927     4952.       78.                            1007800200131 
0.5990     -0.1417     5550.       82.                            1007800200132 
0.5990     -0.1906     6058.       85.                            1007800200133 
0.5990     -0.2394     6447.       88.                            1007800200134 
0.5990     -0.2882     7213.       93.                            1007800200135 
0.5990     -0.3369     7861.       97.                            1007800200136 
0.5990     -0.3855     8717.      102.                            1007800200137 
0.5990     -0.4341     9557.      106.                            1007800200138 
0.5990     -0.4827    10224.      110.                            1007800200139 
0.5990     -0.5312    10972.      113.                            1007800200140 
0.5990     -0.5797    11886.      117.                            1007800200141 
0.5990     -0.6281    12773.      118.                            1007800200142 
0.5990     -0.6765    13754.      118.                            1007800200143 
0.5990     -0.7249    14799.      127.                            1007800200144 
0.5990     -0.7732    15857.      170.                            1007800200145 
0.5990     -0.8215    17411.      277.                            1007800200146 
0.5990     -0.8697    17986.      454.                            1007800200147 
0.5990     -0.9179    19221.      701.                            1007800200148 
0.5990     -0.9661    20589.     1004.                            1007800200149 
0.7040      0.6589     5051.       86.                            1007800200150 
0.7040      0.6259     4857.       82.                            1007800200151 
0.7040      0.5929     4518.       79.                            1007800200152 
0.7040      0.5601     4626.       80.                            1007800200153 
0.7040      0.5273     4351.       77.                            1007800200154 
