ENTRY            13755   20020607                             00001375500000001 
SUBENT        13755001   20020607                             00001375500100001 
BIB                 13         21                                 1375500100002 
INSTITUTE  (1USAORL)                                              1375500100003 
REFERENCE  (R,ORNL-TM-11404,198910)                               1375500100004 
AUTHOR     (T.E.Slusarchyk)                                       1375500100005 
TITLE      Preliminary Cross Sections for Gamma Rays Produced by  1375500100006 
            Interaction of 1 to 40 MeV Neutrons with 59Co.        1375500100007 
FACILITY   (LINAC,1USAORL) ORELA.                                 1375500100008 
INC-SOURCE (PHOTO) Electrons on tantalum target.                  1375500100009 
SAMPLE     149-g Co metal disk.                                   1375500100010 
ANALYSIS   Data analyzed using computer code GRPGLI. Code         1375500100011 
            PLOTPACK was used to detect problems in assignment of 1375500100012 
            gamma peaks by GRPGLI.                                1375500100013 
DETECTOR   (GE-IN) For gamma-ray detection.                       1375500100014 
           (SCIN) Flux measured using NE-110 plastic scintillator.1375500100015 
CORRECTION Corrected for gamma attenuation in sample.             1375500100016 
           Not corrected for multiple scattering or electronic    1375500100017 
            timing variations.  Maximum error due to excluding    1375500100018 
            these corrections estimated to be 5%.                 1375500100019 
ERR-ANALYS (DATA-ERR) No information on source of uncertainties.  1375500100020 
STATUS     (PRELM) No reply from D. Larson to author proof.       1375500100021 
           Data taken from tables in report.                      1375500100022 
HISTORY    (20011212C)                                            1375500100023 
ENDBIB              21          0                                 1375500100024 
NOCOMMON             0          0                                 1375500100025 
ENDSUBENT           24          0                                 1375500199999 
SUBENT        13755002   20020506                             00001375500200001 
BIB                  1          1                                 1375500200002 
REACTION   (27-CO-59(N,X)0-G-0,PAR,SIG)                           1375500200003 
ENDBIB               1          0                                 1375500200004 
NOCOMMON             0          0                                 1375500200005 
DATA                 5        579                                 1375500200006 
E          EN-MIN     EN-MAX     DATA       DATA-ERR              1375500200007 
KEV        MEV        MEV        MB         MB                    1375500200008 
 122.0     16.9       18.8          11.2      3.2                 1375500200009 
 122.0     18.8       20.5          13.9      3.7                 1375500200010 
 122.0     20.5       22.5          13.7      3.5                 1375500200011 
 122.0     22.5       24.9          15.4      3.5                 1375500200012 
 122.0     24.9       26.9          19.8      4.6                 1375500200013 
 122.0     26.9       29.1          35.2      5.3                 1375500200014 
 122.0     29.1       31.7          35.7      5.3                 1375500200015 
 122.0     31.7       33.6          33.1      7.4                 1375500200016 
 122.0     33.6       35.7          24.6      6.7                 1375500200017 
 122.0     35.7       38.0          20.4      6.7                 1375500200018 
 142.8      1.35       1.64          6.99    0.75                 1375500200019 
 142.8      1.64       1.95         12.0     1.0                  1375500200020 
 142.8      1.95       2.28         16.1     1.2                  1375500200021 
 142.8      2.28       2.58         15.1     1.5                  1375500200022 
 142.8      2.58       2.81         16.1     2.4                  1375500200023 
 142.8      2.81       3.67         17.3     1.5                  1375500200024 
 142.8      3.67       4.49         15.3     1.8                  1375500200025 
 142.8      4.49       5.36         16.7     2.0                  1375500200026 
 142.8      5.36       6.19         18.9     2.3                  1375500200027 
 142.8      6.19       7.04         16.8     2.4                  1375500200028 
 142.8      7.04       7.75         14.4     0.3                  1375500200029 
 142.8      7.75       8.44         10.5     2.8                  1375500200030 
 142.8      8.44       9.23         12.4     2.7                  1375500200031 
 142.8      9.23       9.82          8.7     3.2                  1375500200032 
 142.8      9.82      10.4           9.7     3.2                  1375500200033 
 142.8     10.4       11.1           4.4     3.0                  1375500200034 
 142.8     11.1       12.0           5.1     3.0                  1375500200035 
 142.8     12.0       12.9           4.8     2.9                  1375500200036 
 142.8     12.9       13.8           6.2     3.0                  1375500200037 
 142.8     13.8       15.2           3.5     2.8                  1375500200038 
