ENTRY            10978   20030529                             00001097800000001 
SUBENT        10978001   20030529                             00001097800100001 
BIB                 12         28                                 1097800100002 
INSTITUTE  (1USAORL)                                              1097800100003 
REFERENCE  (R,ORNL-TM-5829,197706)                                1097800100004 
AUTHOR     (G.L.Morgan,F.G.Perey)                                 1097800100005 
TITLE      Cross sections for the Nb(n,xn) and Nb(n,x gamma)      1097800100006 
            reactions between 1 and 20 MeV                        1097800100007 
FACILITY   (LINAC,1USAORL) Oak Ridge Electron Linear Accelerator  1097800100008 
SAMPLE     2678-grams of niobium, greater than 99.85% pure,       1097800100009 
            shaped into annular ring, 25-cm outer diameter, 15-cm 1097800100010 
            inner diameter, 0.95-cm thick.                        1097800100011 
METHOD     (TOF) Time of flight measurement made to determine     1097800100012 
            neutron flux. Background measurement made with sample 1097800100013 
            out of beam. Pulse shape discrimination used to       1097800100014 
            seperate neutron and gamma events.                    1097800100015 
DETECTOR   (SCIN) NE-213 scintillation counter with shadow bar    1097800100016 
            placed on axis of sample ring.                        1097800100017 
           Plastic scintillator to monitor flux placed on edge of 1097800100018 
            beam, 30-meters from neutron source for normalization.1097800100019 
MONITOR    No information                                         1097800100020 
ERR-ANALYS (DATA-ERR) Errors quoted are mainly statistical and    1097800100021 
            include errors due to:                                1097800100022 
            .statistics of background subtraction (background     1097800100023 
             ranged from 10-50% of foreground),                   1097800100024 
            .absolute normalization about 105 (mainly due to      1097800100025 
             incident flux normalization).                        1097800100026 
STATUS     (APRVD) Approved by G.L.Morgan, 1982/1/4.              1097800100027 
HISTORY    (19810909C)                                            1097800100028 
           (20030529A) Reactions corrected. Converted to new date 1097800100029 
                       formats, lower case.                       1097800100030 
ENDBIB              28          0                                 1097800100031 
COMMON               1          3                                 1097800100032 
ANG                                                               1097800100033 
ADEG                                                              1097800100034 
 129.                                                             1097800100035 
ENDCOMMON            3          0                                 1097800100036 
ENDSUBENT           35          0                                 1097800199999 
SUBENT        10978002   20030529                             00001097800200001 
BIB                  3          4                                 1097800200002 
REACTION   (41-NB-93(N,X)0-NN-1,,DA/DE)                           1097800200003 
CORRECTION Corrected for multiple scattering and average          1097800200004 
            transmission of incident and scattered neutron fluxes.1097800200005 
ERR-ANALYS Multiple scattering correction uncertainty about 10%.  1097800200006 
ENDBIB               4          0                                 1097800200007 
NOCOMMON             0          0                                 1097800200008 
DATA                 5        586                                 1097800200009 
EN-MIN     EN-MAX     E          DATA       DATA-ERR              1097800200010 
MEV        MEV        MEV        MB/SR/MEV  MB/SR/MEV             1097800200011 
  1.00       1.25       0.907     213.3     17.5                  1097800200012 
  1.00       1.25       1.007     340.3     25.9                  1097800200013 
  1.00       1.25       1.107     314.7     23.1                  1097800200014 
  1.00       1.25       1.205     199.4     14.5                  1097800200015 
  1.00       1.25       1.310      88.9      6.5                  1097800200016 
  1.00       1.25       1.412      31.7      2.3                  1097800200017 
  1.00       1.25       1.511       9.6      0.7                  1097800200018 
  1.00       1.25       1.610       2.7      0.1                  1097800200019 
  1.00       1.25       1.709       0.4      0.1                  1097800200020 
  1.25       1.50       0.907       7.1      1.5                  1097800200021 
  1.25       1.50       1.007      34.0      2.9                  1097800200022 
  1.25       1.50       1.107     104.8      7.4                  1097800200023 
  1.25       1.50       1.205     181.5     11.6                  1097800200024 
  1.25       1.50       1.310     203.9     12.2                  1097800200025 
  1.25       1.50       1.412     157.1      9.1                  1097800200026 
  1.25       1.50       1.511      92.3      5.3                  1097800200027 
  1.25       1.50       1.610      43.2      2.5                  1097800200028 
  1.25       1.50       1.709      16.6      1.0                  1097800200029 
  1.25       1.50       1.813       5.0      0.3                  1097800200030 
  1.25       1.50       1.932       1.2      0.1                  1097800200031 
  1.25       1.50       2.100       0.6      0.1                  1097800200032 
  1.50       1.75       0.907      73.6      4.2                  1097800200033 
  1.50       1.75       1.007      36.9      2.5                  1097800200034 
  1.50       1.75       1.107      17.3      1.7                  1097800200035 
  1.50       1.75       1.205      25.4      1.8                  1097800200036 
  1.50       1.75       1.310      69.6      3.6                  1097800200037 
  1.50       1.75       1.412     125.9      6.0                  1097800200038 
  1.50       1.75       1.511     150.7      6.9                  1097800200039 
  1.50       1.75       1.610     132.4      6.0                  1097800200040 
  1.50       1.75       1.709      91.2      4.1                  1097800200041 
  1.50       1.75       1.813      50.3      2.3                  1097800200042 
  1.50       1.75       1.932      20.5      0.9                  1097800200043 
  1.50       1.75       2.100       4.5      0.3                  1097800200044 
  1.50       1.75       2.296       1.1      0.1                  1097800200045 
  1.75       2.00       0.907     173.2      7.5                  1097800200046 
  1.75       2.00       1.007     132.3      5.9                  1097800200047 
  1.75       2.00       1.107      81.4      3.9                  1097800200048 
  1.75       2.00       1.205      41.3      2.4                  1097800200049 
  1.75       2.00       1.310      18.7      1.6                  1097800200050 
  1.75       2.00       1.412      21.2      1.6                  1097800200051 
  1.75       2.00       1.511      47.2      2.3                  1097800200052 
  1.75       2.00       1.610      84.8      3.4                  1097800200053 
  1.75       2.00       1.709     111.2      4.2                  1097800200054 
  1.75       2.00       1.813     110.1      3.9                  1097800200055 
  1.75       2.00       1.932      79.9      2.8                  1097800200056 
  1.75       2.00       2.100      33.5      1.2                  1097800200057 
  1.75       2.00       2.296       8.7      0.4                  1097800200058 
  1.75       2.00       2.499       2.7      0.2                  1097800200059 
  1.75       2.00       2.703       1.6      0.1                  1097800200060 
