ENTRY            13885   20031008                             00001388500000001 
SUBENT        13885001   20031008                             00001388500100001 
BIB                 14         33                                 1388500100002 
INSTITUTE  (1USALRL,1USAKTY,1USALAS,1USAMSU)                      1388500100003 
REFERENCE  (J,PR/C,68,024312,2003)                                1388500100004 
AUTHOR     (P.E.Garrett,W.Younes,J.A.Becker,L.A.Bernstein,        1388500100005 
           E.M.Baum,D.P.DiPrete,R.A.Gatenby,E.L.Johnson,          1388500100006 
           C.A.McGrath,S.W.Yates,M.Deblin,N.Fotiades,R.O.Nelson,  1388500100007 
           B.A.Brown)                                             1388500100008 
TITLE      Nuclear structure of the closed subshell nucleus 90Zr  1388500100009 
            studied with the (n,n'gamma) reaction                 1388500100010 
FACILITY   (LINAC,1USALAS) LANSCE/WNR facility.                   1388500100011 
INC-SOURCE (SPALL) 800-MeV protons on natural W target.           1388500100012 
INC-SPECT  Data given under the heading EN-RSL represents the     1388500100013 
            square root of the variance in energy.                1388500100014 
SAMPLE     Metallic Zr disk, enriched to 97.65% 90Zr.             1388500100015 
DETECTOR   (HPGE) GEANIE spectrometer, consisting of 11 high-     1388500100016 
            purity Ge planar detectors and coaxial detectors.     1388500100017 
            All planar detectors and 9 of the coaxial detectors   1388500100018 
            equipped with bismuth germanate Compton suppression   1388500100019 
            shields with NaI supression nose cones.               1388500100020 
MONITOR    (92-U-238(N,F),,SIG,,,EVAL) Data taken from ENDF/B-VI. 1388500100021 
           Neutron flux monitored using a fission chamber         1388500100022 
            containing both 235U and 238U foils.                  1388500100023 
           Energy calibrated using well-known lines from 90Zr+n.  1388500100024 
           Efficiency determined using calibrated gamma-ray       1388500100025 
            standard sources                                      1388500100026 
CORRECTION Corrected for background, sample attenuation, and      1388500100027 
            geometry effects.                                     1388500100028 
ERR-ANALYS (ERR-S) Statistical uncertainty given.                 1388500100029 
            Systematic uncertainty include erros in:              1388500100030 
            . detector array efficiency (5%),                     1388500100031 
            . 90Zr target thickness (5%).                         1388500100032 
STATUS     Data received by email from P. Garrett, 2 October 2003.1388500100033 
           (APRVD) Approved by P. Garrett, 7 October 2003.        1388500100034 
HISTORY    (20031007C)                                            1388500100035 
ENDBIB              33          0                                 1388500100036 
NOCOMMON             0          0                                 1388500100037 
ENDSUBENT           36          0                                 1388500199999 
SUBENT        13885002   20031007                             00001388500200001 
BIB                  1          1                                 1388500200002 
REACTION   (40-ZR-90(N,INL)40-ZR-90,PAR,SIG,G)                    1388500200003 
ENDBIB               1          0                                 1388500200004 
NOCOMMON             0          0                                 1388500200005 
DATA                 5        152                                 1388500200006 
E          EN         EN-RSL     DATA       ERR-S                 1388500200007 
KEV        MEV        MEV        B          B                     1388500200008 
1481.       4.220      0.098      0.001592   0.000458             1388500200009 
1481.       4.402      0.103      0.012455   0.000756             1388500200010 
1481.       4.601      0.112      0.023621   0.001096             1388500200011 
1481.       4.806      0.117      0.025336   0.001156             1388500200012 
1481.       5.032      0.128      0.024146   0.001130             1388500200013 
1481.       5.272      0.136      0.018822   0.000976             1388500200014 
1481.       5.528      0.146      0.016798   0.000909             1388500200015 
1481.       5.804      0.157      0.015434   0.000880             1388500200016 
1481.       6.103      0.170      0.012595   0.000815             1388500200017 
1481.       6.424      0.184      0.011829   0.000813             1388500200018 
1481.       6.777      0.200      0.010204   0.000771             1388500200019 
1481.       7.148      0.213      0.009138   0.000740             1388500200020 
1481.       7.554      0.235      0.008026   0.000728             1388500200021 
1481.       8.000      0.257      0.007728   0.000765             1388500200022 
1481.       8.496      0.280      0.007160   0.000744             1388500200023 
1481.       9.024      0.305      0.007207   0.000738             1388500200024 
1481.       9.606      0.337      0.006350   0.000726             1388500200025 
1481.      10.246      0.370      0.005239   0.000723             1388500200026 
1481.      10.954      0.410      0.003978   0.000704             1388500200027 
1481.      11.753      0.459      0.004559   0.000744             1388500200028 
1481.      12.627      0.510      0.003300   0.000718             1388500200029 
1481.      13.619      0.575      0.002246   0.000661             1388500200030 
1481.      14.721      0.636      0.001206   0.000589             1388500200031 
1481.      15.969      0.735      0.000169   0.000553             1388500200032 
1481.      17.403      0.836      0.000456   0.000560             1388500200033 
1481.      19.046      0.907      0.000538   0.000525             1388500200034 
1584.       4.402      0.103      0.005136   0.000544             1388500200035 
1584.       4.601      0.112      0.024195   0.001095             1388500200036 
1584.       4.806      0.117      0.034161   0.001409             1388500200037 
1584.       5.032      0.128      0.032236   0.001360             1388500200038 
1584.       5.272      0.136      0.028948   0.001252             1388500200039 
1584.       5.528      0.146      0.026859   0.001192             1388500200040 
1584.       5.804      0.157      0.024696   0.001128             1388500200041 
1584.       6.103      0.170      0.023784   0.001101             1388500200042 
1584.       6.424      0.184      0.024353   0.001119             1388500200043 
1584.       6.777      0.200      0.025921   0.001171             1388500200044 
1584.       7.148      0.213      0.023879   0.001109             1388500200045 
1584.       7.554      0.235      0.025627   0.001178             1388500200046 
1584.       8.000      0.257      0.027531   0.001249             1388500200047 
1584.       8.496      0.280      0.024073   0.001150             1388500200048 
1584.       9.024      0.305      0.023467   0.001132             1388500200049 
1584.       9.606      0.337      0.021682   0.001093             1388500200050 
1584.      10.246      0.370      0.021245   0.001092             1388500200051 
1584.      10.954      0.410      0.021901   0.001125             1388500200052 
