ENTRY            12692   20140415                             14011269200000001 
SUBENT        12692001   20140415                             14011269200100001 
BIB                  9         17                                 1269200100002 
INSTITUTE  (1USATNC)                                              1269200100003 
REFERENCE  (J,DA/B,31,4260,197101)                                1269200100004 
           (P,ORO-2791-32,53,197102) - data tables                1269200100005 
           ((P,NCSAC-31,215,197005)=(S,INDC(USA)-22,215,1970))    1269200100006 
           (J,BAP,13,873(AD15),196806)                            1269200100007 
AUTHOR     (P.S.Buchanan,G.H.Williams)                            1269200100008 
TITLE      Study of the (n,n'gamma) reaction in Y-89 by means of  1269200100009 
           Ge(Li) spectrometer                                    1269200100010 
FACILITY   (VDG,1USATNC)                                          1269200100011 
METHOD     (TOF)                                                  1269200100012 
DETECTOR   (GELI)      34-cc Ge(Li)  detector                     1269200100013 
ERR-ANALYS (DATA-ERR) No details available                        1269200100014 
HISTORY    (19850328C)                                            1269200100015 
           (20140415A) SD: Updated to new date formats,lower case.1269200100016 
            Corrections according last EXFOR rules and Dict.      1269200100017 
            DATA units in Subent 3 corrected. STATUS moved to     1269200100018 
            Subents 2,3. Ref.INDC(USA)-22,215 added. Sub. 4 added.1269200100019 
ENDBIB              17          0                                 1269200100020 
NOCOMMON             0          0                                 1269200100021 
ENDSUBENT           20          0                                 1269200199999 
SUBENT        12692002   20140415                             14011269200200001 
BIB                  2          3                                 1269200200002 
REACTION   (39-Y-89(N,INL)39-Y-89,PAR,DA,G,RSD)                   1269200200003 
STATUS     (TABLE) Tbl. from ORO-2791-32,p.57                     1269200200004 
           (COREL,11875003) Data at 1.72, 3.25 MeV                1269200200005 
ENDBIB               3          0                                 1269200200006 
NOCOMMON             0          0                                 1269200200007 
DATA                 6        152                                 1269200200008 
EN         EN-RSL     E          ANG        DATA       DATA-ERR   1269200200009 
MEV        MEV        MEV        ADEG       NO-DIM     NO-DIM     1269200200010 
 4.00       0.20       0.713      30.        0.865      0.096     1269200200011 
 4.00       0.20       0.713      40.        0.849      0.098     1269200200012 
 4.00       0.20       0.713      55.        0.908      0.084     1269200200013 
 4.00       0.20       0.713      90.        1.000      0.062     1269200200014 
 4.00       0.20       1.312      30.        1.036      0.089     1269200200015 
 4.00       0.20       1.312      40.        0.951      0.090     1269200200016 
 4.00       0.20       1.312      55.        0.989      0.079     1269200200017 
 4.00       0.20       1.312      90.        1.000      0.057     1269200200018 
 4.00       0.20       1.507      30.        0.890      0.026     1269200200019 
 4.00       0.20       1.507      40.        0.840      0.026     1269200200020 
 4.00       0.20       1.507      55.        0.939      0.025     1269200200021 
 4.00       0.20       1.507      90.        1.000      0.019     1269200200022 
 4.00       0.20       1.621      30.        0.919      0.090     1269200200023 
 4.00       0.20       1.621      40.        0.978      0.092     1269200200024 
 4.00       0.20       1.621      55.        1.089      0.087     1269200200025 
 4.00       0.20       1.621      90.        1.000      0.058     1269200200026 
 4.00       0.20       1.660      30.        0.779      0.228     1269200200027 
 4.00       0.20       1.660      40.        0.704      0.215     1269200200028 
 4.00       0.20       1.660      55.        0.613      0.173     1269200200029 
 4.00       0.20       1.660      90.        1.000      0.150     1269200200030 
 4.00       0.20       1.714      30.        0.776      0.154     1269200200031 
 4.00       0.20       1.714      40.        1.042      0.169     1269200200032 
 4.00       0.20       1.714      55.        0.960      0.145     1269200200033 
 4.00       0.20       1.714      90.        1.000      0.105     1269200200034 
 4.00       0.20       1.745      30.        1.197      0.042     1269200200035 
 4.00       0.20       1.745      40.        1.070      0.040     1269200200036 
 4.00       0.20       1.745      55.        1.089      0.037     1269200200037 
 4.00       0.20       1.745      90.        1.000      0.025     1269200200038 
 4.00       0.20       1.963      30.        0.675      0.092     1269200200039 
 4.00       0.20       1.963      40.        0.893      0.102     1269200200040 
 4.00       0.20       1.963      55.        0.803      0.084     1269200200041 
 4.00       0.20       1.963      90.        1.000      0.069     1269200200042 
 4.00       0.20       1.995      30.        1.107      0.173     1269200200043 
 4.00       0.20       1.995      40.        0.860      0.151     1269200200044 
 4.00       0.20       1.995      55.        0.873      0.132     1269200200045 
 4.00       0.20       1.995      90.        1.000      0.102     1269200200046 
 4.00       0.20       2.052      30.        1.435      0.309     1269200200047 
 4.00       0.20       2.052      40.        1.812      0.359     1269200200048 
 4.00       0.20       2.052      55.        1.494      0.288     1269200200049 
 4.00       0.20       2.052      90.        1.000      0.158     1269200200050 
 4.00       0.20       2.503      30.        1.326      0.244     1269200200051 
 4.00       0.20       2.503      40.        1.121      0.226     1269200200052 
 4.00       0.20       2.503      55.        1.153      0.213     1269200200053 
 4.00       0.20       2.503      90.        1.000      0.140     1269200200054 
 4.00       0.20       2.542      30.        0.697      0.094     1269200200055 
 4.00       0.20       2.542      40.        0.825      0.105     1269200200056 
 4.00       0.20       2.542      55.        0.812      0.095     1269200200057 
 4.00       0.20       2.542      90.        1.000      0.076     1269200200058 
 4.00       0.20       2.881      30.        0.655      0.062     1269200200059 
 4.00       0.20       2.881      40.        0.681      0.066     1269200200060 
 4.00       0.20       2.881      55.        0.786      0.064     1269200200061 
 4.00       0.20       2.881      90.        1.000      0.053     1269200200062 
 4.00       0.20       3.067      30.        0.824      0.105     1269200200063 
 4.00       0.20       3.067      40.        0.859      0.110     1269200200064 
 4.00       0.20       3.067      55.        0.974      0.108     1269200200065 
 4.00       0.20       3.067      90.        1.000      0.078     1269200200066 
 4.00       0.20       3.106      30.        1.391      0.149     1269200200067 
 4.00       0.20       3.106      40.        1.248      0.144     1269200200068 
 4.00       0.20       3.106      55.        1.204      0.130     1269200200069 
 4.00       0.20       3.106      90.        1.000      0.081     1269200200070 
 4.00       0.20       3.138      30.        1.414      0.150     1269200200071 
 4.00       0.20       3.138      40.        1.287      0.145     1269200200072 
 4.00       0.20       3.138      55.        1.177      0.127     1269200200073 
 4.00       0.20       3.138      90.        1.000      0.081     1269200200074 
 4.00       0.20       3.511      30.        1.007      0.161     1269200200075 
 4.00       0.20       3.511      40.        1.013      0.165     1269200200076 
 4.00       0.20       3.511      55.        0.932      0.144     1269200200077 
 4.00       0.20       3.511      90.        1.000      0.108     1269200200078 
 4.75       0.17       0.713      30.        0.814      0.134     1269200200079 
 4.75       0.17       0.713      40.        0.877      0.111     1269200200080 
 4.75       0.17       0.713      55.        0.969      0.109     1269200200081 
 4.75       0.17       0.713      90.        1.000      0.069     1269200200082 
 4.75       0.17       1.312      30.        1.003      0.192     1269200200083 
 4.75       0.17       1.312      40.        0.995      0.145     1269200200084 
 4.75       0.17       1.312      55.        1.105      0.128     1269200200085 
 4.75       0.17       1.312      90.        1.000      0.099     1269200200086 
 4.75       0.17       1.507      30.        0.828      0.049     1269200200087 
 4.75       0.17       1.507      40.        0.835      0.033     1269200200088 
 4.75       0.17       1.507      55.        0.986      0.030     1269200200089 
 4.75       0.17       1.507      90.        1.000      0.024     1269200200090 
 4.75       0.17       1.621      30.        0.755      0.148     1269200200091 
 4.75       0.17       1.621      40.        0.872      0.092     1269200200092 
 4.75       0.17       1.621      55.        0.952      0.081     1269200200093 
 4.75       0.17       1.621      90.        1.000      0.066     1269200200094 
 4.75       0.17       1.660      30.        0.948      0.351     1269200200095 
 4.75       0.17       1.660      40.        0.812      0.196     1269200200096 
 4.75       0.17       1.660      55.        0.626      0.140     1269200200097 
 4.75       0.17       1.660      90.        1.000      0.145     1269200200098 
 4.75       0.17       1.714      30.        0.935      0.406     1269200200099 
