ENTRY            12853   19860129                             00001285300000001 
SUBENT        12853001   19860129                             00001285300100001 
BIB                  9         20                                 1285300100002 
INSTITUTE  (1USAANL)                                              1285300100003 
REFERENCE  (R,ANL-NDM-80,8305)                                    1285300100004 
AUTHOR     (W.P.POENITZ,J.F.WHALEN)                               1285300100005 
TITLE      NEUTRON TOTAL CROSS SECTION MEASUREMENTS IN THE ENERGY 1285300100006 
            REGION FROM 47 KEV TO 20 MEV                          1285300100007 
FACILITY   (DYNAM)                                                1285300100008 
CORRECTION THE DATA WERE CORRECTED FOR DEAD-TIME, BACKGROUND AND  1285300100009 
            RESONANCE SELF-SHIELDING. INSCATTERING OF NEUTRONS    1285300100010 
            WAS CALCULATED AND FOUND TO BE NEGLIGIBLE.            1285300100011 
ERR-ANALYS (ERR-T) TOTAL UNCERTAINTY                              1285300100012 
             SYSTEMATIC UNCERTAINITES IN PERCENT INCLUDE -        1285300100013 
                CORRELATED DEAD-TIME UNCERTAINTY       0.3-0.6    1285300100014 
                BACKGROUND CORRECTION                  0.3        1285300100015 
                SAMPLE THICKNESS                       0.5-1.0    1285300100016 
STATUS     DATA RECEIVED IN PRIVATE COMMUNICATION 12/14/83 FROM   1285300100017 
             W.P.POENITZ                                          1285300100018 
           (APRVD) W.P.POENITZ, 84/2/13.                          1285300100019 
HISTORY    (831220C)                                              1285300100020 
           (850806A) MISSING SUBENTRIES ADDED                     1285300100021 
           (860129A) BIB CORRECTION.                              1285300100022 
ENDBIB              20          0                                 1285300100023 
NOCOMMON             0          0                                 1285300100024 
ENDSUBENT           23          0                                 1285300199999 
SUBENT        12853002   19840106                             00001285300200001 
BIB                  5          6                                 1285300200002 
REACTION   (6-C-0(N,TOT),,SIG)                                    1285300200003 
N-SOURCE   (D-LI7) WHITE NEUTRON SPECTRUM                         1285300200004 
METHOD     (TOF)  8.414 METER FLIGHT PATH                         1285300200005 
SAMPLE     NATURAL CARBON                                         1285300200006 
DETECTOR   BLACK NEUTRON DETECTOR 7.62 CM RADIUS AND 17.78 CM HIGH1285300200007 
             WITH PULSE SHAPE DISCRIMINATION                      1285300200008 
ENDBIB               6          0                                 1285300200009 
NOCOMMON             0          0                                 1285300200010 
DATA                 5        167                                 1285300200011 
EN         EN-ERR     EN-RSL-FW  DATA       ERR-T                 1285300200012 
MEV        MEV        MEV        B          B                     1285300200013 
  1.808E+00  9.038E-03  7.420E-03  1.805E+00  1.276E-02           1285300200014 
  1.823E+00  9.113E-03  7.485E-03  1.790E+00  1.266E-02           1285300200015 
  1.838E+00  9.188E-03  7.577E-03  1.785E+00  1.262E-02           1285300200016 
  1.853E+00  9.264E-03  7.680E-03  1.782E+00  1.169E-02           1285300200017 
  1.868E+00  9.342E-03  7.783E-03  1.765E+00  1.088E-02           1285300200018 
  1.884E+00  9.420E-03  7.885E-03  1.760E+00  1.154E-02           1285300200019 
  1.900E+00  9.499E-03  7.982E-03  1.751E+00  1.148E-02           1285300200020 
  1.916E+00  9.580E-03  8.072E-03  1.730E+00  1.134E-02           1285300200021 
  1.932E+00  9.661E-03  8.200E-03  1.722E+00  1.129E-02           1285300200022 
  1.949E+00  9.743E-03  8.292E-03  1.716E+00  1.125E-02           1285300200023 
  1.965E+00  9.827E-03  8.415E-03  1.703E+00  1.117E-02           1285300200024 
  1.982E+00  9.912E-03  8.540E-03  1.705E+00  1.118E-02           1285300200025 
  2.000E+00  9.998E-03  8.655E-03  1.723E+00  1.130E-02           1285300200026 
  2.017E+00  1.008E-02  8.760E-03  1.750E+00  1.148E-02           1285300200027 
  2.035E+00  1.017E-02  8.577E-03  1.806E+00  1.184E-02           1285300200028 
  2.051E+00  1.026E-02  8.297E-03  1.874E+00  1.155E-02           1285300200029 
  2.068E+00  1.034E-02  8.592E-03  1.937E+00  1.194E-02           1285300200030 
  2.086E+00  1.043E-02  9.125E-03  1.976E+00  1.218E-02           1285300200031 
  2.104E+00  1.052E-02  9.348E-03  1.971E+00  1.215E-02           1285300200032 
  2.123E+00  1.062E-02  9.483E-03  1.919E+00  1.183E-02           1285300200033 
  2.142E+00  1.071E-02  9.577E-03  1.827E+00  1.126E-02           1285300200034 
  2.161E+00  1.081E-02  9.680E-03  1.736E+00  1.138E-02           1285300200035 
  2.181E+00  1.090E-02  9.228E-03  1.691E+00  1.109E-02           1285300200036 
  2.198E+00  1.099E-02  6.765E-03  1.654E+00  1.085E-02           1285300200037 
  2.208E+00  1.104E-02  5.890E-03  1.642E+00  1.161E-02           1285300200038 
  2.222E+00  1.111E-02  8.460E-03  1.631E+00  1.070E-02           1285300200039 
  2.242E+00  1.121E-02  1.016E-02  1.620E+00  1.062E-02           1285300200040 
  2.262E+00  1.131E-02  1.046E-02  1.615E+00  1.059E-02           1285300200041 
  2.284E+00  1.142E-02  1.063E-02  1.608E+00  1.054E-02           1285300200042 
  2.305E+00  1.152E-02  1.076E-02  1.607E+00  1.054E-02           1285300200043 
  2.327E+00  1.163E-02  1.091E-02  1.603E+00  1.051E-02           1285300200044 
