ENTRY            11299   19810428                             00001129900000001 
SUBENT        11299001   19810428                             00001129900100001 
BIB                  6          7                                 1129900100002 
INSTITUTE  (1USAMIT)                                              1129900100003 
REFERENCE  (J,PR,86,483,52)                                       1129900100004 
AUTHOR     (J.J.HINCHEY,P.H.STELSON,W.M.PRESTON)                  1129900100005 
TITLE      THE TOTAL NEUTRON CROSS SECTION OF NITROGEN.           1129900100006 
STATUS     (SCSRS)                                                1129900100007 
HISTORY    (760714T) TRANSLATED FROM SCISRS                       1129900100008 
           (810428A) CONVERTED TO REACTION FORMALISM              1129900100009 
ENDBIB               7          0                                 1129900100010 
NOCOMMON             0          0                                 1129900100011 
ENDSUBENT           10          0                                 1129900199999 
SUBENT        11299002   19810428                             00001129900200001 
BIB                  2          2                                 1129900200002 
REACTION   (7-N-14(N,TOT),,SIG)                                   1129900200003 
SAMPLE     LIQUID NITROGEN SAMPLE.                                1129900200004 
ENDBIB               2          0                                 1129900200005 
COMMON               1          3                                 1129900200006 
EN-RSL                                                            1129900200007 
MEV                                                               1129900200008 
 0.011                                                            1129900200009 
ENDCOMMON            3          0                                 1129900200010 
DATA                 3        178                                 1129900200011 
EN         DATA       DATA-ERR                                    1129900200012 
MEV        B          PER-CENT                                    1129900200013 
 1.040  +00 2.17   +00    3.0                                     1129900200105 
 1.050  +00 2.20   +00    3.0                                     1129900200106 
 1.052  +00 2.08   +00    3.0                                     1129900200107 
 1.060  +00 2.05   +00    3.0                                     1129900200108 
 1.068  +00 1.85   +00    4.0                                     1129900200109 
 1.070  +00 1.85   +00    4.0                                     1129900200110 
 1.080  +00 2.00   +00    4.0                                     1129900200111 
 1.090  +00 2.00   +00    4.0                                     1129900200112 
 1.100  +00 2.45   +00    3.0                                     1129900200113 
 1.110  +00 2.90   +00    2.0                                     1129900200114 
 1.115  +00 3.50   +00    2.0                                     1129900200115 
 1.120  +00 3.40   +00    2.0                                     1129900200116 
 1.125  +00 3.02   +00    2.0                                     1129900200117 
 1.129  +00 2.50   +00    3.0                                     1129900200118 
 1.132  +00 1.93   +00    4.0                                     1129900200119 
 1.142  +00 1.68   +00    4.0                                     1129900200120 
 1.152  +00 1.58   +00    4.0                                     1129900200121 
 1.162  +00 1.50   +00    5.0                                     1129900200122 
 1.172  +00 1.58   +00    4.0                                     1129900200123 
 1.182  +00 1.68   +00    4.0                                     1129900200124 
 1.190  +00 1.58   +00    4.0                                     1129900200125 
 1.200  +00 1.63   +00    4.0                                     1129900200126 
 1.205  +00 1.68   +00    4.0                                     1129900200127 
 1.218  +00 2.03   +00    3.0                                     1129900200128 
 1.220  +00 1.75   +00    4.0                                     1129900200129 
 1.222  +00 1.65   +00    4.0                                     1129900200130 
 1.235  +00 1.50   +00    5.0                                     1129900200131 
 1.240  +00 1.63   +00    4.0                                     1129900200132 
