ENTRY            13800   20210920                             148713800  0    1 
SUBENT        13800001   20210920                             148713800  1    1 
BIB                 14         44                                 13800  1    2 
TITLE      Composite delayed neutron energy spectra for thermal   13800  1    3 
           fission of 235U                                        13800  1    4 
AUTHOR     (R.S.Tanczyn,Q.Sharfuddin,W.A.Schier,D.J.Pullen,       13800  1    5 
           M.H.Haghighi, L.Fisteag,G.P.Couchell)                  13800  1    6 
INSTITUTE  (1USALTI)                                              13800  1    7 
REFERENCE  (J,NSE,94,353,1986)                                    13800  1    8 
           #NSR: 1986TA18                                         13800  1    9 
           (J,NSE,111,422,1992)                                   13800  1   10 
           #NSR: 1992VI05                                         13800  1   11 
           (J,RE,94,77,1986) Intermediate results                 13800  1   12 
           #NSR: 1986SC17                                         13800  1   13 
           (J,RE,94,33,1986) Intermediate results                 13800  1   14 
           #NSR: 1986CO07                                         13800  1   15 
REL-REF    (M,,W.A.Schier+,J,NIM/A,227,549,1984)                  13800  1   16 
           Detail information about experimental system           13800  1   17 
           #NSR: 1984SC45                                         13800  1   18 
FACILITY   (VDG,1USALTI)                                          13800  1   19 
           (REAC,1USALTI)                                         13800  1   20 
INC-SPECT  Fast neutrons moderated by embedding fission chamber   13800  1   21 
            and target assembly in paraffin. More than 90% of     13800  1   22 
            fissions estimated to be produced by thermal/epi-     13800  1   23 
            thermal neutrons.                                     13800  1   24 
SAMPLE     235U-lined hemispherical fission chamber.              13800  1   25 
METHOD     (TOF)                                                  13800  1   26 
           (COINC) Betas in coincidence with neutrons provided    13800  1   27 
            time zero signal.                                     13800  1   28 
DETECTOR   (SCIN) Fragments sprayed onto moving tape that carried 13800  1   29 
            them across faces of sequential scintillator sheets   13800  1   30 
            mounted on photomultipliers.                          13800  1   31 
            Neutron energies measured using Pilot U (0.1-2.0 MeV) 13800  1   32 
             6Li-glass (10-300 keV), and BC 501 liquid (0.1-4.0   13800  1   33 
             MeV) scintillators.                                  13800  1   34 
ANALYSIS   Derived from measurements of energy spectra as a       13800  1   35 
            function of delay time intervals.                     13800  1   36 
CORRECTION Corrected for:                                         13800  1   37 
           . random background and gamma peak,                    13800  1   38 
           . neutron detector time-response tails,                13800  1   39 
           . neutron detector efficiency.                         13800  1   40 
ERR-ANALYS (DATA-ERR) Data uncertainties are dominated by         13800  1   41 
            statistics in background.                             13800  1   42 
HISTORY    (20030203C)                                            13800  1   43 
           (20091212A) Subentry 3 updated.                        13800  1   44 
           (20190604U) OG. 3rd,4th,5th ref. added. #NSR added.    13800  1   45 
           (20210827A) OS. REACTION coding in sub.2 updated       13800  1   46 
ENDBIB              44          0                                 13800  1   47 
COMMON               1          3                                 13800  1   48 
EN-DUMMY                                                          13800  1   49 
EV                                                                13800  1   50 
  0.0253                                                          13800  1   51 
ENDCOMMON            3          0                                 13800  1   52 
ENDSUBENT           51          0                                 13800  199999 
SUBENT        13800002   20210920                             148713800  2    1 
BIB                  3          5                                 13800  2    2 
REACTION   (92-U-235(N,F),DL/GRP,NU/DE,,REL)                      13800  2    3 
            Total counts in each group normalized to 10E+4.       13800  2    4 
STATUS     (TABLE) Table II in Nuc.Sci.Eng.111,422,1992           13800  2    5 
HISTORY    (20210827A) REACTION SF6-7 changed, replaced GRP-NUM   13800  2    6 
            by HL-MIN,MAX                                         13800  2    7 
ENDBIB               5          0                                 13800  2    8 
NOCOMMON             0          0                                 13800  2    9 
DATA                 6        274                                 13800  2   10 
HL-MIN     HL-MAX     E-MEAN     E-RSL      DATA       DATA-ERR   13800  2   11 
SEC        SEC        KEV        KEV        ARB-UNITS  ARB-UNITS  13800  2   12 
 0.41       0.85        10.        10.       129.       110.      13800  2   13 
 0.41       0.85        20.        10.       103.        38.      13800  2   14 
 0.41       0.85        30.        10.       141.        62.      13800  2   15 
 0.41       0.85        40.        10.        85.        19.      13800  2   16 
 0.41       0.85        50.        10.       114.        56.      13800  2   17 
 0.41       0.85        60.        10.       101.        54.      13800  2   18 
 0.41       0.85        70.        10.       106.        46.      13800  2   19 
 0.41       0.85        80.        10.       128.        46.      13800  2   20 
 0.41       0.85        90.        10.       117.        42.      13800  2   21 
 0.41       0.85       100.        10.       105.        38.      13800  2   22 
 0.41       0.85       110.        10.       117.        33.      13800  2   23 
 0.41       0.85       120.        10.       117.        29.      13800  2   24 
 0.41       0.85       130.        10.       118.        27.      13800  2   25 
 0.41       0.85       140.        10.       108.        25.      13800  2   26 
 0.41       0.85       150.        10.       105.        22.      13800  2   27 
 0.41       0.85       160.        10.       112.        20.      13800  2   28 
 0.41       0.85       170.        10.       109.        19.      13800  2   29 
 0.41       0.85       180.        10.       106.        18.      13800  2   30 
 0.41       0.85       190.        10.       111.        20.      13800  2   31 
 0.41       0.85       202.5       15.       143.        12.      13800  2   32 
 0.41       0.85       220.        20.       155.        10.      13800  2   33 
 0.41       0.85       240.        20.       152.        10.      13800  2   34 
 0.41       0.85       260.        20.       142.         9.      13800  2   35 
 0.41       0.85       280.        20.       147.         9.      13800  2   36 
 0.41       0.85       300.        20.       168.         9.      13800  2   37 
 0.41       0.85       320.        20.       173.         9.      13800  2   38 
 0.41       0.85       340.        20.       175.         8.      13800  2   39 
 0.41       0.85       360.        20.       175.         8.      13800  2   40 
 0.41       0.85       380.        20.       175.         8.      13800  2   41 
 0.41       0.85       400.        20.       179.         8.      13800  2   42 
 0.41       0.85       420.        20.       168.         8.      13800  2   43 
 0.41       0.85       440.        20.       157.         8.      13800  2   44 
 0.41       0.85       460.        20.       142.         7.      13800  2   45 
 0.41       0.85       480.        20.       121.         7.      13800  2   46 
 0.41       0.85       507.5       25.       102.         5.      13800  2   47 
 0.41       0.85       550.        50.        85.7        4.2     13800  2   48 
 0.41       0.85       600.        50.        69.6        4.0     13800  2   49 
 0.41       0.85       650.        50.        56.3        3.6     13800  2   50 
 0.41       0.85       700.        50.        57.3        3.4     13800  2   51 
 0.41       0.85       750.        50.        46.7        3.2     13800  2   52 
 0.41       0.85       850.        50.        34.0        2.9     13800  2   53 
 0.41       0.85       900.        50.        31.3        2.8     13800  2   54 
 0.41       0.85       950.        50.        29.7        2.8     13800  2   55 
 0.41       0.85      1012.5       75.        17.5        2.2     13800  2   56 
 0.41       0.85      1100.       100.        14.6        1.9     13800  2   57 
 0.41       0.85      1200.       100.        10.8        1.6     13800  2   58 
 0.41       0.85      1300.       100.         8.70       1.57    13800  2   59 
 0.41       0.85      1400.       100.         4.81       1.47    13800  2   60 
 0.41       0.85      1500.       100.         2.21       1.34    13800  2   61 
 0.41       0.85      1600.       100.         1.68       1.14    13800  2   62 
 0.41       0.85      1700.       100.         0.57       0.71    13800  2   63 
 0.41       0.85      1800.       100.         0.40       0.43    13800  2   64 
 0.41       0.85      1900.       100.         0.00       0.34    13800  2   65 
 0.41       0.85      2000.       100.         0.00       0.30    13800  2   66 
 0.79       1.25        10.        10.       143.       115.      13800  2   67 
 0.79       1.25        20.        10.       114.        55.      13800  2   68 
 0.79       1.25        30.        10.       119.        51.      13800  2   69 
