ENTRY            10027   19990719                             00001002700000001 
SUBENT        10027001   19990719                             00001002700100001 
BIB                 14         35                                 1002700100002 
INSTITUTE  (1USAORL)                                              1002700100003 
REFERENCE  (R,ORNL-4441,196912)                                   1002700100004 
AUTHOR     (F.G.PEREY,W.E.KINNEY)                                 1002700100005 
TITLE      Carbon neutron elastic-and inelastic-scattering cross  1002700100006 
            sections from 4.5 to 8.5 MeV                          1002700100007 
FACILITY   (VDG) ORNL Van-de-Graaff, pulsed at 2 mhz and bunched. 1002700100008 
INC-SOURCE (D-D) D(d,n) reaction using gas cells ranging in length1002700100009 
            from 0.7 to 4.0 cm. Neutron energy resolution between 1002700100010 
            60 and 340 keV.                                       1002700100011 
SAMPLE     Right circular cylinder 2.54 cm in diameter,2 cm long  1002700100012 
            placed 10 to 30 cm from gas cell                      1002700100013 
METHOD     (TOF) Time-of-flight. 2.5 nsec. resolution (FWHM),     1002700100014 
             2 mHz repitition rate.                               1002700100015 
DETECTOR   (SCIN) 12.5 cm diameter NE213 liquid scintillator      1002700100016 
            viewed by XP-1040 photomultiplers. Flight paths of 4  1002700100017 
            to 6 meters employed.                                 1002700100018 
MONITOR    (1-H-1(N,EL)1-H-1,,DA) Detector efficiency relative    1002700100019 
            to n-p cross section.                                 1002700100020 
CORRECTION Corrected for multiple scattering and for finite size  1002700100021 
            of samples.                                           1002700100022 
ERR-ANALYS Includes uncertainties due to:                         1002700100023 
           . geometric parameters,                                1002700100024 
           . finite size corrections,                             1002700100025 
           . statistics,                                          1002700100026 
           . residual background effects due to peak stripping    1002700100027 
             procedures.                                          1002700100028 
           Differential data do not (but integral data do)        1002700100029 
            include absolute error of +-7%, the estimated error   1002700100030 
            in the absolute value of the detector efficiency.     1002700100031 
STATUS     (APRVD) Approved by author.                            1002700100032 
HISTORY    (19710330C)                                            1002700100033 
           (19760301A)                                            1002700100034 
           (19800723A) Converted to REACTION formalism            1002700100035 
           (19860129A) BIB corrections.                           1002700100036 
           (19990719A) Converted to new date formats, lower case. 1002700100037 
ENDBIB              35          0                                 1002700100038 
NOCOMMON             0          0                                 1002700100039 
ENDSUBENT           38          0                                 1002700199999 
SUBENT        10027002   19990719                             00001002700200001 
BIB                  2          3                                 1002700200002 
REACTION   (6-C-0(N,EL)6-C-0,,DA)                                 1002700200003 
HISTORY    (19800723A) Subentries 2 - 14 combined                 1002700200004 
           (19860129A) REACTION product added.                    1002700200005 
ENDBIB               3          0                                 1002700200006 
NOCOMMON             0          0                                 1002700200007 
DATA                 6        265                                 1002700200008 
EN         EN-RSL     ANG-CM     DATA       +DATA-ERR  -DATA-ERR  1002700200009 
MEV        MEV        ADEG       MB/SR      PER-CENT   PER-CENT   1002700200010 
4.60       0.05       32.42      317.80     5.1        5.6        1002700200011 
4.60       0.05       46.30      242.35     6.0        6.5        1002700200012 
4.60       0.05       58.99      136.53     6.0        6.7        1002700200013 
4.60       0.05       72.51      112.21     7.3        8.5        1002700200014 
4.60       0.05       84.79      85.28      7.3        8.8        1002700200015 
4.60       0.05       97.82      102.34     8.8        10.8       1002700200016 
4.60       0.05       97.85      90.22      7.2        9.4        1002700200017 
4.60       0.05       109.69     92.60      6.4        7.4        1002700200018 
4.60       0.05       122.26     72.03      8.6        9.7        1002700200019 
4.60       0.05       135.59     60.00      8.7        13.4       1002700200020 
5.04       0.04       32.40      173.65     4.6        5.0        1002700200021 
5.04       0.04       46.30      121.66     5.0        5.3        1002700200022 
5.04       0.04       60.00      93.32      5.3        6.2        1002700200023 
5.04       0.04       72.50      70.74      7.0        6.6        1002700200024 
5.04       0.04       84.77      74.53      5.8        7.3        1002700200025 
5.04       0.04       84.78      69.79      6.3        7.6        1002700200026 
5.04       0.04       94.83      77.24      5.7        5.7        1002700200027 
5.04       0.04       97.83      80.46      5.8        6.7        1002700200028 
5.04       0.04       109.66     90.92      6.2        7.6        1002700200029 
5.04       0.04       121.30     75.56      6.0        7.8        1002700200030 
5.04       0.04       133.68     60.86      7.5        6.5        1002700200031 
5.44       0.17       23.80      234.37     4.8        7.3        1002700200032 
5.44       0.17       29.71      204.59     4.9        7.1        1002700200033 
5.44       0.17       34.54      184.72     4.4        9.5        1002700200034 
5.44       0.17       34.58      184.47     4.4        5.0        1002700200035 
5.44       0.17       40.42      153.33     4.4        8.3        1002700200036 
5.44       0.17       40.45      158.32     4.4        5.4        1002700200037 
5.44       0.17       40.46      158.92     4.4        4.9        1002700200038 
5.44       0.17       45.23      134.07     4.2        4.7        1002700200039 
5.44       0.17       46.27      126.83     4.9        9.0        1002700200040 
5.44       0.17       51.06      108.71     4.3        4.8        1002700200041 
5.44       0.17       56.86      91.42      4.4        5.0        1002700200042 
5.44       0.17       61.08      75.93      4.6        5.6        1002700200043 
5.44       0.17       66.80      63.27      4.8        6.0        1002700200044 
5.44       0.17       72.49      58.79      4.9        5.8        1002700200045 
5.44       0.17       76.58      51.63      5.0        2.0        1002700200046 
5.44       0.17       82.23      58.70      4.9        6.2        1002700200047 
5.44       0.17       87.81      68.53      4.8        5.5        1002700200048 
5.44       0.17       92.84      69.55      4.8        5.8        1002700200049 
5.44       0.17       94.83      67.43      5.6        5.6        1002700200050 
5.44       0.17       98.32      76.71      4.8        5.4        1002700200051 
