ENTRY            10113   20000202                             00001011300000001 
SUBENT        10113001   20000202                             00001011300100001 
BIB                 13         27                                 1011300100002 
INSTITUTE  (1USAORL)                                              1011300100003 
REFERENCE  (R,ORNL-4807,197401)                                   1011300100004 
AUTHOR     (W.E.KINNEY,F.G.PEREY)                                 1011300100005 
TITLE      Ni neutron elastic- and inelastic-scattering cross     1011300100006 
            sections from 4.07 to 8.56 MeV                        1011300100007 
FACILITY   (VDG,1USAORL) ORNL Van de Graaff, pulsed at 2 mhz and  1011300100008 
            bunched.                                              1011300100009 
INC-SOURCE (D-D) D(d,n) reaction using gas cells ranging in length1011300100010 
            from 1 to 2 cm. Neutron energy resolution between     1011300100011 
            60 to 70 keV.                                         1011300100012 
SAMPLE     Solid right circular cylinder 1.523 cm diameter,       1011300100013 
            2.578 cm high placed 10 to 30 cm from gas cell.       1011300100014 
METHOD     (TOF) Time-of-flight. 2.5 nanosec resolution (FWHM).   1011300100015 
DETECTOR   (SCIN)  12.5 cm diameter NE213 liquid scintillator     1011300100016 
            viewed by XP-1040 photomultipliers.  Flight paths of  1011300100017 
            4 to 6 meters employed.                               1011300100018 
MONITOR    (1-H-1(N,EL)1-H-1,,DA) Detector efficiency determined  1011300100019 
            relative to n-p cross section.                        1011300100020 
CORRECTION  Corrected for multiple scattering and other finite    1011300100021 
            sample size effects.                                  1011300100022 
STATUS     (APRVD) Approved by authors.                           1011300100023 
           Data rec'd in private comm., Kinney, May 1974.         1011300100024 
HISTORY    (19760219C) Data added                                 1011300100025 
           (19820528A) Converted to REACTION formalism            1011300100026 
           (19840416A) BIB corrections.                           1011300100027 
           (20000202A) Converted to new date format, lower case.  1011300100028 
                       BIB corrections.                           1011300100029 
ENDBIB              27          0                                 1011300100030 
NOCOMMON             0          0                                 1011300100031 
ENDSUBENT           30          0                                 1011300199999 
SUBENT        10113002   20000202                             00001011300200001 
BIB                  3         11                                 1011300200002 
REACTION   (28-NI-0(N,EL)28-NI-0,,DA)                             1011300200003 
ERR-ANALYS (DATA-ERR) Includes uncertainties in:                  1011300200004 
            . geometric parameters,                               1011300200005 
            . finite size corrections,                            1011300200006 
            . statistics,                                         1011300200007 
            . residual background effects due to peak stripping   1011300200008 
              procedures.                                         1011300200009 
            Does not include absolute error of + or - 7%,         1011300200010 
             estimated error in the absolute value of the         1011300200011 
             detector efficiency.                                 1011300200012 
HISTORY    (19860129A) REACTION product added.                    1011300200013 
ENDBIB              11          0                                 1011300200014 
NOCOMMON             0          0                                 1011300200015 
DATA                 6        115                                 1011300200016 
EN         EN-RSL     ANG-CM     DATA       +DATA-ERR  -DATA-ERR  1011300200017 
MEV        MEV        ADEG       MB/SR      PER-CENT   PER-CENT   1011300200018 
 4.07       0.08        70.92         32.86    11.5       16.3    1011300200019 
 4.07       0.08        78.46         41.65     7.4       11.4    1011300200020 
 4.07       0.08        85.98         60.17     8.0        7.3    1011300200021 
 4.34       0.07        10.19       1659.29     7.8        9.0    1011300200022 
 4.34       0.07        17.80       1544.69     4.6        5.7    1011300200023 
 4.34       0.07        17.81       1415.06    10.7        7.2    1011300200024 
 4.34       0.07        25.42       1149.57     6.9        5.3    1011300200025 
 4.34       0.07        25.42       1104.50     5.3        9.6    1011300200026 
 4.34       0.07        25.42        989.67     5.3        5.7    1011300200027 
 4.34       0.07        33.03        619.46     6.0        8.9    1011300200028 
 4.34       0.07        33.03        837.53     5.5        7.0    1011300200029 
 4.34       0.07        40.63        329.92     6.3        7.2    1011300200030 
 4.34       0.07        48.22        169.02     7.8        7.2    1011300200031 
 4.34       0.07        48.24        184.69     6.8        7.8    1011300200032 
 4.34       0.07        55.80         76.01    10.1       10.4    1011300200033 
 4.34       0.07        55.81         60.86    14.8       15.5    1011300200034 
 4.34       0.07        63.37         27.13    17.2       15.5    1011300200035 
 4.34       0.07        63.37         26.14    26.3       19.1    1011300200036 
 4.34       0.07        70.92         19.92    25.0       16.4    1011300200037 
 4.34       0.07        78.46         27.55    20.0       19.0    1011300200038 
 4.34       0.07        85.98         42.18    10.2        9.1    1011300200039 
 4.34       0.07        95.98         59.67    10.0        8.8    1011300200040 
 4.34       0.07       103.46         62.42    10.8        8.7    1011300200041 
 4.34       0.07       110.92         57.21    10.3        8.2    1011300200042 
 4.34       0.07       122.34         46.25     9.3        7.5    1011300200043 
 4.34       0.07       129.76         35.74    12.3       12.0    1011300200044 
 4.34       0.07       137.18         24.43    15.7       10.4    1011300200045 
 4.65       0.07        70.92         29.03    17.1       12.3    1011300200046 
 4.65       0.07        78.46         37.04    12.0        9.0    1011300200047 
 4.65       0.07        85.98         45.56     9.0        7.2    1011300200048 
 4.92       0.06        10.19       1848.38     4.8        6.4    1011300200049 
 4.92       0.06        15.28       1630.60     4.4        6.5    1011300200050 
 4.92       0.06        17.81       1476.58     7.4        4.0    1011300200051 
 4.92       0.06        22.88       1099.00     7.9        9.1    1011300200052 
 4.92       0.06        25.42        984.47     7.1        7.4    1011300200053 
 4.92       0.06        25.42        974.62     4.4        4.9    1011300200054 
 4.92       0.06        30.50        701.80     6.8        7.1    1011300200055 
 4.92       0.06        33.03        618.36     6.4        6.6    1011300200056 
 4.92       0.06        40.63        323.78     6.1        5.2    1011300200057 
 4.92       0.06        48.23        147.27     5.8        6.7    1011300200058 
