EN         EN-RSL-FW  ANG-CM     DATA-CM    +DATA-ERR  -DATA-ERR  1028500200015 
MEV        MEV        ADEG       MB/SR      PER-CENT   PER-CENT   1028500200016 
  6.44     0.07         70.00     -3.900        0.02768    0.005521028503100568 
  6.44     0.07         70.00     -3.875        0.03260    0.005441028503100569 
  6.44     0.07         70.00     -3.850        0.03468    0.005681028503100570 
  6.44     0.07         70.00     -3.825        0.03348    0.005401028503100571 
  6.44     0.07         70.00     -3.800        0.03192    0.005361028503100572 
  6.44     0.07         70.00     -3.775        0.03188    0.005561028503100573 
  6.44     0.07         70.00     -3.750        0.03276    0.005601028503100574 
  6.44     0.07         70.00     -3.725        0.03276    0.005481028503100575 
  6.44     0.07         70.00     -3.700        0.03088    0.005681028503100576 
  6.44     0.07         70.00     -3.675        0.02944    0.005521028503100577 
  6.44     0.07         70.00     -3.650        0.03076    0.005481028503100578 
  6.44     0.07         70.00     -3.625        0.03324    0.005601028503100579 
  6.44     0.07         70.00     -3.600        0.02932    0.005161028503100580 
  6.44     0.07         70.00     -3.575        0.01768    0.004601028503100581 
  6.44     0.07         70.00     -3.550        0.00628    0.004681028503100582 
  6.44     0.07         70.00     -3.525        0.00212    0.004761028503100583 
  6.44     0.07         70.00     -3.500        0.00028    0.004241028503100584 
  6.44     0.07         77.50     -5.250        0.03948    0.009281028503100585 
  6.44     0.07         77.50     -5.225        0.04108    0.008961028503100586 
  6.44     0.07         77.50     -5.200        0.04308    0.008241028503100587 
  6.44     0.07         77.50     -5.175        0.03992    0.007841028503100588 
  6.44     0.07         77.50     -5.150        0.03240    0.007041028503100589 
  6.44     0.07         77.50     -5.125        0.02564    0.006801028503100590 
  6.44     0.07         77.50     -5.100        0.02232    0.006001028503100591 
  6.44     0.07         77.50     -5.075        0.02404    0.006161028503100592 
  6.44     0.07         77.50     -5.050        0.03208    0.006281028503100593 
  6.44     0.07         77.50     -5.025        0.04436    0.007161028503100594 
  6.44     0.07         77.50     -5.000        0.05400    0.007801028503100595 
  6.44     0.07         77.50     -4.975        0.05528    0.007681028503100596 
  6.44     0.07         77.50     -4.950        0.05040    0.007121028503100597 
  6.44     0.07         77.50     -4.925        0.04684    0.006841028503100598 
  6.44     0.07         77.50     -4.900        0.04880    0.006801028503100599 
  6.44     0.07         77.50     -4.875        0.05392    0.007161028503100600 
  6.44     0.07         77.50     -4.850        0.05608    0.007081028503100601 
  6.44     0.07         77.50     -4.825        0.05180    0.006721028503100602 
  6.44     0.07         77.50     -4.800        0.04332    0.006121028503100603 
  6.44     0.07         77.50     -4.775        0.03512    0.005841028503100604 
  6.44     0.07         77.50     -4.750        0.02956    0.005321028503100605 
  6.44     0.07         77.50     -4.725        0.02668    0.005281028503100606 
  6.44     0.07         77.50     -4.700        0.02648    0.004921028503100607 
  6.44     0.07         77.50     -4.675        0.02864    0.004881028503100608 
  6.44     0.07         77.50     -4.650        0.03020    0.005001028503100609 
  6.44     0.07         77.50     -4.625        0.02868    0.005001028503100610 
  6.44     0.07         77.50     -4.600        0.02632    0.004761028503100611 
  6.44     0.07         77.50     -4.575        0.02680    0.005041028503100612 
  6.44     0.07         77.50     -4.550        0.02880    0.005041028503100613 
  6.44     0.07         77.50     -4.525        0.02924    0.005121028503100614 
  6.44     0.07         77.50     -4.500        0.03140    0.005121028503100615 
  6.44     0.07         77.50     -4.475        0.04028    0.005761028503100616 
  6.44     0.07         77.50     -4.450        0.05232    0.006401028503100617 
  6.44     0.07         77.50     -4.425        0.05752    0.006601028503100618 
  6.44     0.07         77.50     -4.400        0.05428    0.006521028503100619 
  6.44     0.07         77.50     -4.375        0.05056    0.006321028503100620 
  6.44     0.07         77.50     -4.350        0.04924    0.006321028503100621 
  6.44     0.07         77.50     -4.325        0.04384    0.005721028503100622 
  6.44     0.07         77.50     -4.300        0.03376    0.005441028503100623 
  6.44     0.07         77.50     -4.275        0.02832    0.004841028503100624 
  6.44     0.07         77.50     -4.250        0.03192    0.004881028503100625 
  6.44     0.07         77.50     -4.225        0.03516    0.005081028503100626 
  6.44     0.07         77.50     -4.200        0.03044    0.004881028503100627 
  6.44     0.07         77.50     -4.175        0.02448    0.004601028503100628 
  6.44     0.07         77.50     -4.150        0.02728    0.004761028503100629 
  6.44     0.07         77.50     -4.125        0.03620    0.005161028503100630 
  6.44     0.07         77.50     -4.100        0.04148    0.005601028503100631 
  6.44     0.07         77.50     -4.075        0.04020    0.005521028503100632 
  6.44     0.07         77.50     -4.050        0.03660    0.005241028503100633 
  6.44     0.07         77.50     -4.025        0.03280    0.004761028503100634 
  6.44     0.07         77.50     -4.000        0.02820    0.004761028503100635 
  6.44     0.07         77.50     -3.975        0.02436    0.004401028503100636 
  6.44     0.07         77.50     -3.950        0.02356    0.004201028503100637 
  6.44     0.07         77.50     -3.925        0.02472    0.004521028503100638 
  6.44     0.07         77.50     -3.900        0.02600    0.004401028503100639 
  6.44     0.07         77.50     -3.875        0.02792    0.004601028503100640 
  6.44     0.07         77.50     -3.850        0.03072    0.004921028503100641 
  6.44     0.07         77.50     -3.825        0.03260    0.004961028503100642 
  6.44     0.07         77.50     -3.800        0.03284    0.004921028503100643 
  6.44     0.07         77.50     -3.775        0.03324    0.004841028503100644 
  6.44     0.07         77.50     -3.750        0.03368    0.004801028503100645 
  6.44     0.07         77.50     -3.725        0.03152    0.004561028503100646 
  6.44     0.07         77.50     -3.700        0.02756    0.004761028503100647 
  6.44     0.07         77.50     -3.675        0.02608    0.004401028503100648 
  6.44     0.07         77.50     -3.650        0.02852    0.004961028503100649 
  6.44     0.07         77.50     -3.625        0.03024    0.004721028503100650 
  6.44     0.07         77.50     -3.600        0.02724    0.004601028503100651 
  6.44     0.07         77.50     -3.575        0.02184    0.004361028503100652 
  6.44     0.07         77.50     -3.550        0.01616    0.004161028503100653 
  6.44     0.07         77.50     -3.525        0.01076    0.004001028503100654 
  6.44     0.07         77.50     -3.500        0.00604    0.003641028503100655 
  6.44     0.07         85.00     -5.250        0.03140    0.008641028503100656 
  6.44     0.07         85.00     -5.225        0.03300    0.008241028503100657 
  6.44     0.07         85.00     -5.200        0.03720    0.008641028503100658 
  6.44     0.07         85.00     -5.175        0.03776    0.007681028503100659 
  6.44     0.07         85.00     -5.150        0.03484    0.007521028503100660 
  6.44     0.07         85.00     -5.125        0.03228    0.007001028503100661 
  6.44     0.07         85.00     -5.100        0.02988    0.006401028503100662 
  6.44     0.07         85.00     -5.075        0.02520    0.005881028503100663 
  6.44     0.07         85.00     -5.050        0.02272    0.005521028503100664 
  6.44     0.07         85.00     -5.025        0.02820    0.006121028503100665 
  6.44     0.07         85.00     -5.000        0.03856    0.006401028503100666 
  6.44     0.07         85.00     -4.975        0.04424    0.006721028503100667 
  6.44     0.07         85.00     -4.950        0.04300    0.006681028503100668 
  6.44     0.07         85.00     -4.925        0.04272    0.006641028503100669 
  6.44     0.07         85.00     -4.900        0.04924    0.006841028503100670 
  6.44     0.07         85.00     -4.875        0.05652    0.007361028503100671 
  6.44     0.07         85.00     -4.850        0.05604    0.007321028503100672 
  6.44     0.07         85.00     -4.825        0.04724    0.006601028503100673 
  6.44     0.07         85.00     -4.800        0.03792    0.005921028503100674 
  6.44     0.07         85.00     -4.775        0.03312    0.005441028503100675 
  6.44     0.07         85.00     -4.750        0.03040    0.005241028503100676 
  6.44     0.07         85.00     -4.725        0.02560    0.005161028503100677 
  6.44     0.07         85.00     -4.700        0.01988    0.004481028503100678 
  6.44     0.07         85.00     -4.675        0.01720    0.004281028503100679 
  6.44     0.07         85.00     -4.650        0.01900    0.004761028503100680 
  6.44     0.07         85.00     -4.625        0.02212    0.004481028503100681 
  6.44     0.07         85.00     -4.600        0.02404    0.004961028503100682 
  6.44     0.07         85.00     -4.575        0.02524    0.004801028503100683 
  6.44     0.07         85.00     -4.550        0.02648    0.004761028503100684 
  6.44     0.07         85.00     -4.525        0.02776    0.004761028503100685 
  6.44     0.07         85.00     -4.500        0.03052    0.005001028503100686 
  6.44     0.07         85.00     -4.475        0.03668    0.005321028503100687 
  6.44     0.07         85.00     -4.450        0.04420    0.006001028503100688 
  6.44     0.07         85.00     -4.425        0.04716    0.006081028503100689 
  6.44     0.07         85.00     -4.400        0.04456    0.005921028503100690 
  6.44     0.07         85.00     -4.375        0.04296    0.005841028503100691 
  6.44     0.07         85.00     -4.350        0.04604    0.005601028503100692 
  6.44     0.07         85.00     -4.325        0.04712    0.006321028503100693 
  6.44     0.07         85.00     -4.300        0.03964    0.005481028503100694 
  6.44     0.07         85.00     -4.275        0.02912    0.004601028503100695 
  6.44     0.07         85.00     -4.250        0.02632    0.004681028503100696 
  6.44     0.07         85.00     -4.225        0.03024    0.004561028503100697 
  6.44     0.07         85.00     -4.200        0.03092    0.005081028503100698 
  6.44     0.07         85.00     -4.175        0.02724    0.004721028503100699 
  6.44     0.07         85.00     -4.150        0.02856    0.004921028503100700 
  6.44     0.07         85.00     -4.125        0.03712    0.005281028503100701 
  6.44     0.07         85.00     -4.100        0.04196    0.005521028503100702 
  6.44     0.07         85.00     -4.075        0.03668    0.005401028503100703 
  6.44     0.07         85.00     -4.050        0.02980    0.004641028503100704 
  6.44     0.07         85.00     -4.025        0.03072    0.005081028503100705 
  6.44     0.07         85.00     -4.000        0.03436    0.005041028503100706 
  6.44     0.07         85.00     -3.975        0.03100    0.004761028503100707 
  6.44     0.07         85.00     -3.950        0.02336    0.004321028503100708 
  6.44     0.07         85.00     -3.925        0.02120    0.004321028503100709 
  6.44     0.07         85.00     -3.900        0.02524    0.004281028503100710 
  6.44     0.07         85.00     -3.875        0.02780    0.004641028503100711 
  6.44     0.07         85.00     -3.850        0.02760    0.004521028503100712 
  6.44     0.07         85.00     -3.825        0.03060    0.004601028503100713 
  6.44     0.07         85.00     -3.800        0.03676    0.004921028503100714 
  6.44     0.07         85.00     -3.775        0.03816    0.005041028503100715 
  6.44     0.07         85.00     -3.750        0.03232    0.004401028503100716 
  6.44     0.07         85.00     -3.725        0.02700    0.004521028503100717 
  6.44     0.07         85.00     -3.700        0.02768    0.004441028503100718 
  6.44     0.07         85.00     -3.675        0.02976    0.004681028503100719 
  6.44     0.07         85.00     -3.650        0.02704    0.004281028503100720 
  6.44     0.07         85.00     -3.625        0.02204    0.004161028503100721 
  6.44     0.07         85.00     -3.600        0.02032    0.004481028503100722 
  6.44     0.07         85.00     -3.575        0.01984    0.004041028503100723 
  6.44     0.07         85.00     -3.550        0.01628    0.003881028503100724 
  6.44     0.07         85.00     -3.525        0.00944    0.003481028503100725 
  6.44     0.07         85.00     -3.500        0.00432    0.003561028503100726 
  6.44     0.07         92.50     -5.250        0.04264    0.012241028503100727 
  6.44     0.07         92.50     -5.225        0.03728    0.011441028503100728 
  6.44     0.07         92.50     -5.200        0.02596    0.010521028503100729 
  6.44     0.07         92.50     -5.175        0.02364    0.010081028503100730 
  6.44     0.07         92.50     -5.150        0.02960    0.008881028503100731 
  6.44     0.07         92.50     -5.125        0.03396    0.008681028503100732 
  6.44     0.07         92.50     -5.100        0.03292    0.008241028503100733 
  6.44     0.07         92.50     -5.075        0.02812    0.008161028503100734 
  6.44     0.07         92.50     -5.050        0.02388    0.007481028503100735 
  6.44     0.07         92.50     -5.025        0.02652    0.008001028503100736 
  6.44     0.07         92.50     -5.000        0.03992    0.008361028503100737 
  6.44     0.07         92.50     -4.975        0.05640    0.008801028503100738 
  6.44     0.07         92.50     -4.950        0.06232    0.009001028503100739 
  6.44     0.07         92.50     -4.925        0.05592    0.008241028503100740 
  6.44     0.07         92.50     -4.900        0.04920    0.008401028503100741 
  6.44     0.07         92.50     -4.875        0.04968    0.008081028503100742 
  6.44     0.07         92.50     -4.850        0.05112    0.007841028503100743 
  6.44     0.07         92.50     -4.825        0.04796    0.007841028503100744 
  6.44     0.07         92.50     -4.800        0.04284    0.007601028503100745 
  6.44     0.07         92.50     -4.775        0.03872    0.007361028503100746 
  6.44     0.07         92.50     -4.750        0.03372    0.006481028503100747 
  6.44     0.07         92.50     -4.725        0.02792    0.006441028503100748 
  6.44     0.07         92.50     -4.700        0.02540    0.006241028503100749 
  6.44     0.07         92.50     -4.675        0.02660    0.006081028503100750 
  6.44     0.07         92.50     -4.650        0.02692    0.005881028503100751 
  6.44     0.07         92.50     -4.625        0.02568    0.006001028503100752 
  6.44     0.07         92.50     -4.600        0.02612    0.005761028503100753 
  6.44     0.07         92.50     -4.575        0.02760    0.006281028503100754 
  6.44     0.07         92.50     -4.550        0.02672    0.006201028503100755 
  6.44     0.07         92.50     -4.525        0.02568    0.006081028503100756 
  6.44     0.07         92.50     -4.500        0.03000    0.006001028503100757 
  6.44     0.07         92.50     -4.475        0.03880    0.006601028503100758 
  6.44     0.07         92.50     -4.450        0.04476    0.006761028503100759 
  6.44     0.07         92.50     -4.425        0.04548    0.006681028503100760 
  6.44     0.07         92.50     -4.400        0.04536    0.006841028503100761 
  6.44     0.07         92.50     -4.375        0.04704    0.007161028503100762 
  6.44     0.07         92.50     -4.350        0.04840    0.007321028503100763 
  6.44     0.07         92.50     -4.325        0.04708    0.006801028503100764 
  6.44     0.07         92.50     -4.300        0.04312    0.006241028503100765 
  6.44     0.07         92.50     -4.275        0.03740    0.006201028503100766 
  6.44     0.07         92.50     -4.250        0.03056    0.005801028503100767 
  6.44     0.07         92.50     -4.225        0.02524    0.006081028503100768 
  6.44     0.07         92.50     -4.200        0.02392    0.005961028503100769 
  6.44     0.07         92.50     -4.175        0.02748    0.005961028503100770 
  6.44     0.07         92.50     -4.150        0.03492    0.005681028503100771 
  6.44     0.07         92.50     -4.125        0.04220    0.006321028503100772 
  6.44     0.07         92.50     -4.100        0.04304    0.006281028503100773 
  6.44     0.07         92.50     -4.075        0.03652    0.006161028503100774 
  6.44     0.07         92.50     -4.050        0.03016    0.005401028503100775 
  6.44     0.07         92.50     -4.025        0.03112    0.006001028503100776 
  6.44     0.07         92.50     -4.000        0.03472    0.005601028503100777 
  6.44     0.07         92.50     -3.975        0.03172    0.005721028503100778 
  6.44     0.07         92.50     -3.950        0.02384    0.005041028503100779 
  6.44     0.07         92.50     -3.925        0.02140    0.005001028503100780 
  6.44     0.07         92.50     -3.900        0.02732    0.005481028503100781 
  6.44     0.07         92.50     -3.875        0.03360    0.005681028503100782 
  6.44     0.07         92.50     -3.850        0.03452    0.005841028503100783 
  6.44     0.07         92.50     -3.825        0.03248    0.005521028503100784 
  6.44     0.07         92.50     -3.800        0.03104    0.005241028503100785 
  6.44     0.07         92.50     -3.775        0.03008    0.005041028503100786 
  6.44     0.07         92.50     -3.750        0.03000    0.005561028503100787 
  6.44     0.07         92.50     -3.725        0.03248    0.005241028503100788 
  6.44     0.07         92.50     -3.700        0.03576    0.005321028503100789 
  6.44     0.07         92.50     -3.675        0.03548    0.005721028503100790 
  6.44     0.07         92.50     -3.650        0.03184    0.005401028503100791 
  6.44     0.07         92.50     -3.625        0.02868    0.005281028503100792 
  6.44     0.07         92.50     -3.600        0.02616    0.004921028503100793 
  6.44     0.07         92.50     -3.575        0.02100    0.005081028503100794 
  6.44     0.07         92.50     -3.550        0.01336    0.004681028503100795 
  6.44     0.07         92.50     -3.525        0.00736    0.004241028503100796 
  6.44     0.07         92.50     -3.500        0.00228    0.004481028503100797 
  6.44     0.07        100.00     -5.250        0.03520    0.010561028503100798 
  6.44     0.07        100.00     -5.225        0.03192    0.009321028503100799 
  6.44     0.07        100.00     -5.200        0.02828    0.008881028503100800 
  6.44     0.07        100.00     -5.175        0.03232    0.008241028503100801 
  6.44     0.07        100.00     -5.150        0.03952    0.007961028503100802 
  6.44     0.07        100.00     -5.125        0.04100    0.008001028503100803 
  6.44     0.07        100.00     -5.100        0.03440    0.007401028503100804 
  6.44     0.07        100.00     -5.075        0.02516    0.006401028503100805 
  6.44     0.07        100.00     -5.050        0.02068    0.006081028503100806 
  6.44     0.07        100.00     -5.025        0.02700    0.006561028503100807 
  6.44     0.07        100.00     -5.000        0.04320    0.006801028503100808 
  6.44     0.07        100.00     -4.975        0.05956    0.008361028503100809 
  6.44     0.07        100.00     -4.950        0.06568    0.008281028503100810 
  6.44     0.07        100.00     -4.925        0.06116    0.007841028503100811 
  6.44     0.07        100.00     -4.900        0.05432    0.007321028503100812 
  6.44     0.07        100.00     -4.875        0.05104    0.007081028503100813 
  6.44     0.07        100.00     -4.850        0.04912    0.007081028503100814 
  6.44     0.07        100.00     -4.825        0.04568    0.006601028503100815 
  6.44     0.07        100.00     -4.800        0.04152    0.006521028503100816 
  6.44     0.07        100.00     -4.775        0.03748    0.006121028503100817 
  6.44     0.07        100.00     -4.750        0.03220    0.005641028503100818 
  6.44     0.07        100.00     -4.725        0.02568    0.005041028503100819 
  6.44     0.07        100.00     -4.700        0.02076    0.004801028503100820 
  6.44     0.07        100.00     -4.675        0.01908    0.004441028503100821 
  6.44     0.07        100.00     -4.650        0.01948    0.004961028503100822 
  6.44     0.07        100.00     -4.625        0.02136    0.005001028503100823 
  6.44     0.07        100.00     -4.600        0.02560    0.005121028503100824 
  6.44     0.07        100.00     -4.575        0.02992    0.005201028503100825 
  6.44     0.07        100.00     -4.550        0.02988    0.005081028503100826 
  6.44     0.07        100.00     -4.525        0.02648    0.005121028503100827 
  6.44     0.07        100.00     -4.500        0.02720    0.004921028503100828 
  6.44     0.07        100.00     -4.475        0.03576    0.006081028503100829 
  6.44     0.07        100.00     -4.450        0.04608    0.005961028503100830 
  6.44     0.07        100.00     -4.425        0.05008    0.006241028503100831 
  6.44     0.07        100.00     -4.400        0.04888    0.006681028503100832 
  6.44     0.07        100.00     -4.375        0.04840    0.006081028503100833 
  6.44     0.07        100.00     -4.350        0.04888    0.006361028503100834 
  6.44     0.07        100.00     -4.325        0.04512    0.005881028503100835 
  6.44     0.07        100.00     -4.300        0.03568    0.005521028503100836 
  6.44     0.07        100.00     -4.275        0.02604    0.004761028503100837 
  6.44     0.07        100.00     -4.250        0.02168    0.004401028503100838 
  6.44     0.07        100.00     -4.225        0.02208    0.004801028503100839 
  6.44     0.07        100.00     -4.200        0.02384    0.004881028503100840 
  6.44     0.07        100.00     -4.175        0.02536    0.004761028503100841 
  6.44     0.07        100.00     -4.150        0.02804    0.004761028503100842 
  6.44     0.07        100.00     -4.125        0.03320    0.005121028503100843 
  6.44     0.07        100.00     -4.100        0.03860    0.005281028503100844 
  6.44     0.07        100.00     -4.075        0.03980    0.005401028503100845 
  6.44     0.07        100.00     -4.050        0.03512    0.005161028503100846 
  6.44     0.07        100.00     -4.025        0.02880    0.004841028503100847 
  6.44     0.07        100.00     -4.000        0.02656    0.004601028503100848 
  6.44     0.07        100.00     -3.975        0.02824    0.004481028503100849 
  6.44     0.07        100.00     -3.950        0.02900    0.004561028503100850 
  6.44     0.07        100.00     -3.925        0.02724    0.004401028503100851 
  6.44     0.07        100.00     -3.900        0.02660    0.004681028503100852 
  6.44     0.07        100.00     -3.875        0.02884    0.004721028503100853 
  6.44     0.07        100.00     -3.850        0.03084    0.004921028503100854 
  6.44     0.07        100.00     -3.825        0.03044    0.004721028503100855 
  6.44     0.07        100.00     -3.800        0.03080    0.004761028503100856 
  6.44     0.07        100.00     -3.775        0.03424    0.004841028503100857 
  6.44     0.07        100.00     -3.750        0.03740    0.005241028503100858 
  6.44     0.07        100.00     -3.725        0.03632    0.005001028503100859 
  6.44     0.07        100.00     -3.700        0.03224    0.004601028503100860 
  6.44     0.07        100.00     -3.675        0.02896    0.004801028503100861 
  6.44     0.07        100.00     -3.650        0.02700    0.004441028503100862 
  6.44     0.07        100.00     -3.625        0.02536    0.004521028503100863 
  6.44     0.07        100.00     -3.600        0.02380    0.004521028503100864 
  6.44     0.07        100.00     -3.575        0.02192    0.004361028503100865 
  6.44     0.07        100.00     -3.550        0.01760    0.004041028503100866 
  6.44     0.07        100.00     -3.525        0.01048    0.003881028503100867 
  6.44     0.07        100.00     -3.500        0.00392    0.003761028503100868 
  6.44     0.07        107.50     -5.250        0.02804    0.010321028503100869 
  6.44     0.07        107.50     -5.225        0.02932    0.010001028503100870 
  6.44     0.07        107.50     -5.200        0.02620    0.009361028503100871 
  6.44     0.07        107.50     -5.175        0.02576    0.008241028503100872 
  6.44     0.07        107.50     -5.150        0.02736    0.008521028503100873 
  6.44     0.07        107.50     -5.125        0.02672    0.007441028503100874 
  6.44     0.07        107.50     -5.100        0.02464    0.006761028503100875 
  6.44     0.07        107.50     -5.075        0.02560    0.006401028503100876 
  6.44     0.07        107.50     -5.050        0.03128    0.006721028503100877 
  6.44     0.07        107.50     -5.025        0.03928    0.007281028503100878 
  6.44     0.07        107.50     -5.000        0.04804    0.007401028503100879 
  6.44     0.07        107.50     -4.975        0.05512    0.008561028503100880 
  6.44     0.07        107.50     -4.950        0.05660    0.008041028503100881 
  6.44     0.07        107.50     -4.925        0.05224    0.007161028503100882 
  6.44     0.07        107.50     -4.900        0.04772    0.007081028503100883 
  6.44     0.07        107.50     -4.875        0.04752    0.007281028503100884 
  6.44     0.07        107.50     -4.850        0.04848    0.007161028503100885 
  6.44     0.07        107.50     -4.825        0.04480    0.006961028503100886 
  6.44     0.07        107.50     -4.800        0.03784    0.006281028503100887 
  6.44     0.07        107.50     -4.775        0.03288    0.005601028503100888 
  6.44     0.07        107.50     -4.750        0.03052    0.005561028503100889 
  6.44     0.07        107.50     -4.725        0.02680    0.005401028503100890 
  6.44     0.07        107.50     -4.700        0.02092    0.004841028503100891 
  6.44     0.07        107.50     -4.675        0.01756    0.004601028503100892 
  6.44     0.07        107.50     -4.650        0.01972    0.004761028503100893 
  6.44     0.07        107.50     -4.625        0.02400    0.004961028503100894 
  6.44     0.07        107.50     -4.600        0.02532    0.005041028503100895 
  6.44     0.07        107.50     -4.575        0.02324    0.005041028503100896 
  6.44     0.07        107.50     -4.550        0.02200    0.005041028503100897 
  6.44     0.07        107.50     -4.525        0.02472    0.005161028503100898 
  6.44     0.07        107.50     -4.500        0.02992    0.005321028503100899 
  6.44     0.07        107.50     -4.475        0.03484    0.005201028503100900 
  6.44     0.07        107.50     -4.450        0.03976    0.005601028503100901 
  6.44     0.07        107.50     -4.425        0.04604    0.006121028503100902 
  6.44     0.07        107.50     -4.400        0.05236    0.006641028503100903 
  6.44     0.07        107.50     -4.375        0.05432    0.006601028503100904 
  6.44     0.07        107.50     -4.350        0.05028    0.006361028503100905 
  6.44     0.07        107.50     -4.325        0.04256    0.005841028503100906 
  6.44     0.07        107.50     -4.300        0.03504    0.005241028503100907 
  6.44     0.07        107.50     -4.275        0.02948    0.005121028503100908 
  6.44     0.07        107.50     -4.250        0.02712    0.005201028503100909 
  6.44     0.07        107.50     -4.225        0.02828    0.005161028503100910 
  6.44     0.07        107.50     -4.200        0.03012    0.004881028503100911 
  6.44     0.07        107.50     -4.175        0.02912    0.005241028503100912 
  6.44     0.07        107.50     -4.150        0.02660    0.005081028503100913 
  6.44     0.07        107.50     -4.125        0.02768    0.004721028503100914 
  6.44     0.07        107.50     -4.100        0.03316    0.005201028503100915 
  6.44     0.07        107.50     -4.075        0.03728    0.005361028503100916 
  6.44     0.07        107.50     -4.050        0.03556    0.005161028503100917 
  6.44     0.07        107.50     -4.025        0.03076    0.005001028503100918 
  6.44     0.07        107.50     -4.000        0.02688    0.004721028503100919 
  6.44     0.07        107.50     -3.975        0.02384    0.004521028503100920 
  6.44     0.07        107.50     -3.950        0.02036    0.004281028503100921 
  6.44     0.07        107.50     -3.925        0.01872    0.004121028503100922 
  6.44     0.07        107.50     -3.900        0.02164    0.004321028503100923 
  6.44     0.07        107.50     -3.875        0.02728    0.004601028503100924 
  6.44     0.07        107.50     -3.850        0.03180    0.005121028503100925 
  6.44     0.07        107.50     -3.825        0.03432    0.004881028503100926 
  6.44     0.07        107.50     -3.800        0.03584    0.005121028503100927 
  6.44     0.07        107.50     -3.775        0.03628    0.005041028503100928 
  6.44     0.07        107.50     -3.750        0.03432    0.004921028503100929 
  6.44     0.07        107.50     -3.725        0.03064    0.004681028503100930 
  6.44     0.07        107.50     -3.700        0.02748    0.004721028503100931 
  6.44     0.07        107.50     -3.675        0.02608    0.004481028503100932 
  6.44     0.07        107.50     -3.650        0.02604    0.004521028503100933 
  6.44     0.07        107.50     -3.625        0.02644    0.004361028503100934 
  6.44     0.07        107.50     -3.600        0.02636    0.004321028503100935 
  6.44     0.07        107.50     -3.575        0.02392    0.004241028503100936 
  6.44     0.07        107.50     -3.550        0.01840    0.004281028503100937 
  6.44     0.07        107.50     -3.525        0.01144    0.004001028503100938 
  6.44     0.07        107.50     -3.500        0.00552    0.003601028503100939 
  6.44     0.07        119.50     -5.250        0.02652    0.013161028503100940 
  6.44     0.07        119.50     -5.225        0.04864    0.016241028503100941 
  6.44     0.07        119.50     -5.200        0.05072    0.014361028503100942 
  6.44     0.07        119.50     -5.175        0.03916    0.013081028503100943 
  6.44     0.07        119.50     -5.150        0.03460    0.011881028503100944 
  6.44     0.07        119.50     -5.125        0.04024    0.011681028503100945 
  6.44     0.07        119.50     -5.100        0.04180    0.010881028503100946 
  6.44     0.07        119.50     -5.075        0.03560    0.009961028503100947 
  6.44     0.07        119.50     -5.050        0.03368    0.009281028503100948 
  6.44     0.07        119.50     -5.025        0.04244    0.009841028503100949 
  6.44     0.07        119.50     -5.000        0.05320    0.010561028503100950 
  6.44     0.07        119.50     -4.975        0.05928    0.010281028503100951 
  6.44     0.07        119.50     -4.950        0.06300    0.010681028503100952 
  6.44     0.07        119.50     -4.925        0.06524    0.010961028503100953 
  6.44     0.07        119.50     -4.900        0.06164    0.010361028503100954 
  6.44     0.07        119.50     -4.875        0.05192    0.009881028503100955 
  6.44     0.07        119.50     -4.850        0.04468    0.009041028503100956 
  6.44     0.07        119.50     -4.825        0.04724    0.009201028503100957 
  6.44     0.07        119.50     -4.800        0.05528    0.009241028503100958 
  6.44     0.07        119.50     -4.775        0.05832    0.009041028503100959 
  6.44     0.07        119.50     -4.750        0.05044    0.008561028503100960 
  6.44     0.07        119.50     -4.725        0.03668    0.007681028503100961 
  6.44     0.07        119.50     -4.700        0.02752    0.007401028503100962 
  6.44     0.07        119.50     -4.675        0.02756    0.007041028503100963 
  6.44     0.07        119.50     -4.650        0.03184    0.007601028503100964 
  6.44     0.07        119.50     -4.625        0.03464    0.007481028503100965 
  6.44     0.07        119.50     -4.600        0.03540    0.007401028503100966 
  6.44     0.07        119.50     -4.575        0.03428    0.007721028503100967 
  6.44     0.07        119.50     -4.550        0.02912    0.006921028503100968 
  6.44     0.07        119.50     -4.525        0.02380    0.007281028503100969 
  6.44     0.07        119.50     -4.500        0.02908    0.006561028503100970 
  6.44     0.07        119.50     -4.475        0.04576    0.007201028503100971 
  6.44     0.07        119.50     -4.450        0.05808    0.008321028503100972 
  6.44     0.07        119.50     -4.425        0.05572    0.008361028503100973 
  6.44     0.07        119.50     -4.400        0.05080    0.007441028503100974 
  6.44     0.07        119.50     -4.375        0.05612    0.008521028503100975 
  6.44     0.07        119.50     -4.350        0.06188    0.008841028503100976 
  6.44     0.07        119.50     -4.325        0.05104    0.007921028503100977 
  6.44     0.07        119.50     -4.300        0.03128    0.007001028503100978 
  6.44     0.07        119.50     -4.275        0.02484    0.006561028503100979 
  6.44     0.07        119.50     -4.250        0.03348    0.007081028503100980 
  6.44     0.07        119.50     -4.225        0.03848    0.007081028503100981 
  6.44     0.07        119.50     -4.200        0.03272    0.006601028503100982 
  6.44     0.07        119.50     -4.175        0.02892    0.006041028503100983 
  6.44     0.07        119.50     -4.150        0.03488    0.006521028503100984 
  6.44     0.07        119.50     -4.125        0.04148    0.007561028503100985 
  6.44     0.07        119.50     -4.100        0.04104    0.006801028503100986 
  6.44     0.07        119.50     -4.075        0.03880    0.007001028503100987 
  6.44     0.07        119.50     -4.050        0.03972    0.006841028503100988 
