ENTRY            10550   20040517                             00001055000000001 
SUBENT        10550001   20040517                             00001055000100001 
BIB                 12         28                                 1055000100002 
INSTITUTE  (1USATNL,1USADKE,1USANCS)                              1055000100003 
REFERENCE  (J,NSE,68,38,1978)                                     1055000100004 
           (T,HOGUE,1977)                                         1055000100005 
AUTHOR     (H.H.Hogue,P.L.von Behren,D.H.Epperson,                1055000100006 
           S.G.Glendeinning,P.W.Lisowski,C.E.Nelson,H.W.Newson,   1055000100007 
           P.O.Purser,W.Tornow,C.R.Gould,L.W.Seagondollar)        1055000100008 
TITLE      Differential Elastic and Inelastic Scattering of       1055000100009 
            7 to 15-MeV Neutrons from Beryllium.                  1055000100010 
FACILITY   (VDG,1USATNL)                                          1055000100011 
INC-SOURCE (D-D) Deuterons on deuterium gas target                1055000100012 
METHOD     (TOF) Time-of-flight.                                  1055000100013 
DETECTOR   (SCIN) NE-218 scintillation detectors                  1055000100014 
MONITOR    (1-H-1(N,EL)1-H-1,,DA) n-p scattering used to monitor  1055000100015 
           detector efficiency and normalize data.                1055000100016 
CORRECTION Data corrected for background and dead time in both    1055000100017 
           scattering sample and polyethelene normalization       1055000100018 
           sample. Also corrected for finite geometry,            1055000100019 
           detector efficiency, and multiple scattering.          1055000100020 
STATUS     (APRVD) Approved by F.O.Purser 1978/3/29               1055000100021 
            Data taken from private comm., Purser, 1977/5.        1055000100022 
HISTORY    (19760218C)                                            1055000100023 
           (19780329A) BIB update. Preliminary data replaced.     1055000100024 
            Converted to REACTION formalism.                      1055000100025 
           (19781128A) Reference update                           1055000100026 
           (19790604A) Reference update                           1055000100027 
           (19830928A) BIB correction, errors updated.            1055000100028 
           (19840706A) Carbon data moved to data set 12890        1055000100029 
           (20040517A) Converted to new date formats, lower case. 1055000100030 
ENDBIB              28          0                                 1055000100031 
NOCOMMON             0          0                                 1055000100032 
ENDSUBENT           31          0                                 1055000199999 
SUBENT        10550002   20040517                             00001055000200001 
BIB                  3          6                                 1055000200002 
REACTION   (4-BE-9(N,EL)4-BE-9,,DA)                               1055000200003 
SAMPLE     1.95 cm. diameter x 2.54 cm. long. 99.9% pure 9Be.     1055000200004 
ERR-ANALYS (ERR-T) Includes counting statistics, relative         1055000200005 
           detector efficiency, multiple scattering and           1055000200006 
           normalization uncertainty.                             1055000200007 
           (ERR-1) Normalization uncertainty.                     1055000200008 
ENDBIB               6          0                                 1055000200009 
NOCOMMON             0          0                                 1055000200010 
DATA                 5        246                                 1055000200011 
EN         ANG-CM     DATA-CM    ERR-T      ERR-1                 1055000200012 
MEV        ADEG       MB/SR      MB/SR      PER-CENT              1055000200013 
 6.97        27.56     441.90     17.25       3.0                 1055000200014 
 6.97        32.87     363.84     14.33       3.0                 1055000200015 
 6.97        38.18     297.47     11.81       3.0                 1055000200016 
 6.97        43.48     222.83      8.94       3.0                 1055000200017 
 6.97        48.76     171.60      7.00       3.0                 1055000200018 
 6.97        54.01     120.57      5.19       3.0                 1055000200019 
 6.97        59.26      83.12      3.72       3.0                 1055000200020 
 6.97        64.48      52.79      2.42       3.0                 1055000200021 
 6.97        69.73      34.24      1.73       3.0                 1055000200022 
 6.97        75.07      21.39      1.25       3.0                 1055000200023 
 6.97        80.54      14.99      0.91       3.0                 1055000200024 
 6.97        85.99      14.25      0.69       3.0                 1055000200025 
 6.97        91.27      15.10      0.73       3.0                 1055000200026 
 6.97        96.34      18.94      0.87       3.0                 1055000200027 
 6.97       101.29      20.38      0.95       3.0                 1055000200028 
 6.97       106.15      24.77      1.06       3.0                 1055000200029 
 6.97       110.95      26.32      1.12       3.0                 1055000200030 
 6.97       115.72      31.09      1.42       3.0                 1055000200031 
 6.97       120.45      30.97      1.24       3.0                 1055000200032 
 6.97       125.14      30.65      1.19       3.0                 1055000200033 
 6.97       129.80      28.90      1.17       3.0                 1055000200034 
 6.97       134.44      28.16      1.25       3.0                 1055000200035 
 6.97       139.04      28.24      1.15       3.0                 1055000200036 
 6.97       143.62      25.16      1.04       3.0                 1055000200037 
 6.97       148.17      27.06      1.18       3.0                 1055000200038 
 6.97       152.68      24.37      1.07       3.0                 1055000200039 
 6.97       157.16      24.61      1.08       3.0                 1055000200040 
 6.97       161.59      22.04      0.98       3.0                 1055000200041 
 7.97        27.61     445.53     17.16       3.0                 1055000200042 
 7.97        32.90     371.33     14.34       3.0                 1055000200043 
 7.97        38.22     293.91     11.43       3.0                 1055000200044 
 7.97        43.51     226.31      8.89       3.0                 1055000200045 
 7.97        48.78     166.62      6.66       3.0                 1055000200046 
 7.97        54.02     113.66      4.60       3.0                 1055000200047 
 7.97        59.25      76.58      3.20       3.0                 1055000200048 
 7.97        64.46      49.67      2.18       3.0                 1055000200049 
 7.97        69.73      29.74      1.42       3.0                 1055000200050 
 7.97        75.16      16.33      0.83       3.0                 1055000200051 
 7.97        80.73      13.61      0.71       3.0                 1055000200052 
 7.97        86.21      12.98      0.68       3.0                 1055000200053 
 7.97        91.44      15.19      0.71       3.0                 1055000200054 
 7.97        96.46      18.06      0.88       3.0                 1055000200055 
 7.97       101.36      20.77      0.90       3.0                 1055000200056 
