ENTRY            13750   20041118                             13351375000000001 
SUBENT        13750001   20041118                             13351375000100001 
BIB                 14         35                                 1375000100002 
INSTITUTE  (1USALAS)                                              1375000100003 
REFERENCE  (J,NSE,138,105,200106)                                 1375000100004 
           (R,LA-UR-99-4170,199907) Corrected tables.             1375000100005 
AUTHOR     (R.O.Nelson,M.B.Chadwick,A.Michaudon,P.G.Young)        1375000100006 
TITLE      High-Resolution Measurements and Calculations of       1375000100007 
            Photon-Production Cross Sections for 16O(n,x gamma)   1375000100008 
            Reactions Induced by Neutrons with Energies between   1375000100009 
            4 and 200 MeV                                         1375000100010 
FACILITY   (ACCEL,1USALAS) LANSCE                                 1375000100011 
INC-SOURCE (SPALL) Protons on tungsten target.                    1375000100012 
INC-SPECT  Energy given is for center of energy bin whose width   1375000100013 
            is defined by the resolution given.                   1375000100014 
SAMPLE     Thick and thin BeO samples used, together with pure    1375000100015 
            beryllium sample to correct for background.           1375000100016 
            1) Thin BeO 261.6-g disk.                             1375000100017 
            2) Thick BeO 432.4-g sheet, 2.897 g/cm3 density.      1375000100018 
            3) Pure Be 147.44-g flat disk, 1.848 g/cm3 density.   1375000100019 
           Samples oriented at 45 degrees relative to incident    1375000100020 
            beam.                                                 1375000100021 
METHOD     (TOF)                                                  1375000100022 
DETECTOR   (GE-IN) 2 high-purity coaxial germanium detectors      1375000100023 
            used for gamma detection.                             1375000100024 
           Neutron flux measured using 238U fission chamber.      1375000100025 
MONITOR    Detector efficiency measured using:                    1375000100026 
           . calibrated 152Eu source,                             1375000100027 
           . Amersham mixed-radionuclide gamma-ray reference      1375000100028 
             source,                                              1375000100029 
           . 56Co source,                                         1375000100030 
           . source composed of mixture of 238Pu and 13C.         1375000100031 
CORRECTION Corrected for background, multiple scattering, and     1375000100032 
            detector efficiency.                                  1375000100033 
ERR-ANALYS (ERR-S) Statistical uncertainties given.               1375000100034 
           For systematic uncertainties see Table VI of main      1375000100035 
            reference.                                            1375000100036 
HISTORY    (20041028C)                                            1375000100037 
ENDBIB              35          0                                 1375000100038 
NOCOMMON             0          0                                 1375000100039 
ENDSUBENT           38          0                                 1375000199999 
SUBENT        13750002   20041118                             13351375000200001 
BIB                  2          2                                 1375000200002 
REACTION   (8-O-16(N,X)0-G-0,PAR,DA)                              1375000200003 
STATUS     Data received by email, R.Nelson, 2004/1/13.           1375000200004 
ENDBIB               2          0                                 1375000200005 
NOCOMMON             0          0                                 1375000200006 
DATA                 6       2647                                 1375000200007 
E          ANG        EN         EN-ERR     DATA       ERR-S      1375000200008 
MEV        ADEG       MEV        MEV        MB/SR      MB/SR      1375000200009 
  1.755     90.         8.5       0.5        -0.1165     0.0385   1375000200010 
  1.755     90.         9.5       0.5        -0.0382     0.0537   1375000200011 
  1.755     90.        10.5       0.5         0.1714     0.0600   1375000200012 
  1.755     90.        11.5       0.5         0.3730     0.0670   1375000200013 
  1.755     90.        13.0       1.0         0.4062     0.0533   1375000200014 
  1.755     90.        15.0       1.0         0.1355     0.0482   1375000200015 
  1.755     90.        17.0       1.0        -0.0015     0.0159   1375000200016 
  1.755     90.        19.0       1.0        -0.0141     0.0395   1375000200017 
  1.755     90.        21.5       1.5        -0.0081     0.0314   1375000200018 
  1.755     90.        24.5       1.5        -0.0728     0.0391   1375000200019 
  1.755    104.         8.5       0.5         0.0181     0.0942   1375000200020 
  1.755    104.         9.5       0.5         0.0090     0.1325   1375000200021 
  1.755    104.        10.5       0.5         0.1606     0.1529   1375000200022 
  1.755    104.        11.5       0.5         0.4780     0.1620   1375000200023 
  1.755    104.        13.0       1.0         0.4289     0.1261   1375000200024 
  1.755    104.        15.0       1.0         0.1652     0.1161   1375000200025 
  1.755    104.        17.0       1.0         0.0730     0.1081   1375000200026 
  1.755    104.        19.0       1.0         0.0527     0.1101   1375000200027 
  1.755    104.        21.5       1.5         0.0449     0.0922   1375000200028 
  1.755    104.        24.5       1.5         0.0406     0.0931   1375000200029 
  1.755    110.         8.5       0.5         0.0217     0.0711   1375000200030 
  1.755    110.         9.5       0.5        -0.0275     0.1009   1375000200031 
  1.755    110.        10.5       0.5         0.3671     0.1120   1375000200032 
  1.755    110.        11.5       0.5         0.2949     0.1195   1375000200033 
  1.755    110.        13.0       1.0         0.4323     0.0938   1375000200034 
  1.755    110.        15.0       1.0         0.2633     0.0896   1375000200035 
  1.755    110.        17.0       1.0         0.0383     0.0707   1375000200036 
  1.755    110.        19.0       1.0         0.1040     0.0883   1375000200037 
  1.755    110.        21.5       1.5         0.0934     0.0722   1375000200038 
  1.755    110.        24.5       1.5        -0.0412     0.0699   1375000200039 
  1.755    125.         8.5       0.5        -0.0328     0.0681   1375000200040 
  1.755    125.         9.5       0.5         0.0331     0.0945   1375000200041 
  1.755    125.        10.5       0.5         0.2092     0.1057   1375000200042 
  1.755    125.        11.5       0.5         0.2131     0.1123   1375000200043 
  1.755    125.        13.0       1.0         0.2986     0.0885   1375000200044 
  1.755    125.        15.0       1.0         0.4087     0.0891   1375000200045 
  1.755    125.        17.0       1.0         0.1145     0.0788   1375000200046 
  1.755    125.        19.0       1.0         0.1632     0.0860   1375000200047 
  1.755    125.        21.5       1.5         0.0646     0.0672   1375000200048 
  1.755    125.        24.5       1.5        -0.0568     0.0678   1375000200049 
  1.755    131.         8.5       0.5        -0.0135     0.0264   1375000200050 
  1.755    131.         9.5       0.5         0.0518     0.0357   1375000200051 
  1.755    131.        10.5       0.5         0.2930     0.0417   1375000200052 
  1.755    131.        11.5       0.5         0.3477     0.0458   1375000200053 
  1.755    131.        13.0       1.0         0.4196     0.0361   1375000200054 
  1.755    131.        15.0       1.0         0.3149     0.0354   1375000200055 
  1.755    131.        17.0       1.0         0.0971     0.0321   1375000200056 
  1.755    131.        19.0       1.0         0.0390     0.0304   1375000200057 
  1.755    131.        21.5       1.5         0.0045     0.0165   1375000200058 
  1.755    131.        24.5       1.5         0.0339     0.0278   1375000200059 
  1.755    150.         8.5       0.5         0.0401     0.0508   1375000200060 
  1.755    150.         9.5       0.5        -0.0131     0.0672   1375000200061 
  1.755    150.        10.5       0.5         0.1812     0.0823   1375000200062 
  1.755    150.        11.5       0.5         0.2878     0.0899   1375000200063 
  1.755    150.        13.0       1.0         0.3750     0.0690   1375000200064 
  1.755    150.        15.0       1.0         0.1905     0.0649   1375000200065 
  1.755    150.        17.0       1.0         0.1347     0.0648   1375000200066 
  1.755    150.        19.0       1.0         0.1106     0.0673   1375000200067 
  1.755    150.        21.5       1.5         0.0133     0.0433   1375000200068 
  1.755    150.        24.5       1.5         0.0054     0.0539   1375000200069 
  1.755    159.         8.5       0.5        -0.0633     0.0557   1375000200070 
  1.755    159.         9.5       0.5         0.0611     0.0761   1375000200071 
  1.755    159.        10.5       0.5         0.1913     0.0908   1375000200072 
  1.755    159.        11.5       0.5         0.1046     0.0907   1375000200073 
  1.755    159.        13.0       1.0         0.2782     0.0741   1375000200074 
  1.755    159.        15.0       1.0         0.0298     0.0584   1375000200075 
  1.755    159.        17.0       1.0         0.1480     0.0739   1375000200076 
  1.755    159.        19.0       1.0         0.0055     0.0424   1375000200077 
  1.755    159.        21.5       1.5         0.0147     0.0539   1375000200078 
  1.755    159.        24.5       1.5         0.0253     0.0601   1375000200079 
  1.955     90.         6.5       0.5         0.0668     0.0240   1375000200080 
  1.955     90.         7.5       0.5        -0.0197     0.0321   1375000200081 
  1.955     90.         8.5       0.5         0.0358     0.0363   1375000200082 
  1.955     90.         9.5       0.5         0.0873     0.0507   1375000200083 
  1.955     90.        10.5       0.5        -0.0389     0.0555   1375000200084 
  1.955     90.        11.5       0.5         0.2129     0.0641   1375000200085 
  1.955     90.        13.0       1.0         0.1530     0.0497   1375000200086 
  1.955     90.        15.0       1.0         0.0834     0.0465   1375000200087 
  1.955     90.        17.0       1.0         0.0429     0.0442   1375000200088 
  1.955     90.        19.0       1.0         0.0201     0.0430   1375000200089 
  1.955     90.        21.5       1.5         0.0800     0.0403   1375000200090 
  1.955     90.        24.5       1.5         0.0192     0.0369   1375000200091 
  1.955    104.         6.5       0.5        -0.0017     0.0671   1375000200092 
  1.955    104.         7.5       0.5         0.0482     0.0877   1375000200093 
  1.955    104.         8.5       0.5         0.0511     0.0966   1375000200094 
  1.955    104.         9.5       0.5        -0.1272     0.1372   1375000200095 
  1.955    104.        10.5       0.5        -0.1362     0.1530   1375000200096 
  1.955    104.        11.5       0.5         0.0915     0.1602   1375000200097 
  1.955    104.        13.0       1.0        -0.0562     0.1278   1375000200098 
  1.955    104.        15.0       1.0         0.0457     0.1262   1375000200099 
  1.955    104.        17.0       1.0        -0.0727     0.1240   1375000200100 
  1.955    104.        19.0       1.0         0.0029     0.0803   1375000200101 
  1.955    104.        21.5       1.5         0.0621     0.1047   1375000200102 
  1.955    104.        24.5       1.5         0.0078     0.0960   1375000200103 
  1.955    110.         6.5       0.5         0.0050     0.0438   1375000200104 
  1.955    110.         7.5       0.5        -0.1013     0.0546   1375000200105 
  1.955    110.         8.5       0.5        -0.0290     0.0615   1375000200106 
  1.955    110.         9.5       0.5         0.0635     0.0870   1375000200107 
  1.955    110.        10.5       0.5         0.0758     0.0943   1375000200108 
  1.955    110.        11.5       0.5         0.2055     0.1048   1375000200109 
  1.955    110.        13.0       1.0         0.2546     0.0807   1375000200110 
  1.955    110.        15.0       1.0         0.0725     0.0724   1375000200111 
  1.955    110.        17.0       1.0         0.0598     0.0710   1375000200112 
  1.955    110.        19.0       1.0         0.1203     0.0792   1375000200113 
  1.955    110.        21.5       1.5         0.0381     0.0596   1375000200114 
  1.955    110.        24.5       1.5         0.0456     0.0600   1375000200115 
  1.955    125.         6.5       0.5         0.0546     0.0395   1375000200116 
  1.955    125.         7.5       0.5         0.0048     0.0496   1375000200117 
  1.955    125.         8.5       0.5         0.0145     0.0578   1375000200118 
  1.955    125.         9.5       0.5        -0.0263     0.0817   1375000200119 
  1.955    125.        10.5       0.5         0.1356     0.0912   1375000200120 
  1.955    125.        11.5       0.5         0.0194     0.0822   1375000200121 
  1.955    125.        13.0       1.0         0.2358     0.0764   1375000200122 
  1.955    125.        15.0       1.0         0.0583     0.0687   1375000200123 
  1.955    125.        17.0       1.0         0.0469     0.0688   1375000200124 
  1.955    125.        19.0       1.0         0.0975     0.0758   1375000200125 
  1.955    125.        21.5       1.5         0.0457     0.0601   1375000200126 
  1.955    125.        24.5       1.5        -0.0331     0.0587   1375000200127 
  1.955    131.         6.5       0.5         0.0011     0.0273   1375000200128 
  1.955    131.         7.5       0.5         0.0446     0.0333   1375000200129 
  1.955    131.         8.5       0.5        -0.0450     0.0387   1375000200130 
  1.955    131.         9.5       0.5         0.0440     0.0523   1375000200131 
  1.955    131.        10.5       0.5         0.1985     0.0598   1375000200132 
  1.955    131.        11.5       0.5         0.3209     0.0665   1375000200133 
  1.955    131.        13.0       1.0         0.2062     0.0510   1375000200134 
  1.955    131.        15.0       1.0         0.2006     0.0507   1375000200135 
  1.955    131.        17.0       1.0         0.0078     0.0294   1375000200136 
  1.955    131.        19.0       1.0         0.0437     0.0489   1375000200137 
  1.955    131.        21.5       1.5         0.0002     0.0074   1375000200138 
  1.955    131.        24.5       1.5         0.0224     0.0399   1375000200139 
  1.955    150.         6.5       0.5        -0.0267     0.0521   1375000200140 
  1.955    150.         7.5       0.5         0.0853     0.0637   1375000200141 
  1.955    150.         8.5       0.5         0.0990     0.0741   1375000200142 
  1.955    150.         9.5       0.5         0.2187     0.0973   1375000200143 
  1.955    150.        10.5       0.5         0.1058     0.1147   1375000200144 
  1.955    150.        11.5       0.5         0.0303     0.1079   1375000200145 
  1.955    150.        13.0       1.0         0.2286     0.1006   1375000200146 
  1.955    150.        15.0       1.0         0.0359     0.0834   1375000200147 
  1.955    150.        17.0       1.0         0.0301     0.0883   1375000200148 
  1.955    150.        19.0       1.0         0.1203     0.1031   1375000200149 
  1.955    150.        21.5       1.5        -0.0471     0.0829   1375000200150 
  1.955    150.        24.5       1.5         0.0772     0.0792   1375000200151 
  1.955    159.         6.5       0.5        -0.0386     0.0568   1375000200152 
  1.955    159.         7.5       0.5        -0.0429     0.0715   1375000200153 
  1.955    159.         8.5       0.5         0.0264     0.0813   1375000200154 
  1.955    159.         9.5       0.5         0.1236     0.1108   1375000200155 
  1.955    159.        10.5       0.5         0.1409     0.1314   1375000200156 
  1.955    159.        11.5       0.5         0.1384     0.1358   1375000200157 
  1.955    159.        13.0       1.0         0.2278     0.1066   1375000200158 
  1.955    159.        15.0       1.0         0.3555     0.1045   1375000200159 
  1.955    159.        17.0       1.0         0.0492     0.0867   1375000200160 
  1.955    159.        19.0       1.0         0.0834     0.1048   1375000200161 
  1.955    159.        21.5       1.5         0.0587     0.0867   1375000200162 
  1.955    159.        24.5       1.5         0.1126     0.0864   1375000200163 
  2.743     90.         7.5       0.5         0.1440     0.0935   1375000200164 
  2.743     90.         8.5       0.5        -0.2357     0.1183   1375000200165 
  2.743     90.         9.5       0.5        -0.4640     0.1754   1375000200166 
  2.743     90.        10.5       0.5         1.4152     0.1990   1375000200167 
  2.743     90.        11.5       0.5         3.3024     0.2216   1375000200168 
  2.743     90.        13.0       1.0         4.8350     0.1727   1375000200169 
  2.743     90.        15.0       1.0         3.2909     0.1618   1375000200170 
  2.743     90.        17.0       1.0         1.7223     0.1470   1375000200171 
  2.743     90.        19.0       1.0         1.5245     0.1529   1375000200172 
  2.743     90.        21.5       1.5         1.2710     0.1236   1375000200173 
  2.743     90.        24.5       1.5         0.6561     0.1162   1375000200174 
  2.743     90.        27.5       1.5         0.4359     0.1151   1375000200175 
  2.743     90.        30.5       1.5         0.5283     0.1111   1375000200176 
  2.743     90.        34.5       2.5         0.4133     0.0837   1375000200177 
  2.743     90.        39.5       2.5         0.2879     0.0831   1375000200178 
  2.743     90.        44.5       2.5         0.2788     0.0818   1375000200179 
  2.743     90.        49.5       2.5         0.1949     0.0802   1375000200180 
  2.743     90.        62.0      10.          0.1253     0.0411   1375000200181 
  2.743     90.        82.0      10.          0.0556     0.0425   1375000200182 
  2.743     90.       102.0      10.          0.0631     0.0436   1375000200183 
  2.743     90.       132.0      20.          0.0698     0.0329   1375000200184 
  2.743     90.       172.0      20.          0.0133     0.0377   1375000200185 
  2.743     90.       212.0      20.         -0.0093     0.0420   1375000200186 
  2.743    104.         7.5       0.5        -0.1458     0.2140   1375000200187 
  2.743    104.         8.5       0.5         0.0704     0.2666   1375000200188 
  2.743    104.         9.5       0.5        -0.3474     0.3947   1375000200189 
  2.743    104.        10.5       0.5         1.8407     0.4550   1375000200190 
  2.743    104.        11.5       0.5         4.2201     0.4828   1375000200191 
  2.743    104.        13.0       1.0         4.4338     0.3768   1375000200192 
  2.743    104.        15.0       1.0         3.8212     0.3545   1375000200193 
  2.743    104.        17.0       1.0         1.7837     0.3166   1375000200194 
  2.743    104.        19.0       1.0         1.5851     0.3349   1375000200195 
  2.743    104.        21.5       1.5         0.6188     0.2526   1375000200196 
  2.743    104.        24.5       1.5         0.5245     0.2543   1375000200197 
  2.743    104.        27.5       1.5         0.6657     0.2571   1375000200198 
  2.743    104.        30.5       1.5         0.2002     0.2502   1375000200199 
  2.743    104.        34.5       2.5         0.0194     0.1868   1375000200200 
  2.743    104.        39.5       2.5         0.2402     0.1807   1375000200201 
  2.743    104.        44.5       2.5         0.3195     0.1783   1375000200202 
  2.743    104.        49.5       2.5         0.1766     0.1779   1375000200203 
  2.743    104.        62.0      10.         -0.0697     0.0904   1375000200204 
  2.743    104.        82.0      10.          0.0865     0.0937   1375000200205 
  2.743    104.       102.0      10.          0.0647     0.0964   1375000200206 
  2.743    104.       132.0      20.         -0.0142     0.0707   1375000200207 
  2.743    104.       172.0      20.          0.0412     0.0815   1375000200208 
  2.743    104.       212.0      20.          0.1780     0.0902   1375000200209 
  2.743    110.         7.5       0.5         0.1727     0.1572   1375000200210 
  2.743    110.         8.5       0.5         0.1826     0.2006   1375000200211 
  2.743    110.         9.5       0.5         0.3551     0.2979   1375000200212 
  2.743    110.        10.5       0.5         2.0492     0.3319   1375000200213 
  2.743    110.        11.5       0.5         3.7632     0.3702   1375000200214 
  2.743    110.        13.0       1.0         5.2124     0.2831   1375000200215 
  2.743    110.        15.0       1.0         3.0832     0.2684   1375000200216 
  2.743    110.        17.0       1.0         1.8574     0.2421   1375000200217 
  2.743    110.        19.0       1.0         1.5816     0.2478   1375000200218 
  2.743    110.        21.5       1.5         1.3299     0.2021   1375000200219 
  2.743    110.        24.5       1.5         0.6762     0.1925   1375000200220 
  2.743    110.        27.5       1.5         0.4393     0.1904   1375000200221 
  2.743    110.        30.5       1.5         0.6744     0.1823   1375000200222 
  2.743    110.        34.5       2.5         0.3515     0.1380   1375000200223 
  2.743    110.        39.5       2.5         0.1454     0.1387   1375000200224 
  2.743    110.        44.5       2.5         0.3774     0.1355   1375000200225 
  2.743    110.        49.5       2.5         0.1923     0.1333   1375000200226 
  2.743    110.        62.0      10.          0.0294     0.0685   1375000200227 
  2.743    110.        82.0      10.          0.0829     0.0704   1375000200228 
  2.743    110.       102.0      10.          0.1117     0.0713   1375000200229 
  2.743    110.       132.0      20.          0.0406     0.0535   1375000200230 
  2.743    110.       172.0      20.          0.0720     0.0605   1375000200231 
  2.743    110.       212.0      20.          0.1036     0.0683   1375000200232 
  2.743    125.         7.5       0.5         0.1840     0.1427   1375000200233 
  2.743    125.         8.5       0.5        -0.1004     0.1933   1375000200234 
  2.743    125.         9.5       0.5         0.1093     0.2838   1375000200235 
  2.743    125.        10.5       0.5         1.7310     0.3181   1375000200236 
  2.743    125.        11.5       0.5         3.3084     0.3496   1375000200237 
  2.743    125.        13.0       1.0         4.8269     0.2683   1375000200238 
  2.743    125.        15.0       1.0         3.8023     0.2600   1375000200239 
  2.743    125.        17.0       1.0         2.0488     0.2336   1375000200240 
  2.743    125.        19.0       1.0         1.4357     0.2344   1375000200241 
  2.743    125.        21.5       1.5         1.1580     0.1943   1375000200242 
  2.743    125.        24.5       1.5         0.6381     0.1860   1375000200243 
  2.743    125.        27.5       1.5         0.7449     0.1818   1375000200244 
  2.743    125.        30.5       1.5         0.1663     0.1805   1375000200245 
  2.743    125.        34.5       2.5         0.3203     0.1318   1375000200246 
  2.743    125.        39.5       2.5         0.1879     0.1324   1375000200247 
  2.743    125.        44.5       2.5         0.2791     0.1308   1375000200248 
  2.743    125.        49.5       2.5         0.0350     0.1306   1375000200249 
  2.743    125.        62.0      10.          0.0813     0.0654   1375000200250 
  2.743    125.        82.0      10.          0.1150     0.0659   1375000200251 
  2.743    125.       102.0      10.         -0.0307     0.0691   1375000200252 
  2.743    125.       132.0      20.          0.0531     0.0511   1375000200253 
  2.743    125.       172.0      20.          0.0339     0.0586   1375000200254 
  2.743    125.       212.0      20.         -0.0003     0.0652   1375000200255 
  2.743    131.         7.5       0.5         0.0960     0.0823   1375000200256 
  2.743    131.         8.5       0.5        -0.2000     0.1081   1375000200257 
  2.743    131.         9.5       0.5        -0.3433     0.1557   1375000200258 
  2.743    131.        10.5       0.5         1.8354     0.1812   1375000200259 
  2.743    131.        11.5       0.5         3.5868     0.2019   1375000200260 
  2.743    131.        13.0       1.0         5.0352     0.1542   1375000200261 
  2.743    131.        15.0       1.0         3.1526     0.1483   1375000200262 
  2.743    131.        17.0       1.0         2.1074     0.1366   1375000200263 
  2.743    131.        19.0       1.0         1.6880     0.1410   1375000200264 
  2.743    131.        21.5       1.5         1.4776     0.1140   1375000200265 
  2.743    131.        24.5       1.5         0.6113     0.1083   1375000200266 
  2.743    131.        27.5       1.5         0.7067     0.1069   1375000200267 
  2.743    131.        30.5       1.5         0.3821     0.1051   1375000200268 
  2.743    131.        34.5       2.5         0.4069     0.0790   1375000200269 
  2.743    131.        39.5       2.5         0.0949     0.0794   1375000200270 
  2.743    131.        44.5       2.5         0.2920     0.0767   1375000200271 
  2.743    131.        49.5       2.5         0.1644     0.0753   1375000200272 
  2.743    131.        62.0      10.          0.1547     0.0378   1375000200273 
  2.743    131.        82.0      10.          0.0382     0.0390   1375000200274 
  2.743    131.       102.0      10.          0.0514     0.0400   1375000200275 
  2.743    131.       132.0      20.          0.0474     0.0301   1375000200276 
  2.743    131.       172.0      20.          0.0488     0.0343   1375000200277 
  2.743    131.       212.0      20.          0.0477     0.0384   1375000200278 
  2.743    150.         7.5       0.5         0.0005     0.1590   1375000200279 
  2.743    150.         8.5       0.5        -0.1632     0.2035   1375000200280 
  2.743    150.         9.5       0.5         0.1687     0.2883   1375000200281 
  2.743    150.        10.5       0.5         2.0876     0.3456   1375000200282 
  2.743    150.        11.5       0.5         3.7805     0.3859   1375000200283 
  2.743    150.        13.0       1.0         4.9732     0.2949   1375000200284 
  2.743    150.        15.0       1.0         3.4559     0.2768   1375000200285 
  2.743    150.        17.0       1.0         1.7134     0.2567   1375000200286 
  2.743    150.        19.0       1.0         1.6366     0.2700   1375000200287 
  2.743    150.        21.5       1.5         1.4347     0.2183   1375000200288 
  2.743    150.        24.5       1.5         0.7663     0.2100   1375000200289 
  2.743    150.        27.5       1.5         0.7064     0.2147   1375000200290 
  2.743    150.        30.5       1.5         0.5338     0.2087   1375000200291 
  2.743    150.        34.5       2.5         0.2490     0.1562   1375000200292 
  2.743    150.        39.5       2.5         0.1678     0.1584   1375000200293 
  2.743    150.        44.5       2.5         0.1632     0.1570   1375000200294 
  2.743    150.        49.5       2.5         0.1651     0.1527   1375000200295 
  2.743    150.        62.0      10.          0.0974     0.0768   1375000200296 
  2.743    150.        82.0      10.         -0.0017     0.0796   1375000200297 
  2.743    150.       102.0      10.          0.0507     0.0810   1375000200298 
  2.743    150.       132.0      20.          0.0893     0.0598   1375000200299 
  2.743    150.       172.0      20.          0.1419     0.0674   1375000200300 
  2.743    150.       212.0      20.          0.0280     0.0765   1375000200301 
  2.743    159.         7.5       0.5        -0.0788     0.1778   1375000200302 
  2.743    159.         8.5       0.5        -0.2426     0.2229   1375000200303 
  2.743    159.         9.5       0.5        -0.0134     0.3132   1375000200304 
  2.743    159.        10.5       0.5         2.4368     0.3772   1375000200305 
  2.743    159.        11.5       0.5         4.4573     0.4005   1375000200306 
  2.743    159.        13.0       1.0         5.1151     0.3111   1375000200307 
  2.743    159.        15.0       1.0         3.8993     0.2916   1375000200308 
  2.743    159.        17.0       1.0         1.7841     0.2743   1375000200309 
  2.743    159.        19.0       1.0         1.8533     0.2846   1375000200310 
  2.743    159.        21.5       1.5         1.0261     0.2334   1375000200311 
  2.743    159.        24.5       1.5         0.9131     0.2250   1375000200312 
  2.743    159.        27.5       1.5         0.8915     0.2306   1375000200313 
  2.743    159.        30.5       1.5        -0.1583     0.2366   1375000200314 
  2.743    159.        34.5       2.5         0.2462     0.1755   1375000200315 
  2.743    159.        39.5       2.5         0.1171     0.1749   1375000200316 
  2.743    159.        44.5       2.5         0.4109     0.1684   1375000200317 
  2.743    159.        49.5       2.5         0.0111     0.1742   1375000200318 
  2.743    159.        62.0      10.          0.0911     0.0854   1375000200319 
  2.743    159.        82.0      10.         -0.0578     0.0875   1375000200320 
  2.743    159.       102.0      10.          0.0007     0.0887   1375000200321 
  2.743    159.       132.0      20.          0.0011     0.0663   1375000200322 
  2.743    159.       172.0      20.         -0.0132     0.0753   1375000200323 
  2.743    159.       212.0      20.          0.0092     0.0850   1375000200324 
  4.179     90.         8.5       0.5         0.0265     0.0620   1375000200325 
  4.179     90.         9.5       0.5         0.0537     0.0739   1375000200326 
  4.179     90.        10.5       0.5        -0.0303     0.0844   1375000200327 
  4.179     90.        11.5       0.5        -0.0293     0.1136   1375000200328 
  4.179     90.        13.0       1.0        -0.0059     0.0835   1375000200329 
  4.179     90.        15.0       1.0        -0.0435     0.0930   1375000200330 
  4.179     90.        17.0       1.0         0.2092     0.1029   1375000200331 
  4.179     90.        19.0       1.0         0.2230     0.1155   1375000200332 
  4.179     90.        21.5       1.5         0.7714     0.1013   1375000200333 
  4.179     90.        24.5       1.5         1.4342     0.0952   1375000200334 
  4.179     90.        27.5       1.5         1.5036     0.0988   1375000200335 
  4.179     90.        30.5       1.5         1.5903     0.0964   1375000200336 
  4.179     90.        34.5       2.5         1.1715     0.0720   1375000200337 
  4.179     90.        39.5       2.5         1.2072     0.0702   1375000200338 
  4.179     90.        44.5       2.5         0.8511     0.0682   1375000200339 
  4.179     90.        49.5       2.5         0.7692     0.0661   1375000200340 
  4.179     90.        62.0      10.          0.6503     0.0329   1375000200341 
  4.179     90.        82.0      10.          0.4455     0.0334   1375000200342 
  4.179     90.       102.0      10.          0.4201     0.0337   1375000200343 
  4.179     90.       132.0      20.          0.3586     0.0249   1375000200344 
  4.179     90.       172.0      20.          0.2970     0.0283   1375000200345 
  4.179     90.       212.0      20.          0.2172     0.0312   1375000200346 
  4.179    104.         8.5       0.5        -0.1833     0.1357   1375000200347 
  4.179    104.         9.5       0.5         0.0734     0.1541   1375000200348 
  4.179    104.        10.5       0.5         0.0854     0.1807   1375000200349 
  4.179    104.        11.5       0.5        -0.1790     0.2409   1375000200350 
  4.179    104.        13.0       1.0        -0.2282     0.1794   1375000200351 
  4.179    104.        15.0       1.0         0.1678     0.1918   1375000200352 
  4.179    104.        17.0       1.0         0.3948     0.2059   1375000200353 
  4.179    104.        19.0       1.0         0.3006     0.2339   1375000200354 
  4.179    104.        21.5       1.5         0.8921     0.2054   1375000200355 
  4.179    104.        24.5       1.5         1.5869     0.2014   1375000200356 
  4.179    104.        27.5       1.5         1.7746     0.2105   1375000200357 
  4.179    104.        30.5       1.5         1.6075     0.2083   1375000200358 
  4.179    104.        34.5       2.5         1.2760     0.1517   1375000200359 
  4.179    104.        39.5       2.5         1.3018     0.1486   1375000200360 
  4.179    104.        44.5       2.5         0.9720     0.1471   1375000200361 
  4.179    104.        49.5       2.5         0.7006     0.1422   1375000200362 
  4.179    104.        62.0      10.          0.6456     0.0689   1375000200363 
  4.179    104.        82.0      10.          0.4244     0.0707   1375000200364 
  4.179    104.       102.0      10.          0.3707     0.0714   1375000200365 
  4.179    104.       132.0      20.          0.2216     0.0515   1375000200366 
  4.179    104.       172.0      20.          0.2615     0.0587   1375000200367 
  4.179    104.       212.0      20.          0.2045     0.0660   1375000200368 
  4.179    110.         8.5       0.5         0.0144     0.1030   1375000200369 
  4.179    110.         9.5       0.5         0.0243     0.1191   1375000200370 
  4.179    110.        10.5       0.5         0.0038     0.1315   1375000200371 
  4.179    110.        11.5       0.5        -0.0770     0.1790   1375000200372 
  4.179    110.        13.0       1.0         0.1773     0.1350   1375000200373 
  4.179    110.        15.0       1.0         0.0295     0.1214   1375000200374 
  4.179    110.        17.0       1.0         0.0645     0.1493   1375000200375 
  4.179    110.        19.0       1.0         0.2301     0.1820   1375000200376 
  4.179    110.        21.5       1.5         0.9982     0.1578   1375000200377 
  4.179    110.        24.5       1.5         1.7992     0.1519   1375000200378 
  4.179    110.        27.5       1.5         1.7317     0.1595   1375000200379 
  4.179    110.        30.5       1.5         1.8096     0.1557   1375000200380 
  4.179    110.        34.5       2.5         1.5146     0.1157   1375000200381 
  4.179    110.        39.5       2.5         1.0205     0.1128   1375000200382 
  4.179    110.        44.5       2.5         0.9407     0.1096   1375000200383 
  4.179    110.        49.5       2.5         0.7958     0.1061   1375000200384 
  4.179    110.        62.0      10.          0.6683     0.0530   1375000200385 
  4.179    110.        82.0      10.          0.4628     0.0540   1375000200386 
  4.179    110.       102.0      10.          0.3942     0.0547   1375000200387 
  4.179    110.       132.0      20.          0.3797     0.0397   1375000200388 
  4.179    110.       172.0      20.          0.2865     0.0440   1375000200389 
  4.179    110.       212.0      20.          0.2018     0.0493   1375000200390 
  4.179    125.         8.5       0.5        -0.0103     0.1008   1375000200391 
  4.179    125.         9.5       0.5         0.0217     0.1125   1375000200392 
  4.179    125.        10.5       0.5         0.0516     0.1226   1375000200393 
