ENTRY            13787   20140416                             14011378700000001 
SUBENT        13787001   20140416                             14011378700100001 
BIB                 14         31                                 1378700100002 
INSTITUTE  (1USALRL,1USALAS)                                      1378700100003 
REFERENCE  (J,PR/C,65,021601,200202)                              1378700100004 
           (J,NSTS,2,620,2002)                                    1378700100005 
AUTHOR     (L.A.Bernstein,J.A.Becker,P.E.Garrett,W.Younes,        1378700100006 
           D.P.McNabb,D.E.Archer,C.A.McGrath,H.Chen,W.E.Ormand,   1378700100007 
           M.A.Stoyer,R.O.Nelson,M.B.Chadwick,G.D.Johns,          1378700100008 
           W.S.Wilburn,M.Devlin,D.M.Drake,P.G.Young)              1378700100009 
TITLE      239Pu(n,2n)238Pu cross section deduced using a         1378700100010 
            combination of experiment and theory                  1378700100011 
FACILITY   (MESON,1USALAS) LANSCE/WNR facility.                   1378700100012 
INC-SOURCE (SPALL) Protons on tungsten target.                    1378700100013 
SAMPLE     Two 98.014% enriched 239Pu targets, 0.0277- and        1378700100014 
            0.0500-cm thick.                                      1378700100015 
METHOD     (TOF). 20.34-m flight path.                            1378700100016 
DETECTOR   (GE-IN) GEANIE spectrometer, consisting of 15 coaxial  1378700100017 
            Ge detectors (9 Compton suppressed), and 11 planar    1378700100018 
            Compton suppressed Ge detectors.                      1378700100019 
MONITOR    Detector array efficiency measured using set of        1378700100020 
            calibrated sources.                                   1378700100021 
           Neutron fluence measured using fission chambers        1378700100022 
            containing 235U and 238U.                             1378700100023 
CORRECTION Corrected for deadtime and background.                 1378700100024 
ERR-ANALYS (DATA-ERR) Contributions to uncertainty not given.     1378700100025 
           (ERR-1) Uncertainty due to gamma-ray statistics and    1378700100026 
            peak-fitting.                                         1378700100027 
STATUS     (TABLE) Data received by e-mail from L. Bernstein,     1378700100028 
            16 April 2002.                                        1378700100029 
           No reply from L. Bernstein to author proof.            1378700100030 
HISTORY    (20020417C)                                            1378700100031 
           (20050918C) DR Second reference added                  1378700100032 
           (20140416U) SD: Ref. C, 2001TSUKUB, 1-> J, NSTS, 2.    1378700100033 
ENDBIB              31          0                                 1378700100034 
NOCOMMON             0          0                                 1378700100035 
ENDSUBENT           34          0                                 1378700199999 
SUBENT        13787002   20020417                             00001378700200001 
BIB                  1          1                                 1378700200002 
REACTION   (94-PU-239(N,2N)94-PU-238,PAR,SIG,G)                   1378700200003 
ENDBIB               1          0                                 1378700200004 
NOCOMMON             0          0                                 1378700200005 
DATA                 6        400                                 1378700200006 
E          EN         EN-ERR     DATA       DATA-ERR   ERR-1      1378700200007 
KEV        MEV        MEV        B          B          B          1378700200008 
 154.4        1.321      0.018      0.0379     0.0083     0.0077  1378700200009 
 154.4        1.365      0.019      0.0287     0.0077     0.0073  1378700200010 
 154.4        1.409      0.019      0.0153     0.0069     0.0068  1378700200011 
 154.4        1.455      0.021      0.0255     0.0069     0.0065  1378700200012 
 154.4        1.504      0.022      0.0217     0.0065     0.0063  1378700200013 
 154.4        1.556      0.023      0.0166     0.0063     0.0061  1378700200014 
 154.4        1.610      0.024      0.0215     0.0062     0.0059  1378700200015 
 154.4        1.667      0.025      0.0147     0.0060     0.0059  1378700200016 
 154.4        1.728      0.027      0.0201     0.0060     0.0058  1378700200017 
 154.4        1.792      0.028      0.0158     0.0057     0.0055  1378700200018 
 154.4        1.858      0.029      0.0237     0.0056     0.0052  1378700200019 
 154.4        1.929      0.032      0.0159     0.0053     0.0052  1378700200020 
 154.4        2.004      0.033      0.0122     0.0052     0.0051  1378700200021 
 154.4        2.084      0.035      0.0138     0.0053     0.0052  1378700200022 
 154.4        2.169      0.037      0.0178     0.0051     0.0049  1378700200023 
 154.4        2.259      0.040      0.0151     0.0049     0.0047  1378700200024 
 154.4        2.354      0.042      0.0106     0.0047     0.0046  1378700200025 
 154.4        2.455      0.045      0.0035     0.0046     0.0046  1378700200026 
 154.4        2.564      0.048      0.0131     0.0049     0.0048  1378700200027 
 154.4        2.680      0.052      0.0078     0.0047     0.0046  1378700200028 
 154.4        2.802      0.055      0.0154     0.0048     0.0047  1378700200029 
 154.4        2.938      0.060      0.0032     0.0047     0.0047  1378700200030 
 154.4        3.078      0.063      0.0038     0.0043     0.0042  1378700200031 
 154.4        3.231      0.068      0.0118     0.0044     0.0043  1378700200032 
 154.4        3.396      0.074      0.0056     0.0045     0.0045  1378700200033 
 154.4        3.574      0.079      0.0078     0.0044     0.0044  1378700200034 
 154.4        3.766      0.086      0.0075     0.0040     0.0040  1378700200035 
 154.4        3.973      0.093      0.0071     0.0040     0.0039  1378700200036 
 154.4        4.200      0.101      0.0031     0.0038     0.0037  1378700200037 
 154.4        4.445      0.110      0.0057     0.0038     0.0038  1378700200038 
 154.4        4.713      0.119      0.0066     0.0035     0.0035  1378700200039 
 154.4        5.001      0.132     -0.0038     0.0030     0.0029  1378700200040 
 154.4        5.325      0.144      0.0022     0.0029     0.0029  1378700200041 
 154.4        5.678      0.159     -0.0030     0.0029     0.0028  1378700200042 
 154.4        6.064      0.176      0.0025     0.0030     0.0029  1378700200043 
