ENTRY            12716   19830330                             00001271600000001 
SUBENT        12716001   19830330                             00001271600100001 
BIB                 13         26                                 1271600100002 
INSTITUTE  (1USATNL)                                              1271600100003 
REFERENCE  (J,NSE,80,388,8203)                                    1271600100004 
           (W,DAVE,8111)                                          1271600100005 
AUTHOR     (J.H.DAVE,C.R.GOULD,L.W.SEAGONDOLLAR,S.G.GLENDENNING,  1271600100006 
           C.R.HOWELL,R.S.PEDRONI,F.O.PURSER,R.L.WALTER)          1271600100007 
TITLE      NEUTRON ELASTIC AND INELASTIC SCATTERING CROSS SECTIONS1271600100008 
            FOR CARBON-13 BETWEEN 10 AND 18 MEV.                  1271600100009 
N-SOURCE   (D-D) PULSED DEUTERONS ON TWO ATMOSPHERE DEUTERIUM GAS.1271600100010 
SAMPLE     COMPRESSED C-13 POWDER IN STAINLESS STEEL CAN. ENRICHED1271600100011 
            TO 99-PERCENT C-13.                                   1271600100012 
DETECTOR   (SCIN) TWO MASSIVELY SHIELDED ORGANIC NE-218           1271600100013 
            SCINTILLATION DETECTORS LOCATED 3.76 AND 5.68 METERS  1271600100014 
            FROM SAMPLE.                                          1271600100015 
MONITOR    POLYETHYLENE USED FOR NORMALIZATION                    1271600100016 
METHOD     (TOF). BLANK SAMPLE CAN USED FOR BACKGROUND            1271600100017 
            MEASUREMENTS.                                         1271600100018 
CORRECTION CORRECTIONS MADE FOR FINITE GEOMETRY, SOURCE EFFECTS,  1271600100019 
            AND MULIPLE SCATTERING.                               1271600100020 
ERR-ANALYS (ERR-T) TOTAL ERROR CONSISTS OF ANGLE INDEPENDENT ERROR1271600100021 
            AND UNCERTAINTIES IN-                                 1271600100022 
            -COUNTING STATISTICS, 0.9 TO 5 PERCENT                1271600100023 
            -MULTIPLE SCATTERING AND FINITE GEOMETRY CORRECTIONS, 1271600100024 
             LESS THAN 1-PERCENT.                                 1271600100025 
STATUS     (APRVD) APPROVED BY J.H.DAVE, 82/4/23.                 1271600100026 
HISTORY    (811215C)                                              1271600100027 
           (830330U) ERR-ANALYS MOVED TO PROPER SUBENTRIES.       1271600100028 
ENDBIB              26          0                                 1271600100029 
NOCOMMON             0          0                                 1271600100030 
ENDSUBENT           29          0                                 1271600199999 
SUBENT        12716002   19830928                             00001271600200001 
BIB                  3          9                                 1271600200002 
REACTION   (6-C-13(N,EL)6-C-13,,DA)                               1271600200003 
ERR-ANALYS (ERR-1) ANGLE INDEPENDENT ERROR DUE TO UNCERTAINTIES IN1271600200004 
            -HYDROGEN SCATTERING YIELD, 1 TO 4 PERCENT            1271600200005 
            -HYDROGEN SCATTERING CROSS SECTION, LESS THAN         1271600200006 
             1-PERCENT                                            1271600200007 
            -FINITE SIZE CORRECTION FOR MONITOR, LESS THAN        1271600200008 
             1-PERCENT                                            1271600200009 
            -RELATIVE DETECTOR EFFICIENCIES, UP TO 6-PERCENT      1271600200010 
HISTORY    (830928A) CORRECTED DATA HEADING.                      1271600200011 
ENDBIB               9          0                                 1271600200012 
NOCOMMON             0          0                                 1271600200013 
DATA                 5        155                                 1271600200014 
EN         ANG        DATA       ERR-T      ERR-1                 1271600200015 
MEV        ADEG       MB/SR      MB/SR      PER-CENT              1271600200016 
  9.966       0.00      384.02     6.84      3.49                 1271600200017 
  9.966      21.76      304.62     4.13      3.49                 1271600200018 
  9.966      24.32      280.07     3.36      3.49                 1271600200019 
  9.966      26.90      253.79     2.89      3.49                 1271600200020 
  9.966      29.47      233.08     3.50      3.49                 1271600200021 
  9.966      32.04      204.60     2.96      3.49                 1271600200022 
  9.966      34.61      183.20     3.23      3.49                 1271600200023 
  9.966      37.20      158.70     2.61      3.49                 1271600200024 
  9.966      42.33      115.10     2.41      3.49                 1271600200025 
  9.966      47.40       79.48     2.00      3.49                 1271600200026 
  9.966      52.42       48.46     1.40      3.49                 1271600200027 
  9.966      57.36       29.32     1.05      3.49                 1271600200028 
  9.966      62.39       13.49     0.56      3.49                 1271600200029 
  9.966      68.27        4.79     0.19      3.49                 1271600200030 
  9.966      75.05        5.60     0.52      3.49                 1271600200031 
  9.966      80.38       11.35     0.41      3.49                 1271600200032 
  9.966      85.15       16.17     0.74      3.49                 1271600200033 
  9.966      89.93       25.63     0.65      3.49                 1271600200034 
  9.966      94.73       34.75     0.43      3.49                 1271600200035 
  9.966      99.54       39.37     0.89      3.49                 1271600200036 
  9.966     104.36       42.64     0.89      3.49                 1271600200037 
  9.966     109.17       42.71     0.82      3.49                 1271600200038 
  9.966     113.94       41.86     0.54      3.49                 1271600200039 
  9.966     118.71       37.22     0.77      3.49                 1271600200040 
  9.966     123.46       33.70     0.49      3.49                 1271600200041 
  9.966     128.21       29.18     0.44      3.49                 1271600200042 
  9.966     132.96       26.03     0.62      3.49                 1271600200043 
  9.966     137.77       23.25     0.52      3.49                 1271600200044 
  9.966     142.58       19.76     0.30      3.49                 1271600200045 
  9.966     147.38       19.82     0.46      3.49                 1271600200046 
  9.966     152.11       21.77     0.61      3.49                 1271600200047 
  9.966     158.58       27.65     0.57      3.49                 1271600200048 
 11.956       0.0       652.49    11.61      3.52                 1271600200049 
 11.956      21.75      438.23     5.52      3.52                 1271600200050 
 11.956      24.32      401.84     5.37      3.52                 1271600200051 
 11.956      26.89      360.90     4.64      3.52                 1271600200052 
 11.956      29.47      321.30     4.93      3.52                 1271600200053 
 11.956      32.06      277.07     4.10      3.52                 1271600200054 
 11.956      34.63      241.35     4.77      3.52                 1271600200055 
 11.956      37.21      199.26     3.42      3.52                 1271600200056 
 11.956      42.35      140.13     3.00      3.52                 1271600200057 
 11.956      47.47       91.66     2.12      3.52                 1271600200058 
 11.956      52.60       55.62     1.62      3.52                 1271600200059 
 11.956      57.83       31.41     0.82      3.52                 1271600200060 
 11.956      63.35       18.64     0.61      3.52                 1271600200061 
 11.956      69.15       14.91     0.54      3.52                 1271600200062 
 11.956      74.69       18.36     0.62      3.52                 1271600200063 
 11.956      79.84       24.61     0.74      3.52                 1271600200064 
 11.956      84.82       30.99     0.76      3.52                 1271600200065 
 11.956      89.74       35.28     0.81      3.52                 1271600200066 
 11.956      94.64       40.80     0.55      3.52                 1271600200067 
 11.956      99.51       42.75     0.83      3.52                 1271600200068 
 11.956     104.36       43.15     0.83      3.52                 1271600200069 
 11.956     109.18       41.96     0.76      3.52                 1271600200070 
 11.956     113.97       39.60     0.77      3.52                 1271600200071 
 11.956     118.75       34.98     0.74      3.52                 1271600200072 
 11.956     123.53       29.46     0.63      3.52                 1271600200073 
 11.956     128.33       25.02     0.59      3.52                 1271600200074 
 11.956     133.17       22.52     0.52      3.52                 1271600200075 
 11.956     138.03       22.43     0.54      3.52                 1271600200076 
 11.956     142.84       22.74     0.56      3.52                 1271600200077 
 11.956     147.55       26.33     0.62      3.52                 1271600200078 
 11.956     152.18       29.56     0.69      3.52                 1271600200079 
 11.956     157.64       33.89     0.78      3.52                 1271600200080 
 13.944       0.00      740.00    13.17      3.73                 1271600200081 
 13.944      21.56      483.37     7.98      3.73                 1271600200082 
 13.944      24.09      437.55     7.57      3.73                 1271600200083 
 13.944      26.68      376.43     5.93      3.73                 1271600200084 
 13.944      29.23      331.46     6.08      3.73                 1271600200085 
 13.944      31.81      280.48     6.44      3.73                 1271600200086 
 13.944      34.40      223.96     7.01      3.73                 1271600200087 
 13.944      36.99      194.97     3.38      3.73                 1271600200088 
 13.944      42.20      136.04     3.50      3.73                 1271600200089 
 13.944      47.46       80.67     1.95      3.73                 1271600200090 
 13.944      52.78       53.52     1.33      3.73                 1271600200091 
 13.944      58.15       36.78     0.85      3.73                 1271600200092 
 13.944      63.53       27.08     0.88      3.73                 1271600200093 
 13.944      68.88       23.71     0.74      3.73                 1271600200094 
 13.944      74.16       24.21     0.46      3.73                 1271600200095 
 13.944      79.38       23.83     0.78      3.73                 1271600200096 
 13.944      84.49       25.89     0.91      3.73                 1271600200097 
 13.944      89.51       27.39     0.82      3.73                 1271600200098 
 13.944      94.47       28.43     0.53      3.73                 1271600200099 
 13.944      99.35       30.51     0.81      3.73                 1271600200100 
 13.944     104.21       28.10     0.81      3.73                 1271600200101 
 13.944     109.05       27.59     0.71      3.73                 1271600200102 
 13.944     113.84       26.26     0.74      3.73                 1271600200103 
 13.944     118.62       20.95     0.64      3.73                 1271600200104 
