ENTRY            10409   20030207                             00001040900000001 
SUBENT        10409001   20030207                             00001040900100001 
BIB                 10         32                                 1040900100002 
INSTITUTE  (1USAKTY)                                              1040900100003 
REFERENCE  (J,PR/C,18,2520,197812)                                1040900100004 
           (T,GLASGOW,1974)                                       1040900100005 
           (C,76LOWELL,,171,197607)                               1040900100006 
AUTHOR     (G.P.Glasgow,F.D.Mc Daniel,J.L.Weil,J.D.Brandenberger, 1040900100007 
           M.T.Mc Ellistrem)                                      1040900100008 
TITLE      Level and decay scheme studies in 92Zr and 94Zr via    1040900100009 
            (n,n'gamma) reactions                                 1040900100010 
FACILITY   (VDG,1USAKTY) 6 MeV Van de Graaff accelerator          1040900100011 
DETECTOR   (GELI) 35-cm**3 cylinder with paraffin-lead-Li2CO3.    1040900100012 
            shield and 50-cm long tungsten shadow bar.            1040900100013 
           (LONGC) Hansen-McKibben long counter for incident      1040900100014 
            neutron flux.                                         1040900100015 
MONITOR    (26-FE-56(N,INL)26-FE-56,PAR,DA,G) 90 degree, 847 keV  1040900100016 
            gamma production cross section used to normalize data 1040900100017 
CORRECTION Corrected for:                                         1040900100018 
           . deadtime,                                            1040900100019 
           . attenuation,                                         1040900100020 
           . multiple scattering,                                 1040900100021 
           . absorbtion of emmited radiation by sample,           1040900100022 
           . yield enhancement due to secondary inelastic         1040900100023 
             scattering,                                          1040900100024 
           . sample size effects.                                 1040900100025 
STATUS     (APRVD) Approved by G.P.Glasgow, 1979/6/1.             1040900100026 
           Data received from Glasgow on magnetic tape, February  1040900100027 
            1977.                                                 1040900100028 
HISTORY    (19770810C)                                            1040900100029 
           (19780405U) REFERENCE corrected                        1040900100030 
           (19781026A) MONITOR corrected                          1040900100031 
           (19790201A) REFERENCE update, BIB additions            1040900100032 
           (19830531A) Reference type corrected.                  1040900100033 
           (20030207A) Updated to new date formats, lower case.   1040900100034 
ENDBIB              32          0                                 1040900100035 
COMMON               1          3                                 1040900100036 
E-NRM                                                             1040900100037 
KEV                                                               1040900100038 
 847.                                                             1040900100039 
ENDCOMMON            3          0                                 1040900100040 
ENDSUBENT           39          0                                 1040900199999 
SUBENT        10409002   20030207                             00001040900200001 
BIB                  3         12                                 1040900200002 
REACTION   (40-ZR-92(N,INL)40-ZR-92,PAR,DA,G)                     1040900200003 
ERR-ANALYS Errors in data due to:                                 1040900200004 
           . detector efficiency (2-4%),                          1040900200005 
           . monitor and electronic stability (2%),               1040900200006 
           . gamma absorbtion by sample (1%),                     1040900200007 
           . multiple scattering and attenuation of beam (3-4%),  1040900200008 
           . uncertainty of monitor (8%).                         1040900200009 
           (DATA-ERR1) Includes 1% electronics monitoring system  1040900200010 
            error plus statistical error.                         1040900200011 
           (DATA-ERR2) Includes above errors plus normalization   1040900200012 
            errors.                                               1040900200013 
HISTORY    (19781026A) REACTION corrected                         1040900200014 
ENDBIB              12          0                                 1040900200015 
COMMON               1          3                                 1040900200016 
ANG                                                               1040900200017 
ADEG                                                              1040900200018 
 90.                                                              1040900200019 
ENDCOMMON            3          0                                 1040900200020 
DATA                 5        628                                 1040900200021 
E          EN         DATA       DATA-ERR1  DATA-ERR2             1040900200022 
KEV        MEV        MB/SR      MB/SR      MB/SR                 1040900200023 
  257.3      2.85        0.39      0.14       0.15                1040900200024 
  257.3      2.90        0.42      0.14       0.15                1040900200025 
  257.3      2.95        0.30      0.14       0.14                1040900200026 
  257.3      3.00        0.74      0.14       0.16                1040900200027 
  257.3      3.05        0.70      0.14       0.16                1040900200028 
  257.3      3.10        0.76      0.14       0.16                1040900200029 
  257.3      3.15        0.86      0.15       0.17                1040900200030 
  257.3      3.20        0.89      0.14       0.17                1040900200031 
  257.3      3.25        0.81      0.15       0.17                1040900200032 
  257.3      3.30        0.87      0.13       0.16                1040900200033 
  257.3      3.35        1.05      0.13       0.17                1040900200034 
  257.3      3.40        0.93      0.13       0.16                1040900200035 
  257.3      3.45        0.89      0.12       0.15                1040900200036 
  257.3      3.50        0.97      0.12       0.16                1040900200037 
  257.3      3.55        0.86      0.13       0.16                1040900200038 
  257.3      3.60        0.71      0.12       0.14                1040900200039 
  257.3      3.65        0.79      0.11       0.14                1040900200040 
  257.3      3.70        0.77      0.10       0.13                1040900200041 
  379.6      3.50        0.44      0.14       0.15                1040900200042 
  379.6      3.55        0.64      0.14       0.16                1040900200043 
  379.6      3.60        0.51      0.14       0.15                1040900200044 
  379.6      3.65        0.56      0.14       0.16                1040900200045 
  379.6      3.70        0.61      0.11       0.13                1040900200046 
  403.8      2.85        0.21      0.16       0.16                1040900200047 
  403.8      2.90        0.46      0.17       0.18                1040900200048 
  403.8      2.95        0.38      0.18       0.19                1040900200049 
  403.8      3.00        0.50      0.17       0.18                1040900200050 
  403.8      3.05        0.53      0.18       0.19                1040900200051 
  403.8      3.10        0.71      0.16       0.18                1040900200052 
  403.8      3.15        0.84      0.17       0.18                1040900200053 
  403.8      3.20        0.63      0.18       0.19                1040900200054 
  403.8      3.25        0.50      0.17       0.18                1040900200055 
  403.8      3.30        0.71      0.17       0.18                1040900200056 
  403.8      3.35        0.80      0.16       0.18                1040900200057 
  403.8      3.40        0.65      0.16       0.17                1040900200058 
  403.8      3.45        0.75      0.14       0.16                1040900200059 
  403.8      3.50        0.80      0.14       0.17                1040900200060 
  403.8      3.55        0.70      0.14       0.16                1040900200061 
  403.8      3.60        0.57      0.15       0.16                1040900200062 
  403.8      3.65        0.86      0.14       0.16                1040900200063 
  403.8      3.70        0.62      0.12       0.13                1040900200064 
  447.8      2.22        9.7       0.3        1.0                 1040900200065 
  447.8      2.30        9.2       0.4        1.0                 1040900200066 
  447.8      2.35        9.9       0.4        1.1                 1040900200067 
  447.8      2.45        9.4       0.4        1.0                 1040900200068 
  447.8      2.50        8.6       0.7        1.1                 1040900200069 
  447.8      2.55        9.0       0.4        1.0                 1040900200070 
  447.8      2.60        9.9       0.3        1.1                 1040900200071 
  447.8      2.65        9.8       0.3        1.0                 1040900200072 
  447.8      2.70        9.9       0.2        1.1                 1040900200073 
  447.8      2.80        9.5       0.2        1.0                 1040900200074 
  447.8      2.85        9.7       0.2        1.0                 1040900200075 
  447.8      2.90       10.0       0.3        1.1                 1040900200076 
  447.8      2.95       10.3       0.3        1.1                 1040900200077 
  447.8      3.00        9.7       0.2        1.0                 1040900200078 
