ENTRY            14347   20121106                             13871434700000001 
SUBENT        14347001   20121106                             13871434700100001 
BIB                 10         38                                 1434700100002 
TITLE      Measurement of neutron-induced proton-production       1434700100003 
           energy spectra with NE213 scintillator                 1434700100004 
AUTHOR     (T.Kajimoto,N.Shigyo,K.Ishibashi,H.Arakawa,R.C.Haight, 1434700100005 
           N.Fotiades)                                            1434700100006 
INSTITUTE  (2JPNKYU,1USALAS)                                      1434700100007 
REFERENCE  (J,RM,47,596,2012)                                     1434700100008 
FACILITY   (LINAC,1USALAS) Experiment was performed at the        1434700100009 
           4FP15L beam line at the Weapons Neutron Research       1434700100010 
           facility of the Los Alamos Neutron Science Center.     1434700100011 
DETECTOR   (TELES,SCIN,SCIN) Protons emitted from the target      1434700100012 
           were measured with three DE-E detectors. Each DE-E     1434700100013 
           detector was constructed with a 15 15 cm2 and 1.0 cm   1434700100014 
           thick NE102A scintillator and a NE213 scintillator     1434700100015 
           with diameter of 12.7 cm and 12.7 cm thickness.The     1434700100016 
           dE-E detectors were placed at 15, 30, and 60deg        1434700100017 
           with respect to the neutron beam direction.            1434700100018 
           (IOCH) A fission ionization chamber with 238U target   1434700100019 
            was used to determine incident neutron flux.          1434700100020 
METHOD     (TOF) Time of flight method was used to measure        1434700100021 
           incident neutron energy                                1434700100022 
           (EDE) Emitted protons were identified using E-dE method1434700100023 
INC-SOURCE (SPALL) Incident neutrons were produced by a pulsed    1434700100024 
           800 MeV proton beam from a linear accelerator on a     1434700100025 
           thick water-cooled tungsten spallation target (Target- 1434700100026 
           4). Continuous energetic neutrons from Target-4 were   1434700100027 
           delivered at 15deg with respect to the proton beam.    1434700100028 
           An absorber consisting of 10.2 cm thick polyethylene   1434700100029 
           and 3.8 cm thick copper was inserted in the beam just  1434700100030 
           downstream of the shutter to reduce the number of low  1434700100031 
           energy neutrons                                        1434700100032 
ERR-ANALYS (ERR-T) Total uncertainty                              1434700100033 
           (ERR-1) Systematic uncertainty caused by neutrons      1434700100034 
                   from preceding micropulses                     1434700100035 
           (ERR-2) Systematic uncertainty in 238U fission cross   1434700100036 
                   section used for incident neutron flux         1434700100037 
                   determination                                  1434700100038 
           (ERR-3) Systematic uncertainty in detection efficiency 1434700100039 
HISTORY    (20121106C) Compiled by S.H.                           1434700100040 
ENDBIB              38          0                                 1434700100041 
COMMON               3          3                                 1434700100042 
ERR-1      ERR-2      ERR-3                                       1434700100043 
PER-CENT   PER-CENT   PER-CENT                                    1434700100044 
  1.0        10.0       10.0                                      1434700100045 
ENDCOMMON            3          0                                 1434700100046 
ENDSUBENT           45          0                                 1434700199999 
SUBENT        14347002   20121106                             13871434700200001 
BIB                  3          6                                 1434700200002 
REACTION   (6-C-12(N,X)1-H-1,,PY/DA/DE,,AV)                       1434700200003 
STATUS     (TABLE) Data presented in fig. 13,14 sent by           1434700200004 
           author (T.K.) Not all incident neutron energy          1434700200005 
           intervals are shown in fig. 13,14                      1434700200006 
SAMPLE     Graphite sample with density of 1.86g/cm3 and          1434700200007 
           thickness of 0.76 cm.                                  1434700200008 
ENDBIB               6          0                                 1434700200009 
COMMON               1          3                                 1434700200010 
ANG                                                               1434700200011 
ADEG                                                              1434700200012 
15.0                                                              1434700200013 
ENDCOMMON            3          0                                 1434700200014 
DATA                 6        174                                 1434700200015 
EN-MIN     EN-MAX     E-MIN      E-MAX      DATA       ERR-T      1434700200016 
MEV        MEV        MEV        MEV        P/IN/MEVSR P/IN/MEVSR 1434700200017 
       72.5       77.5       40.0       50.0   1.35E-04   1.62E-051434700200018 
       72.5       77.5       50.0       60.0   7.71E-05   9.86E-061434700200019 
       72.5       77.5       60.0       70.0   9.52E-06   2.10E-061434700200020 
       72.5       77.5       70.0       80.0   4.41E-06   2.47E-061434700200021 
       77.5       82.5       40.0       50.0   1.10E-04   1.35E-051434700200022 
       77.5       82.5       50.0       60.0   1.09E-04   1.34E-051434700200023 
       77.5       82.5       60.0       70.0   3.38E-05   5.07E-061434700200024 
       77.5       82.5       70.0       80.0   4.08E-06   2.08E-061434700200025 
       82.5       87.5       40.0       50.0   8.19E-05   1.02E-051434700200026 
       82.5       87.5       50.0       60.0   1.05E-04   1.27E-051434700200027 
       82.5       87.5       60.0       70.0   7.29E-05   9.13E-061434700200028 
       82.5       87.5       70.0       80.0   9.24E-06   1.98E-061434700200029 
       87.5       92.5       40.0       50.0   7.85E-05   9.85E-061434700200030 
       87.5       92.5       50.0       60.0   9.17E-05   1.13E-051434700200031 
       87.5       92.5       60.0       70.0   1.05E-04   1.28E-051434700200032 
       87.5       92.5       70.0       80.0   4.01E-05   5.61E-061434700200033 
       87.5       92.5       80.0       90.0   4.62E-06   1.70E-061434700200034 
       92.5       97.5       40.0       50.0   9.04E-05   1.11E-051434700200035 
       92.5       97.5       50.0       60.0   9.90E-05   1.21E-051434700200036 
       92.5       97.5       60.0       70.0   1.27E-04   1.53E-051434700200037 
       92.5       97.5       70.0       80.0   9.41E-05   1.18E-051434700200038 
       92.5       97.5       80.0       90.0   8.36E-06   2.24E-061434700200039 
       97.5      102.5       40.0       50.0   8.46E-05   1.02E-051434700200040 
       97.5      102.5       50.0       60.0   8.88E-05   1.09E-051434700200041 
       97.5      102.5       60.0       70.0   9.38E-05   1.15E-051434700200042 
       97.5      102.5       70.0       80.0   1.18E-04   1.41E-051434700200043 
       97.5      102.5       80.0       90.0   4.57E-05   6.15E-061434700200044 
       97.5      102.5       90.0      100.0   7.29E-06   1.77E-061434700200045 
      102.5      107.5       40.0       50.0   6.00E-05   7.70E-061434700200046 
      102.5      107.5       50.0       60.0   6.81E-05   8.62E-061434700200047 
      102.5      107.5       60.0       70.0   7.45E-05   9.54E-061434700200048 
      102.5      107.5       70.0       80.0   9.56E-05   1.18E-051434700200049 
      102.5      107.5       80.0       90.0   7.12E-05   9.24E-061434700200050 
      102.5      107.5       90.0      100.0   5.88E-06   1.93E-061434700200051 
      102.5      107.5      100.0      110.0   1.10E-06   1.97E-061434700200052 
      107.5      112.5       40.0       50.0   5.81E-05   7.24E-061434700200053 
      107.5      112.5       50.0       60.0   6.19E-05   7.97E-061434700200054 
      107.5      112.5       60.0       70.0   6.96E-05   8.79E-061434700200055 
      107.5      112.5       70.0       80.0   8.38E-05   1.03E-051434700200056 
      107.5      112.5       80.0       90.0   9.92E-05   1.20E-051434700200057 
      107.5      112.5       90.0      100.0   3.73E-05   5.36E-061434700200058 
      107.5      112.5      100.0      110.0   2.34E-06   1.41E-061434700200059 
      112.5      117.5       40.0       50.0   4.68E-05   6.06E-061434700200060 
      112.5      117.5       50.0       60.0   5.72E-05   7.19E-061434700200061 
      112.5      117.5       60.0       70.0   6.50E-05   8.17E-061434700200062 
      112.5      117.5       70.0       80.0   7.86E-05   9.58E-061434700200063 
      112.5      117.5       80.0       90.0   8.72E-05   1.07E-051434700200064 
      112.5      117.5       90.0      100.0   7.49E-05   9.52E-061434700200065 
