ENTRY            10739   20101108                             13701073900000001 
SUBENT        10739001   20101108                             13701073900100001 
BIB                 10         15                                 1073900100002 
INSTITUTE  (1USABNL)                                              1073900100003 
REFERENCE  (J,PR/C,9,1839,197405)                                 1073900100004 
AUTHOR     (R.E.Chrien,D.I.Garber,J.L.Holm,K.Rimawi)              1073900100005 
TITLE      Radioactive decay of neutron resonances in             1073900100006 
            73Ge(n,gamma)74Ge.                                    1073900100007 
FACILITY   (CHOPF,1USABNL) High flux beam reactor fast chopper.   1073900100008 
METHOD     (TOF) Time of flight                                   1073900100009 
DETECTOR   (GELI)  Germanium-lithium detector.                    1073900100010 
SAMPLE     The target consisted of 500 gram of natural germanium. 1073900100011 
STATUS     (APRVD) Approved by R.E.Chrien, 1978/7/17.             1073900100012 
HISTORY    (19780619C)                                            1073900100013 
           (20091105A) VM:Updated to new date formats,lower case. 1073900100014 
                       BIB updates.                               1073900100015 
           (20101108A) VM: BIB update.                            1073900100016 
           (20101114A)S.H. Added sub. 3                           1073900100017 
ENDBIB              15          0                                 1073900100018 
NOCOMMON             0          0                                 1073900100019 
ENDSUBENT           18          0                                 1073900199999 
SUBENT        10739002   20101108                             13701073900200001 
BIB                  5          7                                 1073900200002 
REACTION  1(32-GE-73(N,0),,J)                                     1073900200003 
          2(32-GE-73(N,0),,PTY)                                   1073900200004 
ANALYSIS   Spin assignments based on high and low-energy gamma-ray1073900200005 
            spectra.                                              1073900200006 
ERR-ANALYS No information.                                        1073900200007 
FLAG       (1.) Assignments probable but not certain.             1073900200008 
STATUS     (TABLE) Data taken from Table III of reference.        1073900200009 
ENDBIB               7          0                                 1073900200010 
NOCOMMON             0          0                                 1073900200011 
DATA                 4          7                                 1073900200012 
EN-RES     DATA      1DATA      2FLAG                             1073900200013 
EV         NO-DIM     NO-DIM     NO-DIM                           1073900200014 
102.6      4.0        +1.0                                        1073900200015 
204.       5.0        +1.0                                        1073900200016 
224.7      4.0        +1.0                                        1073900200017 
320.6      4.0        +1.0       1.                               1073900200018 
332.0      5.0        +1.0       1.                               1073900200019 
367.1      4.0        +1.0       1.                               1073900200020 
408.2      4.0        +1.0       1.                               1073900200021 
ENDDATA              9          0                                 1073900200022 
ENDSUBENT           21          0                                 1073900299999 
SUBENT        10739003   20101114                             13701073900300001 
BIB                  4          4                                 1073900300002 
REACTION   (32-GE-73(N,G)32-GE-74,,SPC,,RES)                      1073900300003 
ERR-ANALYS (DATA-ERR) No information on source of uncertainty.    1073900300004 
STATUS     (TABLE) Data taken from Table II of reference.         1073900300005 
HISTORY    (20101114C) Compiled by S.H.                           1073900300006 
ENDBIB               4          0                                 1073900300007 
NOCOMMON             0          0                                 1073900300008 
DATA                 5        225                                 1073900300009 
EN-RES     E          E-ERR      DATA       DATA-ERR              1073900300010 
EV         KEV        KEV        PC/REAC    PC/REAC               1073900300011 
   102.0      9603.2     0.6        0.18      0.08                1073900300012 
   102.0      8993.7     0.8        0.10      0.07                1073900300013 
   102.0      8732.1     0.3        0.24      0.07                1073900300014 
   102.0      8499.7     0.2        1.61      0.20                1073900300015 
   102.0      8304.0     1.3        0.12      0.08                1073900300016 
   102.0      8144.9     0.7        0.12      0.05                1073900300017 
   102.0      8030.6     0.3        1.52      0.18                1073900300018 
   102.0      8011.4     0.7        0.35      0.17                1073900300019 
   102.0      7844.6     0.7        0.16      0.07                1073900300020 
   102.0      7811.6     0.7        0.14      0.08                1073900300021 
   102.0      7658.6     0.4        0.38      0.16                1073900300022 
   102.0      7501.5     0.4        1.38      0.29                1073900300023 
   102.0      7429.0     1.1        0.10      0.08                1073900300024 
   102.0      7365.7     0.3        0.20      0.18                1073900300025 
   102.0      7260.2     0.3        2.66      0.35                1073900300026 
   102.0      7221.7     0.3        0.77      0.21                1073900300027 
   102.0      7146.1     0.9        0.24      0.17                1073900300028 
   102.0      7136.2     0.9        0.17      0.18                1073900300029 
   102.0      7112.3     0.5        0.18      0.18                1073900300030 
   102.0      7090.8     0.2        1.27      0.13                1073900300031 
   102.0      7076.6     0.7        0.20      0.12                1073900300032 
   102.0      7053.2     0.6        0.09      0.12                1073900300033 
   102.0      7019.3     0.8        0.43      0.18                1073900300034 
   102.0      6971.2     0.8        0.28      0.18                1073900300035 
   102.0      6923.9     0.4        0.34      0.13                1073900300036 
   102.0      6813.2     0.5        0.67      0.20                1073900300037 
   102.0      6784.2     0.5        0.55      0.20                1073900300038 
   102.0      6715.2     0.5        0.96      0.34                1073900300039 
   102.0      6680.7     0.9        0.33      0.29                1073900300040 
   102.0      6531.4     0.8        0.17      0.08                1073900300041 
   102.0      6497.4     0.5        0.22      0.14                1073900300042 
   102.0      6469.3     0.9        0.10      0.12                1073900300043 
   102.0      6421.6     1.0        0.20      0.16                1073900300044 
   102.0      6387.4     0.6        0.41      0.16                1073900300045 
   102.0      6366.8     0.7        0.14      0.13                1073900300046 
   102.0      6359.6     0.4        0.43      0.18                1073900300047 
   102.0      6317.2     1.3        0.20      0.16                1073900300048 
   102.0      6268.9     0.6        0.43      0.28                1073900300049 
   102.0      6238.8     0.6        0.51      0.29                1073900300050 
   102.0      6199.4     0.4        0.79      0.22                1073900300051 
   102.0      6129.5     0.7        0.22      0.10                1073900300052 
   102.0      6111.9     0.3        0.64      0.10                1073900300053 
   102.0      6040.7     0.6        0.48      0.24                1073900300054 
   102.0      6026.5     0.5        0.50      0.24                1073900300055 
   102.0      5990.3     0.7        0.31      0.24                1073900300056 
   102.0      5975.4     0.6        0.42      0.22                1073900300057 
   102.0      5960.3     0.9        0.34      0.21                1073900300058 
