ENTRY            10563   20180724                             144210563  0    1 
SUBENT        10563001   20180724                             144210563  1    1 
BIB                 14         42                                 10563  1    2 
TITLE      Measurement of the fission cross section of            10563  1    3 
            plutonium-241 relative to uranium-235 for neutron     10563  1    4 
            energies from 1 keV to 30 MeV                         10563  1    5 
REFERENCE  (J,NSE,68,128,1978)                                    10563  1    6 
INSTITUTE  (1USALRL)                                              10563  1    7 
AUTHOR     (G.W.Carlson,J.W.Behrens)                              10563  1    8 
FACILITY   (LINAC,1USALRL) Livermore Electron 100-MeV Linac       10563  1    9 
INC-SOURCE (PHOTO) Electrons on water-cooled tantalum target      10563  1   10 
SAMPLE     Isotopic composition of 241Pu sample:                  10563  1   11 
            238U (<0.0004%), 239Pu (1.372%), 240Pu   (0.234%),    10563  1   12 
            241Pu  (98.30%), 242Pu (0.088%), 244Pu (<0.0004%).    10563  1   13 
           Isotopic composition of 235U sample:                   10563  1   14 
            234U (0.03%), 235U (99.91%), 236U (0.02%),            10563  1   15 
            238U (0.04%).                                         10563  1   16 
METHOD     (TOF) 34.3 m station of 250 m TOF line                 10563  1   17 
DETECTOR   (FISCH) Four fission chambers were used; each foil was 10563  1   18 
            coated on both sides with fissionable material (76 mm 10563  1   19 
            diam.).                                               10563  1   20 
MONITOR    ((94-PU-241(N,F),,SIG,,AV)/(92-U-235(N,F),,SIG,,AV))   10563  1   21 
           Weighted mean of values from two normalizations        10563  1   22 
CORRECTION Corrected for                                          10563  1   23 
            - sample impurities (239Pu, 240Pu, 241Am),            10563  1   24 
            - electronics dead-time,                              10563  1   25 
            - neutron scattering in aluminum foils,               10563  1   26 
            - time-independent background.                        10563  1   27 
           Not corrected for                                      10563  1   28 
            - accidental coincidences (<0.1%),                    10563  1   29 
            - time-dependent background (<0.1%),                  10563  1   30 
            - energy-dependent detector efficiency (<0.75%).      10563  1   31 
ERR-ANALYS (DATA-ERR) Statistical errors and systematic errors in 10563  1   32 
            shape excluding the normalization uncertainty         10563  1   33 
           (ERR-1)    Total systematic uncertainty in shape due   10563  1   34 
            to background, scattering correction, impurity,       10563  1   35 
            correction, energy dependence of efficiency           10563  1   36 
STATUS     (APRVD) Approved by G.W.Carlson, 1979/2/15.            10563  1   37 
HISTORY    (19760112C)                                            10563  1   38 
           (19790104A) BIB additions and corrections. Converted to10563  1   39 
            REACTION formalism.                                   10563  1   40 
           (20040602A) Converted to new date formats, lower case. 10563  1   41 
            Subentry 3 deleted. Average data removed as per       10563  1   42 
             G.W.Carlson, 1979/2/15. Data heading updated.        10563  1   43 
           (20180724A) On. Major revision in 002.                 10563  1   44 
ENDBIB              42          0                                 10563  1   45 
NOCOMMON             0          0                                 10563  1   46 
ENDSUBENT           45          0                                 10563  199999 
SUBENT        10563002   20180724                             144210563  2    1 
BIB                  3          4                                 10563  2    2 
REACTION   ((94-PU-241(N,F),,SIG)/(92-U-235(N,F),,SIG))           10563  2    3 
STATUS     (TABLE) Table IV of Nucl.Sci.Eng.68(1978)128           10563  2    4 
HISTORY    (19790104A) Data replaced.                             10563  2    5 
           (20180724A) On. EN -> EN-MIN and MAX. ERR-1 added.     10563  2    6 
ENDBIB               4          0                                 10563  2    7 
COMMON               4          3                                 10563  2    8 
EN-NRM-MIN EN-NRM-MAX MONIT      MONIT-ERR                        10563  2    9 
MEV        MEV        NO-DIM     NO-DIM                           10563  2   10 
 1.75       4.00       1.276      0.033                           10563  2   11 
ENDCOMMON            3          0                                 10563  2   12 
DATA                 6        107                                 10563  2   13 
EN-MIN     EN-MAX     MISC       DATA       DATA-ERR   ERR-1      10563  2   14 
MEV        MEV        MEV        NO-DIM     PER-CENT   PER-CENT   10563  2   15 
  0.0007     0.0010     0.00085   1.275      2.6        0.3       10563  2   16 
  0.0010     0.0015     0.00125   1.366      1.8        0.3       10563  2   17 
  0.0015     0.0020     0.00175   1.483      2.0        0.3       10563  2   18 
  0.0020     0.003      0.0025    1.379      1.7        0.3       10563  2   19 
  0.003      0.004      0.0035    1.382      1.9        0.3       10563  2   20 
  0.004      0.006      0.0050    1.314      1.5        0.3       10563  2   21 
  0.006      0.008      0.0070    1.449      1.6        0.3       10563  2   22 
  0.008      0.010      0.0090    1.315      1.8        0.3       10563  2   23 
  0.010      0.015      0.0125    1.327      1.3        0.2       10563  2   24 
  0.015      0.020      0.0175    1.336      1.5        0.2       10563  2   25 
  0.020      0.025      0.0225    1.331      1.6        0.2       10563  2   26 
  0.025      0.03       0.0275    1.337      1.6        0.2       10563  2   27 
  0.03       0.04       0.035     1.344      1.3        0.2       10563  2   28 
  0.04       0.05       0.045     1.329      1.3        0.2       10563  2   29 
  0.05       0.06       0.055     1.283      1.4        0.2       10563  2   30 
  0.06       0.07       0.065     1.311      1.4        0.2       10563  2   31 
  0.07       0.08       0.075     1.328      1.5        0.2       10563  2   32 
  0.08       0.09       0.085     1.388      1.5        0.2       10563  2   33 
  0.09       0.10       0.095     1.396      1.5        0.2       10563  2   34 
  0.10       0.1063     0.1029    1.383      1.8        0.2       10563  2   35 
  0.1063     0.1139     0.1101    1.420      1.7        0.2       10563  2   36 
  0.1139     0.1222     0.1180    1.318      1.7        0.2       10563  2   37 
  0.1222     0.1315     0.1269    1.405      1.6        0.2       10563  2   38 
  0.1315     0.1420     0.1367    1.439      1.5        0.2       10563  2   39 
  0.1420     0.1537     0.1478    1.392      1.5        0.2       10563  2   40 
  0.1537     0.1669     0.1603    1.414      1.4        0.2       10563  2   41 
  0.1669     0.1819     0.1744    1.413      1.3        0.2       10563  2   42 
  0.1819     0.1990     0.1905    1.390      1.2        0.2       10563  2   43 
  0.1990     0.2187     0.2089    1.430      1.1        0.2       10563  2   44 
  0.2187     0.2415     0.2301    1.422      1.0        0.2       10563  2   45 
  0.2415     0.2679     0.2547    1.401      1.0        0.2       10563  2   46 
  0.2679     0.2990     0.2835    1.405      0.9        0.2       10563  2   47 
  0.2990     0.3359     0.3174    1.387      0.9        0.3       10563  2   48 
  0.3359     0.3799     0.3579    1.330      0.8        0.3       10563  2   49 
  0.3799     0.4333     0.4066    1.327      0.8        0.3       10563  2   50 
  0.4333     0.4988     0.4661    1.326      0.7        0.3       10563  2   51 
  0.4988     0.5803     0.5396    1.315      0.7        0.5       10563  2   52 
  0.5803     0.6836     0.6319    1.327      0.7        0.5       10563  2   53 
  0.6836     0.7137     0.6986    1.335      1.1        0.5       10563  2   54 
  0.7137     0.7459     0.7298    1.338      1.1        0.5       10563  2   55 
  0.7459     0.7803     0.7631    1.353      1.0        0.5       10563  2   56 
  0.7803     0.8171     0.7987    1.376      1.0        0.5       10563  2   57 
  0.8171     0.8566     0.8369    1.364      1.0        0.5       10563  2   58 
  0.8566     0.8990     0.8778    1.343      1.0        0.5       10563  2   59 
  0.8990     0.9447     0.9219    1.333      1.0        0.5       10563  2   60 
  0.9447     0.994      0.9693    1.305      1.0        0.5       10563  2   61 
  0.994      1.047      1.021     1.294      1.1        0.7       10563  2   62 
  1.047      1.105      1.076     1.298      1.1        0.7       10563  2   63 
  1.105      1.167      1.136     1.290      1.1        0.7       10563  2   64 
  1.167      1.235      1.201     1.322      1.0        0.7       10563  2   65 
