ENTRY            10077   19991022                             00001007700000001 
SUBENT        10077001   19991022                             00001007700100001 
BIB                 11         16                                 1007700100002 
INSTITUTE  (1USABNL,1USAALB)                                      1007700100003 
REFERENCE  (J,PR/C,2,1793,197011)                                 1007700100004 
AUTHOR     (K.RIMAWI,J.B.GARG,R.E.CHRIEN,R.G.GRAVES)              1007700100005 
TITLE      Resonance Neutron Capture in Rh103.                    1007700100006 
FACILITY   (CHOPF) Fast chopper. 22-m flight path.                1007700100007 
INC-SOURCE (REAC) Reactor                                         1007700100008 
SAMPLE     Powdered sample of natural rhodium wrapped in          1007700100009 
            aluminum foil.                                        1007700100010 
DETECTOR   (GELI) Ge(Li) planar diode detector.                   1007700100011 
CORRECTION Corrected for background and for system nonlinearity   1007700100012 
            over energy range.                                    1007700100013 
STATUS     (APRVD) Approved by author                             1007700100014 
HISTORY    (19701209C)                                            1007700100015 
           (19811118A) Converted to REACTION formalism            1007700100016 
           (19991012A) Converted to new data fromalism, lower     1007700100017 
            case. BIB updates.                                    1007700100018 
ENDBIB              16          0                                 1007700100019 
NOCOMMON             0          0                                 1007700100020 
ENDSUBENT           19          0                                 1007700199999 
SUBENT        10077002   19991022                             00001007700200001 
BIB                  3          6                                 1007700200002 
REACTION  1(45-RH-103(N,0),,J)                                    1007700200003 
          2(45-RH-103(N,0),,PTY)                                  1007700200004 
METHOD     Capture measurement. Spin value based on observation   1007700200005 
            of transitions to state with spin J=2.                1007700200006 
HISTORY    (19991012A) Parity inserted. 2 spins deleted; from     1007700200007 
            earlier works.                                        1007700200008 
ENDBIB               6          0                                 1007700200009 
NOCOMMON             0          0                                 1007700200010 
DATA                 3          1                                 1007700200011 
EN-RES     DATA      1DATA      2                                 1007700200012 
EV         NO-DIM     NO-DIM                                      1007700200013 
95.6       1.          1.                                         1007700200014 
ENDDATA              3          0                                 1007700200015 
ENDSUBENT           14          0                                 1007700299999 
SUBENT        10077003   19991022                             00001007700300001 
BIB                  5         12                                 1007700300002 
REACTION   (45-RH-103(N,G)45-RH-104,,SPC)                         1007700300003 
MONITOR    Gamma intensities normalized to Rasmussen et al.,      1007700300004 
            Cambridge report AFCRL-69-0071 (1969).                1007700300005 
           Energy scale calibrated using 7100.2 and 6644.5-keV    1007700300006 
            chromium gamma lines from the 53Cr(n,gamma) reaction, 1007700300007 
            Kane and Mariscotti, private communication.           1007700300008 
ERR-ANALYS (E-ERR) Includes only uncertainty in peak position.    1007700300009 
            Uncertainty in absolute energy scale not included     1007700300010 
            (believed to be about 1.5 keV).                       1007700300011 
           (DATA-ERR) No information on source of uncertainties.  1007700300012 
STATUS     Data taken from Table I in reference.                  1007700300013 
HISTORY    (19991012C)                                            1007700300014 
ENDBIB              12          0                                 1007700300015 
NOCOMMON             0          0                                 1007700300016 
DATA                 6        611                                 1007700300017 
EN-MIN     EN-MAX     E          E-ERR      DATA       DATA-ERR   1007700300018 
EV         EV         KEV        KEV        GAM/100N   GAM/100N   1007700300019 
  0.14       0.487    6999.3       0.2        1.76       0.11     1007700300020 
  0.14       0.487    6948.0       0.3        0.30       0.11     1007700300021 
  0.14       0.487    6902.3       0.6        0.19       0.12     1007700300022 
  0.14       0.487    6820.2       0.4        0.24       0.11     1007700300023 
  0.14       0.487    6814.3       0.3        0.44       0.10     1007700300024 
  0.14       0.487    6801.9       1.0        0.13       0.11     1007700300025 
  0.14       0.487    6785.6       0.1        4.75       0.14     1007700300026 
  0.14       0.487    6768.0       0.8       -0.01       0.09     1007700300027 
  0.14       0.487    6762.6       0.6        0.26       0.09     1007700300028 
  0.14       0.487    6753.4       0.8        0.06       0.11     1007700300029 
  0.14       0.487    6731.3       0.5        0.04       0.12     1007700300030 
  0.14       0.487    6726.6       1.0        0.30       0.19     1007700300031 
  0.14       0.487    6657.5       1.1        0.18       0.12     1007700300032 
  0.14       0.487    6615.3       0.3        0.88       0.11     1007700300033 
  0.14       0.487    6576.8       0.5        0.00       0.13     1007700300034 
  0.14       0.487    6514.5       0.3        0.52       0.09     1007700300035 
  0.14       0.487    6484.0       0.4        0.48       0.14     1007700300036 
  0.14       0.487    6476.6       0.3        0.36       0.30     1007700300037 
  0.14       0.487    6459.6       0.3        0.24       0.16     1007700300038 
  0.14       0.487    6419.9       0.3        1.09       0.14     1007700300039 
  0.14       0.487    6413.5       1.5        0.12       0.15     1007700300040 
  0.14       0.487    6406.9       0.5        0.25       0.11     1007700300041 
  0.14       0.487    6397.1       0.8        0.10       0.12     1007700300042 
  0.14       0.487    6379.7       0.7        0.14       0.13     1007700300043 
  0.14       0.487    6354.4       0.3        4.54       0.15     1007700300044 
  0.14       0.487    6302.4       0.2        1.88       0.15     1007700300045 
  0.14       0.487    6287.1       0.2        0.00       0.13     1007700300046 
  0.14       0.487    6210.8       0.2        8.02       0.18     1007700300047 
  0.14       0.487    6206.5       0.3        0.47       0.17     1007700300048 
  0.14       0.487    6193.2       0.3        1.30       0.17     1007700300049 
  0.14       0.487    6182.5       0.3        0.73       0.17     1007700300050 
  0.14       0.487    6171.8       0.1        6.82       0.24     1007700300051 
  0.14       0.487    6163.9       0.5        0.59       0.22     1007700300052 
  0.14       0.487    6133.5       0.2        0.15       0.20     1007700300053 
  0.14       0.487    6109.2       0.1        2.63       0.11     1007700300054 
  0.14       0.487    6100.6       0.3        0.07       0.11     1007700300055 
  0.14       0.487    6092.1       0.9        0.03       0.17     1007700300056 
  0.14       0.487    6082.8       0.1        5.83       0.20     1007700300057 
  0.14       0.487    6067.4       0.5        0.15       0.17     1007700300058 
  0.14       0.487    6056.3       0.8       -0.09       0.21     1007700300059 
  0.14       0.487    6046.0       0.1        8.46       0.22     1007700300060 
  0.14       0.487    6026.0       0.3        0.15       0.19     1007700300061 
  0.14       0.487    6017.0       0.4        0.18       0.19     1007700300062 
