ENTRY            D8060   20230309                             D139D806000000001 
SUBENT        D8060001   20230309                             D139D806000100001 
BIB                 10         22                                 D806000100002 
TITLE      Transfer reactions in 206Pb+118Sn: From quasielastic   D806000100003 
            to deep-inelastic processes                           D806000100004 
AUTHOR     (J.Diklic, S.Szilner, L.Corradi, T.Mijatovic,          D806000100005 
            G.Pollarolo, P.Colovic, G.Colucci, E.Fioretto,        D806000100006 
            F.Galtarossa, A.Goasduff, A.Gottardo, J.Grebosz,      D806000100007 
            A.Illana, G.Jaworski, M.Jurado Gomez, T.Marchi,       D806000100008 
            D.Mengoni, G.Montagnoli, D.Nurkic, M.Siciliano,       D806000100009 
            N.Soic, A.M.Stefanini, D.Testov, J.J.Valiente-Dobon,  D806000100010 
            N.Vukman)                                             D806000100011 
INSTITUTE  (3CRORBZ,2ITYPAD,2ITYTUR,2ITYUPV,3POLWWA,3POLIFJ,      D806000100012 
            2SF JYV,3CROZAG,1USAANL)                              D806000100013 
           (2SPNSPN) Instituto de Fisica Corpuscular, Valencia    D806000100014 
REFERENCE  (J,PR/C,107,014619,2023)                               D806000100015 
SAMPLE     (50-SN-118,ENR=0.996)                                  D806000100016 
           118Sn (200 ug/cm2) sandwiched between 15 ug/cm2        D806000100017 
            carbon layers                                         D806000100018 
METHOD     (TOF,EDE)                                              D806000100019 
FACILITY   (VDGT,2ITYPAD) ALPI post-accelerator                   D806000100020 
DETECTOR   (MAGSP,MCPLT,IOCH) PRISMA                              D806000100021 
STATUS     (APRVD) Proof-read by Suzana Szilner (2023-03-14)      D806000100022 
HISTORY    (20230220R) Received by e-mail from S.Szilner          D806000100023 
           (20230228C) M.Odsuren, N.Otsuka                        D806000100024 
ENDBIB              22          0                                 D806000100025 
COMMON               1          3                                 D806000100026 
EN                                                                D806000100027 
MEV                                                               D806000100028 
 1200.                                                            D806000100029 
ENDCOMMON            3          0                                 D806000100030 
ENDSUBENT           29          0                                 D806000199999 
SUBENT        D8060002   20230309                             D139D806000200001 
BIB                  4          4                                 D806000200002 
REACTION   (50-SN-118(82-PB-206,X)ELEM/MASS,,DA)                  D806000200003 
ANALYSIS   Cross section integrated over the full Q-value range   D806000200004 
ERR-ANALYS (ERR-S) Statistical uncertainty                        D806000200005 
STATUS     (TABLE,,J.Diklic+,J,PR/C,107,014619,2023) Fig.7        D806000200006 
ENDBIB               4          0                                 D806000200007 
NOCOMMON             0          0                                 D806000200008 
DATA                 5        144                                 D806000200009 
ELEMENT    MASS       ANG-CM     DATA-CM    ERR-S                 D806000200010 
NO-DIM     NO-DIM     ADEG       MB/SR      MB/SR                 D806000200011 
 48.        114.       118.5       3.8       0.1                  D806000200012 
 48.        114.       116.6       5.0       0.2                  D806000200013 
 48.        114.       114.6       6.6       0.2                  D806000200014 
 48.        114.       112.6       6.5       0.2                  D806000200015 
 48.        114.       110.6       6.3       0.2                  D806000200016 
 48.        114.       108.7       5.1       0.2                  D806000200017 
 48.        114.       106.7       3.9       0.1                  D806000200018 
 48.        114.       104.7       2.4       0.1                  D806000200019 
 48.        115.       118.3       3.1       0.1                  D806000200020 
 48.        115.       116.3       4.2       0.1                  D806000200021 
 48.        115.       114.3       5.4       0.2                  D806000200022 
 48.        115.       112.3       5.3       0.2                  D806000200023 
 48.        115.       110.3       5.3       0.2                  D806000200024 
 48.        115.       108.3       4.6       0.2                  D806000200025 
 48.        115.       106.3       3.3       0.1                  D806000200026 
 48.        115.       104.3       2.3       0.1                  D806000200027 
 48.        116.       118.1       2.1       0.1                  D806000200028 
 48.        116.       116.1       3.1       0.1                  D806000200029 
 48.        116.       114.1       3.3       0.1                  D806000200030 
 48.        116.       112.1       3.5       0.1                  D806000200031 
 48.        116.       110.1       3.5       0.1                  D806000200032 
 48.        116.       108.1       3.1       0.1                  D806000200033 
 48.        116.       106.1       2.4       0.1                  D806000200034 
 48.        116.       104.1       1.7       0.1                  D806000200035 
 48.        117.       117.76      1.14      0.07                 D806000200036 
 48.        117.       115.75      1.48      0.08                 D806000200037 
 48.        117.       113.74      1.69      0.09                 D806000200038 
 48.        117.       111.73      1.72      0.09                 D806000200039 
 48.        117.       109.71      1.69      0.09                 D806000200040 
 48.        117.       107.70      1.69      0.09                 D806000200041 
 48.        117.       105.69      1.08      0.07                 D806000200042 
 48.        117.       103.68      0.88      0.07                 D806000200043 
 48.        118.       117.58      0.40      0.04                 D806000200044 
 48.        118.       115.56      0.59      0.05                 D806000200045 
 48.        118.       113.54      0.72      0.06                 D806000200046 
 48.        118.       111.52      0.67      0.06                 D806000200047 
 48.        118.       109.51      0.75      0.06                 D806000200048 
 48.        118.       107.49      0.70      0.06                 D806000200049 
 48.        118.       105.47      0.56      0.05                 D806000200050 
 48.        118.       103.45      0.41      0.05                 D806000200051 
 49.        115.       118.40      8.0       0.2                  D806000200052 
 49.        115.       116.40     10.3       0.2                  D806000200053 
 49.        115.       114.40     11.0       0.2                  D806000200054 
 49.        115.       112.40     11.5       0.2                  D806000200055 
 49.        115.       110.45     11.5       0.2                  D806000200056 
