ENTRY            D0247   20041208                             0000D024700000001 
SUBENT        D0247001   20041208                             0000D024700100001 
BIB                 10         18                                 D024700100002 
TITLE      Further measurements and zero-range DWBA calculations  D024700100003 
           for the 52Cr(d, p)53Cr Reaction                        D024700100004 
AUTHOR     (J.L.Alty,L.L.Green, G.D.Jones,J.F.Sharpey-Schafer)    D024700100005 
INSTITUTE  (2UK LVP)                                              D024700100006 
REFERENCE  (J,NP,86,65,1966)                                      D024700100007 
           (J,NP,56,422,1964) Technical details                   D024700100008 
FACILITY   (CYCLO)                                                D024700100009 
SAMPLE     The 52Cr tarets were self-supporting and made from     D024700100010 
           material containing 99.97% 52Cr.                       D024700100011 
DETECTOR   (TELES,SIBAR,SIBAR) A counter telescope consisting of  D024700100012 
           a thin and a thick surface barrier detector.           D024700100013 
ERR-ANALYS (DATA-ERR) The errors in the relative differential     D024700100014 
           cross sections which are mainly due to counting        D024700100015 
           statistics vary between 2 % to 5 % depending on the    D024700100016 
           final state.                                           D024700100017 
           (ERR-1) The uncertainty in the thickness of the target.D024700100018 
STATUS     (TABLE) Tables from the article                        D024700100019 
HISTORY    (20041208C) SD                                         D024700100020 
ENDBIB              18          0                                 D024700100021 
COMMON               1          3                                 D024700100022 
ERR-1                                                             D024700100023 
PER-CENT                                                          D024700100024 
  5.                                                              D024700100025 
ENDCOMMON            3          0                                 D024700100026 
ENDSUBENT           25          0                                 D024700199999 
SUBENT        D0247002   20041208                             0000D024700200001 
BIB                  1          1                                 D024700200002 
REACTION   (24-CR-52(D,P)24-CR-53,PAR,DA)                         D024700200003 
ENDBIB               1          0                                 D024700200004 
NOCOMMON             0          0                                 D024700200005 
DATA                 5        439                                 D024700200006 
EN         E-LVL      ANG-CM     DATA-CM    DATA-ERR              D024700200007 
MEV        MEV        ADEG       MB/SR      MB/SR                 D024700200008 
  11.18       0.0        10.22     12.200      0.240              D024700200009 
  11.18       0.0        12.77     12.970      0.260              D024700200010 
  11.18       0.0        15.33     12.810      0.260              D024700200011 
  11.18       0.0        20.43      9.800      0.200              D024700200012 
  11.18       0.0        25.53      5.050      0.100              D024700200013 
  11.18       0.0        30.63      2.081      0.030              D024700200014 
  11.18       0.0        35.72      1.642      0.025              D024700200015 
  11.18       0.0        40.81      2.102      0.030              D024700200016 
  11.18       0.0        45.89      2.144      0.020              D024700200017 
  11.18       0.0        50.96      1.751      0.020              D024700200018 
  11.18       0.0        56.03      1.055      0.010              D024700200019 
  11.18       0.0        61.09      0.719      0.010              D024700200020 
  11.18       0.0        66.14      0.618      0.010              D024700200021 
  11.18       0.0        71.18      0.646      0.010              D024700200022 
  11.18       0.0        76.22      0.644      0.010              D024700200023 
  11.18       0.0        81.24      0.556      0.010              D024700200024 
  11.18       0.0        86.25      0.387      0.005              D024700200025 
  11.18       0.0        91.26      0.261      0.005              D024700200026 
  11.18       0.0        96.25      0.206      0.003              D024700200027 
  11.18       0.0       101.24      0.193      0.003              D024700200028 
  11.18       0.0       106.22      0.212      0.003              D024700200029 
  11.18       0.0       111.18      0.227      0.030              D024700200030 
  11.18       0.0       116.14      0.208      0.003              D024700200031 
  11.18       0.0       121.09      0.201      0.003              D024700200032 
  11.18       0.0       126.03      0.168      0.002              D024700200033 
  11.18       0.0       130.96      0.147      0.002              D024700200034 
  11.18       0.0       135.89      0.120      0.002              D024700200035 
  11.18       0.0       140.81      0.108      0.001              D024700200036 
  11.18       0.0       145.72      0.102      0.001              D024700200037 
  11.18       0.0       150.63      0.104      0.001              D024700200038 
