ENTRY            D0512   20180522                             D117D051200000001 
SUBENT        D0512001   20180522                             D117D051200100001 
BIB                 11         32                                 D051200100002 
TITLE      Competition of coalescence and "fireball" processes    D051200100003 
            in nonequilibrium emission of light charged particles D051200100004 
            from p + Au collisions                                D051200100005 
AUTHOR     (A.Budzanowski, M.Fidelus, D.Filges, F.Goldenbaum,     D051200100006 
            H.Hodde, L.Jarczyk, B.Kamys, M.Kistryn, St.Kistryn,   D051200100007 
            St.Kliczewski, A.Kowalczyk, E.Kozik, P.Kulessa,       D051200100008 
            H.Machner, A.Magiera, B.Piskor-Ignatowicz, K.Pysz,    D051200100009 
            Z.Rudy, R.Siudak, M.Wojciechowski)                    D051200100010 
INSTITUTE  (3POLIFJ,3POLUJK,2GERJUL,2GERBON)                      D051200100011 
REFERENCE  (J,PR/C,78,024603,2008)                                D051200100012 
FACILITY   (SYNCY,2GERJUL) Synchrotron COSY                       D051200100013 
SAMPLE     Self-supporting Au target (300 ug/cm2 thick)           D051200100014 
DETECTOR   (TELES,SIBAR,CSICR) Telescopes consisting of Si        D051200100015 
            detectors of the following thicknesses:               D051200100016 
             50+400+6000 um (at 35 and 50 deg),                   D051200100017 
             50+400 um (at 80 deg),                               D051200100018 
             50+400+1000+2000 um (at 100 deg).                    D051200100019 
           Si telescope at 100 deg was also supplied with 7.5 cm  D051200100020 
            CsI scintillator detector standing outside the        D051200100021 
            scattering chamber.                                   D051200100022 
           At 15.6, 20, and 65 deg, the telescopes built of Si    D051200100023 
            detectors of the thickness of 90+1000+1000+90 um      D051200100024 
            each of them, with 7.5 cm CsI scintillator detectors  D051200100025 
            standing behind them are positioned outside the       D051200100026 
            chamber.                                              D051200100027 
MONITOR    (79-AU-197(P,X)4-BE-7,,SIG)                            D051200100028 
MONIT-REF  (,A.Bubak+,J,NIM/B,226,507,2004)                       D051200100029 
STATUS     (TABLE) Data were received from Dr.A.Bubak             D051200100030 
           (APRVD) Entry approved by Dr.A.Bubak                   D051200100031 
HISTORY    (20080904C) SD                                         D051200100032 
           (20090520A) SD: EN: MeV - GeV                          D051200100033 
           (20180522U) On. AUTHOR corrected.                      D051200100034 
ENDBIB              32          0                                 D051200100035 
COMMON               1          3                                 D051200100036 
ERR-1                                                             D051200100037 
PER-CENT                                                          D051200100038 
 10.0                                                             D051200100039 
ENDCOMMON            3          0                                 D051200100040 
ENDSUBENT           39          0                                 D051200199999 
SUBENT        D0512002   20090717                             D068D051200200001 
BIB                  1          1                                 D051200200002 
REACTION   (79-AU-197(P,X)1-H-1,,DA/DE)                           D051200200003 
ENDBIB               1          0                                 D051200200004 
NOCOMMON             0          0                                 D051200200005 
DATA                 5        819                                 D051200200006 
EN         ANG        E          DATA       DATA-ERR              D051200200007 
GEV        ADEG       MEV        MB/SR/MEV  MB/SR/MEV             D051200200008 
        1.2       15.6        6.5       3.72       0.13           D051200200009 
        1.2       15.6        7.5       5.67       0.16           D051200200010 
        1.2       15.6        8.5       8.02       0.19           D051200200011 
        1.2       15.6        9.5       9.84       0.21           D051200200012 
        1.2       15.6       10.5      10.85       0.22           D051200200013 
        1.2       15.6       11.5      10.45       0.22           D051200200014 
        1.2       15.6       14.5       7.72       0.19           D051200200015 
        1.2       15.6       15.5       7.15       0.18           D051200200016 
        1.2       15.6       16.5        7.3       0.18           D051200200017 
        1.2       15.6       17.5       6.57       0.18           D051200200018 
        1.2       15.6       18.5       5.89       0.17           D051200200019 
        1.2       15.6       27.5        3.9       0.14           D051200200020 
        1.2       15.6       28.5       3.89       0.14           D051200200021 
        1.2       15.6       29.5       4.37       0.14           D051200200022 
        1.2       15.6       30.5       3.74       0.13           D051200200023 
        1.2       15.6       31.5       3.85       0.13           D051200200024 
        1.2       15.6       32.5       3.75       0.13           D051200200025 
        1.2       15.6       33.5       4.11       0.14           D051200200026 
        1.2       15.6       34.5       4.08       0.14           D051200200027 
        1.2       15.6       35.5       4.13       0.14           D051200200028 
        1.2       15.6       36.5       4.02       0.14           D051200200029 
        1.2       15.6       37.5       3.86       0.13           D051200200030 
        1.2       15.6       38.5       3.44       0.13           D051200200031 
        1.2       15.6       39.5       3.68       0.13           D051200200032 
        1.2       15.6       40.5       3.56       0.13           D051200200033 
        1.2       15.6       41.5       3.45       0.13           D051200200034 
        1.2       15.6       42.5       3.47       0.13           D051200200035 
        1.2       15.6       43.5       3.44       0.13           D051200200036 
        1.2       15.6       44.5       3.54       0.13           D051200200037 
        1.2       15.6       45.5       3.42       0.13           D051200200038 
        1.2       15.6       46.5       3.41       0.13           D051200200039 
        1.2       15.6       47.5       3.42       0.13           D051200200040 
        1.2       15.6       48.5       3.39       0.13           D051200200041 
        1.2       15.6       49.5       3.54       0.13           D051200200042 
        1.2       15.6       50.5       3.31       0.12           D051200200043 
        1.2       15.6       51.5       3.49       0.13           D051200200044 
        1.2       15.6       52.5       3.36       0.13           D051200200045 
        1.2       15.6       53.5       3.32       0.12           D051200200046 
        1.2       15.6       54.5       3.12       0.12           D051200200047 
        1.2       15.6       55.5       3.36       0.13           D051200200048 
        1.2       15.6       56.5       3.55       0.13           D051200200049 
        1.2       15.6       57.5       3.65       0.13           D051200200050 
        1.2       15.6       58.5       3.24       0.12           D051200200051 
        1.2       15.6       59.5       3.28       0.12           D051200200052 
        1.2       15.6       60.5       3.49       0.13           D051200200053 
        1.2       15.6       61.5        3.4       0.13           D051200200054 
        1.2       15.6       62.5       3.55       0.13           D051200200055 
        1.2       15.6       63.5       3.27       0.12           D051200200056 
