EN         EN-ERR     ANG-CM     DATA-CM    DATA-ERR              D027000200015 
MEV        MEV        ADEG       MB/SR      MB/SR                 D027000200016 
 20.200      0.370     120.41     46.609     2.2419               D027000200057 
 20.200      0.370     123.35     41.282     2.3712               D027000200058 
 20.200      0.370     125.91     43.687     2.1014               D027000200059 
 20.200      0.370     127.58     37.987     2.1819               D027000200060 
 20.200      0.370     130.07     36.786     2.1130               D027000200061 
 20.200      0.370     132.26     32.607     1.2609               D027000200062 
 20.200      0.370     135.23     30.340     1.1732               D027000200063 
 20.200      0.370     136.93     27.714     1.3331               D027000200064 
 20.200      0.370     138.62     24.578     1.4118               D027000200065 
 20.200      0.370     140.33     22.898     1.3098               D027000200066 
 20.200      0.370     141.44     26.784     1.2883               D027000200067 
 20.200      0.370     142.52     30.117     1.4487               D027000200068 
 20.200      0.370     144.47     27.234     1.3166               D027000200069 
 20.200      0.370     145.83     31.535     2.1029               D027000200070 
 20.200      0.370     147.18     53.649     2.5806               D027000200071 
 20.200      0.370     149.13     48.513     2.3335               D027000200072 
 20.200      0.370     150.79     60.769     4.6089               D027000200073 
 20.200      0.370     153.58     91.709     4.6342               D027000200074 
 20.200      0.370     155.18     105.12     5.0565               D027000200075 
 20.200      0.370     157.41     100.83     4.8255               D027000200076 
 20.200      0.370     158.66     67.864     3.2643               D027000200077 
 20.200      0.370     159.93     47.049     1.8194               D027000200078 
 20.200      0.370     161.66     44.268     2.2369               D027000200079 
 20.200      0.370     162.72     33.218     1.5898               D027000200080 
 20.200      0.370     164.05     25.166     2.1368               D027000200081 
 20.200      0.370     165.76     33.776     1.6246               D027000200082 
 20.200      0.370     166.96     45.804     2.6309               D027000200083 
 20.200      0.370     169.24     99.630     3.8526               D027000200084 
 21.700      0.280     12.646     5545.1     195.81               D027000200085 
 21.700      0.280     15.747     2738.2     116.24               D027000200086 
 21.700      0.280     18.692     998.05     50.794               D027000200087 
 21.700      0.280     22.757     256.84     10.903               D027000200088 
 21.700      0.280     24.328     187.67     11.058               D027000200089 
 21.700      0.280     26.291     192.31     11.331               D027000200090 
 21.700      0.280     27.919     238.58     12.101               D027000200091 
 21.700      0.280     29.511     276.15     14.007               D027000200092 
 21.700      0.280     31.627     250.57     14.764               D027000200093 
 21.700      0.280     34.638     157.78     6.6981               D027000200094 
 21.700      0.280     37.755     52.721     1.8617               D027000200095 
 21.700      0.280     39.967     7.0868    0.25025               D027000200096 
 21.700      0.280     43.257     26.900     1.5850               D027000200097 
 21.700      0.280     45.992     80.815     4.1129               D027000200098 
 21.700      0.280     48.955     107.35     4.5388               D027000200099 
 21.700      0.280     52.664     112.74     6.6432               D027000200100 
 21.700      0.280     55.696     112.46     5.0069               D027000200101 
 21.700      0.280     58.260     69.022     2.3542               D027000200102 
