ENTRY            D0182   20040929                             0000D018200000001 
SUBENT        D0182001   20040929                             0000D018200100001 
BIB                 10         20                                 D018200100002 
TITLE      Interplay of mean field and nucleon-nucleon            D018200100003 
           interactions in the production of Carbon fragments     D018200100004 
           in 16O induced reactions at incident energies          D018200100005 
           up to 25 MeV/amu                                       D018200100006 
AUTHOR     (E.Gadioli,G.F.Steyn,C.Birattari,C.Catarisano,         D018200100007 
           M.Cavinato,S.H.Connell,A.A.Cowley,E.Fabrici,           D018200100008 
           S.V.Fortsch,E.Gadioli Erba,J.J.Lawrie,                 D018200100009 
           J.P.F.Sellschop,E.Sideras Haddad)                      D018200100010 
INSTITUTE  (3SAFITH,2ITYMIL,3SAFWIT,3SAFSTL)                      D018200100011 
REFERENCE  (J,NP/A,708,391,2002)                                  D018200100012 
FACILITY   (CYCLO,3SAFITH)                                        D018200100013 
METHOD     (EDE)                                                  D018200100014 
DETECTOR   (TELES,SIBAR,SIBAR) Two identical detector telescopes  D018200100015 
           mounted in a 1.5 m diameter scattering chamber. Each   D018200100016 
           telescope consisted of a 25 mu-m thick Si surface      D018200100017 
           barrier dE detector, followed by a 2 mm thick Si       D018200100018 
           surface barrier stopping (E) detector.                 D018200100019 
ERR-ANALYS (ERR-SYS) systematic error of the cross sections       D018200100020 
STATUS     (TABLE)Tables received from Dr. E.Gadioli              D018200100021 
HISTORY    (20040929C) SD                                         D018200100022 
ENDBIB              20          0                                 D018200100023 
COMMON               1          3                                 D018200100024 
ERR-SYS                                                           D018200100025 
PER-CENT                                                          D018200100026 
  10.                                                             D018200100027 
ENDCOMMON            3          0                                 D018200100028 
ENDSUBENT           27          0                                 D018200199999 
SUBENT        D0182002   20040929                             0000D018200200001 
BIB                  2          3                                 D018200200002 
REACTION   (27-CO-59(8-O-16,X)6-C-12,,SIG)                        D018200200003 
           The cross section production of 12C in 16O break-up    D018200200004 
SAMPLE     59Co target with thicknesses of 1.0 mg/cm2.            D018200200005 
ENDBIB               3          0                                 D018200200006 
NOCOMMON             0          0                                 D018200200007 
DATA                 2          3                                 D018200200008 
EN         DATA                                                   D018200200009 
MEV        MB                                                     D018200200010 
   100.      147.                                                 D018200200011 
   250.      181.                                                 D018200200012 
   400.      288.                                                 D018200200013 
ENDDATA              5          0                                 D018200200014 
ENDSUBENT           13          0                                 D018200299999 
SUBENT        D0182003   20040929                             0000D018200300001 
BIB                  2          3                                 D018200300002 
REACTION   (41-NB-93(8-O-16,X)6-C-12,,SIG)                        D018200300003 
           The cross section production of 12C in 16O break-up    D018200300004 
SAMPLE     93Nb target with thicknesses of 2.7 mg/cm2.            D018200300005 
ENDBIB               3          0                                 D018200300006 
NOCOMMON             0          0                                 D018200300007 
DATA                 2          2                                 D018200300008 
EN         DATA                                                   D018200300009 
MEV        MB                                                     D018200300010 
   250.     150.                                                  D018200300011 
   400.     339.                                                  D018200300012 
ENDDATA              4          0                                 D018200300013 
ENDSUBENT           12          0                                 D018200399999 
SUBENT        D0182004   20040929                             0000D018200400001 
BIB                  3          3                                 D018200400002 
REACTION   (27-CO-59(8-O-16,X)5-B-11,,DA/DE)                      D018200400003 
SAMPLE     59Co target with thicknesses of 1.0 mg/cm2.            D018200400004 
ERR-ANALYS (ERR-T) Total error                                    D018200400005 
ENDBIB               3          0                                 D018200400006 
NOCOMMON             0          0                                 D018200400007 
DATA                 5       3626                                 D018200400008 
EN         ANG-CM     E-EXC      DATA-CM    ERR-T                 D018200400009 
MEV        ADEG       MEV        MUB/SR/MEV MUB/SR/MEV            D018200400010 
  100.0        4.0        31.00  .218098E+03.218098E+03           D018200400011 
  100.0        4.0        33.00  .218098E+03.218098E+03           D018200400012 
  100.0        4.0        35.00  .218098E+03.218098E+03           D018200400013 
  100.0        4.0        37.00  .436195E+03.308437E+03           D018200400014 
  100.0        4.0        39.00  .436195E+03.308437E+03           D018200400015 
  100.0        4.0        41.00  .436195E+03.308437E+03           D018200400016 
  100.0        4.0        43.00  .654293E+03.377756E+03           D018200400017 
  100.0        4.0        45.00  .218098E+03.218098E+03           D018200400018 
  100.0        4.0        47.00  .436195E+03.308437E+03           D018200400019 
  100.0        4.0        49.00  .872391E+03.436195E+03           D018200400020 
  100.0        4.0        51.00  .152668E+04.577032E+03           D018200400021 
  100.0        4.0        53.00  .174478E+04.616873E+03           D018200400022 
  100.0        4.0        55.00  .152668E+04.577032E+03           D018200400023 
  100.0        4.0        57.00  .174478E+04.616873E+03           D018200400024 
  100.0        4.0        59.00  .109049E+04.487681E+03           D018200400025 
  100.0        4.0        61.00  .174478E+04.616873E+03           D018200400026 
  100.0        4.0        63.00  .174478E+04.616873E+03           D018200400027 
  100.0        4.0        65.00  .130859E+04.534228E+03           D018200400028 
  100.0        4.0        67.00  .174478E+04.616873E+03           D018200400029 
  100.0        4.0        69.00  .109049E+04.487681E+03           D018200400030 
  100.0        4.0        71.00  .130859E+04.534228E+03           D018200400031 
  100.0        4.0        73.00  .872391E+03.436195E+03           D018200400032 
  100.0        4.0        75.00  .109049E+04.487681E+03           D018200400033 
  100.0        4.0        77.00  .218098E+03.218098E+03           D018200400034 
  100.0        6.0        25.00  .312405E+02.312405E+02           D018200400035 
  100.0        6.0        29.00  .624809E+02.441807E+02           D018200400036 
  100.0        6.0        31.00  .312405E+02.312405E+02           D018200400037 
  100.0        6.0        33.00  .624809E+02.441807E+02           D018200400038 
  100.0        6.0        35.00  .281164E+03.937214E+02           D018200400039 
  100.0        6.0        37.00  .218683E+03.826545E+02           D018200400040 
  100.0        6.0        39.00  .312405E+03.987910E+02           D018200400041 
  100.0        6.0        41.00  .249924E+03.883614E+02           D018200400042 
  100.0        6.0        43.00  .656050E+03.143162E+03           D018200400043 
  100.0        6.0        45.00  .905973E+03.168235E+03           D018200400044 
  100.0        6.0        47.00  .106218E+04.182162E+03           D018200400045 
  100.0        6.0        49.00  .937214E+03.171111E+03           D018200400046 
  100.0        6.0        51.00  .112466E+04.187443E+03           D018200400047 
  100.0        6.0        53.00  .171823E+04.231685E+03           D018200400048 
  100.0        6.0        55.00  .121838E+04.195097E+03           D018200400049 
  100.0        6.0        57.00  .153078E+04.218683E+03           D018200400050 
  100.0        6.0        59.00  .143706E+04.211883E+03           D018200400051 
  100.0        6.0        61.00  .162450E+04.225278E+03           D018200400052 
  100.0        6.0        63.00  .134334E+04.204857E+03           D018200400053 
  100.0        6.0        65.00  .128086E+04.200037E+03           D018200400054 
  100.0        6.0        67.00  .128086E+04.200037E+03           D018200400055 
  100.0        6.0        69.00  .905973E+03.168235E+03           D018200400056 
  100.0        6.0        71.00  .531088E+03.128808E+03           D018200400057 
  100.0        6.0        73.00  .374885E+03.108220E+03           D018200400058 
  100.0        6.0        75.00  .312405E+03.987910E+02           D018200400059 
  100.0        6.0        77.00  .218683E+03.826545E+02           D018200400060 
  100.0        6.0        79.00  .624809E+02.441807E+02           D018200400061 
  100.0        6.0        81.00  .624809E+02.441807E+02           D018200400062 
  100.0        8.0        23.00  .232407E+02.232407E+02           D018200400063 
  100.0        8.0        27.00  .464814E+02.328673E+02           D018200400064 
